"study_id","site_id","core_id","method_id","depth_min","depth_max","dry_bulk_density","fraction_carbon","cs137_activity","cs137_activity_se","cs137_unit","excess_pb210_activity","excess_pb210_activity_se","total_pb210_activity","total_pb210_activity_se","pb210_unit","ra226_activity","ra226_activity_se","ra226_unit","delta_c13","be7_activity","be7_activity_se","be7_unit","age","age_min","age_max","depth_interval_notes"
"Eagle_et_al_2021","Martin Peña West","MPW1","single set of methods",33,35,0.9675,0.072091,0.1423,0.0351,"disintegrationsPerMinutePerGram",0.7691,0.3091,1.7698,0.3065,"disintegrationsPerMinutePerGram",1.0006,0.0396,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña West","MPW1","single set of methods",35,37,1.4961,0.063411,0.1231,0.0344,"disintegrationsPerMinutePerGram",2.1221,0.3851,2.9422,0.3825,"disintegrationsPerMinutePerGram",0.8201,0.0444,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña West","MPW1","single set of methods",37,39,0.6773,0.034748,0,0,"disintegrationsPerMinutePerGram",0.6333,0.3158,1.5358,0.3118,"disintegrationsPerMinutePerGram",0.9026,0.0505,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE1","single set of methods",0,2,1.6577,0.14257899999999998,0,0,"disintegrationsPerMinutePerGram",13.4251,1.3444,16.2178,1.3315,"disintegrationsPerMinutePerGram",2.7927,0.1857,"disintegrationsPerMinutePerGram",-28.2027,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE1","single set of methods",2,4,0.5688,0.133026,0.1611,0.0376,"disintegrationsPerMinutePerGram",16.5907,0.6022,18.1456,0.5988,"disintegrationsPerMinutePerGram",1.5549,0.0638,"disintegrationsPerMinutePerGram",-27.9634,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE1","single set of methods",4,6,0.7959,0.156911,0.1159,0.0334,"disintegrationsPerMinutePerGram",16.5111,0.5109,18.091,0.5084,"disintegrationsPerMinutePerGram",1.5799,0.0509,"disintegrationsPerMinutePerGram",-27.9642,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE1","single set of methods",6,8,0.6689,0.18404900000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.9505,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE1","single set of methods",8,10,1.0451,0.16721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.7,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE1","single set of methods",10,12,1.1717,0.127926,0.0825,0.0338,"disintegrationsPerMinutePerGram",6.6607,0.4123,8.0597,0.4094,"disintegrationsPerMinutePerGram",1.399,0.0488,"disintegrationsPerMinutePerGram",-27.3488,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE1","single set of methods",12,14,1.3002,0.117192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.0762,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE1","single set of methods",14,16,0.8765,0.10156000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.7471,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE1","single set of methods",16,18,0.5598,0.092466,0.1166,0.0326,"disintegrationsPerMinutePerGram",3.1641,0.371,4.3485,0.3679,"disintegrationsPerMinutePerGram",1.1844,0.0476,"disintegrationsPerMinutePerGram",-26.8544,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE1","single set of methods",18,20,1.5347,0.06722500000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.5385,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE1","single set of methods",20,22,0.7097,0.065346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.6989,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE1","single set of methods",22,24,1.6113,0.069071,0.1009,0.0256,"disintegrationsPerMinutePerGram",2.0196,0.2917,3.2656,0.2884,"disintegrationsPerMinutePerGram",1.246,0.0437,"disintegrationsPerMinutePerGram",-26.6812,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE1","single set of methods",24,26,1.0323,0.07111200000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.7859,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE1","single set of methods",26,28,0.601,0.079002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.8674,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE1","single set of methods",28,30,0.309,0.08717599999999999,0.1853,0.0484,"disintegrationsPerMinutePerGram",4.7601,0.5852,6.1617,0.5817,"disintegrationsPerMinutePerGram",1.4016,0.0642,"disintegrationsPerMinutePerGram",-26.8938,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE1","single set of methods",30,32,1.0147,0.10364699999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE1","single set of methods",32,34,1.622,0.095695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE1","single set of methods",34,36,2.2674,0.086905,0.2631,0.0325,"disintegrationsPerMinutePerGram",4.1786,0.4014,5.3504,0.3997,"disintegrationsPerMinutePerGram",1.1718,0.037,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE1","single set of methods",36,38,1.0386,0.076804,0.2114,0.0048,"disintegrationsPerMinutePerGram",3.087,0.4304,4.6629,0.4257,"disintegrationsPerMinutePerGram",1.5759,0.063,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE2","single set of methods",0,1,0.3901,0.16118400000000002,0,0,"disintegrationsPerMinutePerGram",7.8558,1.3464,11.8333,1.3289,"disintegrationsPerMinutePerGram",3.9775,0.2164,"disintegrationsPerMinutePerGram",-27.6426,0,0,"disintegrationsPerMinutePerGram",2016,2016,2016,NA
"Eagle_et_al_2021","Martin Peña East","MPE2","single set of methods",1,2,0.2393,0.151144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.6523,NA,NA,NA,2012,2006,2015,NA
"Eagle_et_al_2021","Martin Peña East","MPE2","single set of methods",2,3,0.4128,0.144698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.5432,NA,NA,NA,2010,2002,2014,NA
"Eagle_et_al_2021","Martin Peña East","MPE2","single set of methods",3,5,0.1722,0.135336,0,0,"disintegrationsPerMinutePerGram",8.142,0.6087,10.1292,0.6017,"disintegrationsPerMinutePerGram",1.9872,0.092,"disintegrationsPerMinutePerGram",-27.487,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE2","single set of methods",5,7,0.4137,0.11458299999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.2262,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE2","single set of methods",7,9,0.483,0.11153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.0791,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE2","single set of methods",9,11,0.4153,0.12198600000000001,0.1395,0.0406,"disintegrationsPerMinutePerGram",7.7251,0.4921,9.4028,0.4889,"disintegrationsPerMinutePerGram",1.6776,0.0557,"disintegrationsPerMinutePerGram",-27.1168,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE2","single set of methods",11,13,1.0417,0.10573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.0404,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE2","single set of methods",13,15,0.6608,0.098036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.8761,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE2","single set of methods",15,17,0.5628,0.096204,0.2434,0.0313,"disintegrationsPerMinutePerGram",6.7814,0.4196,8.4004,0.4175,"disintegrationsPerMinutePerGram",1.619,0.0416,"disintegrationsPerMinutePerGram",-26.9325,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE2","single set of methods",17,19,0.7719,0.093514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.9301,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE2","single set of methods",19,21,0.4482,0.087533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.9954,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE2","single set of methods",21,23,0.6818,0.088637,0.147,0.029,"disintegrationsPerMinutePerGram",5.1711,0.416,6.7698,0.4136,"disintegrationsPerMinutePerGram",1.5986,0.044,"disintegrationsPerMinutePerGram",-27.073,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE2","single set of methods",23,25,0.4912,0.088275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.9838,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE2","single set of methods",25,27,0.3803,0.091223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.8863,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE2","single set of methods",27,29,0.3989,0.09709300000000001,0.2314,0.0367,"disintegrationsPerMinutePerGram",4.7346,0.3949,6.0358,0.3923,"disintegrationsPerMinutePerGram",1.3011,0.0454,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE2","single set of methods",29,31,0.6406,0.091525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE2","single set of methods",31,33,0.5217,0.08924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE2","single set of methods",33,35,0.5377,0.07450899999999999,0.5164,0.0404,"disintegrationsPerMinutePerGram",6.8569,0.5052,8.8714,0.503,"disintegrationsPerMinutePerGram",2.0145,0.0469,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE2","single set of methods",35,37,0.8013,0.078084,0.3624,0.0375,"disintegrationsPerMinutePerGram",4.0989,0.4095,5.4678,0.4074,"disintegrationsPerMinutePerGram",1.3689,0.042,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Martin Peña East","MPE2","single set of methods",37,39,0.7673,0.087129,0.2966,0.0276,"disintegrationsPerMinutePerGram",2.8237,0.2944,3.6001,0.2927,"disintegrationsPerMinutePerGram",0.7764,0.0313,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR1","single set of methods",0,2,0.2438,0.20741800000000002,0,0,"disintegrationsPerMinutePerGram",7.9395,0.5739,9.0131,0.5696,"disintegrationsPerMinutePerGram",1.0736,0.0697,"disintegrationsPerMinutePerGram",-28.5044,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR1","single set of methods",2,4,0.219,0.226544,0,0,"disintegrationsPerMinutePerGram",6.9402,0.6792,7.8125,0.6742,"disintegrationsPerMinutePerGram",0.8723,0.0821,"disintegrationsPerMinutePerGram",-28.5811,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR1","single set of methods",4,6,0.193,0.22199100000000002,0,0,"disintegrationsPerMinutePerGram",6.5582,0.512,7.5738,0.5074,"disintegrationsPerMinutePerGram",1.0155,0.068,"disintegrationsPerMinutePerGram",-28.4036,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR1","single set of methods",6,8,0.1587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR1","single set of methods",8,10,0.2066,0.17503900000000003,0,0,"disintegrationsPerMinutePerGram",2.3721,0.6561,3.4868,0.6489,"disintegrationsPerMinutePerGram",1.1147,0.0971,"disintegrationsPerMinutePerGram",-28.0575,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR1","single set of methods",10,12,0.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR1","single set of methods",12,14,0.1811,0.163292,0,0,"disintegrationsPerMinutePerGram",3.6923,0.4714,4.3867,0.4694,"disintegrationsPerMinutePerGram",0.6943,0.0432,"disintegrationsPerMinutePerGram",-27.688,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR1","single set of methods",14,16,0.2261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR1","single set of methods",16,18,0.21560000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR1","single set of methods",18,20,0.2783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR1","single set of methods",20,22,0.2461,0.092012,0,0,"disintegrationsPerMinutePerGram",1.3951,0.2706,1.9295,0.2692,"disintegrationsPerMinutePerGram",0.5343,0.0275,"disintegrationsPerMinutePerGram",-27.5783,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR1","single set of methods",22,24,0.3128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR1","single set of methods",24,26,0.0937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR1","single set of methods",26,28,0.4025,0.073976,0,0,"disintegrationsPerMinutePerGram",0.8537,0.3479,1.7197,0.3441,"disintegrationsPerMinutePerGram",0.866,0.0514,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR1","single set of methods",28,30,0.414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR1","single set of methods",30,32,0.2098,0.062218999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR1","single set of methods",32,34,NA,NA,0,0,"disintegrationsPerMinutePerGram",1.6527,0.3361,2.3169,0.3341,"disintegrationsPerMinutePerGram",0.6643,0.0364,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR1","single set of methods",34,36,NA,NA,0.7245,0.0277,"disintegrationsPerMinutePerGram",7.2998,0.2848,7.8199,0.2839,"disintegrationsPerMinutePerGram",0.52,0.0226,"disintegrationsPerMinutePerGram",NA,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR2","single set of methods",0,1,1.4567,0.190917,0,0,"disintegrationsPerMinutePerGram",3.1717,1.5811,5.9537,1.5569,"disintegrationsPerMinutePerGram",2.782,0.2754,"disintegrationsPerMinutePerGram",-28.2155,0,0,"disintegrationsPerMinutePerGram",2016,2016,2016,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR2","single set of methods",1,2,1.358,0.16616499999999998,0,0,"disintegrationsPerMinutePerGram",4.2,1.8,15.107,1.5671,"disintegrationsPerMinutePerGram",10.907,0.8606,"disintegrationsPerMinutePerGram",-28.081,0,0,"disintegrationsPerMinutePerGram",2010,2005,2013,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR2","single set of methods",2,3,0.7393,0.178414,0,0,"disintegrationsPerMinutePerGram",5.477,1.1032,7.1697,1.0927,"disintegrationsPerMinutePerGram",1.6928,0.1522,"disintegrationsPerMinutePerGram",-27.8371,0,0,"disintegrationsPerMinutePerGram",2004,2000,2008,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR2","single set of methods",3,5,0.9713,0.156027,0,0,"disintegrationsPerMinutePerGram",4.8074,0.8601,6.2346,0.8523,"disintegrationsPerMinutePerGram",1.4272,0.1159,"disintegrationsPerMinutePerGram",-27.9742,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR2","single set of methods",5,7,0.8244,0.145515,0,0,"disintegrationsPerMinutePerGram",4.9435,0.8088,6.2705,0.8033,"disintegrationsPerMinutePerGram",1.327,0.0945,"disintegrationsPerMinutePerGram",-27.9367,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR2","single set of methods",7,9,1.1375,0.14038,0,0,"disintegrationsPerMinutePerGram",4.8048,0.8358,5.9243,0.83,"disintegrationsPerMinutePerGram",1.1195,0.0986,"disintegrationsPerMinutePerGram",-27.8631,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR2","single set of methods",9,11,0.8456,0.10970200000000001,0,0,"disintegrationsPerMinutePerGram",3.3244,0.7911,4.2602,0.7835,"disintegrationsPerMinutePerGram",0.9359,0.11,"disintegrationsPerMinutePerGram",-27.6579,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR2","single set of methods",11,13,0.5819,0.07171,0,0,"disintegrationsPerMinutePerGram",2.1696,0.6014,2.8505,0.5952,"disintegrationsPerMinutePerGram",0.6809,0.0865,"disintegrationsPerMinutePerGram",-27.6541,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR2","single set of methods",13,15,1.532,0.09792400000000001,0,0,"disintegrationsPerMinutePerGram",2.7488,0.4894,3.4227,0.4864,"disintegrationsPerMinutePerGram",0.6739,0.0543,"disintegrationsPerMinutePerGram",-27.6912,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR2","single set of methods",15,17,1.6527,0.050302,0,0,"disintegrationsPerMinutePerGram",0.9289,0.2632,1.4316,0.2607,"disintegrationsPerMinutePerGram",0.5027,0.0365,"disintegrationsPerMinutePerGram",-27.6487,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
"Eagle_et_al_2021","Torrecilla Lagoon","TORR2","single set of methods",17,19,2.0025,0.057392000000000006,0,0,"disintegrationsPerMinutePerGram",1.0362,0.3309,1.5149,0.3289,"disintegrationsPerMinutePerGram",0.4787,0.0367,"disintegrationsPerMinutePerGram",-26.6215,0,0,"disintegrationsPerMinutePerGram",NA,NA,NA,NA
