"study_id","site_id","core_id","core_year","core_latitude","core_longitude","core_position_method","vegetation_method","vegetation_notes","inundation_class","inundation_method","inundation_notes","pH","pH_notes","carbon_stock","carbon_stock_method","carbon_stock_0.5m","carbon_stock_0.1m"
"sanborn_and_coxson_2020","BC17-11","403",2017,54.17089,-130.18833,"handheld","field observation","AngLuc, PotAns, CarLyn, LigHul, MaiDil, OenSar, SciMic, SymSub","high","field observation","visual estimate of the tidal zone",5.13,"pH is mean of several down-core values",28.96025,"EA",15.3585,28.96025
"sanborn_and_coxson_2020","BC17-12","404",2017,54.17103,-130.18833,"handheld","field observation","PotAns, CarLyn, DesCes, PlaMar, SteHum, TriMar","mid","field observation","visual estimate of the tidal zone",5.41,"pH is mean of several down-core values",26.75,"EA",14.336,26.75
"sanborn_and_coxson_2020","BC17-13","405",2017,54.17128,-130.18819,"handheld","field observation","CarLyn","low","field observation","visual estimate of the tidal zone",7.34,"pH is mean of several down-core values",11.9585,"EA",6.247,11.9585
"sanborn_and_coxson_2020","BC17-14","406",2017,54.17024,-130.18661,"handheld","field observation","CarLyn","low","field observation","visual estimate of the tidal zone",6.83,"pH is mean of several down-core values",14.306,"EA",8.07825,14.306
"sanborn_and_coxson_2020","BC17-15","407",2017,54.17008,-130.18672,"handheld","field observation","PotAns, CarLyn, DesCes, PlaMar, SteHum, TriMar","mid","field observation","visual estimate of the tidal zone",5.92,"pH is mean of several down-core values",20.880875,"EA",10.811375,20.880875
"sanborn_and_coxson_2020","BC17-16","408",2017,54.17011,-130.18686,"handheld","field observation","AngLuc, PotAns, CarLyn, ConGme, GalTri, LatPal, OenSar, SymSub, TriArc","high","field observation","visual estimate of the tidal zone",5.04,"pH is mean of several down-core values",32.3869,"EA",NA,32.3869
"sanborn_and_coxson_2020","BC17-17","409",2017,54.16933,-130.1853,"handheld","field observation","AngLuc, PotAns, BroPac, CarLyn, CarPlu, DesCes, FesRub, GlaMar, HorBra, LigHul, MaiDil, OenSar, PlaMac, SymSub, TriMar","high","field observation","visual estimate of the tidal zone",5.44,"pH is mean of several down-core values",30.191875,"EA",18.313625,30.191875
"sanborn_and_coxson_2020","BC17-18","410",2017,54.16955,-130.18533,"handheld","field observation","PotAns, CarLyn, DesCes, GlaMar, PlaMar, SteHum, TriMar","mid","field observation","visual estimate of the tidal zone",5.95,"pH is mean of several down-core values",25.6385,"EA",11.359,25.6385
"sanborn_and_coxson_2020","BC17-19","411",2017,54.16958,-130.18511,"handheld","field observation","CarLyn","low","field observation","visual estimate of the tidal zone",7.29,"pH is mean of several down-core values",13.92325,"EA",8.748,13.92325
"sanborn_and_coxson_2020","BC17-20","412",2017,54.16341,-130.15108,"handheld","field observation","AngLuc, PotAns, CarLyn, CarPlu, DesCes, FesRub, GalTri, HorBra, LatPal, LigHul, OenSar, PlaMac, RumOcc, SymSub, TriMar","high","field observation","visual estimate of the tidal zone",5.7,"pH is mean of several down-core values",29.1275,"EA",15.36675,29.1275
"sanborn_and_coxson_2020","BC17-21","413",2017,54.16327,-130.15144,"handheld","field observation","AchMill, AngLuc, PotAns, BroPac, CarLyn, CarPlu, ConGme, DesCes, FesRub, HorBra, LatPal, LigHul, LupNoo, MaiDil, OenSar, PlaMac, RumOcc, SymSub, TriMar","mid","field observation","visual estimate of the tidal zone",6.29,"pH is mean of several down-core values",22.77075,"EA",13.2315,22.77075
"sanborn_and_coxson_2020","BC17-22","414",2017,54.16166,-130.14941,"handheld","field observation","AngLuc, PotAns, CarLyn, CarPlu, HorBra, LatPal, LigHul, OenSar, PlaMar, RumOcc, SciMic, SteHum, SymSub, Trimar","high","field observation","visual estimate of the tidal zone",4.92,"pH is mean of several down-core values",33.397625,"EA",17.5925,33.397625
"sanborn_and_coxson_2020","BC17-23","415",2017,54.16166,-130.14958,"handheld","field observation","PotAns, CarLyn, DesCes, FesRub, GlaMar, PlaMac, PlaMar, TriMar","mid","field observation","visual estimate of the tidal zone",5.23,"pH is mean of several down-core values",22.34805,"EA",10.8318,22.34805
"sanborn_and_coxson_2020","BC17-24","416",2017,54.15858,-130.16616,"handheld","field observation","PotAns, CarLyn, DesCes, FesRub, GlaMar, LatPal, LupNoo, OenSar, PlaMac, PlaMar, SymSub, TriMar","high","field observation","visual estimate of the tidal zone",4.95,"pH is mean of several down-core values",39.1395,"EA",21.65825,39.1395
"sanborn_and_coxson_2020","BC17-25","417",2017,54.15852,-130.16586,"handheld","field observation","PotAns, CarLyn, DesCes, FriCam, GlaMar, SteHum, TriMar","mid","field observation","visual estimate of the tidal zone",5.59,"pH is mean of several down-core values",22.703675,"EA",12.7468,22.703675
"sanborn_and_coxson_2020","BC17-26","418",2017,54.15858,-130.16561,"handheld","field observation","CarLyn","low","field observation","visual estimate of the tidal zone",6.53,"pH is mean of several down-core values",15.713,"EA",8.471,15.713
"sanborn_and_coxson_2020","BC17-27","419",2017,54.17883,-130.1803,"handheld","field observation","CarLyn, DesCes, Trimar","low","field observation","visual estimate of the tidal zone",5.74,"pH is mean of several down-core values",33.098,"EA",NA,33.098
"sanborn_and_coxson_2020","BC17-28","420",2017,54.17891,-130.18011,"handheld","field observation","PotAns, CarLyn, DesCes, HorBra, PlaMac, TriMar","mid","field observation","visual estimate of the tidal zone",5.51,"pH is mean of several down-core values",13.07145,"EA",NA,13.07145
"sanborn_and_coxson_2020","BC17-29","421",2017,54.17902,-130.17991,"handheld","field observation","AchMill, AngLuc, PotAns, CarLyn, ConGme, DesCes, FriCam, HorBra, LigHul, MaiDil, PlaMac, SymSub, TriMar","high","field observation","visual estimate of the tidal zone",4.82,"pH is mean of several down-core values",17.029,"EA",17.029,18.9211111111111
"sanborn_and_coxson_2020","BC17-30","422",2017,54.16308,-130.15194,"handheld","field observation","CarLyn","low","field observation","visual estimate of the tidal zone",7.08,"pH is mean of several down-core values",21.7315,"EA",9.54975,21.7315
"sanborn_and_coxson_2020","BC17-31","423",2017,54.16163,-130.1498,"handheld","field observation","CarLyn, DesCes","low","field observation","visual estimate of the tidal zone",7.27,"pH is mean of several down-core values",13.6865,"EA",8.1195,13.6865
