study_id,country,n
RadamBrasil,Brazil,4
Ranjan_2010,India,3
Ren_et_al_2008,China,6
"S._Gress_Unpublished,_Gress_et_al_2016",Kenya,68
Sahu_et_al_2016,India,2
Saintilan_et_al_2013,Australia,5
Sanders_et_al_2008,Brazil,1
Sanders_et_al_2010_ECSS,Brazil,2
Sanders_et_al_2010_EES,Brazil,2
Sanders_et_al_2012_MER,Brazil,2
Sanders_et_al_2014,Brazil,2
Sanders_et_al_2015,Australia,2
Sanders_et_al_2016_JGR_Biogeoscience,Australia,28
Sitoe_et_al_2014,Mozambique,1
Smoak_et_al_2013,USA,1
Stringer_et_al_2015,Mozambique,5
Szczygielski_et_al_2015,Brazil,1
Tam_and_Wong_1998,Hong Kong,32
Thimdee_et_al_2003,Thailand,1
Thompson_et_al_2014,Philippines,6
Tue_et_al_2014,Vietnam,3
Twilley_et_al_1997,Ecuador,6
Upkong_1997,Nigeria,4
Vasconcelos_et_al_2014,Brazil,4
Wang_et_al_2013,China,5
WISE,DRC,3
Woodroffe_1985,New Zealand,20
Wooller_et_al_2003,Belize,8
Xia_et_al_2015,China,2
Xu_et_al_2012,China,3
Yando_et_al_2016,USA,3
Yang_et_al_2013,New Zealand,3
Yuan_et_al_2014,China,2
Zhang_and_Lin_1998,China,2
Zhang_et_al_2012,China,1
