"study_id","site_id","core_id","latitude","longitude","year","position_notes","habitat","vegetation_class","inundation_class","inundation_notes","salinity_class","position_method","core_notes"
"Azevedo_2015_unpublished","Patos Lagoon","MC 72",-32.0464,-52.1024,2012,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Azevedo_2015_unpublished","Patos Lagoon","MC 73",-32.0464,-52.1024,2012,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Azevedo_2015_unpublished","Patos Lagoon","MC 74",-32.0464,-52.1024,2012,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Azevedo_2015_unpublished","Patos Lagoon","MC 75",-32.0464,-52.1024,2012,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Beasy_and_Ellison_2013","Rubicon Estuary","KMB Tasmania Site 1.1",-41.1583009,146.6007821,2011,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Beasy_and_Ellison_2013","Rubicon Estuary","KMB Tasmania Site 1.2",-41.1583009,146.6007821,2011,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Beasy_and_Ellison_2013","Rubicon Estuary","KMB Tasmania Site 2",-41.2402306,146.5764921,2011,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Beasy_and_Ellison_2013","Rubicon Estuary","KMB Tasmania Site 3",-41.2373907,146.5615575,2011,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Bryant_and_Chabreck_1998","MI_U1_impounded","MI_U1_impounded",29.52917,-91.90056,1994,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Bryant_and_Chabreck_1998","MI_U1_natural","MI_U1_natural",29.52917,-91.90056,1994,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Bryant_and_Chabreck_1998","RFL_U14_impounded","RFL_U14_impounded",29.645,-92.57278,1994,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Bryant_and_Chabreck_1998","RFL_U14_natural","RFL_U14_natural",29.645,-92.57278,1994,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Bryant_and_Chabreck_1998","RFL_U15_impounded","RFL_U15_impounded",29.60745,-92.53976,1994,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Bryant_and_Chabreck_1998","RFL_U15_natural","RFL_U15_natural",29.60745,-92.53976,1994,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Bryant_and_Chabreck_1998","S_NWR_U3_impounded","S_NWR_U3_impounded",29.875,-93.54167,1994,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Bryant_and_Chabreck_1998","S_NWR_U3_natural","S_NWR_U3_natural",29.875,-93.54167,1994,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Bulmer_et_al_2020","pauanui","RHB 10",-37.030115,175.850659,2016,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Bulmer_et_al_2020","pauanui","RHB 11",-37.030126,175.850538,2016,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Bulmer_et_al_2020","pauanui","RHB 12",-37.030039,175.850463,2016,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Bulmer_et_al_2020","tairua mid","RHB 31",-37.021096,175.84111,2016,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Bulmer_et_al_2020","tairua mid","RHB 32",-37.02132,175.841643,2016,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Bulmer_et_al_2020","tairua mid","RHB 33",-37.021554,175.842077,2016,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Bulmer_et_al_2020","tairua upper","RHB 1",-37.028766,175.830954,2016,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Bulmer_et_al_2020","tairua upper","RHB 2",-37.029026,175.83192,2016,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Bulmer_et_al_2020","tairua upper","RHB 3",-37.029176,175.832715,2016,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Bunzel_et_al_2019","Bay of Tumlau","TB13-1",54.3642,8.6764,2013,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Bunzel_et_al_2019","Eider estuary","GeoHH-GIE",54.2837,8.8943,2016,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Bunzel_et_al_2019","Friedrichskoog","GeoHH-FK",54.0431,8.8723,2016,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Bunzel_et_al_2019","Kaiser-Wilhelm-Koog","GeoHH-KWK",53.9347,8.9069,2016,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Burke_et_al_2022","Baldoyle Estuary","Baldoyle Estuary 1",53.41474,-6.12899,2020,"estimated from GE","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Burke_et_al_2022","Baldoyle Estuary","Baldoyle Estuary 2",53.41535,-6.12868,2020,"estimated from GE","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Burke_et_al_2022","Baldoyle Estuary","Baldoyle Estuary 3",53.41561,-6.12858,2020,"estimated from GE","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Burke_et_al_2022","Baldoyle Estuary","Baldoyle Estuary 4",53.41601,-6.12928,2020,"estimated from GE","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Burke_et_al_2022","Baldoyle Estuary","Baldoyle Estuary 5",53.4165,-6.12925,2020,"estimated from GE","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Burke_et_al_2022","Baldoyle Estuary","Baldoyle Estuary 6",53.41713,-6.12963,2020,"estimated from GE","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Burke_et_al_2022","Baldoyle Estuary","Baldoyle Estuary 7",53.41788,-6.1297,2020,"estimated from GE","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Burke_et_al_2022","Baldoyle Estuary","Baldoyle Estuary 8",53.41857,-6.13012,2020,"estimated from GE","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Burke_et_al_2022","Baldoyle Estuary","Baldoyle Estuary 9",53.41725,-6.12897,2020,"estimated from GE","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Burke_et_al_2022","Malahide Estuary","Malahide Estuary 1",53.46835,-6.13241,2021,"estimated from GE","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Burke_et_al_2022","Malahide Estuary","Malahide Estuary 10",53.46712,-6.13344,2021,"estimated from GE","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Burke_et_al_2022","Malahide Estuary","Malahide Estuary 2",53.46835,-6.13311,2021,"estimated from GE","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Burke_et_al_2022","Malahide Estuary","Malahide Estuary 3",53.46811,-6.13278,2021,"estimated from GE","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Burke_et_al_2022","Malahide Estuary","Malahide Estuary 4",53.46809,-6.13217,2021,"estimated from GE","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Burke_et_al_2022","Malahide Estuary","Malahide Estuary 5",53.46812,-6.13175,2021,"estimated from GE","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Burke_et_al_2022","Malahide Estuary","Malahide Estuary 6",53.46787,-6.13339,2021,"estimated from GE","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Burke_et_al_2022","Malahide Estuary","Malahide Estuary 7",53.46784,-6.13271,2021,"estimated from GE","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Burke_et_al_2022","Malahide Estuary","Malahide Estuary 8",53.46772,-6.13221,2021,"estimated from GE","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Burke_et_al_2022","Malahide Estuary","Malahide Estuary 9",53.46835,-6.13311,2021,"estimated from GE","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Burke_et_al_2022","North Bull Island (North Lagoon)","North Bull Island (North Lagoon) 1",53.37286,-6.15256,2019,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Burke_et_al_2022","North Bull Island (North Lagoon)","North Bull Island (North Lagoon) 2",53.37253,-6.15221,2019,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Burke_et_al_2022","North Bull Island (North Lagoon)","North Bull Island (North Lagoon) 3",53.37209,-6.15151,2019,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Burke_et_al_2022","North Bull Island (North Lagoon)","North Bull Island (North Lagoon) 4",53.37346,-6.1521,2019,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Burke_et_al_2022","North Bull Island (North Lagoon)","North Bull Island (North Lagoon) 5",53.37309,-6.1512,2019,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Burke_et_al_2022","North Bull Island (North Lagoon)","North Bull Island (North Lagoon) 6",53.3728,-6.1505,2019,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Burke_et_al_2022","North Bull Island (South Lagoon)","North Bull Island (South Lagoon) 1",53.36931,-6.15542,2019,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Burke_et_al_2022","North Bull Island (South Lagoon)","North Bull Island (South Lagoon) 2",53.3698,-6.15655,2019,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Burke_et_al_2022","North Bull Island (South Lagoon)","North Bull Island (South Lagoon) 3",53.36954,-6.15867,2019,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Burke_et_al_2022","North Bull Island (South Lagoon)","North Bull Island (South Lagoon) 5",53.37008,-6.15659,2019,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Burke_et_al_2022","North Bull Island (South Lagoon)","North Bull Island (South Lagoon) 6",53.37046,-6.15863,2019,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Burke_et_al_2022","Rogerstown Esturay","Rogerstown Esturay 1",53.50372,-6.17011,2021,"estimated from GE","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Burke_et_al_2022","Rogerstown Esturay","Rogerstown Esturay 2",53.50359,-6.17014,2021,"estimated from GE","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Burke_et_al_2022","Rogerstown Esturay","Rogerstown Esturay 3",53.50344,-6.17039,2021,"estimated from GE","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Burke_et_al_2022","Rogerstown Esturay","Rogerstown Esturay 4",53.50336,-6.16983,2021,"estimated from GE","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Burke_et_al_2022","Rogerstown Esturay","Rogerstown Esturay 5",53.50412,-6.17127,2021,"estimated from GE","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Burke_et_al_2022","Rogerstown Esturay","Rogerstown Esturay 6",53.50426,-6.17122,2021,"estimated from GE","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Burke_et_al_2022","Rogerstown Esturay","Rogerstown Esturay 7",53.50329,-6.17128,2021,"estimated from GE","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Burke_et_al_2022","Rogerstown Esturay","Rogerstown Esturay 8",53.50373,-6.17172,2021,"estimated from GE","marsh","emergent",NA,NA,NA,"other low resolution",NA
"Cahoon_et_al_1996","COO96_Tjriver","COO96_Tjriver",32.5715,-117.1316,1993,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Camacho_et_al_2014","La Guadiana","AL",37.474975,-7.470641667,2010,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Camacho_et_al_2014","La Guadiana","Aouro",37.30785556,-7.44335,2010,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Camacho_et_al_2014","La Guadiana","E1",37.19294444,-7.404575,2010,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Camacho_et_al_2014","La Guadiana","E2",37.19293889,-7.404661111,2010,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Camacho_et_al_2014","La Guadiana","E3",37.19285,-7.405113889,2010,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Camacho_et_al_2014","La Guadiana","EE",37.19524444,-7.405452778,2010,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Camacho_et_al_2014","La Guadiana","FB1",37.26033611,-7.435066667,2010,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Camacho_et_al_2014","La Guadiana","FB2",37.26038333,-7.435041667,2010,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Camacho_et_al_2014","La Guadiana","FB3",37.26043611,-7.435011111,2010,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Camacho_et_al_2014","La Guadiana","FO",37.35146111,-7.446797222,2010,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Camacho_et_al_2014","La Guadiana","LAR",37.40341111,-7.457247222,2010,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Camacho_et_al_2014","La Guadiana","LEZ1",37.2123,-7.441461111,2010,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Camacho_et_al_2014","La Guadiana","LEZ2",37.21238333,-7.441502778,2010,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Camacho_et_al_2014","La Guadiana","LEZ3",37.21239444,-7.441491667,2010,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Camacho_et_al_2014","La Guadiana","LG1",37.17340556,-7.406683333,2010,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Camacho_et_al_2014","La Guadiana","LG2",37.17337222,-7.406733333,2010,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Camacho_et_al_2014","La Guadiana","LG3",37.17334167,-7.406766667,2010,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Camacho_et_al_2014","La Guadiana","PI1",37.23855278,-7.423413889,2010,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Camacho_et_al_2014","La Guadiana","PI2",37.23872778,-7.42315,2010,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Camacho_et_al_2014","La Guadiana","PI3",37.23881667,-7.423047222,2010,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Camacho_et_al_2014","La Guadiana","PI4",37.23885,-7.422983333,2010,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Camacho_et_al_2014","La Guadiana","SCM",37.20994444,-7.463930556,2010,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Camacho_et_al_2014","La Guadiana","VRSA1",37.2083,-7.417133333,2010,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Camacho_et_al_2014","La Guadiana","VRSA2",37.20831944,-7.417008333,2010,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Camacho_et_al_2014","La Guadiana","VRSA3",37.20839444,-7.416686111,2010,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Camacho_et_al_2014","La Guadiana","VRSA4",37.20851389,-7.416213889,2010,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Chmura_and_Hung_2004","CMHG_04_Core_1","CMHG_04_Core_1",46.76067,-64.89918,2000,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Chmura_and_Hung_2004","CMHG_04_Core_10","CMHG_04_Core_10",46.42012,-63.2763,2000,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Chmura_and_Hung_2004","CMHG_04_Core_11","CMHG_04_Core_11",46.42012,-63.2763,2000,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Chmura_and_Hung_2004","CMHG_04_Core_12","CMHG_04_Core_12",46.53318,-63.70779,2000,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Chmura_and_Hung_2004","CMHG_04_Core_13","CMHG_04_Core_13",45.09605,-66.43242,1994,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Chmura_and_Hung_2004","CMHG_04_Core_14","CMHG_04_Core_14",45.12321,-66.36102,1996,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Chmura_and_Hung_2004","CMHG_04_Core_15","CMHG_04_Core_15",45.12692,-66.4334,1996,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Chmura_and_Hung_2004","CMHG_04_Core_2","CMHG_04_Core_2",46.76067,-64.89918,2000,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Chmura_and_Hung_2004","CMHG_04_Core_3","CMHG_04_Core_3",47.35223,-64.9546,2000,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Chmura_and_Hung_2004","CMHG_04_Core_4","CMHG_04_Core_4",44.6568,-63.41892,2000,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Chmura_and_Hung_2004","CMHG_04_Core_5","CMHG_04_Core_5",44.6568,-63.41892,2000,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Chmura_and_Hung_2004","CMHG_04_Core_6","CMHG_04_Core_6",44.65041,-63.28263,2000,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Chmura_and_Hung_2004","CMHG_04_Core_7","CMHG_04_Core_7",43.73666,-65.98588,2000,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Chmura_and_Hung_2004","CMHG_04_Core_8","CMHG_04_Core_8",43.73666,-65.98588,2000,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Chmura_and_Hung_2004","CMHG_04_Core_9","CMHG_04_Core_9",43.63138,-65.79446,2000,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Connor_et_al_2001","CNR01_Chance_Harbour_HM","CNR01_Chance_Harbour_HM",45.12129,-66.36006,1998,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
"Connor_et_al_2001","CNR01_Dipper_Harbour_A_HM","CNR01_Dipper_Harbour_A_HM",45.09598,-66.43261,1998,"direct from dataset","marsh","emergent",NA,NA,NA,NA,NA
