study_id,site_id,core_id,year,month,day,core_notes,latitude,longitude,position_accuracy,position_method,position_notes,salinity_class,salinity_method,vegetation_class,vegetation_method,vegetation_notes,inundation_class,inundation_method,core_length_flag
Beers_et_al_2023,Beluga_Marsh,BM-8,2016,7,14,NA,59.64109,-151.5356,3,handheld,NA,saline,measurement,emergent,field observation,"Puccinellia phryganodes, Triglochin maritima",mid,field observation,core depth represents deposit depth
Beers_et_al_2023,Carrie_Bow_Cay,CBC-1,2015,2,25,NA,16.802,-88.08297,3,handheld,NA,saline,measurement,seagrass,field observation,Thalassia testudinum,low,field observation,core depth limited by length of corer
Beers_et_al_2023,China_Camp,CC-1,2015,5,13,NA,38.00429,-122.29028,3,handheld,NA,saline,measurement,scrub shrub,field observation,Salicornia pacifica,high,field observation,core depth limited by length of corer
Beers_et_al_2023,China_Poot,CP-1,2016,7,12,NA,59.55557,-151.30379,3,handheld,NA,mesohaline,measurement,emergent,field observation,"Puccinellia phryganodes, Triglochin maritima, plantain",mid,field observation,core depth represents deposit depth
Beers_et_al_2023,China_Poot,CP-2,2016,7,12,NA,59.55187,-151.30479,3,handheld,NA,mesohaline,measurement,emergent,field observation,"Puccinellia phryganodes, Triglochin maritima, plantain",mid,field observation,core depth represents deposit depth
Beers_et_al_2023,China_Poot,CP-3,2016,7,12,NA,59.55116,-151.30472,3,handheld,NA,mesohaline,measurement,emergent,field observation,Leymus,mid,field observation,core depth represents deposit depth
Beers_et_al_2023,China_Poot,CP-4,2016,7,12,NA,59.55053,-151.30455,3,handheld,NA,mesohaline,measurement,emergent,field observation,"Triglochin maritima, plantain",mid,field observation,core depth represents deposit depth
Beers_et_al_2023,China_Poot,CP-5,2016,7,12,NA,59.55328,-151.31039,3,handheld,NA,mesohaline,measurement,emergent,field observation,"Puccinellia phryganodes, plantain",mid,field observation,core depth represents deposit depth
Beers_et_al_2023,China_Poot,CP-6,2016,7,12,NA,59.55453,-151.31439,3,handheld,NA,mesohaline,measurement,emergent,field observation,"Leymus, Potentilla, plantain",mid,field observation,core depth represents deposit depth
Beers_et_al_2023,China_Poot,CP-7,2016,7,12,NA,59.55527,-151.31317,3,handheld,NA,mesohaline,measurement,emergent,field observation,Triglochin maritima,mid,field observation,core depth represents deposit depth
Beers_et_al_2023,China_Poot,CP-8,2016,7,12,NA,59.5563,-151.31259,3,handheld,NA,mesohaline,measurement,emergent,field observation,"Puccinellia phryganodes, plantain, spurg",mid,field observation,core depth represents deposit depth
Beers_et_al_2023,China_Poot,CP-9,2016,7,12,NA,59.55622,-151.31404,3,handheld,NA,mesohaline,measurement,emergent,field observation,"Leymus, plantain, Puccinellia phryganodes",mid,field observation,core depth represents deposit depth
Beers_et_al_2023,Coon_Island,CI-1,2014,12,22,NA,38.19184,-122.31713,3,handheld,NA,polyhaline,measurement,scrub shrub,field observation,Salicornia pacifica,mid,field observation,core depth represents deposit depth
Beers_et_al_2023,Coon_Island,CI-2,2014,12,22,NA,38.19084,-122.31988,3,handheld,NA,polyhaline,measurement,scrub shrub,field observation,Salicornia pacifica,high,field observation,core depth represents deposit depth
Beers_et_al_2023,Coon_Island,CI-3,2015,5,3,NA,38.19654,-122.32138,3,handheld,NA,polyhaline,measurement,scrub shrub,field observation,Salicornia pacifica,mid,field observation,core depth represents deposit depth
Beers_et_al_2023,Coon_Island,CI-4,2015,5,3,NA,38.1962,-122.3218,3,handheld,NA,polyhaline,measurement,scrub shrub,field observation,Salicornia pacifica,high,field observation,core depth represents deposit depth
Beers_et_al_2023,Coon_Island,CI-5,2015,5,3,NA,38.1961,-122.32215,3,handheld,NA,polyhaline,measurement,scrub shrub,field observation,"Salicornia pacifica, Schoenoplectus americanus",high,field observation,core depth represents deposit depth
Beers_et_al_2023,Coon_Island,CI-6,2015,5,3,NA,38.19595,-122.3229,3,handheld,NA,polyhaline,measurement,scrub shrub,field observation,Salicornia pacifica,high,field observation,core depth represents deposit depth
Beers_et_al_2023,GCREW,GC-1,2014,NA,NA,top 50 not measured,38.874854,-76.547268,10,other low resolution,core location was not recorded using a GPS unit so was estimated from a map,mesohaline,measurement,emergent,field observation,Spartina patens,mid,field observation,core depth limited by length of corer
Beers_et_al_2023,Indian_River_Lagoon,IRL-1,2015,10,17,NA,27.49924,-80.32188,3,handheld,NA,saline,measurement,forested,measurement,Rhizophora mangle,low,field observation,core depth represents deposit depth
Beers_et_al_2023,Indian_River_Lagoon,IRL-2,2015,10,17,NA,27.4993,-80.32219,3,handheld,NA,saline,measurement,forested,measurement,Rhizophora mangle,low,field observation,core depth represents deposit depth
Beers_et_al_2023,Indian_River_Lagoon,IRL-3,2015,10,17,NA,27.49917,-80.32215,3,handheld,NA,saline,measurement,forested,measurement,Rhizophora mangle,low,field observation,core depth represents deposit depth
Beers_et_al_2023,Indian_River_Lagoon,IRL-4,2015,10,17,NA,27.499389999999998,-80.32218,3,handheld,NA,saline,measurement,forested,measurement,"Avicennia germinans, Laguncularis racemosa",low,field observation,core depth represents deposit depth
Beers_et_al_2023,Indian_River_Lagoon,IRL-5,2015,10,17,NA,27.49953,-80.32214,3,handheld,NA,saline,measurement,forested,measurement,"Avicennia germinans, Laguncularis racemosa",low,field observation,core depth represents deposit depth
Beers_et_al_2023,Indian_River_Lagoon,IRL-6,2015,10,17,NA,27.4996,-80.32211,3,handheld,NA,saline,measurement,forested,measurement,"Avicennia germinans, Laguncularis racemosa",low,field observation,core depth represents deposit depth
Beers_et_al_2023,Indian_River_Lagoon,IRL-S-1,2015,10,21,NA,27.53658,-80.34899,3,handheld,NA,saline,measurement,seagrass,field observation,Thalassia testudinum,low,field observation,core depth limited by length of corer
Beers_et_al_2023,Indian_River_Lagoon,IRL-S-2,2015,10,21,NA,27.53641,-80.34914,3,handheld,NA,saline,measurement,seagrass,field observation,Thalassia testudinum,low,field observation,core depth limited by length of corer
Beers_et_al_2023,Indian_River_Lagoon,IRL-S-3,2015,10,21,NA,27.53639,-80.34911,3,handheld,NA,saline,measurement,seagrass,field observation,Thalassia testudinum,low,field observation,core depth limited by length of corer
Beers_et_al_2023,Isla Cristobal,CR-F-1,2015,3,17,NA,9.25242,-82.2363,3,handheld,NA,saline,measurement,scrub shrub,measurement,"fringe, Rhizophora mangle",low,field observation,core depth represents deposit depth
Beers_et_al_2023,Isla Cristobal,CR-F-2,2015,3,17,NA,9.25255,-82.23624,3,handheld,NA,saline,measurement,scrub shrub,measurement,"fringe, Rhizophora mangle",low,field observation,core depth represents deposit depth
Beers_et_al_2023,Isla Cristobal,CR-F-3,2015,3,17,NA,9.25242,-82.23635,3,handheld,NA,saline,measurement,scrub shrub,measurement,"fringe, Rhizophora mangle",low,field observation,core depth represents deposit depth
Beers_et_al_2023,Isla Cristobal,CR-D-4,2015,3,17,NA,9.2525,-82.24011,3,handheld,NA,saline,measurement,scrub shrub,measurement,"dwarf, Rhizophora mangle",low,field observation,core depth represents deposit depth
Beers_et_al_2023,Isla Cristobal,CR-D-5,2015,3,17,NA,9.25233,-82.24022,3,handheld,NA,saline,measurement,scrub shrub,measurement,"dwarf, Rhizophora mangle",low,field observation,core depth represents deposit depth
Beers_et_al_2023,Isla Cristobal,CR-D-6,2015,3,17,NA,9.25276,-82.23995,3,handheld,NA,saline,measurement,scrub shrub,measurement,"dwarf, Rhizophora mangle",low,field observation,core depth represents deposit depth
Beers_et_al_2023,Isla_Colon,STRI-1,2015,4,2,NA,9.35113,-82.25751,3,other low resolution,NA,saline,measurement,seagrass,field observation,Thalassia testudinum,low,field observation,core depth limited by length of corer
Beers_et_al_2023,Isla_Colon,STRI-2,2015,4,2,NA,9.35113,-82.25751,3,other low resolution,NA,saline,measurement,seagrass,field observation,Thalassia testudinum,low,field observation,core depth limited by length of corer
Beers_et_al_2023,Isla_Colon,STRI-3,2015,4,2,NA,9.35113,-82.25751,3,other low resolution,NA,saline,measurement,seagrass,field observation,Thalassia testudinum,low,field observation,core depth limited by length of corer
Beers_et_al_2023,Isla_Popa,PO-F-1,2015,3,21,NA,9.23148,-82.12135,3,handheld,NA,saline,measurement,scrub shrub,measurement,"fringe, Rhizophora mangle",low,field observation,core depth represents deposit depth
Beers_et_al_2023,Isla_Popa,PO-F-2,2015,3,21,NA,9.23156,-82.12135,3,handheld,NA,saline,measurement,scrub shrub,measurement,"fringe, Rhizophora mangle",low,field observation,core depth represents deposit depth
Beers_et_al_2023,Isla_Popa,PO-F-3,2015,3,21,NA,9.23167,-82.1213,3,handheld,NA,saline,measurement,scrub shrub,measurement,"fringe, Rhizophora mangle",low,field observation,core depth represents deposit depth
Beers_et_al_2023,Isla_Popa,PO-D-4,2015,3,18,NA,9.23143,-82.12164,3,handheld,NA,saline,measurement,scrub shrub,measurement,"dwarf, Rhizophora mangle",low,field observation,core depth represents deposit depth
Beers_et_al_2023,Isla_Popa,PO-D-5,2015,3,18,NA,9.23154,-82.12161,3,handheld,NA,saline,measurement,scrub shrub,measurement,"dwarf, Rhizophora mangle",low,field observation,core depth represents deposit depth
Beers_et_al_2023,Isla_Popa,PO-D-6,2015,3,18,NA,9.23156,-82.12173,3,handheld,NA,saline,measurement,scrub shrub,measurement,"dwarf, Rhizophora mangle",low,field observation,core depth represents deposit depth
Beers_et_al_2023,Isla_Popa,PO-D-7,2015,3,18,NA,9.23147,-82.12185,3,handheld,NA,saline,measurement,scrub shrub,measurement,"dwarf, Rhizophora mangle",low,field observation,core depth represents deposit depth
Beers_et_al_2023,Isla_Popa,PO-S-1,2015,4,4,NA,9.23373,-82.11985,3,other low resolution,NA,saline,measurement,seagrass,field observation,Thalassia testudinum,low,field observation,core depth limited by length of corer
Beers_et_al_2023,Isla_Popa,PO-S-2,2015,4,4,NA,9.23373,-82.11985,3,other low resolution,NA,saline,measurement,seagrass,field observation,Thalassia testudinum,low,field observation,core depth limited by length of corer
Beers_et_al_2023,Isla_Popa,PO-S-3,2015,4,4,NA,9.23373,-82.11985,3,other low resolution,NA,saline,measurement,seagrass,field observation,Thalassia testudinum,low,field observation,core depth limited by length of corer
Beers_et_al_2023,Isla_Solarte,SOL-F-1,2015,3,12,NA,9.30996,-82.20193,3,handheld,NA,saline,measurement,scrub shrub,measurement,"fringe, Rhizophora mangle",low,field observation,core depth represents deposit depth
Beers_et_al_2023,Isla_Solarte,SOL-F-2,2015,3,12,NA,9.31003,-82.20178,3,handheld,NA,saline,measurement,scrub shrub,measurement,"fringe, Rhizophora mangle",low,field observation,core depth represents deposit depth
Beers_et_al_2023,Isla_Solarte,SOL-F-3,2015,3,12,NA,9.30997,-82.20169,3,handheld,NA,saline,measurement,scrub shrub,measurement,"fringe, Rhizophora mangle",low,field observation,core depth represents deposit depth
Beers_et_al_2023,Isla_Solarte,SOL-D-4,2015,3,13,NA,9.31115,-82.20028,3,handheld,NA,saline,measurement,scrub shrub,measurement,"dwarf, Rhizophora mangle",low,field observation,core depth represents deposit depth
Beers_et_al_2023,Isla_Solarte,SOL-D-5,2015,3,13,NA,9.311,-82.20045,3,handheld,NA,saline,measurement,scrub shrub,measurement,"dwarf, Rhizophora mangle",low,field observation,core depth represents deposit depth
Beers_et_al_2023,Isla_Solarte,SOL-D-6,2015,3,13,NA,9.31107,-82.20054,3,handheld,NA,saline,measurement,scrub shrub,measurement,"dwarf, Rhizophora mangle",low,field observation,core depth represents deposit depth
Beers_et_al_2023,Pt_Molate,PM-1,2015,5,17,NA,37.9464,-122.41946,3,handheld,NA,saline,measurement,seagrass,field observation,Zostera marina,low,field observation,core depth limited by length of corer
Beers_et_al_2023,Pt_Molate,PM-2,2015,5,18,NA,37.94484,-122.41429,3,handheld,NA,saline,measurement,seagrass,field observation,Zostera marina,low,field observation,core depth limited by length of corer
Beers_et_al_2023,Pt_Molate,PM-3,2015,5,18,NA,37.94499,-122.4144,3,handheld,NA,saline,measurement,seagrass,field observation,Zostera marina,low,field observation,core depth limited by length of corer
Beers_et_al_2023,Rush_Ranch,RR-1,2014,12,19,NA,38.19966,-122.02824,3,handheld,NA,mesohaline,measurement,emergent,field observation,Typha domingensis,low,field observation,core depth represents deposit depth
Beers_et_al_2023,Rush_Ranch,RR-2,2014,12,19,NA,38.19993,-122.02876,3,handheld,NA,mesohaline,measurement,emergent,field observation,"Salicornia pacifica, Jaumea carnosa, Distchlis spicata, Juncus balticus, Triglochin maritima",high,field observation,core depth represents deposit depth
Beers_et_al_2023,Rush_Ranch,RR-3,2015,5,4,NA,38.19686,-122.02886,3,handheld,NA,mesohaline,measurement,emergent,field observation,"Schoenoplectus acutus, Schoenoplectus americanus",low,field observation,core depth represents deposit depth
Beers_et_al_2023,Rush_Ranch,RR-4,2015,5,4,NA,38.19712,-122.02848,3,handheld,NA,mesohaline,measurement,emergent,field observation,"Juncus balticus, Potentila anserina, Distichlis spicata, Attriplex triangularis",high,field observation,core depth represents deposit depth
Beers_et_al_2023,Rush_Ranch,RR-5,2015,5,4,NA,38.19737,-122.02811,3,handheld,NA,mesohaline,measurement,emergent,field observation,Schoenoplectus americanus,mid,field observation,core depth represents deposit depth
Beers_et_al_2023,Rush_Ranch,RR-6,2015,5,4,NA,38.19745,-122.02761,3,handheld,NA,mesohaline,measurement,scrub shrub,field observation,Salicornia pacifica,high,field observation,core depth represents deposit depth
Beers_et_al_2023,Twin_Cays,TC-FA-1,2015,2,21,NA,16.8283,-88.10072,3,handheld,NA,saline,measurement,scrub shrub,measurement,"fringe, Rhizophora mangle",low,field observation,core depth represents deposit depth
Beers_et_al_2023,Twin_Cays,TC-FB-2,2015,2,21,NA,16.82832,-88.10089,3,handheld,NA,saline,measurement,scrub shrub,measurement,"fringe, Rhizophora mangle",low,field observation,core depth represents deposit depth
Beers_et_al_2023,Twin_Cays,TC-FC-3,2015,2,21,NA,16.82841,-88.10097,3,handheld,NA,saline,measurement,scrub shrub,measurement,"fringe, Rhizophora mangle",low,field observation,core depth represents deposit depth
Beers_et_al_2023,Twin_Cays,TC-DA-4,2015,2,22,NA,16.82827,-88.1015,3,handheld,NA,saline,measurement,scrub shrub,measurement,"dwarf, Rhizophora mangle",low,field observation,core depth represents deposit depth
Beers_et_al_2023,Twin_Cays,TC-DB-5,2015,2,22,NA,16.82829,-88.10167,3,handheld,NA,saline,measurement,scrub shrub,measurement,"dwarf, Rhizophora mangle",low,field observation,core depth represents deposit depth
Beers_et_al_2023,Twin_Cays,TC-DC-6,2015,2,22,NA,16.82826,-88.10186,3,handheld,NA,saline,measurement,scrub shrub,measurement,"dwarf, Rhizophora mangle",low,field observation,core depth represents deposit depth
Beers_et_al_2023,Twin_Cays,TC-DD-7,2015,2,28,NA,16.83181,-88.10571,3,handheld,NA,saline,measurement,scrub shrub,measurement,"dwarf, Rhizophora mangle",low,field observation,core depth limited by length of corer
Beers_et_al_2023,Twin_Cays,TC-1,2015,3,2,NA,16.83281,-88.10736,3,other low resolution,NA,saline,measurement,seagrass,field observation,Thalassia testudinum,low,field observation,core depth limited by length of corer
Beers_et_al_2023,Twin_Cays,TC-2,2015,3,2,NA,16.83281,-88.10736,3,other low resolution,NA,saline,measurement,seagrass,field observation,Thalassia testudinum,low,field observation,core depth limited by length of corer
Beers_et_al_2023,Twin_Cays,TC-3,2015,3,2,NA,16.83281,-88.10736,3,other low resolution,NA,saline,measurement,seagrass,field observation,Thalassia testudinum,low,field observation,core depth limited by length of corer
Beers_et_al_2023,Twin_Cays,TC-4,2015,3,2,NA,16.83281,-88.10736,3,other low resolution,NA,saline,measurement,seagrass,field observation,Thalassia testudinum,low,field observation,core depth limited by length of corer
Beers_et_al_2023,Twin_Cays,TC-5,2015,3,2,NA,16.83281,-88.10736,3,other low resolution,NA,saline,measurement,seagrass,field observation,Thalassia testudinum,low,field observation,core depth limited by length of corer
Beers_et_al_2023,Wachapreague,VA-1,2015,10,11,NA,37.6154,-75.67809,3,handheld,NA,saline,measurement,emergent,field observation,Spartina alterniflora,low,field observation,core depth limited by length of corer
Beers_et_al_2023,Wachapreague,VA-2,2015,10,12,NA,37.61834,-75.67176,3,handheld,NA,saline,measurement,emergent,field observation,Spartina alterniflora,low,field observation,core depth represents deposit depth
Beers_et_al_2023,Wachapreague,VA-3,2015,10,12,NA,37.61825,-75.67176,3,handheld,NA,saline,measurement,emergent,field observation,"Salicornia pacifica, Distichlis spicata",high,field observation,core depth limited by length of corer
Beers_et_al_2023,Wachapreague,VA-4,2015,10,12,NA,37.61808,-75.67213,3,handheld,NA,saline,measurement,emergent,field observation,Spartina alterniflora,low,field observation,core depth limited by length of corer
Beers_et_al_2023,Wachapreague,VA-5,2015,10,12,NA,37.61587,-75.67786,3,handheld,NA,saline,measurement,emergent,field observation,Spartina alterniflora,low,field observation,core depth represents deposit depth
Beers_et_al_2023,Wachapreague,VA-6,2015,10,12,NA,37.61602,-75.67789,3,handheld,NA,saline,measurement,emergent,field observation,Spartina alterniflora,low,field observation,core depth limited by length of corer
