study_id,site_id,core_id,year,month,day,latitude,longitude,position_notes,salinity_class,salinity_method,vegetation_class,vegetation_method,habitat,core_length_flag
Radabaugh_et_al_2023,Peace_River03,Peace_3SW,2018,10,26,27.029792,-81.988998,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2023,Peace_River04,Peace_04NW,2020,1,21,26.9664782872,-81.9998372799,Real-time kinematic global position system (GPS),brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Peace_River04,Peace_04SE,2020,1,21,26.9663730057,-81.9997490616,Real-time kinematic global position system (GPS),brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Peace_River05,Peace_05NE,2020,1,21,26.9666742257,-81.9981035351,Real-time kinematic global position system (GPS),brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Peace_River05,Peace_05SW,2020,1,21,26.9666060447,-81.9982328393,Real-time kinematic global position system (GPS),brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Peace_River_LI,Peace_LI,2020,1,21,26.9668378841,-82.000601641,Real-time kinematic global position system (GPS),brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Tamiami_Trail01,TAM_01N,2018,7,30,25.96825,-81.538878,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Tamiami_Trail01,TAM_01S,2018,7,30,25.968161,-81.538991,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Tamiami_Trail02,TAM_02NE,2018,7,30,25.945112,-81.474378,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Tamiami_Trail02,TAM_02SW,2018,7,30,25.945039,-81.474479,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Tamiami_Trail03,TAM_03NW,2018,7,30,25.94419,-81.475459,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Tamiami_Trail03,TAM_03SE,2018,7,30,25.944164,-81.475324,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Tamiami_Trail04,TAM_04NW,2018,7,30,25.942704,-81.475041,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Tamiami_Trail04,TAM_04SE,2018,7,30,25.942621,-81.474957,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Tamiami_Trail05,TAM_05NE,2018,7,30,25.937566,-81.460559,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2023,Tamiami_Trail05,TAM_05SW,2018,7,30,25.937426,-81.460587,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2023,Tamiami_Trail06,TAM_06NW,2018,7,30,25.918411,-81.394651,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Tamiami_Trail06,TAM_06SE,2018,7,30,25.918322,-81.394547,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Tamiami_Trail07,TAM_07NW,2018,7,31,25.968466,-81.539068,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Tamiami_Trail07,TAM_07SE,2018,7,31,25.96845,-81.538922,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Tamiami_Trail08,TAM_08NE,2018,7,31,25.965252,-81.529297,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Tamiami_Trail08,TAM_08SW,2018,7,31,25.965134,-81.529341,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Tamiami_Trail09,TAM_09NE,2018,7,31,25.965011,-81.529452,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Tamiami_Trail09,TAM_09SW,2018,7,31,25.96492,-81.529524,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Tamiami_Trail10,TAM_10NW,2018,7,31,25.961523,-81.5194,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Tamiami_Trail10,TAM_10SE,2018,7,31,25.961466,-81.519237,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Tamiami_Trail11,TAM_11NE,2018,7,31,25.933214,-81.44829,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Tamiami_Trail11,TAM_11SW,2018,7,31,25.933117,-81.448364,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Tamiami_Trail12,TAM_12NW,2018,8,1,25.928145,-81.432623,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Tamiami_Trail12,TAM_12SE,2018,8,1,25.928024,-81.432587,latitude and longitude from handheld GPS or better,brackish,field observation,emergent,field observation,marsh,core depth limited by length of corer
Radabaugh_et_al_2023,Tamiami_Trail13,TAM_13NE,2018,8,1,25.951194,-81.505409,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2023,Tamiami_Trail13,TAM_13SW,2018,8,1,25.951067,-81.505405,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2023,Tamiami_Trail14,TAM_14NE,2018,8,1,25.951328,-81.505195,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2023,Tamiami_Trail14,TAM_14SW,2018,8,1,25.951203,-81.505238,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2023,Upper_Faka_Union01,UFU1,2017,NA,NA,25.90187,-81.51082,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
