study_id,core_id,sample_id,depth_min,depth_max,c14_age,c14_age_se,c14_material,age,dry_bulk_density,fraction_organic_matter,fraction_carbon,method_id,site_id
Drexler_et_al_2009,BACHI,NA,42,44,NA,NA,NA,NA,0.074,0.74,0.38087,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,100,102,NA,NA,NA,NA,0.118,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,102,104,NA,NA,NA,NA,0.105,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,BACHIC1D2-4B,104,106,960,35,Charcoal,857,NA,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,104,106,NA,NA,NA,NA,0.11,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,106,108,NA,NA,NA,NA,0.081,0.916,0.477846,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,108,110,NA,NA,NA,NA,0.117,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,110,112,NA,NA,NA,NA,0.132,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,112,114,NA,NA,NA,NA,0.136,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,114,116,NA,NA,NA,NA,0.138,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,116,118,NA,NA,NA,NA,0.13,0.908,0.473438,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,BACHIC1D2-12A,120,122,1265,35,Wood,1214,NA,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,120,122,NA,NA,NA,NA,0.104,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,122,124,NA,NA,NA,NA,0.104,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,124,126,NA,NA,NA,NA,0.129,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,126,128,NA,NA,NA,NA,0.11,0.908,0.473438,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,128,130,NA,NA,NA,NA,0.134,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,130,132,NA,NA,NA,NA,0.146,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,132,134,NA,NA,NA,NA,0.114,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,134,136,NA,NA,NA,NA,0.13,0.912,0.475642,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,138,140,NA,NA,NA,NA,0.11,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,140,142,NA,NA,NA,NA,0.114,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,142,144,NA,NA,NA,NA,0.134,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,144,146,NA,NA,NA,NA,0.12,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,146,148,NA,NA,NA,NA,0.106,0.92,0.48005,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,148,150,NA,NA,NA,NA,0.126,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,150,152,NA,NA,NA,NA,0.143,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,152,154,NA,NA,NA,NA,0.118,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,154,156,NA,NA,NA,NA,0.122,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,156,158,NA,NA,NA,NA,0.155,0.912,0.475642,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,158,160,NA,NA,NA,NA,0.138,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,BACHIC1D2-33A,162,164,1315,40,Achenes,1249,NA,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,166,168,NA,NA,NA,NA,NA,0.908,0.473438,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,168,170,NA,NA,NA,NA,0.13,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,170,172,NA,NA,NA,NA,0.107,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,172,174,NA,NA,NA,NA,0.118,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,174,176,NA,NA,NA,NA,0.113,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,176,178,NA,NA,NA,NA,0.12,0.908,0.473438,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,178,180,NA,NA,NA,NA,0.132,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,180,182,NA,NA,NA,NA,0.124,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,182,184,NA,NA,NA,NA,0.127,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,184,186,NA,NA,NA,NA,0.13,0.908,0.473438,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,BACHIC1D2-45A,186,188,1290,30,Achenes,1235,NA,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,186,188,NA,NA,NA,NA,0.143,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,BACHIC1D2-46A,188,190,1340,30,Achenes,1279,NA,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,204,206,NA,NA,NA,NA,0.142,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,BACHIC1D3-5B,206,208,1415,35,Wood,1322,NA,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,206,208,NA,NA,NA,NA,0.104,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,208,210,NA,NA,NA,NA,0.123,0.8064,0.4174564,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,210,212,NA,NA,NA,NA,0.125,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,212,214,NA,NA,NA,NA,0.131,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,214,216,NA,NA,NA,NA,0.136,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,216,218,NA,NA,NA,NA,0.099,0.8656,0.4500756,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,218,220,NA,NA,NA,NA,0.132,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,220,222,NA,NA,NA,NA,0.113,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,222,224,NA,NA,NA,NA,0.102,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,224,226,NA,NA,NA,NA,0.153,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,226,228,NA,NA,NA,NA,0.138,0.876,0.455806,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,228,230,NA,NA,NA,NA,0.128,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,230,232,NA,NA,NA,NA,0.111,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,232,234,NA,NA,NA,NA,0.137,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,234,236,NA,NA,NA,NA,0.152,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,236,238,NA,NA,NA,NA,0.142,0.7812,0.4035712,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,238,240,NA,NA,NA,NA,0.152,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,240,242,NA,NA,NA,NA,0.182,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,242,244,NA,NA,NA,NA,0.153,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,244,246,NA,NA,NA,NA,0.148,0.6004,0.3039504,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,246,248,NA,NA,NA,NA,0.155,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,248,250,NA,NA,NA,NA,0.175,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,250,252,NA,NA,NA,NA,0.172,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,252,254,NA,NA,NA,NA,0.159,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,254,256,NA,NA,NA,NA,0.153,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,256,258,NA,NA,NA,NA,0.156,0.56,0.28169,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,258,260,NA,NA,NA,NA,0.141,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,260,262,NA,NA,NA,NA,0.133,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,262,264,NA,NA,NA,NA,0.126,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,264,266,NA,NA,NA,NA,0.13,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,266,268,NA,NA,NA,NA,0.119,0.6088,0.3085788,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,268,270,NA,NA,NA,NA,0.095,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,270,272,NA,NA,NA,NA,0.106,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,272,274,NA,NA,NA,NA,0.108,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,274,276,NA,NA,NA,NA,0.109,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,276,278,NA,NA,NA,NA,0.093,0.7992,0.4134892,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,278,280,NA,NA,NA,NA,0.101,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,280,282,NA,NA,NA,NA,0.108,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,282,284,NA,NA,NA,NA,0.092,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,284,286,NA,NA,NA,NA,0.1,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,286,288,NA,NA,NA,NA,0.083,0.6606,0.3371206,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,288,290,NA,NA,NA,NA,0.093,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,290,292,NA,NA,NA,NA,0.093,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,292,294,NA,NA,NA,NA,0.097,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,BACHIC1D3-49A,294,296,2200,60,Plant fragment,2217,NA,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,294,296,NA,NA,NA,NA,0.1,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,296,298,NA,NA,NA,NA,0.106,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,300,302,NA,NA,NA,NA,0.107,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,302,304,NA,NA,NA,NA,0.096,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,304,306,NA,NA,NA,NA,0.097,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,306,308,NA,NA,NA,NA,0.089,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,308,310,NA,NA,NA,NA,0.091,0.684,0.350014,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,310,312,NA,NA,NA,NA,0.082,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,312,314,NA,NA,NA,NA,0.08,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,314,316,NA,NA,NA,NA,0.096,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,316,318,NA,NA,NA,NA,0.108191499,0.6196,0.3145296,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,318,320,NA,NA,NA,NA,0.111001094,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,320,322,NA,NA,NA,NA,0.133588564,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,322,324,NA,NA,NA,NA,0.119824507,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,324,326,NA,NA,NA,NA,0.120268632,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,326,328,NA,NA,NA,NA,0.099095757,0.7988,0.4132688,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,328,330,NA,NA,NA,NA,0.097693168,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,330,332,NA,NA,NA,NA,0.095952657,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,332,334,NA,NA,NA,NA,0.087920541,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,334,336,NA,NA,NA,NA,0.075571531,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,336,338,NA,NA,NA,NA,0.067288978,0.8216,0.4258316,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,338,340,NA,NA,NA,NA,0.061815712,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,340,342,NA,NA,NA,NA,0.059233439,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,342,344,NA,NA,NA,NA,0.054445115,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,344,346,NA,NA,NA,NA,0.054493269,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,346,348,NA,NA,NA,NA,0.049764752,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,348,350,NA,NA,NA,NA,0.051302692,0.898,0.467928,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,350,352,NA,NA,NA,NA,0.052992039,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,352,354,NA,NA,NA,NA,0.053632413,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,354,356,NA,NA,NA,NA,0.059621076,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,356,358,NA,NA,NA,NA,0.05188265,0.876,0.455806,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,358,360,NA,NA,NA,NA,0.058145354,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,360,362,NA,NA,NA,NA,0.060373097,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,362,364,NA,NA,NA,NA,0.07224981,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,364,366,NA,NA,NA,NA,0.057685803,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,366,368,NA,NA,NA,NA,0.058192517,0.8824,0.4593324,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,368,370,NA,NA,NA,NA,0.061797131,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,370,372,NA,NA,NA,NA,0.059640384,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,372,374,NA,NA,NA,NA,0.062375877,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,374,376,NA,NA,NA,NA,0.070403405,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,376,378,NA,NA,NA,NA,0.076086827,0.796,0.411726,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,378,380,NA,NA,NA,NA,0.071781186,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,380,382,NA,NA,NA,NA,0.071719677,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,382,384,NA,NA,NA,NA,0.066491398,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,384,386,NA,NA,NA,NA,0.0591103,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,386,388,NA,NA,NA,NA,0.059103162,0.86,0.44699,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,388,390,NA,NA,NA,NA,0.048628734,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,390,392,NA,NA,NA,NA,0.050570267,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,392,394,NA,NA,NA,NA,0.05269101,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,400,402,NA,NA,NA,NA,0.073024033,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,402,404,NA,NA,NA,NA,0.075852569,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,404,406,NA,NA,NA,NA,0.070558691,0.8848,0.4606548,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,406,408,NA,NA,NA,NA,0.05540924,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,BACHIC1D5-5A,406.00000000000006,408,3075,35,Plant fragment,3298,NA,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,408,410,NA,NA,NA,NA,0.059745463,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,410,412,NA,NA,NA,NA,0.054723578,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,412,414,NA,NA,NA,NA,0.049441403,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,414,416,NA,NA,NA,NA,0.05204432,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,416,418,NA,NA,NA,NA,0.048742981,0.92,0.48005,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,418,420,NA,NA,NA,NA,0.059082894,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,420,422,NA,NA,NA,NA,0.04470966,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,422,424,NA,NA,NA,NA,0.041418446,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,424,426,NA,NA,NA,NA,0.04154695,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,426,428,NA,NA,NA,NA,0.046024276,0.9,0.46903,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,428,430,NA,NA,NA,NA,0.05381336,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,430,432,NA,NA,NA,NA,0.057156927,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,432,434,NA,NA,NA,NA,0.063545533,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,434,436,NA,NA,NA,NA,0.056837165,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,436,438,NA,NA,NA,NA,0.083481412,0.88,0.45801,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,438,440,NA,NA,NA,NA,0.063390763,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,440,442,NA,NA,NA,NA,0.072576544,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,442,444,NA,NA,NA,NA,0.076037723,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,444,446,NA,NA,NA,NA,0.087952466000000007,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,446,448,NA,NA,NA,NA,0.103996877,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,448,450,NA,NA,NA,NA,0.087619339,0.6084,0.3083584,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,450,452,NA,NA,NA,NA,0.093797542,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,452,454,NA,NA,NA,NA,0.084755376,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,454,456,NA,NA,NA,NA,0.076131171,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,456,458,NA,NA,NA,NA,0.091856058,0.7788,0.4022488,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,458,460,NA,NA,NA,NA,0.075927985,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,460,462,NA,NA,NA,NA,0.072113251,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,462,464,NA,NA,NA,NA,0.070663167,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,464,466,NA,NA,NA,NA,0.066042832,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,466,468,NA,NA,NA,NA,0.055935481,0.872,0.453602,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,468,470,NA,NA,NA,NA,0.05193793,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,BACHIC1D5-37A,470,472,3315,35,Plant fragment,3538,NA,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,470,472,NA,NA,NA,NA,0.060478878,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,472,474,NA,NA,NA,NA,0.054168347,0.8742,0.4548142,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,502,504,NA,NA,NA,NA,0.105904414,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,504,506,NA,NA,NA,NA,0.107067871,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,506,508,NA,NA,NA,NA,0.100153388,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,508,510,NA,NA,NA,NA,0.100110614,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,510,512,NA,NA,NA,NA,0.095698425,0.798,0.412828,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,512,514,NA,NA,NA,NA,0.080258448,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,514,516,NA,NA,NA,NA,0.086358856,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,516,518,NA,NA,NA,NA,0.090187801,0.828,0.429358,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,518,520,NA,NA,NA,NA,0.114368184,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,520,522,NA,NA,NA,NA,0.134298241,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,522,524,NA,NA,NA,NA,0.111284834,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,524,526,NA,NA,NA,NA,0.107805679,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,526,528,NA,NA,NA,NA,0.106541603,0.6932,0.3550832,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,528,530,NA,NA,NA,NA,0.09551889,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,530,532,NA,NA,NA,NA,0.094785611,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,532,534,NA,NA,NA,NA,0.108520093,NA,NA,single set of methods,Bacon Channel Island
Drexler_et_al_2009,BACHI,NA,534,536,NA,NA,NA,NA,0.147719366,NA,NA,single set of methods,Bacon Channel Island
