study_id,bibliography_id,publication_type,key,bibtype,doi,url,year,month,publisher,volume,number,author,title,journal,school,pages,keywords,editor,booktitle,institution,copyright,language
Bukoski_et_al_2017,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulmer_et_al_2016,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cahoon_and_Lynch_1997,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callaway_et_al_1997,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cardona_and_Botero_1998,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chanda_et_al_2013,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chen_and_Twilley_1999,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chen_et_al_2010,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chen_et_al_2012,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chen_et_al_2014,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chen_et_al_2016,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chmura_et_al_2003,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
DelVecchia_et_al_2014,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dissanayake_and_Chandrasekara_2014,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donato_et_al_2011,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donato_et_al_2012,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dung_et_al_2016,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dutta_et_al_2013,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ezcurra_et_al_2016,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ferreira_et_al_2007,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fujimoto_et_al_1999,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gillis_et_al_2017,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gleason_and_Ewel_2002,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gomes_et_al_2016,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gonneea_et_al_2004,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
He_et_al_2002,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Howe_et_al_2009,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jennerjahn_and_Ittekkot_2002,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jones_et_al_2016,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kao_et_al_2002,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keuskamp_et_al_2013,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kristensen_et_al_1992,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kristensen_et_al_2000,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lacerda_et_al_1995,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lallier-Verges_et_al_1998,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lang'at_et_al_2014,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lee_and_Baker_1972,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leopold_et_al_2013,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liu_et_al_2008,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liu_et_al_2014,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Livesley_and_Andrusiak_2012,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loi_and_Ni_2015,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lovelock_et_al_2010,Sanderman_2018,synthesis,Sanderman_2017,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA
