study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,ra226_activity,ra226_activity_se,ra226_unit
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,42,44,0.16,0.174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,44,46,0.19,0.16699999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,46,48,0.16,0.193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,48,50,0.15,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,50,52,0.17,0.131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,52,54,0.18,0.13699999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,54,56,0.16,0.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,56,58,0.14,0.161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,58,60,0.18,0.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,60,62,0.2,0.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,65,67,0.21,0.11800000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,70,72,0.2,0.11699999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,75,77,0.29,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,80,82,0.28,0.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,85,87,0.4,0.069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,90,92,0.45,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_1,soil carbon measured,98,100,0.39,0.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,0,2,0.1,0.264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,2,4,0.22,0.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,4,6,0.16,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,6,8,0.15,0.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,8,10,0.14,0.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,10,12,0.14,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,12,14,0.14,0.228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,14,16,0.13,0.223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,16,18,0.11,0.22399999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,18,20,0.11,0.26899999999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,20,22,0.14,0.24600000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,22,24,0.17,0.249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,24,26,0.16,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,26,28,0.21,0.243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,28,30,0.27,0.172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,30,32,0.29,0.14800000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,32,34,0.28,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,34,36,0.21,0.16399999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,36,38,0.15,0.198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,38,40,0.13,0.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,40,42,0.21,0.172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,42,44,0.25,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,44,46,0.19,0.155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,46,48,0.16,0.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,48,50,0.2,0.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,50,52,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,52,54,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,54,56,0.39,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,56,58,0.39,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,58,60,0.4,0.055999999999999994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,60,62,0.4,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,65,67,0.36,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,70,72,0.4,0.055999999999999994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,75,77,0.37,0.066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,80,82,0.36,0.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,85,87,0.39,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,90,92,0.31,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_1,MARSH_1_2,soil carbon measured,95,97,NA,0.09699999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,0,2,0.19,0.195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,2,4,0.2,0.207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,4,6,0.15,0.21600000000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,6,8,0.19,0.183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,8,10,0.19,0.162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,10,12,0.2,0.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,12,14,0.2,0.152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,14,16,0.23,0.161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,16,18,0.2,0.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,18,20,0.18,0.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,20,22,0.17,0.18899999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,22,24,0.15,0.195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,24,26,0.22,0.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,26,28,0.19,0.16399999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,28,30,0.52,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,30,32,0.58,0.08900000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,32,34,0.32,0.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,34,36,0.31,0.10300000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,36,38,0.3,0.10099999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,38,40,0.35,0.08800000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,40,42,0.36,0.10400000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,42,44,0.4,0.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,44,46,0.36,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,46,48,0.33,0.10800000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,48,50,0.47,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,50,52,0.42,0.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,52,54,0.35,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,54,56,0.35,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,56,58,0.4,0.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,58,60,0.32,0.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,60,62,0.54,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,65,67,0.39,0.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,70,72,0.31,0.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,75,77,0.33,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,80,82,0.66,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,85,87,0.3,0.16899999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,90,92,0.22,0.18899999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,95,97,0.23,0.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_1,soil carbon measured,100,102,NA,0.134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,0,2,0.27,0.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,2,4,0.28,0.135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,4,6,0.31,0.11599999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,6,8,0.33,0.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,8,10,0.26,0.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,10,12,0.29,0.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,12,14,0.34,0.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,14,16,0.36,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,16,18,0.34,0.10400000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,18,20,0.37,0.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,20,22,0.22,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,22,24,0.31,0.09699999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,24,26,0.84,0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,26,28,0.61,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,28,30,0.4,0.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,30,32,0.48,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,32,34,0.39,0.10800000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,34,36,0.3,0.09699999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,36,38,0.35,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,38,40,0.46,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,40,42,0.5,0.08800000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,42,44,0.39,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,44,46,0.5,0.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,46,48,0.4,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,48,50,0.49,0.055999999999999994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,50,52,0.92,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,52,54,0.89,0.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,54,56,0.76,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,56,58,0.56,0.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,58,60,0.45,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,60,62,0.41,0.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,65,67,0.49,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,70,72,0.88,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,75,77,0.95,0.027000000000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,80,82,0.53,0.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_2,MARSH_2_2,soil carbon measured,85,87,0.5,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,0,2,0.18,0.152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,2,4,0.2,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,4,6,0.19,0.185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,6,8,0.2,0.138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,8,10,0.21,0.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,10,12,0.18,0.149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,12,14,0.18,0.162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,14,16,0.18,0.147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,16,18,0.19,0.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,18,20,0.23,0.11900000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,20,22,0.23,0.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,22,24,0.25,0.08199999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,24,26,0.29,0.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,26,28,0.22,0.10300000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,28,30,0.21,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,30,32,0.25,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,32,34,0.2,0.134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,34,36,0.26,0.11599999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,36,38,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,SITE_3,MARSH_3_1,soil carbon measured,38,40,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
