study_id,site_id,core_id,latitude,longitude,position_method,elevation,elevation_datum,salinity,salinity_class,salinity_method,habitat,core_length_flag
Smith_and_Kirwan_2021,Monie_Bay,MB_1_TZ,38.21185,-75.81241,RTK,0.4254,NAVD88,6.598,mesohaline,measurement,scrub/shrub,core depth represents deposit depth
Smith_and_Kirwan_2021,Monie_Bay,MB_2_TZ,38.21218,-75.81178,RTK,0.3434,NAVD88,7.495,mesohaline,measurement,scrub/shrub,core depth represents deposit depth
Smith_and_Kirwan_2021,Monie_Bay,MB_3_TZ,38.21267,-75.81121,RTK,0.3494,NAVD88,8.318333,mesohaline,measurement,scrub/shrub,core depth represents deposit depth
Smith_and_Kirwan_2021,Monie_Bay,MB_4_TZ,38.21291,-75.8103,RTK,0.2174,NAVD88,8.422333,mesohaline,measurement,scrub/shrub,core depth represents deposit depth
Smith_and_Kirwan_2021,Monie_Bay,MB_1_HM,38.21182,-75.81342,RTK,0.2504,NAVD88,8.135667,mesohaline,measurement,marsh,core depth represents deposit depth
Smith_and_Kirwan_2021,Monie_Bay,MB_2_HM,38.21198,-75.81327,RTK,0.3134,NAVD88,7.8235,mesohaline,measurement,marsh,core depth represents deposit depth
Smith_and_Kirwan_2021,Monie_Bay,MB_3_HM,38.21198,-75.81306,RTK,0.3084,NAVD88,11.615,mesohaline,measurement,marsh,core depth represents deposit depth
Smith_and_Kirwan_2021,Monie_Bay,MB_4_HM,38.21214,-75.81311,RTK,0.0894,NAVD88,6.363,mesohaline,measurement,marsh,core depth represents deposit depth
Smith_and_Kirwan_2021,Phillips_Creek,PC_1_HF,37.46541,-75.83557,RTK,0.806261,NAVD88,0.792333,oligohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Phillips_Creek,PC_2_HF,37.46524,-75.83535,RTK,0.540984,NAVD88,0.932,oligohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Phillips_Creek,PC_3_HF,37.46523,-75.83491,RTK,0.544891,NAVD88,1.353667,oligohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Phillips_Creek,PC_4_HF,37.46497,-75.83476,RTK,0.522155,NAVD88,1.341,oligohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Phillips_Creek,PC_1_MF,37.46449,-75.83569,RTK,0.524702,NAVD88,2.241667,oligohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Phillips_Creek,PC_2_MF,37.46417,-75.83527,RTK,0.526764,NAVD88,2.364333,oligohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Phillips_Creek,PC_3_MF,37.46448,-75.83501,RTK,0.488322,NAVD88,1.306333,oligohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Phillips_Creek,PC_4_MF,37.46471,-75.83483,RTK,0.522429,NAVD88,1.585333,oligohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Phillips_Creek,PC_1_LF,37.46447,-75.83605,RTK,0.468876,NAVD88,3.3335,oligohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Phillips_Creek,PC_2_LF,37.46412,-75.83629,RTK,0.564516,NAVD88,2.802667,oligohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Phillips_Creek,PC_3_LF,37.46424,-75.83588,RTK,0.504368,NAVD88,2.852,oligohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Phillips_Creek,PC_4_LF,37.46379,-75.83564,RTK,0.431997,NAVD88,2.455333,oligohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Phillips_Creek,PC_1_TZ,37.463416,-75.835503,RTK,0.4792,NAVD88,20.13,polyhaline,measurement,scrub/shrub,core depth represents deposit depth
Smith_and_Kirwan_2021,Phillips_Creek,PC_2_TZ,37.463535,-75.835388,RTK,0.4797,NAVD88,16.365,mesohaline,measurement,scrub/shrub,core depth represents deposit depth
Smith_and_Kirwan_2021,Phillips_Creek,PC_3_TZ,37.463306,-75.835188,RTK,0.48488,NAVD88,16.865,mesohaline,measurement,scrub/shrub,core depth represents deposit depth
Smith_and_Kirwan_2021,Phillips_Creek,PC_4_TZ,37.463211,-75.834991,RTK,0.516,NAVD88,7.074,mesohaline,measurement,scrub/shrub,core depth represents deposit depth
Smith_and_Kirwan_2021,Phillips_Creek,PC_1_HM,37.461871,-75.835276,RTK,0.4655,NAVD88,21.24,polyhaline,measurement,marsh,core depth represents deposit depth
Smith_and_Kirwan_2021,Phillips_Creek,PC_2_HM,37.462668,-75.835204,RTK,0.47,NAVD88,22.282,polyhaline,measurement,marsh,core depth represents deposit depth
Smith_and_Kirwan_2021,Phillips_Creek,PC_3_HM,37.461871,-75.835227,RTK,0.4308,NAVD88,29.36,polyhaline,measurement,marsh,core depth represents deposit depth
Smith_and_Kirwan_2021,Phillips_Creek,PC_4_HM,37.461761,-75.834512,RTK,0.4335,NAVD88,19.47,polyhaline,measurement,marsh,core depth represents deposit depth
Smith_and_Kirwan_2021,Goodwin_Island,GI_1_MF,37.22097,-76.40871,RTK,0.481303,NAVD88,0.869667,oligohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Goodwin_Island,GI_2_MF,37.21733,-76.40749,RTK,0.977579,NAVD88,0.495,fresh,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Goodwin_Island,GI_3_MF,37.21739,-76.40785,RTK,0.454458,NAVD88,0.610667,oligohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Goodwin_Island,GI_4_MF,37.2169,-76.40714,RTK,0.416887,NAVD88,0.549333,oligohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Goodwin_Island,GI_1_LF,37.22095,-76.40854,RTK,0.412722,NAVD88,0.996667,oligohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Goodwin_Island,GI_2_LF,37.21747,-76.40719,RTK,0.771026,NAVD88,1.097,oligohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Goodwin_Island,GI_3_LF,37.21728,-76.4082,RTK,0.350541,NAVD88,1.983667,oligohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Goodwin_Island,GI_4_LF,37.21674,-76.40714,RTK,0.382788,NAVD88,1.155,oligohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Goodwin_Island,GI_1_TZ,37.22105,-76.40842,RTK,0.1782,NAVD88,4.517667,oligohaline,measurement,scrub/shrub,core depth represents deposit depth
Smith_and_Kirwan_2021,Goodwin_Island,GI_2_TZ,37.21811,-76.40719,RTK,0.20805,NAVD88,7.734,mesohaline,measurement,scrub/shrub,core depth represents deposit depth
Smith_and_Kirwan_2021,Goodwin_Island,GI_3_TZ,37.21713,-76.40854,RTK,0.331118,NAVD88,NA,NA,measurement,scrub/shrub,core depth represents deposit depth
Smith_and_Kirwan_2021,Goodwin_Island,GI_4_TZ,37.21655,-76.40721,RTK,0.362172,NAVD88,3.3975,oligohaline,measurement,scrub/shrub,core depth represents deposit depth
Smith_and_Kirwan_2021,Goodwin_Island,GI_1_HM,37.21947,-76.40525,RTK,-0.00995,NAVD88,8.279,mesohaline,measurement,marsh,core depth represents deposit depth
Smith_and_Kirwan_2021,Goodwin_Island,GI_2_HM,37.2194,-76.40505,RTK,0.188233,NAVD88,2.808,oligohaline,measurement,marsh,core depth represents deposit depth
Smith_and_Kirwan_2021,Goodwin_Island,GI_3_HM,37.217,-76.40885,RTK,0.191845,NAVD88,3.6955,oligohaline,measurement,marsh,core depth represents deposit depth
Smith_and_Kirwan_2021,Goodwin_Island,GI_4_HM,37.216,-76.40742,RTK,0.214606,NAVD88,3.886333,oligohaline,measurement,marsh,core depth represents deposit depth
Smith_and_Kirwan_2021,Moneystump_Swamp,MS_1_HF,38.43021,-76.22627,RTK,0.51,NAVD88,0.781667,oligohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Moneystump_Swamp,MS_2_HF,38.43037,-76.22652,RTK,0.535,NAVD88,0.932333,oligohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Moneystump_Swamp,MS_3_HF,38.43052,-76.22681,RTK,0.458,NAVD88,0.733,oligohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Moneystump_Swamp,MS_4_HF,38.43086,-76.22728,RTK,0.543,NAVD88,1.629,oligohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Moneystump_Swamp,MS_1_LF,38.43011,-76.22633,RTK,0.287,NAVD88,1.184,oligohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Moneystump_Swamp,MS_2_LF,38.43034,-76.22671,RTK,0.348,NAVD88,1.486,oligohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Moneystump_Swamp,MS_3_LF,38.43044,-76.22703,RTK,0.29,NAVD88,1.539333,oligohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Moneystump_Swamp,MS_4_LF,38.43069,-76.22741,RTK,0.328,NAVD88,3.564,oligohaline,measurement,upland,core depth represents deposit depth
Smith_and_Kirwan_2021,Moneystump_Swamp,MS_1_TZ,38.43007,-76.22639,RTK,0.202,NAVD88,5.433333,mesohaline,measurement,scrub/shrub,core depth represents deposit depth
Smith_and_Kirwan_2021,Moneystump_Swamp,MS_2_TZ,38.43023,-76.22679,RTK,0.24033,NAVD88,3.749667,oligohaline,measurement,scrub/shrub,core depth represents deposit depth
Smith_and_Kirwan_2021,Moneystump_Swamp,MS_3_TZ,38.43042,-76.22707,RTK,0.285,NAVD88,5.369,mesohaline,measurement,scrub/shrub,core depth represents deposit depth
Smith_and_Kirwan_2021,Moneystump_Swamp,MS_4_TZ,38.43059,-76.22755,RTK,0.155,NAVD88,7.941,mesohaline,measurement,scrub/shrub,core depth represents deposit depth
Smith_and_Kirwan_2021,Moneystump_Swamp,MS_1_HM,38.42978,-76.22668,RTK,0.175,NAVD88,11.15,mesohaline,measurement,marsh,core depth represents deposit depth
Smith_and_Kirwan_2021,Moneystump_Swamp,MS_2_HM,38.42938,-76.22707,RTK,0.15,NAVD88,13.91,mesohaline,measurement,marsh,core depth represents deposit depth
Smith_and_Kirwan_2021,Moneystump_Swamp,MS_3_HM,38.42954,-76.22776,RTK,0.164,NAVD88,10.93,mesohaline,measurement,marsh,core depth represents deposit depth
Smith_and_Kirwan_2021,Moneystump_Swamp,MS_4_HM,38.42974,-76.22843,RTK,0.1875,NAVD88,10.63,mesohaline,measurement,marsh,core depth represents deposit depth
Smith_and_Kirwan_2021,Monie_Bay,MB_1_TZ_2,38.21185,-75.81241,RTK,0.4254,NAVD88,6.598,mesohaline,measurement,scrub/shrub,core depth represents deposit depth
Smith_and_Kirwan_2021,Goodwin_Island,GI_1_TZ_2,37.22105,-76.40842,RTK,0.1782,NAVD88,4.517667,oligohaline,measurement,scrub/shrub,core depth represents deposit depth
