study_id,estuary_id,site_id,core_id,core_date,core_latitude,core_longitude,core_position_method,core_position_notes,core_elevation,core_elevation_datum,core_elevation_method,core_elevation_notes,salinity_class,salinity_method,vegetation_class,vegetation_method,inundation_class,inundation_method,core_length_flag
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,HM4,21,2016-03-28,48.217,-122.37,RTK-GPS,NA,2.61,NAVD88,RTK-GPS,NA,brackish,measurement,emergent,measurement,high,measurement,core depth limited by length of corer
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,HM4,22,2016-07-30,48.217,-122.37,RTK-GPS,NA,2.64,NAVD88,RTK-GPS,NA,brackish,measurement,emergent,measurement,high,measurement,core depth limited by length of corer
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,LM4,23,2016-07-30,48.216,-122.37,RTK-GPS,NA,2.17,NAVD88,RTK-GPS,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,LM4,24,2016-07-30,48.216,-122.37,RTK-GPS,NA,2.26,NAVD88,RTK-GPS,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,R1,25A,2016-07-02,48.204,-122.37,RTK-GPS,NA,1.75,NAVD88,RTK-GPS,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,R1,25B,2016-07-02,48.204,-122.37,RTK-GPS,NA,1.75,NAVD88,RTK-GPS,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,R2,26A,2016-07-02,48.202,-122.369,RTK-GPS,NA,1.85,NAVD88,RTK-GPS,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,R2,26B,2016-07-02,48.202,-122.369,RTK-GPS,NA,1.85,NAVD88,RTK-GPS,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,R3,27A,2016-06-05,48.19878,-122.3652,RTK-GPS,NA,2.11,NAVD88,RTK-GPS,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,R3,27B,2016-06-05,48.19878,-122.3652,RTK-GPS,NA,2.11,NAVD88,RTK-GPS,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,R4,28A,2016-07-03,48.198480000000004,-122.3645,RTK-GPS,NA,2.2,NAVD88,RTK-GPS,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,R4,28B,2016-07-03,48.198480000000004,-122.3645,RTK-GPS,NA,2.2,NAVD88,RTK-GPS,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer
