study_id,estuary_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon_measured,fraction_carbon_modeled,cs137_activity,total_pb210_activity,total_pb210_activity_sd,excess_pb210_activity,excess_pb210_activity_sd,pb214_activity,pb214_activity_sd,depth_interval_notes
Poppe_and_Rybczyk_2018,Padilla Bay,2,3F,32,34,1.38,0.017396521,NA,0.00430307,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,2,3F,34,36,1.51,0.018963338,NA,0.00479411,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,2,3F,36,38,1.44,0.019323671,NA,0.004907039,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,2,3F,38,40,1.39,0.019886364,NA,0.005083386,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,2,3F,40,42,1.32,0.019687319000000002,NA,0.005021006,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,2,3F,42,44,1.32,0.018696884,NA,0.004710603,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,3,4F,0,2,0.89,0.034027425,0.010717482,0.009515195,NA,40.81,7.063841301,21.3967572,7.354734292,19.58769149,1.820193848,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,3,4F,2,4,1.05,0.025,0.007327243,0.006686,NA,30.63,5.496756973,10.73402396,5.864030047,19.99342562,1.885345889,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,3,4F,4,6,1.32,0.016244625,0.00384182,0.003942065,NA,26.15,4.749962767,5.189067619,5.180419732,21.00821308,1.955476239,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,3,4F,6,8,1.42,0.014322251,0.003297096,0.003339593,NA,21.1,4.001632784,1.954659241,4.431374122,19.1604188,1.806794768,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,3,4F,8,10,1.45,0.014443909,0.002630848,0.003377721,NA,18.7,3.570551451,-2.810770139,4.119753485,21.48199389,1.983122909,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,3,4F,10,12,1.38,0.014465702,NA,0.003384551,NA,17.56,3.641992019,-4.16621698,4.234749732,21.68360677,2.074749306,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,3,4F,12,14,1.39,0.013993003,NA,0.003236407,NA,20.84,3.862034753,-0.334059966,4.365472804,21.16689604,1.950886092,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,3,4F,14,16,1.36,0.014772727,NA,0.003480773,NA,20.3,3.865832766,0.363085666,4.338287967,19.94427337,1.870811953,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,3,4F,16,18,1.51,0.014602488,NA,0.00342742,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,3,4F,18,20,1.52,0.015025907,NA,0.003560119,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,3,4F,20,22,1.55,0.013930951,NA,0.00321696,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,3,4F,22,24,1.44,0.013580247,NA,0.003107049,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,3,4F,24,26,1.44,0.01416613,NA,0.003290665,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,3,4F,26,28,1.53,0.01459854,NA,0.003426182,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,3,4F,28,30,1.48,0.014066496,NA,0.00325944,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,3,4F,30,32,1.44,0.014142605,NA,0.003283292,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,3,4F,32,34,1.54,0.014585764,NA,0.003422179,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,3,4F,34,36,1.57,0.012202563,NA,0.002675283,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,3,4F,36,38,1.68,0.011627907,NA,0.002495186,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,3,4F,38,40,1.54,0.009253904,NA,0.001751174,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,3,4F,40,42,NA,0.011735639,NA,0.002528949,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,4,5B,0,2,1.17,0.019269777,0.005282437,0.004890148,NA,33.66128216,5.661486864,13.06448697,5.958912204,20.64810208,1.782652408,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,4,5B,2,4,1.25,0.016489988,0.005160748,0.004018962,NA,28.82563396,5.072642835,9.082502001,5.403130576,19.78189579,1.792609791,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,4,5B,4,6,1.35,0.015330189,0.003730067,0.003655481,NA,28.36049774,4.905331932,7.811238571,5.255906212,20.58924782,1.811118975,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,4,5B,6,8,1.41,0.01439206,0.003118235,0.003361471,NA,24.5157919,4.395707761,4.730724447,4.766613473,19.80686956,1.785894366,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,4,5B,8,10,1.42,0.012879959,0.002378514,0.002887579,NA,25.91249547,4.56292369,4.987605147,4.95002124,20.94872558,1.857095934,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,4,5B,10,12,1.56,0.011587486,NA,0.002482518,NA,18.95092702,3.507451288,-2.88202323,4.022630829,21.81868668,1.928618846,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,4,5B,12,14,1.58,0.011722732,NA,0.002524904,NA,16.56090275,3.195363178,-4.313406615,3.715678968,20.85075933,1.856227043,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,4,5B,14,16,1.66,0.01162115,NA,0.002493069,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,4,5B,16,18,1.53,0.012802926,NA,0.002863437,NA,17.80186779,3.196346768,-0.196233122,3.632513113,17.99434367,1.574187291,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,4,5B,18,20,1.56,0.013409962,NA,0.003053682,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,4,5B,20,22,1.57,0.012861736,NA,0.002881868,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,4,5B,22,24,1.54,0.012691698,NA,0.002828578,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,4,5B,24,26,1.59,0.011859838,NA,0.002567873,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,4,5B,26,28,1.52,0.01194354,NA,0.002594105,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,4,5B,28,30,1.5,0.011965812,NA,0.002601085,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,4,5B,30,32,1.58,0.012993763,NA,0.002923245,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,4,5B,32,34,1.5,0.014100395,NA,0.003270064,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,4,5B,34,36,1.19,0.013962766,NA,0.003226931,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,5,5F,0,2,1.23,0.017765311,0.005349417,0.004418648,NA,27.54038247,4.89,7.474530689,5.205317506,20.07160404,1.77580286,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,5,5F,2,4,1.24,0.01526286,0.0034748,0.00363438,NA,24.07367807,4.32,4.276042831,4.666582609,19.80275311,1.74555858,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,5,5F,4,6,1.39,0.013576779,0.003155935,0.003105963,NA,27.42042581,4.87,7.389925059,5.193506397,20.03492447,1.784280814,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,5,5F,6,8,1.39,0.01163311,0.002067995,0.002496817,NA,20.40792258,3.85,-0.707059454,4.282070184,21.11431704,1.862023101,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,5,5F,8,10,1.38,0.012317518,0.004469118,0.00271131,NA,22.67506468,4.17,0.261052182,4.609643552,22.41436955,1.958089972,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,5,5F,10,12,1.43,0.012127337,NA,0.002651707,NA,25.8282192,4.56,5.080106629,4.933659596,20.77757705,1.813507681,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,5,5F,12,14,1.4,0.013110846,0.002140496,0.002959939,NA,23.45666397,4.25,5.850927076,4.625838727,17.71923615,1.592630219,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,5,5F,14,16,1.5,0.010620458,0.001825064,0.002179452,NA,20.13177499,3.51,0.273312882,3.970259045,19.86380982,1.677591447,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,5,5F,16,18,1.53,0.009929665,NA,0.001962957,NA,20.01188221,3.44,-0.57111531,3.927597467,20.57163137,1.718955325,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,5,5F,18,20,1.49,0.012020607,NA,0.002618258,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,5,5F,20,22,1.52,0.010869565,NA,0.002257522,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,5,5F,22,24,1.52,0.011253197,NA,0.002377752,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,5,5F,24,26,1.34,0.012600229,NA,0.002799912,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,5,5F,26,28,1.47,0.012322859,NA,0.002712984,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,5,5F,28,30,1.42,0.013808976,NA,0.003178733,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,5,5F,30,32,1.45,0.012591815,NA,0.002797275,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,5,5F,32,34,1.31,0.015335801,NA,0.00365724,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,5,5F,34,36,0.98,0.01336074,NA,0.003038256,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,5,5F,36,38,1.25,0.011641444,NA,0.002499428,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,6,5J,0,2,1.46,0.017059709,0.00408193,0.004197513,NA,31.01057023,6.651309019,10.81479888,6.995613881,20.29705727,1.945848392,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,6,5J,2,4,1.4,0.014582413,0.002951811,0.003421128,NA,30.34127869,6.57227887,10.39816807,6.928937228,20.05282331,1.951292097,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,6,5J,4,6,1.46,0.014358499,0.003151671,0.003350954,NA,28.40768216,6.280197142,10.04003305,6.608452421,18.46508158,1.840452659,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,6,5J,6,8,1.48,0.013129103,0.002697284,0.002965661,NA,28.46134452,6.299574496,7.693297172,6.701640841,20.85442799,2.055350562,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,6,5J,8,10,1.48,0.012924071,0.002454638,0.002901404,NA,34.24101433,7.450733793,14.27861121,7.790274694,20.10338738,1.995598055,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,6,5J,10,12,1.52,0.01197318,0.001974814,0.002603395,NA,24.70301892,5.566517142,4.22973475,5.988048989,20.51719669,2.032231065,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,6,5J,12,14,1.5,0.010816126,0.001768767,0.002240774,NA,27.30341335,6.023627431,6.143073099,6.443591516,21.22671641,2.084078634,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,6,5J,14,16,1.58,0.010905642,0.00177307,0.002268828,NA,25.48010036,5.583873168,5.343452131,5.983807174,20.19528867,1.96079914,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,6,5J,16,18,1.53,0.013734467,0.00173908,0.003155382,NA,25.53273923,5.595408789,5.35769827,5.999760558,20.23700975,1.964849919,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,6,5J,18,20,1.48,0.013341067,0.002861955,0.00303209,NA,24.57840955,5.543997946,2.998609995,6.009555591,21.61397528,2.135491263,excess pb210 activity corrected for decay since date of core collection
Poppe_and_Rybczyk_2018,Padilla Bay,6,5J,20,22,1.4,0.013444302,NA,0.003064444,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,6,5J,22,24,1.5,0.011098779,NA,0.002329357,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,6,5J,24,26,1.45,0.012112036,NA,0.002646912,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,6,5J,26,28,1.53,0.011937059,NA,0.002592074,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,6,5J,28,30,1.51,0.013463892,NA,0.003070584,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,6,5J,30,32,1.52,0.012735849,NA,0.002842415,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,6,5J,32,34,1.52,0.013227513,NA,0.002996503,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,6,5J,34,36,1.49,0.01211387,NA,0.002647487,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,6,5J,36,38,1.43,0.011860175,NA,0.002567979,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,6,5J,38,40,1.44,0.012507817,NA,0.00277095,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,6,5J,40,42,1.34,0.011883541,NA,0.002575302,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Padilla Bay,6,5J,42,44,NA,0.013843111,NA,0.003189431,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,HM5,1,0,2,0.96,0.063922942,0.024379153,0.023366286,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,HM5,1,2,4,1.01,0.069668649,NA,0.026010789,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,HM5,1,4,6,0.97,0.069702602,NA,0.026026484,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2019,Stillaguamish River Estuary,HM5,1,6,8,0.83,0.090052356,NA,0.035578949,NA,NA,NA,NA,NA,NA,NA,NA
