PUBLICATION_DATE,UID,SITE_ID,VISIT_NO,DATE_COL,STATE,SITE_USE,SAMPLE_ID,PIT,LAYER,DEPTH,DEPTH_FLAG,CLAY,CLAY_FLAG,SILT,SILT_FLAG,SAND,SAND_FLAG,CACO3_2MM,CACO3_2MM_FLAG,CACO3_20MM,CACO3_20MM_FLAG,CACO3_2TO20MM,CACO3_2TO20MM_FLAG,TOT_CARBON,TOT_CARBON_FLAG,TOT_NITROGEN,TOT_NITROGEN_FLAG,TOT_SULFUR,TOT_SULFUR_FLAG,PH_H2O,PH_H2O_FLAG,PH_CACL2,PH_CACL2_FLAG,CEC,CEC_FLAG,CA,CA_FLAG,K,K_FLAG,MG,MG_FLAG,SODIUM,SODIUM_FLAG,AL,AL_FLAG,FE,FE_FLAG,MN,MN_FLAG,P,P_FLAG,SI,SI_FLAG,EC,EC_FLAG,AL_DC,AL_DC_FLAG,FE_DC,FE_DC_FLAG,MN_DC,MN_DC_FLAG,OLSEN_P,OLSEN_P_FLAG,MEHLICH_P,MEHLICH_P_FLAG,AG,AG_FLAG,AS,AS_FLAG,BA,BA_FLAG,BE,BE_FLAG,CD,CD_FLAG,CO,CO_FLAG,CR,CR_FLAG,CU,CU_FLAG,HG,HG_FLAG,MN_T,MN_T_FLAG,MO,MO_FLAG,NI,NI_FLAG,P_T,P_T_FLAG,PB,PB_FLAG,SB,SB_FLAG,SE,SE_FLAG,SN,SN_FLAG,SR,SR_FLAG,V,V_FLAG,W,W_FLAG,ZN,ZN_FLAG,BULK_DEN_DBF,BULK_DEN_DBF_FLAG
7/28/2016,2669,NWCA11-1304,1,4/29/2011,FL,NWCA_PROBABILITY,NWCA11-1304-1-11-FL-107-001-2,C,2,21,NA,2.4,NA,7.7,NA,89.9,NA,0,< MDL 0.5 %,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,4.13,NA,0.2,NA,0.02,< MDL 0.04 %,5.7,NA,5.2,NA,11.4,NA,8.2,NA,0.1,< PQL 0.3 cmol(+) / kg,2,NA,0.2,NA,0.01,NA,0.01,NA,0,< MDL 0.1 mg / kg,34,< PQL 129 mg / kg,0,< MDL 0.0002 %,0.3,NA,0.1,NA,0,< MDL 0.01 %,0,< MDL 0.0006 %,4.5,NA,3.9,NA,0,< MDL 0.001 mg / kg,0.47,NA,8.89,NA,0.13,NA,0.12,NA,0.42,NA,4.15,NA,0.92,NA,32,NA,26.87,NA,0.15,NA,0.86,NA,190.81,NA,4.68,NA,0.01,NA,150.84,NA,0.17,NA,69.53,NA,6.05,NA,0,NA,4.96,NA,0.71,NA
7/28/2016,2669,NWCA11-1304,1,4/29/2011,FL,NWCA_PROBABILITY,NWCA11-1304-1-11-FL-107-001-3,C,3,125,NA,2.3,NA,6.9,NA,90.8,NA,0,< MDL 0.5 %,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,0.85,NA,0.04,< PQL 0.2 %,0,< MDL 0.04 %,6.8,NA,6.5,NA,4.8,NA,5.5,NA,0.1,< PQL 0.3 cmol(+) / kg,1.3,NA,0.3,NA,0.01,NA,0.01,NA,0,< MDL 0.1 mg / kg,12.3,< MDL 26 mg / kg,0,< MDL 0.0002 %,0.57,NA,0.1,NA,0,< MDL 0.01 %,0,< MDL 0.0006 %,3.2,NA,5.4,NA,0,< MDL 0.001 mg / kg,0.38,NA,6.33,NA,0.07,NA,0.08,NA,0.25,NA,3.13,NA,0.55,NA,17,NA,16.46,NA,0.07,NA,0.55,NA,91.23,NA,3.45,NA,0.01,NA,104.21,NA,0.12,NA,30.63,NA,3.53,NA,-0.02,< MDL 0 mg / kg,2.71,NA,1.12,NA
7/28/2016,2672,NWCA11-1299,1,5/13/2011,FL,NWCA_PROBABILITY,NWCA11-1299-1-11-FL-009-005-1,B,1,13,NA,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,40.1,NA,3.12,NA,2,NA,4.2,NA,4.2,NA,87.1,NA,97.7,NA,0.7,NA,17.9,NA,46.9,NA,0.09,NA,0.37,NA,1.1,NA,242.9,NA,0,< MDL 0.0002 %,33.24,NA,0.1,NA,0.3,NA,0,< MDL 0.0006 %,19.2,NA,35.7,NA,0.02,NA,1.43,NA,12.78,NA,0.17,NA,0.6,NA,2.57,NA,6.72,NA,32.29,NA,71,NA,13.37,NA,1.34,NA,7.44,NA,1015.54,NA,5.14,NA,0.28,NA,472.91,NA,0.35,NA,309.76,NA,3.77,NA,0,NA,68.78,NA,0.07,NA
7/28/2016,2672,NWCA11-1299,1,5/13/2011,FL,NWCA_PROBABILITY,NWCA11-1299-1-11-FL-009-005-2,B,2,37,NA,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,27.04,NA,1.69,NA,1.43,NA,4,NA,3.9,NA,76.6,NA,71.6,NA,0.4,NA,8.1,NA,18.2,NA,0.12,NA,0.28,NA,0,< MDL 0.1 mg / kg,101.7,< PQL 129 mg / kg,0,< MDL 0.0002 %,17.31,NA,0.1,NA,0.2,NA,0,< MDL 0.0006 %,4.3,NA,27.4,NA,0.03,NA,1.37,NA,20.33,NA,0.16,NA,0.31,NA,0.97,NA,4,NA,10.93,NA,125,NA,8.29,NA,1.54,NA,2.89,NA,722.86,NA,13.15,NA,0.23,NA,1166.61,NA,0.32,NA,186.08,NA,8.38,NA,0,NA,8.63,NA,0.22,NA
7/28/2016,2672,NWCA11-1299,1,5/13/2011,FL,NWCA_PROBABILITY,NWCA11-1299-1-11-FL-009-005-3,B,3,100,NA,0.4,NA,2.6,NA,97,NA,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,6.1,NA,0.33,NA,0.22,NA,4.2,NA,4.1,NA,16.7,NA,9.7,NA,0.1,< PQL 0.3 cmol(+) / kg,1.6,NA,1.6,NA,0.1,NA,0.04,NA,0,< MDL 0.1 mg / kg,78.9,< PQL 129 mg / kg,0,< MDL 0.0002 %,2.22,NA,0.2,NA,0,< MDL 0.01 %,0,< MDL 0.0006 %,3.6,NA,2.2,NA,0.01,NA,0.28,NA,7.17,NA,0.09,NA,0.08,NA,0.14,NA,3.05,NA,1.65,NA,48,NA,4.32,NA,0.37,NA,0.89,NA,87.15,NA,1.99,NA,0.01,NA,1181.14,NA,0.1,NA,34.18,NA,3.21,NA,0,NA,1.12,NA,1.14,NA
7/28/2016,2750,NWCA11-2418,1,4/13/2011,SC,NWCA_PROBABILITY,NWCA11-2418-1-11-SC-013-002-1,A,1,50,NA,31.7,NA,17.5,NA,50.8,NA,0,< MDL 0.5 %,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,1.84,NA,0.12,< PQL 0.2 %,1.06,NA,4.8,NA,4.9,NA,16.1,NA,5.1,NA,2.9,NA,15.8,NA,54.7,NA,0.07,NA,0.13,NA,17.6,NA,183.4,NA,0.04,NA,23.3,NA,0.1,NA,0,< MDL 0.01 %,0,< MDL 0.0006 %,9.4,NA,50.9,NA,0.03,NA,12.6,NA,52.46,NA,1.13,NA,0.03,NA,4.66,NA,38.57,NA,9.07,NA,43,NA,129.41,NA,4.81,NA,11.62,NA,335.46,NA,14.76,NA,0.08,NA,665.39,NA,1.11,NA,50.08,NA,49.93,NA,-0.03,< MDL 0 mg / kg,42.27,NA,0.68,NA
7/28/2016,2752,NWCA11-2432,1,5/11/2011,SC,NWCA_PROBABILITY,NWCA11-2432-1-11-SC-067-001-2,D,2,20,NA,67.8,NA,28.7,NA,3.5,NA,0,< MDL 0.5 %,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,6.91,NA,0.53,NA,0.15,< PQL 0.2 %,4.7,NA,4.1,NA,25.1,NA,4.1,NA,0.3,NA,2,NA,0.5,NA,0.37,NA,0.44,NA,78.5,NA,397.2,NA,0.02,NA,0.23,NA,0.3,NA,0.4,NA,0,< MDL 0.0006 %,29.7,NA,44,NA,0.08,NA,4,NA,372.24,NA,2.34,NA,0.21,NA,10.52,NA,51.01,NA,49.33,NA,156,NA,164.3,NA,0.74,NA,29.92,NA,746.75,NA,49.09,NA,0.36,NA,1383.48,NA,2.56,NA,52.97,NA,77.41,NA,-0.03,< MDL 0 mg / kg,101.62,NA,0.43,NA
7/28/2016,2752,NWCA11-2432,1,5/11/2011,SC,NWCA_PROBABILITY,NWCA11-2432-1-11-SC-067-001-3,D,3,70,NA,43,NA,41.4,NA,15.6,NA,0,< MDL 0.5 %,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,3.16,NA,0.27,NA,0,< MDL 0.04 %,4.9,NA,4.1,NA,12,NA,5.2,NA,0.1,< PQL 0.3 cmol(+) / kg,1.7,NA,0.2,NA,0.17,NA,0.87,NA,146.5,NA,56,< PQL 129 mg / kg,0.03,NA,0.07,NA,0.1,NA,0.9,NA,0,< MDL 0.0006 %,5.1,NA,5.6,NA,0.07,NA,2.34,NA,347.75,NA,2.32,NA,0.09,NA,7.45,NA,41.53,NA,39.13,NA,93,NA,185.43,NA,0.17,NA,21.84,NA,293.47,NA,18.55,NA,0.08,NA,916.18,NA,1.5,NA,41.09,NA,62.99,NA,-0.03,< MDL 0 mg / kg,43.48,NA,0.6,NA
7/28/2016,2769,NWCA11-2407,1,5/16/2011,SC,NWCA_PROBABILITY,NWCA11-2407-1-11-SC-019-001-1,B,1,60,NA,23.6,NA,22.9,NA,53.5,NA,0,< MDL 0.5 %,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,2.11,NA,0.13,< PQL 0.2 %,1.32,NA,3.1,NA,3.2,NA,12.9,NA,4,NA,2.1,NA,11.1,NA,29.3,NA,0.04,NA,0.3,NA,63.1,NA,52.6,< PQL 129 mg / kg,0.01,NA,15.47,NA,0.1,NA,0.2,NA,0,< MDL 0.0006 %,5.6,NA,36.5,NA,0.01,NA,11.15,NA,23.69,NA,0.69,NA,0.04,NA,3.28,NA,25.22,NA,3.88,NA,21,NA,125.92,NA,1.96,NA,7.35,NA,176.86,NA,7.57,NA,0.08,NA,491.29,NA,0.53,NA,26.61,NA,32.19,NA,-0.01,< MDL 0 mg / kg,22.83,NA,0.42,NA
7/28/2016,2776,NWCA11-1006,1,5/24/2011,AL,NWCA_PROBABILITY,NWCA11-1006-1-11-AL-003-016-1,A,1,12,BULK DENSITY SAMPLES COLLECTED VERTICALLY FOR ALL HORIZONS SAMPLED,0.8,NA,3.2,NA,96,NA,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,2.61,NA,0.1,< PQL 0.2 %,0,< MDL 0.04 %,3.9,NA,3.3,NA,4.8,NA,0.1,< PQL 0.4 cmol(+) / kg,0.1,< PQL 0.3 cmol(+) / kg,0.5,NA,0.1,NA,0.01,NA,0.05,NA,0,< MDL 0.1 mg / kg,0,< MDL 26 mg / kg,0,< MDL 0.0002 %,0.13,NA,0,< MDL 0.001 %,0,< MDL 0.01 %,0,< MDL 0.0006 %,2.5,NA,1.7,NA,0,< MDL 0.001 mg / kg,0.53,NA,5.79,NA,0.05,NA,0.14,NA,0.22,NA,2.07,NA,0.83,NA,14,NA,4.79,NA,0.21,NA,0.64,NA,50.24,NA,1.97,NA,0.04,NA,102.51,NA,0.09,NA,2.93,NA,2.66,NA,-0.01,< MDL 0 mg / kg,2.41,NA,0.92,NA
7/28/2016,2776,NWCA11-1006,1,5/24/2011,AL,NWCA_PROBABILITY,NWCA11-1006-1-11-AL-003-016-2,A,2,24,NA,1.2,NA,1.4,NA,97.4,NA,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,0.21,NA,0.01,< MDL 0.04 %,0,< MDL 0.04 %,4.6,NA,3.9,NA,1,NA,0,< MDL 0.07 cmol(+) / kg,0,< MDL 0.06 cmol(+) / kg,0.1,NA,0.1,NA,0.01,NA,0.06,NA,0,< MDL 0.1 mg / kg,0,< MDL 26 mg / kg,0,< MDL 0.0002 %,0.03,NA,0,< MDL 0.001 %,0,< MDL 0.01 %,0,< MDL 0.0006 %,0.9,NA,0.3,< PQL 0.6 mg / kg,0,< MDL 0.001 mg / kg,0.77,NA,4.31,NA,0.05,NA,0.1,NA,0.17,NA,2.37,NA,0.54,NA,-4,< MDL 1.3 ug / kg,4.05,NA,0.26,NA,0.44,NA,20.88,NA,1.6,NA,0.03,NA,53.17,NA,0.1,NA,1.48,NA,3.26,NA,-0.01,< MDL 0 mg / kg,1.84,NA,1.51,NA
7/28/2016,2776,NWCA11-1006,1,5/24/2011,AL,NWCA_PROBABILITY,NWCA11-1006-1-11-AL-003-016-3,A,3,40,NA,1.2,NA,0.7,NA,98.1,NA,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,NA,Analysis could not be done or was not relevant to the sample,0.07,< PQL 0.2 %,0,< MDL 0.04 %,0,< MDL 0.04 %,5,NA,4.2,NA,0.4,< PQL 0.6 cmol(+) / kg,0,< MDL 0.07 cmol(+) / kg,0,< MDL 0.06 cmol(+) / kg,0,< MDL 0.01 cmol(+) / kg,0.1,NA,0.01,NA,0.03,NA,0,< MDL 0.1 mg / kg,0,< MDL 26 mg / kg,0,< MDL 0.0002 %,0.03,NA,0,< MDL 0.001 %,0,< MDL 0.01 %,0,< MDL 0.0006 %,0.4,< PQL 0.7 mg / kg,0.3,< PQL 0.6 mg / kg,0,< MDL 0.001 mg / kg,0.72,NA,4.01,NA,0.05,NA,0.09,NA,0.11,NA,2.37,NA,0.51,NA,-3,< MDL 1.3 ug / kg,4.94,NA,0.28,NA,0.44,NA,15.08,NA,1.75,NA,0.04,NA,43.98,NA,0.13,NA,1.41,NA,3.05,NA,-0.01,< MDL 0 mg / kg,1.93,NA,1.53,NA
