study_id,site_id,plot_id,year,month,day,latitude,longitude,method_id,plot_area,plot_sapling_area,site_notes,position_accuracy,position_notes,disturbance_notes,disturbance_year,habitat,ecosystem_condition,disturbance_class,ecotype,plot_shape,plot_notes,aboveground_plant_carbon,belowground_plant_carbon,basal_area,field_or_manipulation_code,harvest_or_allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_588,2015,6,1,8.05758208795269,98.9489670355763,1,153.94,12.57,NA,NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Interior,circular,Many mud lobster mounds w/ many canals.,1286.65,149.79,0.429,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_589,2015,6,1,8.05774492319686,98.9490940757523,1,153.94,12.57,NA,NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Interior,circular,NA,866.79,162.66,0.347,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_590,2015,6,1,8.05782634192896,98.9491666716353,1,153.94,12.57,NA,NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Interior,circular,NA,884.75,152.51000000000002,0.334,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_591,2015,6,1,8.05814296224768,98.9493844504671,1,153.94,12.57,NA,NA,subplot-level,"Large AVAL cut, apparently for house construction.",NA,mangrove,Intact,Harvest high,Interior,circular,NA,641.5400000000001,210.97,0.287,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_592,2015,6,1,8.05829674960013,98.9494933405704,1,153.94,12.57,NA,NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Interior,circular,"Open area with large, trench like canals approx 1-1.5 m deep. Canopy 10-12 m in height.",1062.47,143.96,0.343,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_593,2015,6,2,8.04350806130047,98.9560204129313,1,153.94,12.57,NA,NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Coastal fringe,circular,Canopy 6-10 m in height.,472.64000000000004,99.56,0.193,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_594,2015,6,2,8.04348094602861,98.9562200755042,1,153.94,12.57,NA,NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Interior,circular,Canopy 8-10 m in height.,812.44,146.42999999999998,0.332,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_595,2015,6,2,8.04346288100298,98.9564651142763,1,153.94,12.57,NA,NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Interior,circular,Canopy 7-10 m in height.,486.30999999999995,171.12,0.23,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_596,2015,6,2,8.04341766966082,98.9566194015335,1,153.94,12.57,NA,NA,subplot-level,Cutting apparent (AVAL),NA,mangrove,Intact,Harvest low,Interior,circular,Slight elevation relative to SP1; large canal approx 2-3 m deep in plot.  Canopy 8-10 m in height.,646.61,170.23999999999998,0.279,field,allometry
Bukoski_et_al_2020,Krabi_River_Estuary,Krabi_River_Estuary_597,2015,6,2,8.04333629043102,98.9569098241206,1,153.94,12.57,NA,NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Interior,circular,Some medium sized soil mounds. Canopy 7-10 m in height.,640.99,120.47,0.272,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_598,2015,6,22,8.4487640620251,100.157240830522,1,153.94,12.57,RHAP planted approximately 40 yrs ago,NA,subplot-level,Some cutting,NA,mangrove,Intact,Harvest medium,Interior,circular,NA,1290.29,119.1,0.47200000000000003,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_599,2015,6,22,8.44867295599225,100.157467631476,1,153.94,12.57,RHAP planted approximately 40 yrs ago,NA,subplot-level,Little cutting,NA,mangrove,Intact,Harvest low,Interior,circular,NA,1100.03,140.54,0.427,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_600,2015,6,22,8.4485909738873,100.157667210821,1,153.94,12.57,RHAP planted approximately 40 yrs ago,NA,subplot-level,Some cutting,NA,mangrove,Intact,Harvest medium,Interior,circular,NA,1361.5100000000002,160.23,0.551,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_601,2015,6,22,8.44858131278777,100.157876088658,1,153.94,12.57,RHAP planted approximately 40 yrs ago,NA,subplot-level,Heavy cutting,NA,mangrove,Degraded,Harvest high,Interior,circular,NA,751.56,165.96,0.321,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_602,2015,6,22,8.44850821282634,100.158130191709,1,153.94,12.57,RHAP planted approximately 40 yrs ago,NA,subplot-level,Very heavy cutting,NA,mangrove,Degraded,Harvest high,Interior,circular,NA,536.98,165.09,0.272,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_603,2015,6,23,8.4574376938595,100.178166852875,1,153.94,12.57,"Flat w/ some canals.  Natural forest, BRCY natural regenerated",NA,subplot-level,Significant cutting,NA,mangrove,Degraded,Harvest high,Interior,circular,NA,425.56,202.62,0.241,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_604,2015,6,23,8.4573284888696,100.178393597086,1,153.94,12.57,"Flat w/ some canals.  Natural forest, BRCY natural regenerated",NA,subplot-level,Some cutting apparent,NA,mangrove,Intact,Harvest low,Interior,circular,NA,778.6700000000001,290.7,0.391,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_605,2015,6,23,8.45730982744514,100.178584284173,1,153.94,12.57,"Flat w/ some canals.  Natural forest, BRCY natural regenerated",NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Interior,circular,NA,866.3,269.96999999999997,0.459,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_606,2015,6,23,8.45726392619289,100.178811220576,1,153.94,12.57,"Flat w/ some canals.  Natural forest, BRCY natural regenerated",NA,subplot-level,Some cutting apparent,NA,mangrove,Intact,Harvest low,Interior,circular,NA,782.9,232.96,0.378,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_607,2015,6,23,8.45719988322679,100.179056267823,1,153.94,12.57,"Flat w/ some canals.  Natural forest, BRCY natural regenerated",NA,subplot-level,Some cutting apparent,NA,mangrove,Intact,Harvest low,Interior,circular,NA,404.1,164.25,0.20600000000000002,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_608,2015,6,24,8.46658779218509,100.181800716304,1,153.94,12.57,"Flat w/ significant standing water. Degraded mangrove with highly impacted hydrology. All BRCY in site are dead, w/ standing water.",NA,subplot-level,Heavy hydrological disturbance,NA,mangrove,Degraded,Hydrologic severe,Interior,circular,NA,180.3,156.92,0.226,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_609,2015,6,24,8.46655104168997,100.181991352305,1,153.94,12.57,"Flat w/ significant standing water. Degraded mangrove with highly impacted hydrology. All BRCY in site are dead, w/ standing water.",NA,subplot-level,Heavy hydrological disturbance,NA,mangrove,Degraded,Hydrologic severe,Interior,circular,NA,208.94,70.06,0.108,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_610,2015,6,24,8.46646910154924,100.182172767117,1,153.94,12.57,"Flat w/ significant standing water. Degraded mangrove with highly impacted hydrology. All BRCY in site are dead, w/ standing water.",NA,subplot-level,Heavy hydrological disturbance,NA,mangrove,Degraded,Hydrologic severe,Interior,circular,NA,172.64,88.1,0.13,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_611,2015,6,24,8.46637787060173,100.182435902629,1,153.94,12.57,"Flat w/ significant standing water. Degraded mangrove with highly impacted hydrology. All BRCY in site are dead, w/ standing water.",NA,subplot-level,Heavy hydrological disturbance,NA,mangrove,Degraded,Hydrologic severe,Interior,circular,NA,277.09,111.02,0.159,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_612,2015,6,24,8.46626871760429,100.182644483875,1,153.94,12.57,"Flat w/ significant standing water. Degraded mangrove with highly impacted hydrology. All BRCY in site are dead, w/ standing water.",NA,subplot-level,Heavy hydrological disturbance,NA,mangrove,Degraded,Hydrologic severe,Interior,circular,NA,205.58,106.34,0.144,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_613,2015,6,25,8.40672390356849,100.16220170996,1,153.94,12.57,"Super soft soil, incredible amount of mosquitoes",NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Interior,circular,NA,596.8100000000001,160.42999999999998,0.28300000000000003,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_614,2015,6,25,8.40667820323469,100.162365048134,1,153.94,12.57,"Super soft soil, incredible amount of mosquitoes",NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Interior,circular,NA,703.8499999999999,132.18,0.291,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_615,2015,6,25,8.40650573288374,100.162582499977,1,153.94,12.57,"Super soft soil, incredible amount of mosquitoes",NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Interior,circular,NA,866.75,131.73,0.353,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_616,2015,6,25,8.40651405187579,100.162827736064,1,153.94,12.57,"Super soft soil, incredible amount of mosquitoes",NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Interior,circular,NA,491.87,109.05999999999999,0.225,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_617,2015,6,25,8.40644084503405,100.163118138625,1,153.94,12.57,"Super soft soil, incredible amount of mosquitoes",NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Interior,circular,NA,1559.8,153.96,0.482,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_618,2015,6,26,8.4390168083375,100.174904791263,1,153.94,12.57,"Canals approx every 100 m. During walk in, heavy hydrological damage on BRCY.",NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Interior,circular,NA,805.13,212.54,0.314,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_619,2015,6,26,8.43897091058229,100.175131718001,1,153.94,12.57,"Canals approx every 100 m. During walk in, heavy hydrological damage on BRCY.",NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Interior,circular,NA,905.12,279.66999999999996,0.449,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_620,2015,6,26,8.43889790960695,100.175349480092,1,153.94,12.57,"Canals approx every 100 m. During walk in, heavy hydrological damage on BRCY.",NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Interior,circular,NA,878.3,96.29,0.289,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_621,2015,6,26,8.43881591954767,100.175549049673,1,153.94,12.57,"Canals approx every 100 m. During walk in, heavy hydrological damage on BRCY.",NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Interior,circular,NA,1232.26,121.1,0.426,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_622,2015,6,26,8.43874300007617,100.175739563984,1,153.94,12.57,"Canals approx every 100 m. During walk in, heavy hydrological damage on BRCY.",NA,subplot-level,Some cutting apparent,NA,mangrove,Intact,Harvest low,Interior,circular,NA,1694.75,235.12,0.712,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_623,2015,6,27,8.41598541155284,100.209864650098,1,153.94,12.57,"Canals present. Very dense natural forest w/ massive RHAP, team estimated at >100 yr old RHAP forest",NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Interior,circular,NA,1057.98,53.37,0.298,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_624,2015,6,27,8.415939579849,100.210064311173,1,153.94,12.57,"Canals present. Very dense natural forest w/ massive RHAP, team estimated at >100 yr old RHAP forest",NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Interior,circular,NA,905.03,46.64,0.231,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_625,2015,6,27,8.41584844747987,100.210291077424,1,153.94,12.57,"Canals present. Very dense natural forest w/ massive RHAP, team estimated at >100 yr old RHAP forest",NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Interior,circular,NA,1316.04,69.94,0.367,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_626,2015,6,27,8.41580261557609,100.21049073835,1,153.94,12.57,"Canals present. Very dense natural forest w/ massive RHAP, team estimated at >100 yr old RHAP forest",NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Interior,circular,NA,1932.88,132.23,0.454,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_627,2015,6,27,8.41577484227686,100.210699537274,1,153.94,12.57,"Canals present. Very dense natural forest w/ massive RHAP, team estimated at >100 yr old RHAP forest",NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Interior,circular,NA,1380.5,55.93,0.346,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_628,2015,6,28,8.44777062633196,100.178019425723,1,153.94,12.57,Transect laid across transition to degraded mangrove w/ significant regen,NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Interior,circular,Natural forest.,475.62,212.86,0.263,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_629,2015,6,28,8.44768868904779,100.178200833392,1,153.94,12.57,Transect laid across transition to degraded mangrove w/ significant regen,NA,subplot-level,Some cutting apparent,NA,mangrove,Intact,Harvest low,Interior,circular,Natural forest.,790.25,227.85000000000002,0.389,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_630,2015,6,28,8.44757943011111,100.178445737726,1,153.94,12.57,Transect laid across transition to degraded mangrove w/ significant regen,NA,subplot-level,Some cutting apparent,NA,mangrove,Intact,Harvest low,Interior,circular,"Natural forest, edge of dying BRCY.",783.45,285.12,0.388,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_631,2015,6,28,8.44749746532059,100.178636227918,1,153.94,12.57,Transect laid across transition to degraded mangrove w/ significant regen,NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Interior,circular,Dead BRCY stand with lots of natural regen.,744.74,204.8,0.37,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_632,2015,6,28,8.44743345061352,100.178872186541,1,153.94,12.57,Transect laid across transition to degraded mangrove w/ significant regen,NA,subplot-level,NA,NA,mangrove,Intact,No disturbance,Interior,circular,Dead BRCY stand with lots of natural regen.,801,145.48999999999998,0.369,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_633,2015,6,29,8.47559195669488,100.167821477009,1,153.94,12.57,Planted stand w/ natural AVAL,NA,subplot-level,Some cutting outside of plot,NA,mangrove,Intact,No disturbance,Interior,circular,NA,1246.45,101.09,0.422,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_634,2015,6,29,8.47549198963944,100.16798467828,1,153.94,12.57,Planted stand w/ natural AVAL,NA,subplot-level,Some cutting outside of plot,NA,mangrove,Intact,No disturbance,Interior,circular,NA,1157.87,109.51,0.43,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_635,2015,6,29,8.47544614732131,100.168193460318,1,153.94,12.57,Planted stand w/ natural AVAL,NA,subplot-level,Some cutting outside of plot,NA,mangrove,Intact,No disturbance,Interior,circular,NA,874.87,125.99,0.353,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_636,2015,6,29,8.47540006023108,100.168483992994,1,153.94,12.57,Planted stand w/ natural AVAL,NA,subplot-level,Some cutting outside of plot,NA,mangrove,Intact,No disturbance,Interior,circular,NA,851.23,117.74,0.357,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_637,2015,6,29,8.47528197884866,100.16865622277,1,153.94,12.57,Planted stand w/ natural AVAL,NA,subplot-level,Some cutting outside of plot,NA,mangrove,Intact,No disturbance,Interior,circular,NA,959.34,177.01000000000002,0.437,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_638,2015,6,30,8.43997247181328,100.184898570168,1,153.94,12.57,"Close to small canal. Original plot fell in canal, moved plot 20m inland.",NA,subplot-level,Some cutting apparent,NA,mangrove,Intact,Harvest low,Interior,circular,NA,1042.02,363.20000000000005,0.533,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_639,2015,6,30,8.43989053201289,100.185079972529,1,153.94,12.57,"Close to small canal. Original plot fell in canal, moved plot 20m inland.",NA,subplot-level,Some cutting apparent,NA,mangrove,Intact,Harvest low,Interior,circular,NA,628.66,305.47999999999996,0.342,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_640,2015,6,30,8.43984457353739,100.18532506279,1,153.94,12.57,"Close to small canal. Original plot fell in canal, moved plot 20m inland.",NA,subplot-level,Some cutting apparent,NA,mangrove,Intact,Harvest low,Interior,circular,NA,641.78,264.86,0.34500000000000003,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_641,2015,6,30,8.43978063797355,100.185533767712,1,153.94,12.57,"Close to small canal. Original plot fell in canal, moved plot 20m inland.",NA,subplot-level,Some cutting apparent,NA,mangrove,Intact,Harvest low,Interior,circular,NA,670.0600000000001,148.27,0.281,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_642,2015,6,30,8.43969850560211,100.185778747444,1,153.94,12.57,"Close to small canal. Original plot fell in canal, moved plot 20m inland.",NA,subplot-level,Some cutting apparent,NA,mangrove,Intact,Harvest low,Interior,circular,NA,836.66,148.58,0.331,field,allometry
Bukoski_et_al_2020,Pak_Panang_Mangrove,Pak_Panang_Mangrove_643,2015,6,30,8.45950493582116,100.158217516623,1,153.94,12.57,"Plantation interior, team estimated at approximately 20 yrs old",NA,subplot-level,Some cutting apparent,NA,mangrove,Intact,Harvest low,Interior,circular,NA,964.13,165.51,0.428,field,allometry
