heirarchy,attribute_name_v1p2,action,attribute_name,reason,required,conditional_on,conditional_variables,conditional_on_absence,definition,data_type,format_unit_codes,data_category,parent_data_category,quality_class,uncontrolled,manager_notes
methods,dry_bulk_density_flag,,dry_bulk_density_flag,,optional,,,,Any notable codes regarding how the authors quantified dry bulk density.,factor,"air dried to constant mass = Methodology specified that samples were air dried to a constant mass. modeled = Bulk density was not measured, but was modeled from loss on ignition and assumptions about the particle densities of organic and inorganic matter. freeze dried = Bulk density was measured on freeze dried samples. not specified_= No additional details regarding bulk density methodology were provided. removed non structural water = Bulk density methodology did not specify drying temperature or length, only that non-strucural water was removed. time approximate = Bulk density time recorded herin is an approximate estimate._to constant mass = Bulk density methodology did not specify drying temperature or length, only that samples were dried to a constant mass.",dry_bulk_density,carbon_stock,,,
methods,loss_on_ignition_temperature,,loss_on_ignition_temperature,,encouraged,,,,Temperature at which samples were combusted to estimate fraction organic matter.,numeric,celsius,loss_on_ignition,carbon_stock,,,
methods,loss_on_ignition_time,,loss_on_ignition_time,,encouraged,,,,Time over which samples were combusted to estimate fraction organic matter.,numeric,hour,loss_on_ignition,carbon_stock,,,
methods,loss_on_ignition_sample_volume,,loss_on_ignition_sample_volume,,encouraged,,,loss_on_ignition_sample_mass,"Sample volume used for loss on ignition, if held constant.",numeric,cubicCentimeters,loss_on_ignition,carbon_stock,,,
methods,loss_on_ignition_sample_mass,,loss_on_ignition_sample_mass,,encouraged,loss_on_ignition_sample_volume,,loss_on_ignition_sample_volume,"Sample mass used for loss on ignition, if held constant.",numeric,grams,loss_on_ignition,carbon_stock,,,
methods,loss_on_ignition_flag,,loss_on_ignition_flag,,optional,,,,Common codes regarding loss on ignition methodology.,factor,time approximate = Loss on ignition time recorded herein is an approximate estimate._not specified = No additional details regarding loss on ignition methodology or time were provided.,loss_on_ignition,carbon_stock,,,
methods,carbon_measured_or_modeled,,carbon_measured_or_modeled,,optional,,,,Code indicating whether fraction carbon was measured or estimated as a function of organic matter.,factor,measured = Fraction carbon was measured as opposed to modeled. modeled = Fraction carbon was modeled as opposed to measured.,fraction_carbon,carbon_stock,,,
methods,carbonates_removed,,carbonates_removed,,conditional,carbon_measured_or_modeled,measured,,Whether or not carbonates were removed prior to calculating fraction organic carbon.,factor,FALSE = Carbonates were not removed before measuring organic carbon. TRUE = Carbonates were removed before measuring organic carbon.,fraction_carbon,carbon_stock,,,
methods,carbonate_removal_method,,carbonate_removal_method,,conditional,carbonates_removed,TRUE,,The method used to remove carbonates prior to measuring fraction carbon.,factor,direct acid treatment = Carbonates were removed using direct application of dilute acid. acid fumigation = Carbonates were removed by fumigating with concentrated acid. low carbonate soil = Organic carbon fraction was measured without removing carbonates assuming carbonate content of the soil type was minimal. carbonates not removed = Carbonates were not removed and low carbonate soil was not specified. none specified = Carbonate removal methodology was not specified.,fraction_carbon,carbon_stock,,,
methods,fraction_carbon_method,,fraction_carbon_method,,conditional,carbon_measured_or_modeled,measured,,"Code indicating the method for which fraction carbon was measured or modeled (Note: regression based models are permitted, but the use of the Bemmelen factor [0.58 gOC gOM-1] is discouraged).",factor,"Craft regression = Used regression model from Craft et al., 1991, Estuaries, to predict fraction carbon as a function of fraction organic matter. EA = Each sample presented was measured using Elemental Analysis. Fourqurean regression = Used regression model from Fourqurean et al., 2012, Nature Geoscience, to predict fraction carbon as a function of fraction organic matter. Holmquist regression = Used regression model from Holmquist et al., 2018, Scientific Reports, to predict fraction carbon as a function of fraction organic matter. kjeldahl digestion = Each sample was measured kjeldahl digestion method. local regression = A regression model fit using a subset of measurements was used to predict fraction carbon as a function of fraction organic matter. not specified = No additional details were provided regarding fraction carbon methodologies. wet oxidation = Each sample was measured using a wet oxidation method.",fraction_carbon,carbon_stock,,,
methods,fraction_carbon_type,,fraction_carbon_type,,conditional,carbon_measured_or_modeled,measured,,Code indicating whether fraction_carbon refers to organic or total carbon.,factor,organic carbon = Author specified that fraction carbon measurements were of organic carbon. total carbon = Author specified that fraction carbon measurements were of total carbon.,fraction_carbon,carbon_stock,,,
methods,carbon_profile_notes,,carbon_profile_notes,,optional,,,,"Any other submitter defined notes describing methodologies for determining dry bulk density, organic matter fraction, and carbon fraction.",character,,,carbon_stock,,,
methods,cs137_counting_method,,cs137_counting_method,,optional,,,,Code indicating the method used for determining radiocesium activity.,factor,alpha = Alpha counting method used. gamma = Gamma counting method used.,cs137,age_depth,,,
methods,pb210_counting_method,,pb210_counting_method,,optional,,,,Code indicating the method used for determining lead 210 activity.,factor,alpha = Alpha counting method used. gamma = Gamma counting method used.,pb210,age_depth,,,
methods,excess_pb210_rate,,excess_pb210_rate,,optional,,,,Code indicating the mass or accretion rate used in the excess_pb_210_model,factor,mass accumulation = Excess_210Pb modeled using mass accumulation rate. accretion = Excess_210Pb modeled using vertical accretion rate.,pb210,age_depth,,,
methods,excess_pb210_model,,excess_pb210_model,,optional,,,,Code indicating the model used to estimate excess lead 210.,factor,CRS = Constant rate of supply model used. CIC = Constant initial concentration model used. CFCS = Constant flux constant sedimentation model used.,pb210,age_depth,,,
methods,ra226_assumption,,ra226_assumption,,optional,,,,Code indicating the assumption used to estimate the coreês background_226Ra levels.,factor,"each sample =_226Ra was measured for each sample. total core =_226Ra was measured for the total core, at asymptote = asy",pb210,age_depth,,,
methods,c14_counting_method,,c14_counting_method,,optional,,,,Code indicating the method used for determining radiocarbon activity.,factor,AMS = Accelerator mass spectroscopy used. beta = Beta counting used.,c14,age_depth,,,
methods,dating_notes,,dating_notes,,optional,,,,Any submitter defined notes elaborating on the process of dating the core not yet made clear by the coding.,character,,,age_depth,,,
methods,age_depth_model_reference,,age_depth_model_reference,,optional,,,,Code indicating the reference or 0 year of the age depth model.,factor,"YBP = Year zero is defined as years before present, 1960 CE. CE = Year zero is set according to Common Era and Before Common Era standards. core collection date = Year zero is set as the coreês collection year.",age_depth_model,age_depth,,,
methods,age_depth_model_notes,,age_depth_model_notes,,optional,,,,Any submitter defined notes on how the age depth model was created.,character,,age_depth_model,age_depth,,,
sites,study_id,,study_id,,required,,,,"Unique identifier for the study made up of the first authorês family name, as well as the second authorês family name or ¥et al.ê if more than three, then publication year separated by underscores.",character,,,,,,
sites,site_id,,site_id,,optional,,,,Site identification code unique to each study.,character,,,,,,
sites,site_description,,site_description,,optional,,,,Site description including relevant study details and political geographic units. Some of these descriptions can be automated by the ingestion code.,character,,,,,,
sites,site_latitude_max,,site_latitude_max,,optional,,,,Maximum latitude defining a bounding box for the site in decimal degree World Geodedic System of 1984 (WGS84). This can also be generated automatically by the ingestion code.,numeric,degree,,position,,,
sites,site_latitude_min,,site_latitude_min,,optional,,,,Minimum latitude defining a bounding box for the site in decimal degree WGS84. This can also be generated automatically by the ingestion code.,numeric,degree,,position,,,
sites,site_longitude_max,,site_longitude_max,,optional,,,,Maximum longitude defining a bounding box for the site in decimal degree WGS84. This can also be generated automatically by the ingestion code.,numeric,degree,,position,,,
sites,site_longitude_min,,site_longitude_min,,optional,,,,Minimum longitude defining a bounding box for the site in decimal degree WGS84. This can also be generated automatically by the ingestion code.,numeric,degree,,position,,,
sites,site_boundaries,,site_boundaries,,optional,,,,"As an alternative to submitting or automatically generating a bounding box, submitters can include a shapefile (.shp) or keyhole markup language (.kml) documenting the geographic boundaries of the site. This can be converted to and stored in well known text (WTK) format.",character,,,position,,,
sites,salinity_class,,salinity_class,,optional,,,,"Code based on submitter field observation or measurement indicating average annual salinity (Note: Palustrine and freshwater should only include tidal wetlands, or wetlands that are potentially/formerly tidal but artificially freshened due to artificial tidal restrictions).",factor,estuarine C-CAP = 5-35 parts per thousand salinity (ppt) according to the coastal change analysis program. palustrine C-CAP = < 5 ppt according to the coastal change analysis program. estuarine = 0.5-35 ppt according to most other definitions. palustrine = < 0.5 ppt according to most other definitions. brine = >50 ppt. saline = 30-50 ppt. brackish = 0.5-30 ppt. fresh = <0.5 ppt. mixoeuhaline = 30-40 ppt. polyhaline = 18-30 ppt. mesohaline = 5-18 ppt. oligohaline = 0.5-5 ppt.,,salinity,,,
sites,salinity_method,,salinity_method,,optional,,,,Indicate whether salinity_class was determined using a field observation or a measurement.,factor,field observation = Salinity inferred by field observation such as vegetation. measurement = Salinity observed from local instrument.,,salinity,,,
sites,salinity_notes,,salinity_notes,,optional,,,,Any relevant submitter generated notes on how salinity_class was determined.,character,,,salinity,,,
sites,vegetation_class,,vegetation_class,,optional,,,,Code based on submitter field observations or measurement indicating dominant wetland vegetation type.,factor,emergent = Describes wetlands dominated by persistent emergent vascular plants. scrub shrub = Describes wetlands dominated by woody vegetation <= 5 meters in height. forested = Describes wetlands dominated by woody vegetation > 5 meters in height. FO/SS = Dominated by forested to scrub/shrub biomass. seagrass = Describes tidal or subtidal communities dominated by rooted vascular plants.,,vegetation,,,
sites,vegetation_method,,vegetation_method,,optional,,,,Indicate whether vegetation_class was determined using a field observation or a measurement,factor,field observation = Vegetation inferred by field observation. measurement = Vegetation measured by counts or plots.,,vegetation,,,
sites,vegetation_notes,,vegetation_notes,,optional,,,,Any relevant submitter generated notes on how vegetation_class was were determined,character,,,vegetation,,,
sites,inundation_class,,inundation_class,,optional,,,,Code based on submitter field observation or measurement indicating how often the coring location is inundated,factor,"high = Study-specific definition of an elevation relatively high in the tidal frame, typically defined by vegetation type. mid = Study-specific definition of an elevation in the relative middle of the tidal frame, typically defined by vegetation type. low = Study-specific definition of an elevation in relatively low in the tidal frame, typically defined by vegetation type. levee = Study-specific definition of a relatively high elevation zone built up on the edge of a river, creek, or channel. back = Study-specific definition of a relatively low elevation zone behind a levee.",,inundation,,,
sites,inundation_method,,inundation_method,,optional,,,,Indicate whether inundation_class was determined using a field observation or a measurement,factor,field observation = Inundation inferred by field observation such as vegetation. measurement = Inundation class assessed from elevation and nearby tide gauge or other similar method.,,inundation,,,
sites,inundation_notes,,inundation_notes,,optional,,,,Any relevant submitter generated notes on how inundation was determined,character,,,inundation,,,
cores,study_id,,study_id,,required,,,,"Unique identifier for the study made up of the first authorês family name, as well as the second authorês family name or ¥et al.ê if more than three, then publication year separated by underscores.",factor,NA,,,,,
cores,site_id,,site_id,,optional,,,,Site identification code unique to each study.,factor,NA,,,,,
cores,core_id,,core_id,,required,,,,Core identification code unique to each site.,factor,NA,,,,,
cores,core_year,rename,year,common attribute with other syntheses,required,,,,Year of core collection,numeric,YYYY,,,,1,
cores,core_month,rename,month,common attribute with other syntheses,optional,,,,Numeric month of year of core,numeric,MM,,,,,
cores,core_day,rename,day,common attribute with other syntheses,optional,,,,Numeric day of month of core,numeric,DD,,,,,
cores,core_date,split,year,add flexibility,optional,,,,Date of core collection.,Date,YYYY-MM-DD,,,,,
cores,core_date,split,month,add flexibility,optional,,,,Numeric month of year of core,numeric,MM,,,,,
cores,core_date,split,day,add flexibility,optional,,,,Numeric day of month of core,numeric,DD,,,,,
cores,core_notes,,core_notes,,optional,,,,Any other relevant submitter generated notes on how cores were collected.,character,,,,,,
cores,core_latitude,rename,latitude,common attribute with other syntheses,required,,,,Positional latitude of the core in decimal degree WGS84.,numeric,degree,,position,,,
cores,core_longitude,rename,longitude,common attribute with other syntheses,required,,,,Positional longitude of the core in decimal degree WGS84.,numeric,degree,,position,,,
cores,core_position_accuracy,rename,position_accuracy,common attribute with other syntheses,encouraged,,,,"Accuracy of latitude and longitude measurement, if determined and recorded.",numeric,meter,,position,,,
cores,core_position_method,rename,position_method,common attribute with other syntheses,conditional,latitude; longitude,,,Code indicating how latitude and longitude were determined.,factor,RTK = Real-time kinematic global position system (GPS). handheld = Conventional Commercially available hand-held GPS. other high resolution = Any other technique resulting in positional error < 1 meter. other moderate resolution = Any other technique resulting in positional error < 30 meters. other low resolution = Any other technique resulting in positional error > 30 meters.,,position,,,
cores,core_position_notes,rename,position_notes,common attribute with other syntheses,optional,,,,Any relevant submitter generated notes on how latitude and longitude were determined.,character,,,position,,,
cores,core_elevation,rename,elevation,common attribute with other syntheses,optional,,,,Surface elevation of the core relative to defined datum.,numeric,meters,,elevation,,,
cores,core_elevation_datum,rename,elevation_datum,common attribute with other syntheses,conditional,elevation,,,The datum relative to which the core elevation was measured against (For a complete list of datum names and aliases please refer to the ISO Geodedic Registry_https://iso.registry.bespire.eu/register/geodetic/VerticalDatum).,factor,"NAVD88 = A gravity-based geodetic datum, North American Vertical Datum of 1988. MSL = A tidal datum, Mean Sea Level as measured against a local tide gauge. MTL = A tidal datum, Mean Tidal Level as measured against a local tide gauge. MHW = A tidal datum, Mean High Water as measured against a local tide gauge. MHHW = A tidal datum, Mean Higher High Water as measured against a local tide gauge. MHHWS = A tidal datum, Mean Higher High Water for Spring Tides as measured against a local tide gauge. MLW = A tidal datum, Mean Low Water as measured against a local tide gauge. MLLW = A tidal datum, Mean Lower Low Water as measured against a local tide gauge.",,elevation,,,
cores,core_elevation_accuracy,rename,elevation_accuracy,common attribute with other syntheses,optional,,,,"Accuracy of elevation measurement, if determined and recorded",numeric,meters,,elevation,,,
cores,core_elevation_method,rename,elevation_method,common attribute with other syntheses,conditional,elevation,,,Code indicating how elevation was determined,factor,RTK = Real-time kinematic GPS. other high resolution = Any other technique resulting in positional error < 5 cm of random error. LiDAR = Handheld GPS matched to lidar-based digital elevation model. DEM = Handheld GPS matched to another digital elevation model. other low resolution = Any other technique resulting in positional error > 5 cm of random error.,,elevation,,,
cores,core_elevation_notes,rename,elevation_notes,common attribute with other syntheses,optional,,,,Any relevant submitter generated notes on how elevation was determined,character,,,elevation,,,
cores,salinity_class,,salinity_class,,optional,,,,"Code based on submitter field observation or measurement indicating average annual salinity (Note: Palustrine and freshwater should only include tidal wetlands, or wetlands that are potentially/formerly tidal but artificially freshened due to artificial tidal restrictions).",factor,estuarine C-CAP = 5-35 parts per thousand salinity (ppt) according to the coastal change analysis program. palustrine C-CAP = < 5 ppt according to the coastal change analysis program. estuarine = 0.5-35 ppt according to most other definitions. palustrine = < 0.5 ppt according to most other definitions. brine = >50 ppt. saline = 30-50 ppt. brackish = 0.5-30 ppt. fresh = <0.5 ppt. mixoeuhaline = 30-40 ppt. polyhaline = 18-30 ppt. mesohaline = 5-18 ppt. oligohaline = 0.5-5 ppt.,,salinity,,,
cores,salinity_method,,salinity_method,,encouraged,salinity_class,,,Indicate whether salinity_class was determined using a field observation or a measurement,factor,field observation = Salinity inferred by field observation such as vegetation. measurement = Salinity observed from local instrument.,,salinity,,,
cores,salinity_notes,,salinity_notes,,optional,,,,Any relevant submitter generated notes on how salinity_class was determined,character,,,salinity,,,
cores,vegetation_class,,vegetation_class,,optional,,,,Code based on submitter field observations or measurement indicating dominant wetland vegetation type.,factor,emergent = Describes wetlands dominated by persistent emergent vascular plants. scrub shrub = Describes wetlands dominated by woody vegetation < 5 meters in height. forested = Describes wetlands dominated by woody vegetation > 5 meters in height. seagrass = Describes tidal or subtidal communities dominated by rooted vascular plants.,,vegetation,,,
cores,vegetation_method,,vegetation_method,,encouraged,vegetation_class,,,Indicate whether vegetation_class was determined using a field observation or a measurement,factor,field observation = Vegetation inferred by field observation. measurement = Vegetation measured by counts or plots.,,vegetation,,,
cores,vegetation_notes,,vegetation_notes,,optional,,,,Any relevant submitter generated notes on how vegetation_class and dominant_species were determined.,character,,,vegetation,,,
cores,inundation_class,,inundation_class,,optional,,,,Code based on submitter field observation or measurement indicating how often the coring location is inundated.,factor,"high = Study-specific definition of an elevation relatively high in the tidal frame, typically defined by vegetation type. mid = Study-specific definition of an elevation in the relative middle of the tidal frame, typically defined by vegetation type. low tidal frame, typically defined by vegetation type. mid = Study-specific definition of an elevation in the relative middle of the tidal frame, typically defined by vegetation type. low = Study-specific definition of an elevation in relatively low in the tidal frame, typically defined by vegetation type. levee = Study-specific definition of a relatively high elevation zone built up on the edge of a river, creek, or channel. back = Study-specific definition of a relatively low elevation zone behind a levee.",,inundation,,,
cores,inundation_method,,inundation_method,,encouraged,inundation_class,,,Indicate whether inundation_class was determined using a field observation or a measurement,factor,field observation = Inundation inferred by field observation such as vegetation. measurement = Inundation class assesed from elevation and nearby tidegauge or other similar method.,,inundation,,,
cores,NA,addition,habitat,add functionality,optional,,,,"Defines whether the code refers to a description, or level of plant taxonomy.",factor,"mangrove = tropical and dominated by specialized shrubs or trees; swamp = predominantly freshwater and dominated by trees; scrub/shrub = wetland dominated by shrubs; marsh = wetland dominated by emergent vegetation, gramminoids or forbs; seagrass = intertidal to subtidal and dominated by specialized predominantly submerged grasses; algal mat = dominated by algae; unvegetated = unvegetated",,,,,
cores,inundation_notes,,inundation_notes,,optional,,,,Any relevant submitter generated notes on how elevation was determined,character,,,inundation,,,
cores,core_length_flag,,core_length_flag,,encouraged,,,,"Indicated whether or not the coring team believes they recovered a full sediment profile, down to bedrock, or other non-marsh interface.",factor,core depth limited by length of corer = The total depth of the core was limited by the length of the coring device. core depth represents deposit depth = Authors report that the depth of the core represents the depth of the wetland soil deposit. not specified = Authors did not specify whether or not the depth of the core represents the depth of the wetland soil deposit.,,,,,
cores,pb210_cic_accretion_rate,,pb210_cic_accretion_rate,,optional,,,,Accretion rate according to a lead-210 based Constant Initial Concentration model.,numeric,centimetersPerYear,,,,,was at the depth increment level for some reason
cores,pb210_cic_accretion_rate_sd,rename,pb210_cic_accretion_rate_se,rename sd se throughout,encouraged,pb210_cic_accretion_rate,,,Accretion rate parameter error according to a lead-210 based Constant Initial Concentration model.,numeric,millimetersPerYear,,,,,was at the depth increment level for some reason
cores,pb210_cic_notes,,pb210_cic_notes,,optional,,,,Any notes associated with a lead-210 based Constant Initial Concentration model.,character,,,,,,was at the depth increment level for some reason
cores,pb210_cic_max_depth,,pb210_cic_max_depth,,conditional,pb210_cic_accretion_rate,,,"Maximum depth to which a lead-210 based Constant Initial Concentration model was applied, in centimeters depth relevant to surface.",numeric,centimeter,,,,,
cores,pb210_cic_r2,,pb210_cic_r2,,encouraged,pb210_cic_accretion_rate,,,"The coefficient of determination, or R-squared value, for the lead-210 based Constatn Initial Concentration model.",numeric,dimensionless,,,,,
depthseries,study_id,,study_id,,required,,,,"Unique identifier for the study made up of the first authorês family name, as well as the second authorês family name or ¥et al.ê if more than three, then publication year separated by underscores.",character,,,,,,
depthseries,site_id,,site_id,,optional,,,,Site identification code unique to each study,character,,,,,,
depthseries,core_id,,core_id,,required,,,,Core identification code unique to each site,character,,,,,,
depthseries,depth_min,,depth_min,,required,,,,Minimum depth of a sampling increment.,numeric,centimeter,,,,,
depthseries,depth_max,,depth_max,,required,,,,Maximum depth of a sampling increment.,numeric,centimeter,,,,,
depthseries,NA,addition,representative_depth_min,issue with more than one new dataset,optional,,,,Minimum depth of a soil horizon of which the sample is representative.,numeric,centimeter,,,,,"need to redo Nhalick and Fennesey, and Sanborn and Coxson hook scripts."
depthseries,NA,addition,representative_depth_max,issue with more than one new dataset,optional,,,,Maximum depth of a soil horizon of which the sample is representative.,numeric,centimeter,,,,,"need to redo Nhalick and Fennesey, and Sanborn and Coxson hook scripts."
depthseries,sample_id,,sample_id,,optional,,,,"Sample identification unique to the core. This should be used in the case that there are relevant lab specific sample codes, or in the case that there are multiple replicate samples.",character,,,,,,
depthseries,dry_bulk_density,,dry_bulk_density,,required,,,,Dry mass per unit volume of a soil sample. This does not include ash free bulk density.,numeric,gramsPerCubicCentimeter,dry_bulk_density,carbon_stock,,,
depthseries,fraction_organic_matter,,fraction_organic_matter,,encouraged,,,,Mass of organic matter relative to sample dry mass. Ash free bulk density should not be used here but should be expressed as a loss on ignition fraction.,numeric,dimensionless,loss_on_ignition,carbon_stock,,,
depthseries,fraction_carbon,,fraction_carbon,,optional,,,,Mass of carbon relative to sample dry mass.,numeric,dimensionless,fraction_carbon,carbon_stock,,,
depthseries,compaction_fraction,,compaction_fraction,,optional,,,,Fraction of the sample depth interval reduced due to compaction.,numeric,dimensionless,,,,,
depthseries,compaction_notes,,compaction_notes,,optional,,,,Any submitter generated notes on compaction.,character,,,,,,
depthseries,cs137_peak_present,deletion,cs137_peak_present,issue with more than one new dataset,optional,,,,Documents whether sample interval represents peak of 137Cs activity,,,,,,,
depthseries,cs137_peak_age,,cs137_peak_age,,optional,,,,Age of documented 137Cs Peak.,,,,,,,
depthseries,cs137_activity,,cs137_activity,,encouraged,cs137_peak_age; cs137_peak_present,,,Radioactivity counts per unit dry weight for radiocesium (137Cs).,numeric,becquerelPerKilogram,cs137,age_depth,2,,
depthseries,cs137_activity_sd,rename,cs137_activity_se,rename sd se throughout,encouraged,cs137_activity,,,1 standard deviation of uncertainty associated with cs137_activity.,numeric,becquerelPerKilogram,cs137,age_depth,1,,
depthseries,cs137_activity_se,,cs137_activity_se,,encouraged,cs137_activity,,,1 standard error of uncertainty associated with cs137_activity.,numeric,becquerelPerKilogram,cs137,age_depth,1,,
depthseries,cs137_unit,,cs137_unit,,conditional,cs137_activity; cs137_activity_se,,,Reported unit for sample interval's Cs 137 activity measurements,,,,,,1,
depthseries,excess_pb210_activity,,excess_pb210_activity,,optional,,,,Excess radioactivity counts per unit dry weight for excess lead 210 (210Pb).,numeric,becquerelPerKilogram,pb210,age_depth,2,,
depthseries,excess_pb210_activity_sd,rename,excess_pb210_activity_se,rename sd se throughout,optional,,,,1 standard deviation of uncertainty associated with excess_pb210_activity.,numeric,becquerelPerKilogram,pb210,age_depth,1,,
depthseries,excess_pb210_activity_se,,excess_pb210_activity_se,,optional,,,,1 standard error of uncertainty associated with excess_pb210_activity.,numeric,becquerelPerKilogram,pb210,age_depth,1,,
depthseries,total_pb210_activity,,total_pb210_activity,,encouraged,excess_pb210_activity,,,Total radioactivity counts per unit dry weight for excess lead 210 (210Pb).,numeric,becquerelPerKilogram,pb210,age_depth,2,,
depthseries,total_pb210_activity_sd,rename,total_pb210_activity_se,rename sd se throughout,encouraged,total_pb210_activity,,,1 standard deviation of uncertainty associated with total_pb210_activity.,numeric,becquerelPerKilogram,pb210,age_depth,1,,
depthseries,total_pb210_activity_se,,total_pb210_activity_se,,encouraged,total_pb210_activity,,,1 standard error of uncertainty associated with total_pb210_activity.,numeric,becquerelPerKilogram,pb210,age_depth,1,,
depthseries,pb210_unit,,pb210_unit,,conditional,total_pb210_activity; total_pb210_activity_se; excess_pb210_activity; excess_pb210_activity_se,,,Reported unit for sample interval's Pb-210 activity measurements,character,,,,,1,
depthseries,ra226_activity,,ra226_activity,,optional,,,,Total radioactivity counts per unit dry weight for Radium 226 (226Ra) if measured as part of the_210Pb dating process.,numeric,becquerelPerKilogram,pb210,age_depth,2,,
depthseries,ra226_activity_sd,rename,ra226_activity_se,rename sd se throughout,optional,,,,1 standard deviation of uncertainty associated with ra226_activity.,numeric,becquerelPerKilogram,pb210,age_depth,2,,
depthseries,ra226_activity_se,,ra226_activity_se,,optional,,,,1 standard error of uncertainty associated with ra226_activity.,numeric,becquerelPerKilogram,pb210,age_depth,2,,
depthseries,ra226_unit,,ra226_unit,,conditional,ra226_activity; ra226_activity_se,,,,,,,,,,
depthseries,pb214_activity,,pb214_activity,,optional,,,,Radioactivity counts per unit dry weight for 214 Pb,,,,,,1,
depthseries,pb214_activity_sd,rename,pb214_activity_se,rename sd se throughout,optional,,,,Estimated uncertainty in pb214_activity.,,,,,,1,
depthseries,pb214_activity_se,,pb214_activity_se,,optional,,,,Estimated uncertainty in pb214_activity.,,,,,,1,
depthseries,pb214_unit,,pb214_unit,,conditional,pb214_activity; pb214_activity_se,,,Reported unit for sample interval's 214 Pb activity measurements,,,,,,1,
depthseries,bi224_activity,rename,bi214_activity,correction,optional,,,,Radioactivity counts per unit dry weight for_214Bi,,,,age_depth,,1,
depthseries,bi224_activity_sd,rename,bi214_activity_se,correction,optional,,,,Reported standard deviation for radioactivity counts per unit dry weight for_214Bi,,,,age_depth,,1,
depthseries,bi224_activity_se,rename,bi214_activity_se,correction,optional,,,,Reported standard error for radioactivity counts per unit dry weight for_214Bi,,,,age_depth,,1,
depthseries,bi214_activity_sd,rename,bi214_activity_se,rename sd se throughout,optional,,,,,,,,,,,
depthseries,bi224_unit,rename,bi214_unit,correction,conditional,bi214_activity; bi214_activity_se,,,Reported unit for sample interval's Bi 214 activity measurements,,,,,,1,
depthseries,c14_age,,c14_age,,optional,,,,Radiocarbon age as estimated from AMS measurements.,numeric,radiocarbonYear,c14,age_depth,2,,
depthseries,c14_age_sd,rename,c14_age_se,rename sd se throughout,conditional,c14_age,,,Estimated uncertainty in c14_age.,numeric,radiocarbonYear,c14,age_depth,1,,
depthseries,c14_age_se,,c14_age_se,,conditional,c14_age,,,Estimated uncertainty in c14_age.,numeric,radiocarbonYear,c14,age_depth,1,,
