study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_carbon,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,total_pb210_activity,pb210_unit
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,20,22,ORIG,0.4495300825358246,0.05306,0.6882496413199427,0.03817934002869441,picocuriesPerGram,2.677061090712197,8.05656185238323,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,20,22,DUP,0.4495300825358246,0.05876000000000001,NA,NA,NA,NA,NA,NA
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,22,24,ORIG,0.4379189059897345,0.06609,0.3555291005291006,0.0283010582010582,picocuriesPerGram,NA,8.204989711934157,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,24,26,ORIG,0.5475918523551704,0.01124,0.11412524850894631,0.02019751491053677,picocuriesPerGram,NA,6.836191186216036,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,26,28,ORIG,0.4415841599937448,0.0506,0.0663372681281619,0.01689949409780776,picocuriesPerGram,NA,6.765100946224471,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,28,30,ORIG,0.6140824587649006,0.04096,0.13826941986234023,0.01788751229105211,picocuriesPerGram,NA,2.746572162132634,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,30,32,ORIG,0.4211071561699498,0.02347999999999999,0,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,32,34,ORIG,0.8707707547807947,0.03392,0,0,picocuriesPerGram,NA,5.55870066682174,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,34,36,ORIG,0.6548790083910727,0.03672,0,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,36,38,ORIG,0.6034356249144999,0.03601999999999999,NA,NA,NA,NA,NA,NA
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,38,40,ORIG,0.6498669958161963,0.04117,0,0,picocuriesPerGram,NA,5.277567003904863,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,40,42,ORIG,0.5383991973817983,0.04711,NA,NA,NA,NA,NA,NA
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,42,44,ORIG,0.49782043078107574,0.06323000000000001,0,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,44,46,ORIG,0.4640003682132777,0.07055,NA,NA,NA,NA,NA,NA
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,46,48,ORIG,0.43505156457041505,0.07193,0,0,picocuriesPerGram,NA,4.773489708634054,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,48,50,ORIG,0.36731949945653,0.07142,NA,NA,NA,NA,NA,NA
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,50,52,ORIG,0.3916175991477324,0.06709999999999999,0,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,50,52,DUP,0.3916175991477324,0.07275999999999999,NA,NA,NA,NA,NA,NA
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,52,54,ORIG,0.3919712362556963,0.07136,NA,NA,NA,NA,NA,NA
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,54,56,ORIG,0.382454465285873,0.06897,0,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,56,58,ORIG,0.4516299890850781,0.05567999999999999,NA,NA,NA,NA,NA,NA
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,58,60,ORIG,0.4172017129431044,0.05812,0,0,picocuriesPerGram,NA,0.3585774611928105,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,0,2,ORIG,0.240974335751054,0.10331891903914592,0.388962962962963,0.02515544973544973,picocuriesPerGram,3.172625452877747,8.612691064079954,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,2,4,ORIG,0.27585045510109507,0.10644,0.3720491803278688,NA,picocuriesPerGram,3.3234248259562618,8.763490437158469,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,4,6,ORIG,0.24720305007265753,0.07187,0.30869369369369376,NA,picocuriesPerGram,0.9638758302392344,6.403941441441441,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,6,8,ORIG,0.45739477138716034,0.07053,0.2618294190358468,NA,picocuriesPerGram,2.7155362978762154,8.155601909078422,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,8,10,ORIG,0.3632365233201801,0.04642,0.15408955223880597,NA,picocuriesPerGram,0.722462028377671,6.162527639579878,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,10,12,ORIG,0.29911743950389524,0.051079999999999993,0.09102272727272728,NA,picocuriesPerGram,NA,5.31763599537037,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,12,14,ORIG,0.2779549143823532,0.04484,0.08164462809917356,NA,picocuriesPerGram,NA,4.6886076675849395,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,12,14,DUP,0.2779549143823532,0.04421,NA,NA,NA,NA,NA,NA
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,14,16,ORIG,0.508288498421477,0.05739,0.09942779,NA,picocuriesPerGram,NA,5.187777525481884,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,16,18,ORIG,0.514435101038479,0.04267,0.09294824,NA,picocuriesPerGram,NA,5.732876360649003,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,18,20,ORIG,0.4325067523533541,0.04312999999999999,0.08840067,NA,picocuriesPerGram,NA,5.213249392068836,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,20,22,ORIG,0.47693235028419695,0.04182,0.0338155,NA,picocuriesPerGram,NA,5.193297762800711,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,22,24,ORIG,0.3305907889017003,0.0452,NA,NA,NA,NA,NA,NA
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,24,26,ORIG,0.410591715078273,0.04894999999999999,0.03297427,NA,picocuriesPerGram,NA,5.187702496664761,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,26,28,ORIG,0.3093510802869606,0.0529,NA,NA,NA,NA,NA,NA
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,28,30,ORIG,0.21239731050591332,0.06831999999999999,0.32451965,NA,picocuriesPerGram,NA,8.243934983017951,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,30,32,ORIG,0.3894854392699582,0.05089,NA,NA,NA,NA,NA,NA
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,32,34,ORIG,0.43690551109757,0.05307,0.11075905,NA,picocuriesPerGram,NA,6.171925566343042,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,34,36,ORIG,0.44845201671266494,0.06131,NA,NA,NA,NA,NA,NA
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,36,38,ORIG,0.49686582274197505,0.06012999999999999,0.01599441,NA,picocuriesPerGram,NA,4.67749378771743,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,38,40,ORIG,0.4240588283242311,0.05837,NA,NA,NA,NA,NA,NA
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,40,42,ORIG,0.31965544389125944,0.05483,0,NA,picocuriesPerGram,NA,5.734920985473106,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,42,44,ORIG,0.41776713059044207,0.04997,NA,NA,NA,NA,NA,NA
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,44,46,ORIG,0.3929871908111706,0.0481,0,NA,picocuriesPerGram,NA,5.543216349739,disintegrationsPerMinutePerGram
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,44,46,DUP,0.3929871908111706,0.05022,NA,NA,NA,NA,NA,NA
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,46,48,ORIG,0.4659495382364791,0.05228,NA,NA,NA,NA,NA,NA
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,48,50,ORIG,0.5039692038804329,0.05959,0,NA,picocuriesPerGram,NA,6.632083444533404,disintegrationsPerMinutePerGram
