study_id,site_id,core_id,year,month,day,core_notes,latitude,longitude,position_method,position_notes,elevation,elevation_datum,elevation_method,salinity_class,salinity_method,vegetation_class,vegetation_method,vegetation_notes,habitat
Brown_et_al_2024,OREGON_TILL_02,TILLAMOOK 02,2013,6,12,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",45.481029240622334,-123.89572154277796,RTK,NA,2.127,NAVD88,RTK,estuarine,field observation,emergent,field observation,NA,marsh
Brown_et_al_2024,OREGON_NEST_17,NESTUCCA 17,2013,6,27,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",45.18157216186629,-123.9605467054038,RTK,NA,2.286,NAVD88,RTK,estuarine,field observation,emergent,field observation,"Salicornia virginica, Jaumea carnosa, Distichlis spicata & some Glaux Maritima",marsh
Brown_et_al_2024,OREGON_NEST_49,NESTUCCA 49,2013,6,27,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",45.184095831128616,-123.94922814620894,RTK,NA,2.311,NAVD88,RTK,estuarine,field observation,emergent,field observation,"Triglochin maritimum, Distichlis spicata, Salicornia virginica & Glaux maritima",marsh
Brown_et_al_2024,OREGON_COQ_2,COQUILLE 2,2013,6,28,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",43.131961871170176,-124.40717409923946,RTK,NA,2.109,NAVD88,RTK,estuarine,field observation,emergent,field observation,"Deschampsia cespitosa, Salicornia virginica, Distichlis spicata",marsh
Brown_et_al_2024,OREGON_COQ_3,COQUILLE 3,2013,6,28,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",43.14501841127048,-124.39609942221551,RTK,NA,2.146,NAVD88,RTK,estuarine,field observation,emergent,field observation,"Distichlis spicata, Agrostis stolonifera",marsh
Brown_et_al_2024,OREGON_NET_19,NETARTS 19,2013,7,11,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",45.371830200486265,-123.96206816714036,RTK,NA,2.665,NAVD88,RTK,estuarine,field observation,emergent,field observation,Juncus balticus & Argentina egedii (co-dominants); some Triglochin maritimum,marsh
Brown_et_al_2024,OREGON_NET_20,NETARTS 20,2013,7,11,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",45.41635537037563,-123.95393220726432,RTK,NA,2.57,NAVD88,RTK,estuarine,field observation,emergent,field observation,"Juncus balticus, Salicornia virginica, Jaumea carnosa, Glaux maritima, grindelia stricta",marsh
Brown_et_al_2024,OREGON_YAQ_CRITESERS_2,CRITESERS 2,2015,1,26,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",44.58963460463395,-123.94526773221406,RTK,NA,2.567,NAVD88,RTK,estuarine,field observation,emergent,field observation,NA,marsh
Brown_et_al_2024,OREGON_COOS_HIDDENHIGH,HIDDEN HIGH,2015,2,10,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",43.29199541686862,-124.3249651135097,RTK,NA,2.24175,NAVD88,RTK,estuarine,field observation,emergent,field observation,NA,marsh
Brown_et_al_2024,OREGON_COOS_HIDDENLOW,HIDDEN LOW,2015,2,10,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",43.292177488265466,-124.32356240205368,RTK,NA,2.292,NAVD88,RTK,estuarine,field observation,emergent,field observation,NA,marsh
Brown_et_al_2024,OREGON_COOS_RHODESLOW,RHODES LOW,2015,2,11,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",43.296214,-124.326791,other low resolution,"Nominal site location, not exact core location",NA,NA,NA,estuarine,field observation,emergent,field observation,NA,marsh
Brown_et_al_2024,OREGON_COOS_RHODESHIGH,RHODES HIGH,2015,2,11,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",43.296453,-124.327191,other low resolution,"Nominal site location, not exact core location",NA,NA,NA,estuarine,field observation,emergent,field observation,NA,marsh
Brown_et_al_2024,OREGON_COOS_FREDRICKSONSOUTHLOW,FREDRICKSON SOUTH LOW,2015,2,12,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",43.272793471509424,-124.3189678700378,RTK,NA,2.445,NAVD88,RTK,estuarine,field observation,emergent,field observation,NA,marsh
Brown_et_al_2024,OREGON_COOS_FREDRICKSONSOUTHHIGH,FREDRICKSON SOUTH HIGH,2015,2,12,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",43.27280428793422,-124.31942640128686,RTK,NA,2.537,NAVD88,RTK,estuarine,field observation,emergent,field observation,NA,marsh
Brown_et_al_2024,OREGON_COOS_FREDRICKSON RESTORATION LOW,FREDRICKSON RESTORATION LOW,2015,2,13,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",43.2742649132081,-124.31962808700514,RTK,NA,2.125,NAVD88,RTK,estuarine,field observation,emergent,field observation,NA,marsh
Brown_et_al_2024,OREGON_COOS_FREDRICKSON RESTORATION HIGH,FREDRICKSON RESTORATION HIGH,2015,2,13,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",43.27394814130938,-124.32023564757728,RTK,NA,2.153,NAVD88,RTK,estuarine,field observation,emergent,field observation,NA,marsh
Brown_et_al_2024,OREGON_COOS_VALINO ISLAND LOW,VALINO ISLAND LOW,2015,2,17,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",43.31105715977063,-124.31932036632313,RTK,NA,2.281,NAVD88,RTK,estuarine,field observation,emergent,field observation,NA,marsh
Brown_et_al_2024,OREGON_COOS_MANGAN PASTURE LOW,MANGAN PASTURE LOW,2015,2,18,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",43.45568813162361,-124.20582914540756,RTK,NA,1.24,NAVD88,RTK,estuarine,field observation,emergent,field observation,NA,marsh
Brown_et_al_2024,OREGON_COOS_MANGAN MARSH HIGH,MANGAN MARSH HIGH,2015,2,18,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",43.45453039863194,-124.2066924513544,RTK,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,marsh
Brown_et_al_2024,OREGON_COOS_HAMPEL MARSH,HAMPEL MARSH,2015,2,19,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",43.319167376267735,-124.33192197444484,RTK,NA,2.516,NAVD88,RTK,estuarine,field observation,emergent,field observation,NA,marsh
Brown_et_al_2024,OREGON_COOS_HAMPEL PASTURE,HAMPEL PASTURE,2015,2,19,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",43.31897597222222,-124.33226577777778,handheld,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,marsh
Brown_et_al_2024,OREGON_COOS_MANGAN PASTURE B,MANGAN PASTURE B,2015,2,20,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",43.45841502722232,-124.2058418334237,RTK,NA,1.273,NAVD88,RTK,estuarine,field observation,emergent,field observation,NA,marsh
Brown_et_al_2024,OREGON_COOS_MANGAN RESTORATION,MANGAN RESTORATION,2015,2,20,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",43.45594832069764,-124.2043886409708,RTK,NA,1.71,NAVD88,RTK,estuarine,field observation,emergent,field observation,NA,marsh
Brown_et_al_2024,OREGON_COOS_FERRIE MARSH LOW,FERRIE MARSH LOW,2015,2,23,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",43.305425,-124.32519722222224,handheld,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,marsh
Brown_et_al_2024,OREGON_COOS_VALINO ISLAND ISLAND,VALINO ISLAND ISLAND,2015,2,23,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",43.30946012636375,-124.32166627893449,RTK,NA,2.011,NAVD88,RTK,estuarine,field observation,emergent,field observation,NA,marsh
Brown_et_al_2024,OREGON_COOS_KENTUCK MARSH,KENTUCK MARSH,2015,2,24,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",43.4187490201275,-124.1906019622495,RTK,NA,2.154,NAVD88,RTK,estuarine,field observation,emergent,field observation,NA,marsh
Brown_et_al_2024,OREGON_COOS_BULL ISLAND SOUTH,BULL ISLAND SOUTH,2015,2,27,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",43.372844,-124.174626,other low resolution,"Nominal site location, not exact core location",NA,NA,NA,estuarine,field observation,emergent,field observation,NA,marsh
Brown_et_al_2024,OREGON_COOS_BULL ISLAND NORTH HIGH,BULL ISLAND NORTH HIGH,2015,2,27,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",43.372875,-124.175023,other low resolution,"Nominal site location, not exact core location",NA,NA,NA,estuarine,field observation,emergent,field observation,NA,marsh
Brown_et_al_2024,OREGON_COOS_DANGER LOW,DANGER LOW,2015,3,2,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",43.282909,-124.323289,other low resolution,"Nominal site location, not exact core location",NA,NA,NA,estuarine,field observation,emergent,field observation,NA,marsh
Brown_et_al_2024,OREGON_COOS_DANGER HIGH,DANGER HIGH,2015,3,2,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",43.282705,-124.322872,other low resolution,"Nominal site location, not exact core location",NA,NA,NA,estuarine,field observation,emergent,field observation,NA,marsh
Brown_et_al_2024,OREGON_COOS_KUNZ,KUNZ,2015,3,2,"Cores were collected using a 10 cm diameter stainless-steel corer, which was split lengthwise and hinged on one side. The unhinged edge was sealed closed with electrical tape prior to insertion into the ground. Compaction of the core was measured by measuring distance from top of corer to marsh surface inside and outside of the corer at 3 locations.  The core was sectioned into approximately 2 cm slices in the field.",43.28141609571935,-124.32239488271804,RTK,NA,1.785,NAVD88,RTK,estuarine,field observation,emergent,field observation,NA,marsh
