Place,Sample,Description,d-GPS point name,Eastings,Northings,Elev HZ,Elev MSL,Hz_Prec_m,Vt_Prec_m,PDOP,Sats,WGS_84_lat,Lat_D,Lat_M,Lat_S,Lat_DD,WGS_84_long,Long_D,Long_M,Long_S,Long_DD
,VRSA,profile point,ETAR9,63559.11,-272832.22,4.07,2.07,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR10,63559.24,-272832.56,3.69,1.69,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR11,63559.71,-272834.16,3.42,1.42,,,,,,,,,0,,,,,0
VRSA2,VRSA2,sampling point,ETAR12,63560.61,-272836.35,3.03,1.03,,,,,"37°12'29.95""N",37,12,29.95,37.20831944,"7°25'1.23""W",7,25,1.23,-7.417008333
,VRSA,profile point,ETAR13,63562.01,-272839.66,2.97,0.97,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR14,63562.82,-272842.08,2.92,0.92,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR15,63564.4,-272845.36,2.92,0.92,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR16,63565.44,-272846.94,2.89,0.89,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR17,63565.74,-272847.6,2.93,0.93,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR18,63566.41,-272849.12,2.84,0.84,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR19,63566.7,-272849.85,2.93,0.93,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR20,63566.96,-272850.51,2.84,0.84,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR21,63567.51,-272851.9,2.82,0.82,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR22,63568.22,-272853.6,2.82,0.82,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR23,63568.8,-272854.53,2.79,0.79,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR24,63569.37,-272855.81,2.77,0.77,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR25,63569.55,-272857.13,2.75,0.75,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR26,63570.26,-272857.83,2.72,0.72,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR27,63570.27,-272857.96,2.41,0.41,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR28,63570.68,-272859.93,2.33,0.33,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR29,63570.93,-272860.64,2.34,0.34,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR30,63571.13,-272861.42,2.33,0.33,,,,,,,,,0,,,,,0
VRSA3,VRSA3,sampling point,ETAR31,63571.94,-272863.74,2.29,0.29,,,,,"37°12'30.22""N",37,12,30.22,37.20839444,"7°25'0.07""W",7,25,0.07,-7.416686111
,VRSA,profile point,ETAR32,63572.78,-272866.14,2.26,0.26,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR33,63573.96,-272869.27,2.11,0.11,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR34,63575.16,-272873.63,2.05,0.05,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR35,63579.1,-272883.45,1.86,-0.14,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR36,63583.14,-272891.76,1.73,-0.27,,,,,,,,,0,,,,,0
VRSA4,VRSA4,sampling point,ETAR37,63589.81,-272904.11,1.53,-0.47,,,,,"37°12'30.65""N",37,12,30.65,37.20851389,"7°24'58.37""W",7,24,58.37,-7.416213889
,VRSA,profile point,ETAR38,63592.8,-272911.73,1.49,-0.51,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR39,63598.56,-272923.97,1.15,-0.85,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR40,63601.64,-272931.12,1,-1,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR41,63605.7,-272939.74,0.87,-1.13,,,,,,,,,0,,,,,0
,VRSA,profile point,ETAR42,63610.27,-272949.57,0.74,-1.26,,,,,,,,,0,,,,,0
Espanha ETAR,EE,sampling point,Esp_esgo2010,64604.906,-274266.784,1.257,-0.743,0.007,0.012,3.3,7,"37°11'42.88""N",37,11,42.88,37.19524444,"7°24'19.63""W",7,24,19.63,-7.405452778
Espanha,E,profile point,Espanha31,64847.539,-274462.736,2.933,0.933,0.012,0.019,2.1,8,,,,,0,,,,,0
,E,profile point,Espanha30,64816.866,-274471.755,2.738,0.738,0.01,0.016,1.6,8,,,,,0,,,,,0
,E,profile point,Espanha29,64777.874,-274484.01,2.757,0.757,0.008,0.017,2.7,5,,,,,0,,,,,0
,E,profile point,Espanha28,64735.202,-274499.83,2.823,0.823,0.007,0.011,2.2,8,,,,,0,,,,,0
,E,profile point,Espanha27,64703.246,-274516.39,2.768,0.768,0.007,0.015,2.3,6,,,,,0,,,,,0
,E,profile point,Espanha26,64691.041,-274519.607,2.747,0.747,0.012,0.019,2.6,7,,,,,0,,,,,0
,E,profile point,Espanha25,64690.348,-274523.434,2.567,0.567,0.006,0.013,2.3,6,,,,,0,,,,,0
E1,E1,sampling point,Espanha24,64684.93,-274521.467,2.574,0.574,0.009,0.019,2.3,6,"37°11'34.60""N",37,11,34.6,37.19294444,"7°24'16.47""W",7,24,16.47,-7.404575
,E,profile point,Espanha23,64683.375,-274520.565,2.707,0.707,0.007,0.015,3.2,6,,,,,0,,,,,0
,E,profile point,Espanha22,64680.523,-274521.042,2.597,0.597,0.01,0.02,1.8,6,,,,,0,,,,,0
,E,profile point,Espanha21,64680.153,-274521.107,2.104,0.104,0.005,0.01,2.2,6,,,,,0,,,,,0
E2,E2,sampling point,Espanha20,64677.255,-274521.922,1.934,-0.066,0.007,0.013,1.8,7,"37°11'34.58""N",37,11,34.58,37.19293889,"7°24'16.78""W",7,24,16.78,-7.404661111
,E,profile point,Espanha19,64674.395,-274522.674,1.808,-0.192,0.006,0.01,2.6,7,,,,,0,,,,,0
,E,profile point,Espanha18,64673.08,-274523.068,1.822,-0.178,0.006,0.01,1.8,7,,,,,0,,,,,0
,E,profile point,Espanha17,64670.792,-274523.601,1.908,-0.092,0.006,0.01,1.8,7,,,,,0,,,,,0
,E,profile point,Espanha16,64663.95,-274525.311,1.827,-0.173,0.007,0.013,1.9,7,,,,,0,,,,,0
,E,profile point,Espanha15,64660.354,-274526.247,1.756,-0.244,0.007,0.013,1.9,7,,,,,0,,,,,0
,E,profile point,Espanha14,64653.487,-274528.043,1.618,-0.382,0.006,0.011,1.9,7,,,,,0,,,,,0
,E,profile point,Espanha13,64648.619,-274529.359,1.469,-0.531,0.007,0.011,1.2,7,,,,,0,,,,,0
,E,profile point,Espanha12,64643.576,-274530.705,1.379,-0.621,0.011,0.016,1.9,7,,,,,0,,,,,0
E3,E3,sampling point,Espanha11,64637.258,-274532.308,1.257,-0.743,0.006,0.01,1.9,7,"37°11'34.26""N",37,11,34.26,37.19285,"7°24'18.41""W",7,24,18.41,-7.405113889
,E,profile point,Espanha10,64631.168,-274533.865,1.183,-0.817,0.005,0.01,2,7,,,,,0,,,,,0
,E,profile point,Espanha09,64625.89,-274535.222,1.128,-0.872,0.006,0.011,2,7,,,,,0,,,,,0
,E,profile point,Espanha08,64621.644,-274536.377,1.11,-0.89,0.007,0.011,2.8,8,,,,,0,,,,,0
,E,profile point,Espanha07,64618.857,-274537.096,1.186,-0.814,0.008,0.015,2,7,,,,,0,,,,,0
,E,profile point,Espanha06,64612.336,-274538.803,1.062,-0.938,0.012,0.018,2.3,8,,,,,0,,,,,0
,E,profile point,Espanha33,64613.36,-274538.542,1.059,-0.941,0.01,0.016,1.7,8,,,,,0,,,,,0
,E,profile point,Espanha05,64605.877,-274540.443,0.969,-1.031,0.007,0.011,1.2,8,,,,,0,,,,,0
,E,profile point,Espanha04,64599.808,-274541.66,0.889,-1.111,0.012,0.019,1.7,7,,,,,0,,,,,0
,E,profile point,Espanha03,64593.113,-274543.76,0.809,-1.191,0.007,0.012,2,7,,,,,0,,,,,0
,E,profile point,Espanha02,64586.075,-274545.656,0.741,-1.259,0.007,0.011,1.2,8,,,,,0,,,,,0
,E,profile point,Espanha01,64579.838,-274547.301,0.667,-1.333,0.006,0.01,1.2,8,,,,,0,,,,,0
Lagoa VRSA,LG,profile point,VRSAp1_01,64517.385,-276687.931,2.445,0.445,0.014,0.017,1.6,7,,,,,0,,,,,0
,LG,profile point,VRSAp1_02,64515.016,-276690.52,2.396,0.396,0.013,0.016,3.1,6,,,,,0,,,,,0
LG1,LG1,sampling point,VRSA_veget,64513.526,-276692.511,2.397,0.397,0.008,0.01,1.6,7,"37°10'24.26""N",37,10,24.26,37.17340556,"7°24'24.06""W",7,24,24.06,-7.406683333
,LG,profile point,VRSAp1_03,64511.634,-276693.632,2.354,0.354,0.008,0.01,0.9,7,,,,,0,,,,,0
,LG,profile point,VRSAp1_04,64509.854,-276695.299,2.308,0.308,0.012,0.015,1.1,6,,,,,0,,,,,0
LG2,LG2,sampling point,VRSA_mlagoa,64509.007,-276696.394,2.167,0.167,0.013,0.017,0.7,7,"37°10'24.14""N",37,10,24.14,37.17337222,"7°24'24.24""W",7,24,24.24,-7.406733333
,LG,profile point,VRSAp1_05,64507.755,-276697.618,2.024,0.024,0.012,0.015,0.9,7,,,,,0,,,,,0
LG3,LG3,sampling point,VRSA_lagoa,64506.052,-276699.545,1.91,-0.09,0.012,0.016,1.3,7,"37°10'24.03""N",37,10,24.03,37.17334167,"7°24'24.36""W",7,24,24.36,-7.406766667
