#,"Gillen, M.N., Messerschmidt, T., Kirwan, M.L. 2000. Shear Stress, Biomass,"
#,"Bulk Density, Organic Matter on the Bank of the York River, VA 2018. Virginia"
#,"Coast Reserve Long-Term Ecological Research Project Data Publication"
#,"knb-lter-vcr.314.2"
#,"(http://www.vcrlter.virginia.edu/cgi-bin/showDataset.cgi?docid=knb-lter-vcr.314)"
#,
#,This dataset is distributed by the Virginia Coast Reserve Long-Term Ecological
#,Research Project and use is subject to the VCR/LTER Data Access Policy
#,(http://www.vcrlter.virginia.edu/data/docs/IMPolicy_VCRLTER06.pdf). Data users
#,working on scientific papers are encouraged to contact the data authors
#,regarding availability of updated data and/or possible collaborations.
#,
#,Full metadata descriptions are available at:
#,http://www.vcrlter.virginia.edu/cgi-bin/showDataset.cgi?docid=knb-lter-vcr.3
#,For additional information about the data contact: Matthew Kirwan
#,(kirwan@vims.edu)
#,
#,Collection and/or distribution of this data was supported by National Science
#,Foundation grants BSR-8702333-06; DEB-9211772; DEB-9411974; DEB-0080381,
#,DEB-0621014, DEB-1237733 and DEB-1832221. VCR/LTER:
#,http://www.vcrlter.virginia.edu
#,# # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #
Site,Location,SampleID,Depth,DryWeight
SweetHall,Edge,SHE-3,50,8.4
SweetHall,Edge,SHE-3,60,7.9
SweetHall,Edge,SHE-3,68,0
SweetHall,Interior,SHI-1,10,0.2
SweetHall,Interior,SHI-1,20,3.4
SweetHall,Interior,SHI-1,30,11.8
SweetHall,Interior,SHI-1,40,4
SweetHall,Interior,SHI-1,48,0.9
SweetHall,Interior,SHI-2,10,0.4
SweetHall,Interior,SHI-2,20,1
SweetHall,Interior,SHI-2,30,1.8
SweetHall,Interior,SHI-2,40,1.5
SweetHall,Interior,SHI-2,50,1.2
SweetHall,Interior,SHI-2,60,1
SweetHall,Interior,SHI-2,68,0.5
SweetHall,Interior,SHI-3,10,0.9
SweetHall,Interior,SHI-3,20,1.3
SweetHall,Interior,SHI-3,30,2.5
SweetHall,Interior,SHI-3,40,3.3
SweetHall,Interior,SHI-3,50,2.3
SweetHall,Interior,SHI-3,60,1.4
SweetHall,Interior,SHI-3,70,0.6
SweetHall,Interior,SHI-3,75,0
Pamunkey,Edge,PE-1,10,1.2
Pamunkey,Edge,PE-1,20,1.3
Pamunkey,Edge,PE-1,30,1.1
Pamunkey,Edge,PE-1,40,0.4
Pamunkey,Edge,PE-1,50,0.4
Pamunkey,Edge,PE-1,60,1.5
Pamunkey,Edge,PE-1,63,0.6
Pamunkey,Edge,PE-2,10,1.2
Pamunkey,Edge,PE-2,20,5.8
Pamunkey,Edge,PE-2,30,1.7
Pamunkey,Edge,PE-2,40,1.1
Pamunkey,Edge,PE-2,50,0.4
Pamunkey,Edge,PE-2,57,0.3
Pamunkey,Interior,PI-1,10,7.5
Pamunkey,Interior,PI-1,20,15
Pamunkey,Interior,PI-1,30,8.7
Pamunkey,Interior,PI-1,40,2
Pamunkey,Interior,PI-1,50,0.8
Pamunkey,Interior,PI-2,10,3.5
Pamunkey,Interior,PI-2,20,3.7
Pamunkey,Interior,PI-2,30,1.9
Pamunkey,Interior,PI-2,40,1.2
Pamunkey,Interior,PI-2,50,1.2
Pamunkey,Interior,PI-2,60,0.8
Pamunkey,Interior,PI-2,67,0.7
Pamunkey,Interior,PI-3,10,11.4
Pamunkey,Interior,PI-3,20,29.6
Pamunkey,Interior,PI-3,30,3.4
Pamunkey,Interior,PI-3,40,0.7
Pamunkey,Interior,PI-3,50,0.4
