#,"Gillen, M.N., Messerschmidt, T., Kirwan, M.L. 2000. Shear Stress, Biomass,"
#,"Bulk Density, Organic Matter on the Bank of the York River, VA 2018. Virginia"
#,"Coast Reserve Long-Term Ecological Research Project Data Publication"
#,"knb-lter-vcr.314.2"
#,"(http://www.vcrlter.virginia.edu/cgi-bin/showDataset.cgi?docid=knb-lter-vcr.314)"
#,
#,This dataset is distributed by the Virginia Coast Reserve Long-Term Ecological
#,Research Project and use is subject to the VCR/LTER Data Access Policy
#,(http://www.vcrlter.virginia.edu/data/docs/IMPolicy_VCRLTER06.pdf). Data users
#,working on scientific papers are encouraged to contact the data authors
#,regarding availability of updated data and/or possible collaborations.
#,
#,Full metadata descriptions are available at:
#,http://www.vcrlter.virginia.edu/cgi-bin/showDataset.cgi?docid=knb-lter-vcr.3
#,For additional information about the data contact: Matthew Kirwan
#,(kirwan@vims.edu)
#,
#,Collection and/or distribution of this data was supported by National Science
#,Foundation grants BSR-8702333-06; DEB-9211772; DEB-9411974; DEB-0080381,
#,DEB-0621014, DEB-1237733 and DEB-1832221. VCR/LTER:
#,http://www.vcrlter.virginia.edu
#,# # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #
Site,Location,SampleID,Depth,ShearStrength,BGB,WC,BD,OM
Catlett,Interior,CII-AVG,37.5,15.61111111,0.266666667,27.6994667,3.780063589,2.346375179
Catlett,Interior,CII-AVG,47.5,17.075,0.066666667,25.49088637,4.200274019,2.313466603
Catlett,Interior,CII-AVG,57.5,21.1125,0,27.92396278,3.926065967,2.527688451
Taskinas,Edge,TCE-AVG,5,3.4,0.16666667,63.86894876,0.786594658,11.81854389
Taskinas,Edge,TCE-AVG,15,4.125,3.23333333,66.68209096,0.706778454,12.34749574
Taskinas,Edge,TCE-AVG,25,5.9,14.4,69.46403509,0.772786694,12.29160912
Taskinas,Edge,TCE-AVG,35,5.4875,7.93333333,66.48643891,1.003416212,12.35314824
Taskinas,Edge,TCE-AVG,45,4.625,2.9,69.12072468,0.797557251,18.90862508
Taskinas,Edge,TCE-AVG,55,3.722222222,4,67.57647681,1.007737269,14.7213782
Taskinas,Interior,TCI-AVG,7.5,24.7,38.63333333,73.66956228,0.30567935,41.19969591
Taskinas,Interior,TCI-AVG,17.5,11.375,16.46666667,78.63905901,0.366769383,38.71465871
Taskinas,Interior,TCI-AVG,27.5,13.725,6.233333333,70.06899291,0.893260301,30.56371035
Taskinas,Interior,TCI-AVG,35,10.64375,1.2,70.23666751,0.887584836,25.15510983
Taskinas,Interior,TCI-AVG,45,8.5875,0.233333333,65.58179777,1.170743761,20.85029302
SweetHall,Edge,SHE-AVG,5,4.2875,9,61.02731593,0.27105443,27.10544305
SweetHall,Edge,SHE-AVG,15,6.2375,13.0666667,63.63183086,0.256869465,25.68694648
SweetHall,Edge,SHE-AVG,25,7.027777778,12.8666667,63.12397781,0.268703779,26.8703779
SweetHall,Edge,SHE-AVG,35,7.208333333,13.2,64.85518224,0.292194082,29.21940822
SweetHall,Edge,SHE-AVG,45,7.236111111,8.6,63.15317288,0.342303487,34.23034868
SweetHall,Edge,SHE-AVG,55,8.6875,2.76666667,60.81357797,0.370624784,37.06247841
SweetHall,Interior,SHI-AVG,5,3.675,0.5,68.77987084,0.106046804,83.84748551
SweetHall,Interior,SHI-AVG,15,3.625,1.9,66.80957881,0.165793879,84.27757285
SweetHall,Interior,SHI-AVG,25,4.7375,5.366666667,67.60240668,0.182410553,83.86121108
SweetHall,Interior,SHI-AVG,35,6.225,2.933333333,73.72022724,0.146194309,76.62096935
SweetHall,Interior,SHI-AVG,45,8.444444444,1.466666667,74.24255601,0.213779592,66.32228378
SweetHall,Interior,SHI-AVG,55,10.16666667,1.2,69.37839464,0.237109582,76.52995319
SweetHall,Interior,SHI-AVG,65,9.229166667,0.55,74.20030848,0.368849637,85.89572527
Pamunkey,Edge,PE-AVG,5,0,1.2,74.62696206,0.212661907,81.13016119
Pamunkey,Edge,PE-AVG,15,6.1,3.55,63.72764058,0.321745419,84.46870915
Pamunkey,Edge,PE-AVG,25,8.8375,1.4,61.20035921,0.441636749,85.89618511
Pamunkey,Edge,PE-AVG,35,9.453125,0.75,54.79878294,0.584825872,88.48611026
Pamunkey,Interior,PI-AVG,5,5.125,7.466666667,83.99623472,0.061724865,61.53107104
Pamunkey,Interior,PI-AVG,15,7.1375,16.1,83.00373292,0.062185876,63.42525193
Pamunkey,Interior,PI-AVG,25,7.975,4.666666667,72.1176559,0.197505383,78.1605503
Pamunkey,Interior,PI-AVG,35,7.819444444,1.3,75.84300271,0.204398601,74.10211112
Pamunkey,Interior,PI-AVG,45,7.958333333,0.8,74.37388131,0.21993992,77.64057718
