"[ID, identification; cm, centimeter; N, number of times a single sample was run;  _m, micron; %, percent; _, phi particle size scale, mm; millimeters; g, gram; QA, quality assurance; QC, quality control;  T, QA guidelines were not met by the lab, if no concentration is reported, then the QC problem was judged to be severve enough to invalidate the results, if a concentration is reported it is to be used with discretion; D, there was insufficient material for analysis; 0, passed QA/QC inspection; nem, not enough material]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMPLE ID,DEPTH (cm),"SEDIMENT TEXTURE (Folk, 1954)",NUMBER OF RUNS (N),"MEAN GRAIN SIZE  (Folk and Ward, µm)","STANDARD DEVIATION (Folk and Ward, µm)","SORTING (Folk and Ward, µm)","STANDARD DEVIATION (Folk and Ward, µm)","SKEWNESS (Folk and Ward, µm)","STANDARD DEVIATION (Folk and Ward, µm)","KURTOSIS (Folk and Ward, µm)","STANDARD DEVIATION (Folk and Ward, µm)","MEAN GRAIN SIZE  (Folk and Ward, _)","STANDARD DEVIATION (Folk and Ward, _)","SORTING (Folk and Ward, _)","STANDARD DEVIATION (Folk and Ward, _)","SKEWNESS (Folk and Ward, _)","STANDARD DEVIATION (Folk and Ward, _)","KURTOSIS (Folk and Ward, _)","STANDARD DEVIATION (Folk and Ward, _)","MEAN GRAIN SIZE (Folk and Ward, Descriptive)","SORTING (Folk and Ward, Descriptive)","SKEWNESS (Folk and Ward, Descriptive)","KURTOSIS (Folk and Ward, Descriptive)","D10  (µm)",STANDARD DEVIATION D10 (µm),"D50  (µm)",STANDARD DEVIATION D50  (µm),"D90  (µm)",STANDARD DEVIATION D90  (µm),% SAND,STANDARD DEVIATION (%),% MUD,STANDARD DEVIATION (%),% VERY COARSE SAND,% COARSE SAND,% MEDIUM SAND,% FINE SAND,% VERY FINE SAND,% VERY COARSE SILT,% COARSE SILT,% MEDIUM SILT,% FINE SILT,% VERY FINE SILT,% CLAY,Coarse Flag > 1mm (g),QA/QC Flag,
15BIM09-DA105G,Surface Sample,Sand,N=8,424.40,0.70,1.421,0.002,-0.025,0.003,1.005,0.003,1.237,0.002,0.507,0.002,0.025,0.003,1.005,0.003,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,269.22,0.44,425.23,0.61,662.70,2.27,99.3%,0.0%,0.7%,0.0%,0.2%,32.0%,60.6%,6.1%,0.3%,0.1%,0.1%,0.1%,0.1%,0.1%,0.3%,0.021,0,
15BIM09-DA110G,Surface Sample,Sand,N=8,397.94,2.55,1.417,0.002,0.042,0.013,1.003,0.003,1.329,0.009,0.503,0.002,-0.042,0.013,1.003,0.003,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,256.97,2.68,394.90,1.80,630.41,7.29,99.6%,0.4%,0.4%,0.4%,0.4%,25.1%,66.0%,7.8%,0.3%,0.1%,0.0%,0.1%,0.0%,0.1%,0.1%,0.024,0,
15BIM09-DA117G,Surface Sample,Sandy Mud,N=8,22.54,1.10,8.860,0.215,-0.050,0.041,0.678,0.004,5.473,0.070,3.147,0.035,0.050,0.041,0.678,0.004,Coarse Silt,Very Poorly Sorted,Symmetrical,Platykurtic,1.19,0.03,23.93,2.69,324.11,14.48,38.85%,1.5%,61.2%,1.5%,0.1%,4.0%,11.9%,16.9%,5.9%,8.0%,9.0%,9.4%,10.1%,8.4%,16.3%,0.000,0,
15BIM09-DA118G,Surface Sample,Sand,N=7,503.50,2.77,1.508,0.010,-0.192,0.012,1.238,0.032,0.990,0.008,0.592,0.010,0.192,0.012,1.238,0.032,Coarse Sand,Moderately Well Sorted,Fine Skewed,Leptokurtic,289.68,3.93,515.80,2.27,788.20,4.63,96.6%,0.2%,3.4%,0.2%,1.4%,52.0%,39.4%,3.4%,0.4%,0.4%,0.5%,0.5%,0.6%,0.5%,1.0%,0.000,0,
15BIM09-DA119G,Surface Sample,Sand,N=8,536.92,2.73,1.388,0.002,-0.063,0.006,1.051,0.003,0.897,0.007,0.472,0.002,0.063,0.006,1.051,0.003,Coarse Sand,Well Sorted,Symmetrical,Mesokurtic,348.78,2.12,539.97,2.31,803.06,5.61,98.4%,0.0%,1.6%,0.0%,1.7%,57.7%,37.3%,1.6%,0.1%,0.2%,0.3%,0.3%,0.2%,0.2%,0.4%,0.046,0,
15BIM09-DA120G,Surface Sample,Sand,N=8,495.97,2.70,1.428,0.005,-0.027,0.008,1.026,0.005,1.012,0.008,0.514,0.005,0.027,0.008,1.026,0.005,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,312.59,1.92,496.66,2.08,776.83,8.10,98.2%,0.1%,1.8%,0.1%,1.8%,47.4%,46.7%,2.0%,0.2%,0.3%,0.4%,0.4%,0.2%,0.2%,0.2%,0.011,0,
15BIM09-DA123S,Surface Sample,Sand,N=6,325.38,2.24,1.438,0.001,-0.059,0.003,1.042,0.004,1.620,0.010,0.524,0.001,0.059,0.003,1.042,0.004,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,202.03,1.93,327.94,2.24,509.22,3.61,98.6%,0.0%,1.4%,0.0%,0.0%,11.1%,66.1%,20.5%,0.9%,0.3%,0.2%,0.2%,0.1%,0.1%,0.4%,0.000,0,
15BIM09-DA124S,Surface Sample,Sand,N=6,337.80,1.41,1.317,0.001,-0.005,0.004,0.958,0.003,1.566,0.006,0.397,0.001,0.005,0.004,0.958,0.003,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,236.47,1.12,337.92,1.39,481.35,2.32,100.0%,0.0%,0.0%,0.0%,0.0%,7.7%,78.2%,13.8%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
15BIM09-DA125S,Surface Sample,Sand,N=6,384.79,0.81,1.301,0.001,-0.002,0.002,0.955,0.003,1.378,0.003,0.380,0.001,0.002,0.002,0.955,0.003,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,273.42,0.38,384.73,0.72,540.61,1.84,100.0%,0.0%,0.0%,0.0%,0.0%,16.5%,78.5%,4.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
15BIM09-DA126SfrDA125,Surface Sample,Sand,N=6,385.35,1.23,1.307,0.004,-0.011,0.006,0.959,0.002,1.376,0.005,0.386,0.004,0.011,0.006,0.959,0.002,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,272.00,1.77,385.82,0.87,543.84,1.16,100.0%,0.0%,0.0%,0.0%,0.0%,17.1%,77.5%,5.3%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
15BIM09-DA127G,Surface Sample,Sand,N=8,278.59,1.13,2.279,0.028,-0.449,0.003,3.153,0.006,1.844,0.006,1.188,0.018,0.449,0.003,3.153,0.006,Medium Sand,Poorly Sorted,Very Fine Skewed,Extremely Leptokurtic,130.27,4.84,292.62,0.77,453.83,2.17,91.9%,0.3%,8.1%,0.3%,0.0%,6.0%,59.3%,25.1%,1.5%,1.0%,1.1%,1.3%,1.5%,1.2%,2.0%,0.000,0,
15BIM09-DA128GfrDA127,Surface Sample,Sand,N=8,295.08,2.79,2.297,0.084,-0.456,0.012,3.332,0.092,1.761,0.014,1.199,0.053,0.456,0.012,3.332,0.092,Medium Sand,Poorly Sorted,Very Fine Skewed,Extremely Leptokurtic,130.77,14.44,310.20,1.29,475.39,3.04,91.7%,0.6%,8.3%,0.6%,0.0%,7.8%,62.8%,19.8%,1.3%,0.9%,1.2%,1.4%,1.5%,1.2%,2.1%,0.000,0,
15BIM09-DA129G,Surface Sample,Sand,N=8,445.43,4.77,1.504,0.026,-0.061,0.035,1.113,0.059,1.167,0.015,0.589,0.025,0.061,0.035,1.113,0.059,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,263.03,9.28,446.50,3.41,731.56,5.45,97.4%,0.9%,2.6%,0.9%,1.4%,37.0%,53.2%,5.6%,0.3%,0.2%,0.3%,0.4%,0.5%,0.4%,0.8%,0.041,0,
15BIM09-DA130G,Surface Sample,Mud,N=8,6.46,0.07,4.626,0.040,-0.002,0.009,0.806,0.004,7.274,0.015,2.210,0.012,0.002,0.009,0.806,0.004,Fine Silt,Very Poorly Sorted,Symmetrical,Platykurtic,0.91,0.00,6.68,0.11,45.15,0.51,6.2%,0.3%,93.8%,0.3%,0.0%,0.0%,0.2%,1.6%,4.4%,10.9%,14.4%,14.9%,15.5%,12.9%,25.2%,0.000,0,
15BIM09-DA131G,Surface Sample,Sand,N=8,620.00,2.00,1.388,0.002,-0.038,0.006,1.004,0.003,0.690,0.005,0.473,0.002,0.038,0.006,1.004,0.003,Coarse Sand,Well Sorted,Symmetrical,Mesokurtic,403.65,0.86,622.45,1.84,935.76,5.75,99.0%,0.0%,1.0%,0.0%,6.4%,68.1%,23.5%,1.0%,0.1%,0.2%,0.2%,0.2%,0.1%,0.1%,0.2%,0.113,0,
15BIM09-DA132G,Surface Sample,Sand,N=8,599.21,0.84,1.377,0.004,-0.107,0.004,1.134,0.011,0.739,0.002,0.461,0.004,0.107,0.004,1.134,0.011,Coarse Sand,Well Sorted,Fine Skewed,Leptokurtic,397.22,0.99,603.94,0.85,872.49,2.52,98.5%,0.0%,1.5%,0.0%,3.3%,69.9%,23.2%,1.9%,0.2%,0.4%,0.3%,0.3%,0.2%,0.1%,0.2%,0.018,0,
15BIM09-DA133G,Surface Sample,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,D,
15BIM09-DA134G,Surface Sample,Muddy Sand,N=8,66.85,6.25,8.887,0.186,-0.541,0.035,0.737,0.007,3.909,0.135,3.151,0.030,0.541,0.035,0.737,0.007,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Platykurtic,1.84,0.07,157.29,26.00,563.20,46.66,60.03%,1.9%,40.0%,1.9%,0.3%,14.3%,24.3%,14.5%,6.6%,5.8%,5.9%,5.9%,6.4%,5.5%,10.5%,0.030,0,
15BIM09-DA135G,Surface Sample,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,D,
15BIM09-DA136G,Surface Sample,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,D,
15BIM09-DA137GfrDA136,Surface Sample,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,D,
15BIM09-DA138G,Surface Sample,Sandy Mud,N=8,8.63,0.80,5.416,0.424,0.001,0.005,0.820,0.015,6.863,0.134,2.433,0.113,-0.001,0.005,0.820,0.015,Medium Silt,Very Poorly Sorted,Symmetrical,Platykurtic,0.98,0.01,8.92,0.91,77.67,14.22,12.8%,2.6%,87.2%,2.6%,0.0%,0.8%,0.8%,3.3%,7.9%,12.8%,13.4%,13.4%,14.2%,11.7%,21.6%,0.000,0,
15BIM09-DA139G,Surface Sample,Sandy Mud,N=8,8.83,0.62,5.642,0.338,0.014,0.022,0.867,0.005,6.827,0.102,2.494,0.087,-0.014,0.022,0.867,0.005,Medium Silt,Very Poorly Sorted,Symmetrical,Platykurtic,0.99,0.01,9.19,0.44,93.23,20.17,13.69%,2.1%,86.3%,2.1%,0.0%,0.9%,2.0%,4.5%,6.3%,12.0%,13.8%,13.8%,14.1%,11.3%,21.3%,0.000,0,
15BIM09-DA140G,Surface Sample,Muddy Sand,N=8,459.22,76.92,3.572,0.625,-0.669,0.073,4.124,0.035,1.143,0.245,1.815,0.254,0.669,0.073,4.124,0.035,Medium Sand,Poorly Sorted,Very Fine Skewed,Extremely Leptokurtic,20.75,15.14,604.11,4.65,916.60,11.28,87.54%,2.1%,12.5%,2.1%,5.6%,61.0%,17.0%,2.3%,1.6%,0.4%,1.7%,2.2%,2.4%,2.0%,3.8%,0.028,T,
15BIM09-DA141G,Surface Sample,Sand,N=8,600.62,0.85,1.302,0.002,-0.010,0.002,0.971,0.002,0.735,0.002,0.381,0.002,0.010,0.002,0.971,0.002,Coarse Sand,Well Sorted,Symmetrical,Mesokurtic,427.91,0.45,600.61,0.94,842.06,2.20,100.0%,0.0%,0.0%,0.0%,1.9%,73.2%,23.4%,1.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.016,0,
15BIM09-DA142G,Surface Sample,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,D,
15BIM09-DA143G,Surface Sample,Sand,N=8,510.48,8.60,2.519,0.041,-0.534,0.009,3.234,0.043,0.970,0.024,1.333,0.023,0.534,0.009,3.234,0.043,Coarse Sand,Poorly Sorted,Very Fine Skewed,Extremely Leptokurtic,117.27,11.19,567.81,4.58,879.38,5.56,91.6%,0.2%,8.4%,0.2%,4.6%,57.5%,23.8%,3.8%,1.8%,1.5%,1.4%,1.4%,1.5%,1.1%,1.6%,0.383,0,
15BIM09-DA144G,Surface Sample,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,D,
15BIM09-DA145G,Surface Sample,Sand,N=8,465.43,0.47,1.409,0.004,0.006,0.003,0.986,0.005,1.103,0.001,0.495,0.004,-0.006,0.003,0.986,0.005,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,299.82,0.69,464.12,0.49,725.60,2.98,99.6%,0.0%,0.4%,0.0%,0.9%,40.6%,54.7%,3.1%,0.2%,0.0%,0.0%,0.0%,0.0%,0.1%,0.2%,0.065,0,
15BIM09-DA146G,Surface Sample,Sand,N=8,489.61,0.41,1.424,0.003,-0.013,0.004,1.016,0.006,1.030,0.001,0.510,0.003,0.013,0.004,1.016,0.006,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,310.45,0.20,489.34,0.44,767.41,2.82,98.4%,0.0%,1.6%,0.0%,1.6%,46.0%,48.5%,2.2%,0.2%,0.3%,0.3%,0.3%,0.2%,0.2%,0.3%,0.000,0,
15BIM09-DA147G,Surface Sample,Sand,N=8,539.11,0.96,1.386,0.003,-0.069,0.006,1.040,0.002,0.891,0.003,0.471,0.003,0.069,0.006,1.040,0.002,Coarse Sand,Well Sorted,Symmetrical,Mesokurtic,349.63,1.36,542.87,0.69,804.76,3.52,98.5%,0.0%,1.5%,0.0%,1.6%,58.4%,36.8%,1.6%,0.2%,0.3%,0.3%,0.3%,0.2%,0.1%,0.2%,0.027,0,
15BIM09-DA148GfrDA147,Surface Sample,Sand,N=8,531.76,1.50,1.397,0.003,-0.078,0.006,1.051,0.005,0.911,0.004,0.483,0.003,0.078,0.006,1.051,0.005,Coarse Sand,Well Sorted,Symmetrical,Mesokurtic,341.05,1.09,536.51,1.16,799.51,4.68,98.5%,0.0%,1.5%,0.0%,1.5%,56.9%,38.1%,1.7%,0.2%,0.3%,0.3%,0.3%,0.2%,0.1%,0.2%,0.024,0,
15BIM09-DA149G,Surface Sample,Sand,N=8,588.07,1.83,1.403,0.002,-0.109,0.004,1.123,0.006,0.766,0.005,0.488,0.002,0.109,0.004,1.123,0.006,Coarse Sand,Well Sorted,Fine Skewed,Leptokurtic,375.66,1.20,593.97,1.57,875.91,4.96,98.6%,0.1%,1.4%,0.1%,3.7%,66.5%,26.3%,1.9%,0.2%,0.3%,0.3%,0.3%,0.2%,0.1%,0.2%,0.052,0,
15BIM09-DA150G,Surface Sample,Sand,N=8,584.38,2.92,1.330,0.002,-0.037,0.004,0.993,0.003,0.775,0.007,0.411,0.002,0.037,0.004,0.993,0.003,Coarse Sand,Well Sorted,Symmetrical,Mesokurtic,401.80,1.81,586.19,2.85,835.57,6.00,100.0%,0.0%,0.0%,0.0%,2.0%,68.8%,27.7%,1.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.022,0,
15BIM09-DA151G,Surface Sample,Sand,N=8,614.11,2.51,1.305,0.002,0.001,0.004,0.980,0.004,0.703,0.006,0.384,0.002,-0.001,0.004,0.980,0.004,Coarse Sand,Well Sorted,Symmetrical,Mesokurtic,435.32,1.15,613.13,2.29,866.13,5.88,100.0%,0.0%,0.0%,0.0%,2.8%,74.6%,21.3%,1.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.044,0,
15BIM09-DA152G,Surface Sample,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,nem,D,
15BIM09-DA154G,Surface Sample,Mud,N=8,6.84,0.11,4.721,0.087,0.014,0.002,0.864,0.006,7.191,0.023,2.239,0.027,-0.014,0.002,0.864,0.006,Fine Silt,Very Poorly Sorted,Symmetrical,Platykurtic,0.95,0.00,7.00,0.14,49.39,1.83,7.5%,0.5%,92.5%,0.5%,0.0%,0.0%,1.0%,2.2%,4.4%,10.6%,14.0%,15.3%,16.3%,13.1%,23.2%,0.000,0,
15BIM09-DA155G,Surface Sample,Sand,N=8,340.48,6.07,1.798,0.341,-0.262,0.132,2.460,1.116,1.555,0.026,0.820,0.277,0.262,0.132,2.460,1.116,Medium Sand,Moderately Sorted,Fine Skewed,Very Leptokurtic,209.23,13.29,343.83,4.35,519.75,6.26,94.5%,1.3%,5.5%,1.3%,0.0%,12.3%,70.0%,11.6%,0.5%,0.5%,0.7%,0.9%,1.1%,0.9%,1.5%,0.000,0,
15BIM09-DA156G,Surface Sample,Mud,N=8,5.00,0.05,3.934,0.030,-0.008,0.004,0.844,0.005,7.644,0.015,1.976,0.011,0.008,0.004,0.844,0.005,Fine Silt,Poorly Sorted,Symmetrical,Platykurtic,0.87,0.00,5.24,0.05,32.15,0.91,3.4%,0.3%,96.6%,0.3%,0.0%,0.0%,0.2%,1.0%,2.2%,6.9%,12.0%,16.7%,18.6%,15.1%,27.2%,0.000,0,
15BIM09-DA157G,Surface Sample,Muddy Sand/Sand,N=8,271.66,6.47,2.494,0.122,-0.409,0.027,3.305,0.119,1.881,0.034,1.317,0.070,0.409,0.027,3.305,0.119,Medium Sand,Poorly Sorted,Very Fine Skewed,Extremely Leptokurtic,82.53,47.58,280.93,3.43,469.61,6.68,90.46%,1.4%,9.5%,1.4%,0.0%,7.6%,53.6%,27.7%,1.5%,0.9%,1.2%,1.6%,1.7%,1.4%,2.8%,0.000,0,
15BIM09-DA158S,Surface Sample,Sand,N=6,334.10,1.08,1.476,0.002,-0.050,0.002,0.989,0.002,1.582,0.005,0.562,0.002,0.050,0.002,0.989,0.002,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,199.22,1.08,336.96,1.06,543.88,1.85,99.4%,0.0%,0.6%,0.0%,0.0%,14.8%,62.2%,21.5%,0.8%,0.1%,0.0%,0.1%,0.0%,0.1%,0.2%,0.000,0,
15BIM09-DA159S,Surface Sample,Sand,N=6,323.68,2.32,1.367,0.002,-0.005,0.004,0.999,0.003,1.627,0.010,0.451,0.002,0.005,0.004,0.999,0.003,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,216.53,1.47,323.81,2.14,482.78,4.78,100.0%,0.0%,0.0%,0.0%,0.0%,8.2%,71.3%,20.1%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
15BIM09-DA160S,Surface Sample,Sand,N=6,380.43,4.72,1.388,0.003,-0.015,0.002,0.984,0.005,1.394,0.018,0.473,0.003,0.015,0.002,0.984,0.005,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,248.48,3.55,381.05,4.75,578.08,6.27,100.0%,0.0%,0.0%,0.0%,0.0%,20.6%,69.0%,10.1%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
15BIM09-DA161G,Surface Sample,Sand,N=8,305.68,1.39,2.341,0.058,-0.422,0.015,3.451,0.092,1.710,0.007,1.227,0.036,0.422,0.015,3.451,0.092,Medium Sand,Poorly Sorted,Very Fine Skewed,Extremely Leptokurtic,105.66,29.94,315.54,0.86,497.76,2.90,90.8%,0.6%,9.2%,0.6%,0.0%,9.8%,62.6%,17.4%,1.1%,1.2%,1.4%,1.5%,1.5%,1.2%,2.4%,0.000,0,
15BIM09-DA162G,Surface Sample,Mud,N=8,5.60,0.11,4.093,0.067,-0.028,0.012,0.850,0.015,7.481,0.027,2.033,0.024,0.028,0.012,0.850,0.015,Fine Silt,Very Poorly Sorted,Symmetrical,Platykurtic,0.90,0.01,5.98,0.07,35.98,1.30,4.2%,0.5%,95.8%,0.5%,0.0%,0.0%,0.4%,1.4%,2.5%,7.9%,13.3%,17.3%,18.1%,14.0%,25.2%,0.000,0,
15BIM09-DA163G,Surface Sample,Sand,N=8,358.52,0.59,1.394,0.002,0.021,0.002,0.988,0.002,1.480,0.002,0.479,0.002,-0.021,0.002,0.988,0.002,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,234.92,0.59,357.03,0.59,553.50,1.24,100.0%,0.0%,0.0%,0.0%,0.0%,16.2%,70.0%,13.5%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
15BIM09-DA164G,Surface Sample,Sand,N=8,325.79,0.34,1.459,0.001,0.002,0.004,1.019,0.003,1.618,0.001,0.545,0.001,-0.002,0.004,1.019,0.003,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,201.22,0.20,325.13,0.45,529.72,1.45,98.7%,0.0%,1.3%,0.0%,0.0%,12.9%,63.0%,22.1%,0.6%,0.1%,0.1%,0.2%,0.2%,0.2%,0.5%,0.000,0,
15BIM09-DA165G,Surface Sample,Sand,N=8,297.13,1.44,1.553,0.005,-0.079,0.011,1.061,0.005,1.751,0.007,0.635,0.005,0.079,0.011,1.061,0.005,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,166.39,2.04,301.70,1.05,506.93,2.72,97.3%,0.3%,2.7%,0.3%,0.1%,10.5%,56.0%,29.0%,1.6%,0.3%,0.3%,0.4%,0.5%,0.4%,0.9%,0.000,0,
15BIM09-DA166G,Surface Sample,Sand,N=8,335.68,0.50,1.389,0.001,0.036,0.003,1.005,0.004,1.575,0.002,0.474,0.001,-0.036,0.003,1.005,0.004,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,222.54,0.46,333.73,0.44,515.80,1.31,100.0%,0.0%,0.0%,0.0%,0.1%,11.7%,69.7%,18.2%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
15BIM09-DA169G,Surface Sample,Sand,N=8,337.98,0.56,1.446,0.004,0.034,0.004,1.025,0.005,1.565,0.002,0.532,0.004,-0.034,0.004,1.025,0.005,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,212.50,0.26,335.56,0.36,548.28,2.98,98.7%,0.0%,1.3%,0.0%,0.3%,14.4%,64.9%,18.6%,0.6%,0.2%,0.2%,0.2%,0.2%,0.2%,0.4%,0.000,0,
15BIM09-DA170GfrDA169,Surface Sample,Sand,N=8,332.41,1.19,1.441,0.004,0.050,0.004,1.020,0.005,1.589,0.005,0.527,0.004,-0.050,0.004,1.020,0.005,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,210.87,0.36,329.24,0.99,539.71,3.92,98.8%,0.0%,1.2%,0.0%,0.2%,13.5%,64.7%,19.9%,0.5%,0.1%,0.1%,0.2%,0.1%,0.2%,0.4%,0.000,0,
15BIM09-DA172G,Surface Sample,Sand,N=8,329.16,0.91,1.503,0.003,0.046,0.004,1.035,0.004,1.603,0.004,0.588,0.002,-0.046,0.004,1.035,0.004,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,197.82,0.55,325.17,0.57,562.44,3.20,98.5%,0.0%,1.5%,0.0%,0.3%,15.1%,59.6%,22.8%,0.7%,0.2%,0.2%,0.2%,0.2%,0.2%,0.5%,0.000,0,
15BIM09-DA174G,Surface Sample,Sand,N=8,221.13,0.69,1.855,0.069,-0.255,0.027,2.193,0.199,2.177,0.005,0.890,0.053,0.255,0.027,2.193,0.199,Fine Sand,Moderately Sorted,Fine Skewed,Very Leptokurtic,126.36,1.44,222.17,0.28,372.83,1.95,94.2%,0.3%,5.8%,0.3%,0.0%,3.2%,34.5%,52.5%,4.0%,0.7%,0.8%,0.9%,1.0%,0.9%,1.5%,0.000,0,
15BIM09-DA176G,Surface Sample,Sandy Mud,N=8,31.94,2.67,6.880,0.081,-0.336,0.044,0.727,0.016,4.974,0.120,2.782,0.017,0.336,0.044,0.727,0.016,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Platykurtic,1.57,0.08,48.88,7.33,244.35,8.19,47.52%,1.5%,52.5%,1.5%,0.3%,1.0%,7.8%,30.1%,8.3%,7.8%,9.1%,9.1%,8.2%,6.2%,12.0%,0.000,0,
15BIM09-DA177G,Surface Sample,Muddy Sand,N=8,178.85,19.41,3.093,0.267,-0.435,0.072,2.756,0.081,2.492,0.157,1.624,0.125,0.435,0.072,2.756,0.081,Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,16.81,7.71,199.28,6.66,400.82,16.09,85.93%,1.8%,14.1%,1.8%,0.0%,4.5%,29.2%,44.3%,8.0%,2.0%,1.8%,2.1%,2.3%,1.9%,3.9%,0.000,0,
15BIM09-DA178G,Surface Sample,Sand,N=8,370.60,1.41,1.429,0.004,0.029,0.003,0.988,0.005,1.432,0.006,0.515,0.004,-0.029,0.003,0.988,0.005,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,235.74,0.24,368.34,1.25,592.55,4.46,100.0%,0.0%,0.0%,0.0%,0.1%,20.3%,66.2%,13.1%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
15BIM09-DA179G,Surface Sample,Sand,N=8,344.45,0.61,1.451,0.003,0.013,0.004,1.029,0.002,1.538,0.003,0.537,0.003,-0.013,0.004,1.029,0.002,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,214.46,0.19,342.92,0.38,557.08,2.83,98.9%,0.0%,1.1%,0.0%,0.1%,15.8%,65.0%,17.3%,0.7%,0.2%,0.1%,0.1%,0.1%,0.2%,0.4%,0.000,0,
15BIM09-DA180S,Surface Sample,Sand,N=6,267.54,0.27,1.305,0.001,-0.011,0.001,0.958,0.001,1.902,0.001,0.384,0.001,0.011,0.001,0.958,0.001,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,188.91,0.12,267.88,0.25,377.01,0.79,100.0%,0.0%,0.0%,0.0%,0.0%,0.3%,59.5%,40.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
