study_id,site_id,core_id,year,month,day,latitude,longitude,position_method,salinity_class,salinity_method,vegetation_class,vegetation_method,habitat,inundation_class,inundation_method,core_length_flag
Costa_et_al_2023,Galapagos-Poza de Patillos (PP)-II,Galapagos-Poza de Patillos (PP)-II-1,2015,4,14,-0.35876,-91.38498,handheld,mixoeuhaline,field observation,forested,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Galapagos-Punta Mangle (PM)-I,Galapagos-Punta Mangle (PM)-I-1,2015,4,14,-0.453435,-91.388506,handheld,mixoeuhaline,field observation,forested,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Galapagos-Urvina (U)-I,Galapagos-Urvina (U)-I-1,2015,4,15,-0.378029,-91.259406,handheld,mixoeuhaline,field observation,forested to shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Galapagos-Urvina (U)-I,Galapagos-Urvina (U)-I-2,2015,4,15,-0.378029,-91.259406,handheld,mixoeuhaline,field observation,forested to shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Galapagos-Canones (CAN)-I,Galapagos-Canones (CAN)-I-1,2015,4,15,-0.359674,-91.277699,handheld,mixoeuhaline,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Costa_et_al_2023,Galapagos-Elizabeth (E)-I,Galapagos-Elizabeth (E)-I-1,2015,4,16,-0.594091,-91.069653,handheld,mixoeuhaline,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Costa_et_al_2023,Galapagos-Baleado (B)-I,Galapagos-Baleado (B)-I-1,2015,4,17,-0.674428,-91.212892,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Galapagos-Baleado (B)-I,Galapagos-Baleado (B)-I-2,2015,4,17,-0.674428,-91.212892,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Galapagos-Baleado (B)-I,Galapagos-Baleado (B)-I-3,2015,4,17,-0.674428,-91.212892,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Galapagos-Punta Morena (PM)-II,Galapagos-Punta Morena (PM)-II-1,2015,4,17,-0.713764,-91.329592,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Galapagos-Poza de Parroquiano (PP)-I,Galapagos-Poza de Parroquiano (PP)-I-1,2015,4,19,-0.755101,-90.422644,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Galapagos-Poza de Parroquiano (PP)-I,Galapagos-Poza de Parroquiano (PP)-I-2,2015,4,19,-0.755101,-90.422644,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth limited by length of corer
Costa_et_al_2023,Galapagos-Laguna Azul (LA)-I,Galapagos-Laguna Azul (LA)-I-1,2015,4,22,-0.3477,-90.67218,handheld,mixoeuhaline,field observation,forested to shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Galapagos-Puerto Nuevo (PN)-I,Galapagos-Puerto Nuevo (PN)-I-1,2015,4,22,-0.29881,-90.83328,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Galapagos-Puerto Nuevo (PN)-I,Galapagos-Puerto Nuevo (PN)-I-2,2015,4,22,-0.29881,-90.83328,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Galapagos-Sarten (S)-I,Galapagos-Sarten (S)-I-1,2015,4,23,-0.209875,-90.624115,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Galapagos-Tortuga Negra (TN)-I,Galapagos-Tortuga Negra (TN)-I-1,2015,4,24,-0.50186,-90.33227,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Galapagos-Tortuga Negra (TN)-IV,Galapagos-Tortuga Negra (TN)-IV-1,2015,4,24,-0.500392,-90.328072,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Galapagos-Itabaca (I)-I,Galapagos-Itabaca (I)-I-1,2015,4,24,-0.48753,-90.27592,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Galapagos-Puerto Grande (PG)-I,Galapagos-Puerto Grande (PG)-I-1,2015,4,25,-0.79937,-89.4687,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Galapagos-Puerto Grande (PG)-II,Galapagos-Puerto Grande (PG)-II-1,2015,4,25,-0.80345,-89.47043,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Galapagos-Poza Sardina (PS)-I,Galapagos-Poza Sardina (PS)-I-1,2015,4,25,-0.71721,-89.38912,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Galapagos-Baronesa (B)-I,Galapagos-Baronesa (B)-I-1,2015,4,26,-1.2278,-90.43971,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Galapagos-Roca Fuerte (RF)-I,Galapagos-Roca Fuerte (RF)-I-1,2015,4,27,-0.68642,-90.19537,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Galapagos-Garrapatero (G)-I,Galapagos-Garrapatero (G)-I-1,2015,4,27,-0.7029,-90.22486,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-Mogote V,Baja-Mogote V-1,2015,7,9,24.157271,-110.348574,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-Mogote V,Baja-Mogote V-2,2015,7,9,24.157271,-110.348574,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-Mogote V,Baja-Mogote V-3,2015,7,9,24.157271,-110.348574,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-Mogote V,Baja-Mogote V-4,2015,7,9,24.157271,-110.348574,handheld,saline,field observation,scrub shrub,field observation,mangrove,high,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-Mogote V,Baja-Mogote V-5,2015,7,9,24.157271,-110.348574,handheld,saline,field observation,scrub shrub,field observation,mangrove,high,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-Mogote III,Baja-Mogote III-1,2015,7,9,24.15225,-110.359018,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-Mogote III,Baja-Mogote III-2,2015,7,9,24.15225,-110.359018,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-Mogote III,Baja-Mogote III-3,2015,7,9,24.15199,-110.360199,handheld,saline,field observation,scrub shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-Mogote III,Baja-Mogote III-4,2015,7,9,24.15199,-110.360199,handheld,saline,field observation,scrub shrub,field observation,mangrove,high,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-Mogote III,Baja-Mogote III-5,2015,7,9,24.15199,-110.360199,handheld,saline,field observation,scrub shrub,field observation,mangrove,high,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-Bahia Falsa,Baja-Bahia Falsa-1,2015,7,10,24.260017,-110.311117,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-Bahia Falsa,Baja-Bahia Falsa-2,2015,7,10,24.260017,-110.311117,handheld,mixoeuhaline,field observation,forested to shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-Bahia Falsa,Baja-Bahia Falsa-H1,2015,7,10,24.260067,-110.310383,handheld,saline,field observation,scrub shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-Bahia Falsa,Baja-Bahia Falsa-H2,2015,7,10,24.260067,-110.310383,handheld,saline,field observation,scrub shrub,field observation,mangrove,high,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-El Merito I (EMI),Baja-El Merito I (EMI)-1,2015,7,10,24.302136,-110.327094,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-El Merito I (EMI),Baja-El Merito I (EMI)-2,2015,7,10,24.302136,-110.327094,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-El Merito I (EMI),Baja-El Merito I (EMI)-I,2015,12,12,24.300967,-110.326783,handheld,saline,field observation,scrub shrub,field observation,mangrove,high,field observation,core depth limited by length of corer
Costa_et_al_2023,Baja-San Jose,Baja-San Jose-1,2015,7,11,24.880033,-110.566983,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-San Jose,Baja-San Jose-2,2015,7,11,24.879544,-110.564153,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-San Jose,Baja-San Jose-3,2015,7,11,24.876802,-110.568921,handheld,saline,field observation,scrub shrub,field observation,mangrove,high,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-San Jose (SJ),Baja-San Jose (SJ)-I,2015,12,11,24.880417,-110.566783,handheld,mixoeuhaline,field observation,forested to shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-San Jose (SJ),Baja-San Jose (SJ)-II,2015,12,11,24.869417,-110.575333,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-Erizoso,Baja-Erizoso-1,2015,7,12,24.441508,-110.371319,handheld,saline,field observation,scrub shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-El Tope,Baja-El Tope-1,2015,7,12,24.437228,-110.362722,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-El Tope,Baja-El Tope-2,2015,7,12,24.437228,-110.362722,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-El Tope,Baja-El Tope-3,2015,7,12,24.437228,-110.362722,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-El Tope,Baja-El Tope-4,2015,7,12,24.437228,-110.362722,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,high,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-San Gabriel I,Baja-San Gabriel I-1,2015,7,12,24.424383,-110.347983,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-San Gabriel I,Baja-San Gabriel I-2,2015,7,12,24.424383,-110.347983,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-San Gabriel I,Baja-San Gabriel I-3,2015,7,12,24.424383,-110.347983,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,high,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-San Lucas,Baja-San Lucas-1,2015,7,14,27.223576,-112.212871,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-San Lucas,Baja-San Lucas-2,2015,7,14,27.223676,-112.212642,handheld,mixoeuhaline,field observation,forested to shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-San Lucas,Baja-San Lucas-3,2015,7,14,27.223676,-112.212642,handheld,mixoeuhaline,field observation,forested to shrub,field observation,mangrove,high,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-Santispac,Baja-Santispac-1,2015,7,15,26.761737,-111.892333,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-Santispac,Baja-Santispac-2,2015,7,15,26.763001,-111.892168,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-Santispac,Baja-Santispac-3,2015,7,15,26.763001,-111.892168,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,high,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-El Requeson,Baja-El Requeson-1,2015,7,15,26.63983,-111.837545,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,high,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-El Mangle I,Baja-El Mangle I-1,2015,7,16,26.562129,-111.772379,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-El Mangle I,Baja-El Mangle I-2,2015,7,16,26.562129,-111.772379,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,high,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-Buenaventura,Baja-Buenaventura-1,2015,7,16,26.650388,-111.851133,handheld,saline,field observation,scrub shrub,field observation,mangrove,high,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-Buenaventura,Baja-Buenaventura-2,2015,7,16,26.650388,-111.851133,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-Buenaventura,Baja-Buenaventura-4,2017,2,10,26.65038,-111.85113,handheld,mixoeuhaline,field observation,forested to shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-Santa Barbara II,Baja-Santa Barbara II-1,2015,7,17,26.698539,-111.875824,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-Santa Barbara II,Baja-Santa Barbara II-2,2015,7,17,26.698754,-111.876257,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-Santa Barbara II,Baja-Santa Barbara II-3,2015,7,17,26.698026,-111.876619,handheld,saline,field observation,scrub shrub,field observation,mangrove,high,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-San Gabriel II (SGII),Baja-San Gabriel II (SGII)-I,2015,12,12,24.432316,-110.347221,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,high,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-Bahia Magdalena,Baja-Bahia Magdalena-I,2017,2,8,24.871651,-111.994095,handheld,saline,field observation,scrub shrub,field observation,mangrove,high,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-Bahia Magdalena,Baja-Bahia Magdalena-II,2017,2,8,24.840668,-112.029102,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,high,field observation,core depth limited by length of corer
Costa_et_al_2023,Baja-Bahia Magdalena,Baja-Bahia Magdalena-III,2017,2,9,25.234729,-112.080372,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-Punta Abreojos,Baja-Punta Abreojos-I,2017,2,12,26.775105,-113.658578,handheld,saline,field observation,scrub shrub,field observation,mangrove,high,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-Campo Rene,Baja-Campo Rene-I,2017,2,12,26.806639,-113.478855,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,high,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-La Mona,Baja-La Mona-I,2017,2,15,28.888607,-113.484296,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-Las Animas,Baja-Las Animas-I,2017,2,16,28.820237,-113.365294,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,Baja-Isla Coronado,Baja-Isla Coronado-I,2017,2,16,29.046057,-113.502264,handheld,saline,field observation,scrub shrub,field observation,mangrove,high,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaCaribbean-Bocas Town (BT),PanamaCaribbean-Bocas Town (BT)-1,2015,9,9,9.338067,-82.247967,handheld,mixoeuhaline,field observation,forested,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaCaribbean-Bocas Town (BT),PanamaCaribbean-Bocas Town (BT)-2,2015,9,9,9.338067,-82.247967,handheld,mixoeuhaline,field observation,forested,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaCaribbean-Station Forest (SF),PanamaCaribbean-Station Forest (SF)-1,2015,9,5,9.352483,-82.258933,handheld,mixoeuhaline,field observation,forested,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaCaribbean-Station Forest (SF),PanamaCaribbean-Station Forest (SF)-2,2015,9,5,9.352483,-82.258933,handheld,mixoeuhaline,field observation,forested,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaCaribbean-Station Forest (SF),PanamaCaribbean-Station Forest (SF)-3,2015,9,5,9.352483,-82.258933,handheld,mixoeuhaline,field observation,forested,field observation,mangrove,high,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaCaribbean-Station Forest South (SFS),PanamaCaribbean-Station Forest South (SFS)-1,2015,9,6,9.348858,-82.258059,handheld,mixoeuhaline,field observation,forested,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaCaribbean-Station Forest South (SFS),PanamaCaribbean-Station Forest South (SFS)-2,2015,9,14,9.348858,-82.258059,handheld,mixoeuhaline,field observation,forested,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaCaribbean-A,PanamaCaribbean-A-1,2015,9,7,9.360361,-82.263336,handheld,mixoeuhaline,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Costa_et_al_2023,PanamaCaribbean-A,PanamaCaribbean-A-2,2015,9,7,9.360361,-82.263336,handheld,mixoeuhaline,field observation,forested,field observation,mangrove,mid,field observation,core depth limited by length of corer
Costa_et_al_2023,PanamaCaribbean-B,PanamaCaribbean-B-1,2015,9,7,9.352424,-82.265553,handheld,mixoeuhaline,field observation,forested,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaCaribbean-B,PanamaCaribbean-B-2,2015,9,7,9.352424,-82.265553,handheld,mixoeuhaline,field observation,forested,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaCaribbean-C,PanamaCaribbean-C-1,2015,9,8,9.364202,-82.272277,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaCaribbean-C,PanamaCaribbean-C-2,2015,9,8,9.364202,-82.272277,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaCaribbean-D,PanamaCaribbean-D-1,2015,9,8,9.365721,-82.272677,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaCaribbean-D,PanamaCaribbean-D-2,2015,9,8,9.365721,-82.272677,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaCaribbean-E,PanamaCaribbean-E-1,2015,9,9,9.373817,-82.290659,handheld,mixoeuhaline,field observation,forested,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaCaribbean-E,PanamaCaribbean-E-2,2015,9,9,9.373817,-82.290659,handheld,mixoeuhaline,field observation,forested,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaCaribbean-F,PanamaCaribbean-F-1,2015,9,9,9.375275,-82.29635,handheld,mixoeuhaline,field observation,forested,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaCaribbean-F,PanamaCaribbean-F-2,2015,9,9,9.375275,-82.29635,handheld,mixoeuhaline,field observation,forested,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaCaribbean-G,PanamaCaribbean-G-1,2015,9,10,9.378227,-82.292822,handheld,polyhaline,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Costa_et_al_2023,PanamaCaribbean-G,PanamaCaribbean-G-2,2015,9,10,9.378227,-82.292822,handheld,polyhaline,field observation,forested,field observation,mangrove,mid,field observation,core depth limited by length of corer
Costa_et_al_2023,PanamaCaribbean-H,PanamaCaribbean-H-1,2015,9,11,9.38576,-82.30151,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaCaribbean-H,PanamaCaribbean-H-2,2015,9,11,9.38576,-82.30151,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaCaribbean-H,PanamaCaribbean-H-4,2015,9,11,9.38576,-82.30151,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaCaribbean-H,PanamaCaribbean-H-5,2015,9,11,9.38576,-82.30151,handheld,mixoeuhaline,field observation,forested to shrub,field observation,mangrove,high,field observation,core depth limited by length of corer
Costa_et_al_2023,PanamaCaribbean-H,PanamaCaribbean-H-6,2015,9,11,9.38576,-82.30151,handheld,mixoeuhaline,field observation,forested to shrub,field observation,mangrove,high,field observation,core depth limited by length of corer
Costa_et_al_2023,PanamaCaribbean-H,PanamaCaribbean-H-7,2015,9,11,9.38576,-82.30151,handheld,polyhaline,field observation,forested to shrub,field observation,mangrove,high,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaCaribbean-BA,PanamaCaribbean-BA-4,2015,9,12,9.336382,-82.254996,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,high,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaCaribbean-BDS,PanamaCaribbean-BDS-1,2015,9,14,9.396002,-82.309144,handheld,mixoeuhaline,field observation,forested to shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaCaribbean-BDS,PanamaCaribbean-BDS-2,2015,9,14,9.396002,-82.309144,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaCaribbean-BD,PanamaCaribbean-BD-1,2015,9,15,9.404239,-82.317044,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaCaribbean-BD,PanamaCaribbean-BD-2,2015,9,15,9.404239,-82.317044,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaCaribbean-SI,PanamaCaribbean-SI-1,2015,9,16,9.301049,-82.190943,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaCaribbean-SM,PanamaCaribbean-SM-1,2015,9,16,9.308605,-82.193265,handheld,mixoeuhaline,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaCaribbean-Ga,PanamaCaribbean-Ga-1,2015,9,23,9.401327,-79.861313,handheld,mixoeuhaline,field observation,forested to shrub,field observation,mangrove,low,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaCaribbean-Ga,PanamaCaribbean-Ga-2,2015,9,23,9.401213,-79.864212,handheld,mixoeuhaline,field observation,forested,field observation,mangrove,mid,field observation,core depth represents deposit depth
Costa_et_al_2023,PanamaPacific-LP VI,PanamaPacific-LP VI-1,2017,9,16,8.400511,-79.09321,handheld,mixoeuhaline,field observation,forested to shrub,field observation,mangrove,mid,field observation,core depth represents deposit depth
