study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,delta_c13
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,42,44,NA,0.24,0.56,NA,NA,NA,0,0.17,0.9,0.11,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,44,46,NA,0.26,0.58,NA,NA,NA,0,0.16,0.72,0.1,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,46,48,NA,0.27,0.61,NA,NA,NA,0.11,0.18,1.06,0.12,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,48,50,NA,0.28,0.59,NA,NA,NA,0,0.17,0.81,0.11,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,50,52,NA,0.31,0.6,NA,NA,NA,NA,NA,NA,NA,NA,-27.2
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,52,54,NA,0.33,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,54,56,NA,0.31,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,56,58,NA,0.38,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,58,60,NA,0.38,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,60,62,NA,0.36,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,62,64,NA,0.39,0.63,NA,NA,NA,NA,NA,NA,NA,NA,-25.3
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,64,66,NA,0.37,0.64,NA,NA,NA,0,0.15,0.45,0.07,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,66,68,NA,0.32,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,68,70,NA,0.34,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,70,72,NA,0.31,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,72,74,NA,0.27,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,74,76,NA,0.49,0.44,NA,NA,NA,NA,NA,NA,NA,NA,-26.8
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,76,78,NA,0.34,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,78,80,NA,0.38,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,80,82,NA,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,82,84,NA,0.5,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,84,86,NA,0.36,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,86,88,NA,0.44,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_2,single set of methods,88,90,NA,0.69,0.39,NA,NA,NA,NA,NA,NA,NA,NA,-26.2
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,0,2,NA,0.08,0.67,NA,NA,NA,13.1,0.88,13.45,0.87,disintegrationsPerMinutePerGram,-29.11
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,2,4,NA,0.14,0.63,NA,NA,NA,11.75,0.8,12.1,0.78,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,4,6,NA,0.16,0.62,1.21,0.11,disintegrationsPerMinutePerGram,8.57,0.6,8.91,0.58,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,6,8,NA,0.18,0.6,NA,NA,NA,6.79,0.49,7.13,0.47,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,8,10,NA,0.21,0.57,2.35,0.08,disintegrationsPerMinutePerGram,6.22,0.47,6.57,0.44,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,10,12,NA,0.26,0.55,NA,NA,NA,4.43,0.36,4.77,0.33,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,12,14,NA,0.29,0.53,NA,NA,NA,3.37,0.3,3.71,0.26,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,14,16,NA,0.3,0.51,NA,NA,NA,2.82,0.26,3.16,0.22,disintegrationsPerMinutePerGram,-22.34
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,16,18,NA,0.25,NA,0.42,0.11,disintegrationsPerMinutePerGram,2.47,0.24,2.81,0.2,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,18,20,NA,0.22,0.57,0.32,0.11,disintegrationsPerMinutePerGram,2.24,0.24,2.58,0.19,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,20,22,NA,0.25,0.6,0.46,0.1,disintegrationsPerMinutePerGram,1.88,0.22,2.23,0.16,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,22,24,NA,0.28,0.6,NA,NA,NA,1.42,0.21,1.77,0.14,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,24,26,NA,0.34,0.61,NA,NA,NA,1.06,0.19,1.41,0.12,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,26,28,NA,0.32,0.64,NA,NA,NA,0.7,0.17,1.05,0.09,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,28,30,NA,0.39,0.63,NA,NA,NA,0.56,0.17,0.9,0.08,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,30,32,NA,0.36,0.61,NA,NA,NA,0.44,0.17,0.79,0.09,disintegrationsPerMinutePerGram,-28.44
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,32,34,NA,0.38,0.55,NA,NA,NA,0.04,0.45,0.38,0.42,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,34,36,NA,0.36,0.54,NA,NA,NA,0.22,0.58,0.57,0.56,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,36,38,NA,0.39,0.43,NA,NA,NA,0.16,0.2,0.51,0.14,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,38,40,NA,0.5,0.34,NA,NA,NA,0,0.18,0.29,0.11,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,40,42,NA,0.84,0.24,NA,NA,NA,0,0.2,0.29,0.14,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,42,44,NA,1.02,0.19,NA,NA,NA,0,0.18,0.21,0.1,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,44,46,NA,1.18,0.16,NA,NA,NA,0,0.17,0.17,0.08,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,46,48,NA,1.21,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,48,50,NA,1.13,0.15,NA,NA,NA,NA,NA,NA,NA,NA,-26.3
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,30,32,NA,0.27,NA,NA,NA,NA,0.44,0.17,0.79,0.09,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,32,34,NA,0.22,NA,NA,NA,NA,0.04,0.45,0.38,0.42,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,34,36,NA,0.27,NA,NA,NA,NA,0.22,0.58,0.57,0.56,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,36,38,NA,0.3,NA,NA,NA,NA,0.16,0.2,0.51,0.14,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,38,40,NA,0.48,NA,NA,NA,NA,0,0.18,0.29,0.11,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,40,42,NA,0.76,0.61,NA,NA,NA,0,0.2,0.29,0.14,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,42,44,NA,0.95,0.57,NA,NA,NA,0,0.18,0.21,0.1,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,44,46,NA,1.23,0.62,NA,NA,NA,0,0.17,0.17,0.08,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,46,48,NA,1.17,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,48,50,NA,1.48,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,50,52,NA,1.58,0.18,NA,NA,NA,NA,NA,NA,NA,NA,-26.5
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,52,54,NA,1.71,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,54,56,NA,1.81,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,56,58,NA,1.83,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,58,60,NA,2.62,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,60,62,NA,2.66,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,62,64,NA,2.87,0.14,NA,NA,NA,NA,NA,NA,NA,NA,-26.3
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,64,66,NA,2.91,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,66,68,NA,3.08,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,68,70,NA,3.09,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,70,72,NA,2.99,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,72,74,NA,2.97,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,74,76,NA,3.01,0.07,NA,NA,NA,NA,NA,NA,NA,NA,-26.1
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,76,78,NA,3.23,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,78,80,NA,2.44,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,80,82,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,82,84,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,84,86,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,86,88,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,CSI-Core,CSI-Core_3,single set of methods,88,90,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,-27.2
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,0,2,NA,0.89,0.05,0.05,0.03,disintegrationsPerMinutePerGram,0,0.08,0.98,0.08,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,CSI-N,CSI-N_1,single set of methods,2,4,NA,0.93,0.07,NA,NA,NA,0,0.12,1.46,0.12,disintegrationsPerMinutePerGram,NA
