study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,depth_interval_notes,representative_depth_min,representative_depth_max,method_id
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-6,NA,NA,0.6495555168206381,0.03424683332443237,vertical slice of 5cm taken within the given representative depth range,100,250,single set of methods
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-1,5,10,0.5293707512637267,0.05108101844787598,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,0,15,single set of methods
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-1,20,25,0.5502004531985359,0.03067446231842041,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,15,30,single set of methods
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-1,37,42,0.6590552553599441,0.01698944568634033,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,30,50,single set of methods
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-1,72,77,0.7232002788914066,0.02368134260177612,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,50,100,single set of methods
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-1,NA,NA,1.0047934460519437,0.01531952261924743,vertical slice of 5cm taken within the given representative depth range,100,262,single set of methods
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-2,5,10,0.5415722503050375,0.03679301500320434,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,0,15,single set of methods
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-2,20,25,0.7368833885305909,0.01713801264762878,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,15,30,single set of methods
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-2,37,42,0.8244727209342863,0.01268574476242065,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,30,50,single set of methods
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-2,72,77,0.8568066933937598,0.01315866470336914,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,50,100,single set of methods
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-2,NA,NA,1.2341816280285864,0.00800068974494934,vertical slice of 5cm taken within the given representative depth range,100,144,single set of methods
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-3,5,10,0.36142583231654174,0.05078333854675293,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,0,15,single set of methods
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-3,20,25,0.3911451978385917,0.04904383659362793,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,15,30,single set of methods
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-3,37,42,0.5105455813142759,0.03613725900650024,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,30,50,single set of methods
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-3,72,77,0.8555865434896288,0.01045149564743042,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,50,100,single set of methods
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-3,NA,NA,1.1008366742199756,0.01599178075790405,vertical slice of 5cm taken within the given representative depth range,100,241,single set of methods
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-4,5,10,0.3493114868398117,0.05711834907531738,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,0,15,single set of methods
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-4,20,25,0.4723723200278892,0.03745453357696533,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,15,30,single set of methods
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-4,37,42,0.7245947359246994,0.02354936838150024,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,30,50,single set of methods
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-4,72,77,0.9274010807042008,0.02161616802215576,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,50,100,single set of methods
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-4,NA,NA,1.1906048457381908,0.01193705201148986,vertical slice of 5cm taken within the given representative depth range,100,251,single set of methods
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-5,5,10,0.4231305560397421,0.05053378582000732,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,0,15,single set of methods
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-5,20,25,0.5198710127244205,0.03870033979415893,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,15,30,single set of methods
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-5,37,42,0.6810179536343037,0.01926777482032776,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,30,50,single set of methods
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-5,72,77,0.810789611295102,0.01813433647155761,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,50,100,single set of methods
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-5,NA,NA,1.01429318459125,0.01740155696868896,vertical slice of 5cm taken within the given representative depth range,100,241,single set of methods
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-6,5,10,0.296583580268433,0.06929600715637207,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,0,15,single set of methods
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-6,20,25,0.48291790134216495,0.04240429401397705,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,15,30,single set of methods
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-6,37,42,0.517517866480739,0.04196063041687012,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,30,50,single set of methods
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-6,72,77,0.9889314972982396,0.01815134286880493,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,50,100,single set of methods
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-6,NA,NA,0.5765208297019349,0.0398313045501709,vertical slice of 5cm taken within the given representative depth range,100,153,single set of methods
Kauffman_et_al_2020,Secret River Low Marsh,COL-SEC-LM-1,20,25,0.9287083841729128,0.01398995876312255,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,15,30,single set of methods
Kauffman_et_al_2020,Secret River Low Marsh,COL-SEC-LM-1,37,42,1.121927836848527,0.00917562544345855,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,30,50,single set of methods
Kauffman_et_al_2020,Secret River Low Marsh,COL-SEC-LM-1,72,77,1.2532682586717796,0.00481849670410156,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,50,100,single set of methods
Kauffman_et_al_2020,Secret River Low Marsh,COL-SEC-LM-1,5,10,0.68502701760502,0.01522270202636718,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,0,15,single set of methods
Kauffman_et_al_2020,Secret River Low Marsh,COL-SEC-LM-2,20,25,0.9919818720585672,0.01343412637710571,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,15,30,single set of methods
Kauffman_et_al_2020,Secret River Low Marsh,COL-SEC-LM-2,37,42,1.2607634652257278,0.00475812941789627,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,30,50,single set of methods
Kauffman_et_al_2020,Secret River Low Marsh,COL-SEC-LM-2,72,77,0.997123932368834,0.01632699847221374,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,50,100,single set of methods
Kauffman_et_al_2020,Secret River Low Marsh,COL-SEC-LM-2,5,10,0.7806344779501482,0.00897511422634124,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,0,15,single set of methods
Kauffman_et_al_2020,Secret River Low Marsh,COL-SEC-LM-3,20,25,0.5364301899947708,0.02234926223754883,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,15,30,single set of methods
Kauffman_et_al_2020,Secret River Low Marsh,COL-SEC-LM-3,37,42,0.8446923479170299,0.0084996896982193,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,30,50,single set of methods
Kauffman_et_al_2020,Secret River Low Marsh,COL-SEC-LM-3,72,77,1.1770088896635873,0.00371185392141342,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,50,100,single set of methods
Kauffman_et_al_2020,Secret River Low Marsh,COL-SEC-LM-3,5,10,0.6655046191389228,0.0188858962059021,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,0,15,single set of methods
Kauffman_et_al_2020,Secret River Low Marsh,COL-SEC-LM-4,20,25,0.7852536168729302,0.01632160663604736,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,15,30,single set of methods
Kauffman_et_al_2020,Secret River Low Marsh,COL-SEC-LM-4,37,42,0.9979954680146418,0.01088519811630249,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,30,50,single set of methods
Kauffman_et_al_2020,Secret River Low Marsh,COL-SEC-LM-4,72,77,0.9852710475858462,0.02775439262390136,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,50,100,single set of methods
Kauffman_et_al_2020,Secret River Low Marsh,COL-SEC-LM-4,5,10,0.7065539480564755,0.01611658811569213,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,0,15,single set of methods
Kauffman_et_al_2020,Secret River Low Marsh,COL-SEC-LM-5,5,10,0.663761547847307,0.02120159864425659,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,0,15,single set of methods
Kauffman_et_al_2020,Secret River Low Marsh,COL-SEC-LM-5,20,25,0.9287083841729128,0.02270795345306396,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,15,30,single set of methods
Kauffman_et_al_2020,Secret River Low Marsh,COL-SEC-LM-5,37,42,0.8856545232700017,0.03184220314025879,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,30,50,single set of methods
Kauffman_et_al_2020,Secret River Low Marsh,COL-SEC-LM-5,72,77,1.1020568241241069,0.01605199337005615,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,50,100,single set of methods
Kauffman_et_al_2020,Secret River Low Marsh,COL-SEC-LM-5,NA,NA,1.034687118703155,0.01692045092582702,vertical slice of 5cm taken within the given representative depth range,100,129,single set of methods
Kauffman_et_al_2020,Secret River Low Marsh,COL-SEC-LM-6,20,25,0.6769217360990065,0.05124020099639893,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,15,30,single set of methods
Kauffman_et_al_2020,Secret River Low Marsh,COL-SEC-LM-6,37,42,0.788652605891581,0.05621924877166748,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,30,50,single set of methods
Kauffman_et_al_2020,Secret River Low Marsh,COL-SEC-LM-6,72,77,1.1229736796234966,0.01602781057357788,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,50,100,single set of methods
Kauffman_et_al_2020,Secret River Low Marsh,COL-SEC-LM-6,5,10,0.49520655394805646,0.02725550413131713,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,0,15,single set of methods
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-1,5,10,0.38164545929928534,0.07364933013916015,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,0,15,single set of methods
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-1,20,25,0.41336935680669334,0.07065434455871582,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,15,30,single set of methods
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-1,37,42,0.5597001917378421,0.05796344757080078,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,30,50,single set of methods
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-1,72,77,0.546365696356981,0.05246099472045898,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,50,100,single set of methods
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-1,NA,NA,0.6147812445529022,0.04538980007171631,vertical slice of 5cm taken within the given representative depth range,100,201,single set of methods
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-2,5,10,0.470367788042531,0.03386732101440429,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,0,15,single set of methods
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-2,20,25,0.42975422694788223,0.08341466903686523,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,15,30,single set of methods
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-2,37,42,0.6309918075649295,0.0458261251449585,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,30,50,single set of methods
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-2,72,77,0.8782464702806346,0.01304411768913269,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,50,100,single set of methods
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-2,NA,NA,0.8750217883911453,0.01601973056793212,vertical slice of 5cm taken within the given representative depth range,100,201,single set of methods
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-3,5,10,0.8080006972285168,0.02654128313064575,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,0,15,single set of methods
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-3,20,25,0.6745685898553252,0.03975641250610352,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,15,30,single set of methods
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-3,37,42,0.7102143977688687,0.05566595554351807,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,30,50,single set of methods
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-3,72,77,0.9547672999825696,0.01040223956108093,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,50,100,single set of methods
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-3,NA,NA,0.6513857416768346,0.08790337562561035,vertical slice of 5cm taken within the given representative depth range,100,225,single set of methods
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-4,5,10,0.7932717448143629,0.01823167204856872,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,0,15,single set of methods
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-4,20,25,0.5375631863343212,0.04356173038482666,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,15,30,single set of methods
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-4,37,42,0.7784556388356285,0.03491673469543457,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,30,50,single set of methods
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-4,72,77,0.9366393585497648,0.02102513790130615,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,50,100,single set of methods
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-4,NA,NA,0.7314798675265819,0.03104150533676147,vertical slice of 5cm taken within the given representative depth range,100,250,single set of methods
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-5,5,10,0.3705769565975248,0.04884513854980468,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,0,15,single set of methods
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-5,20,25,0.42130033118354543,0.0764463758468628,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,15,30,single set of methods
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-5,37,42,0.4812619836151299,0.08030482292175294,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,30,50,single set of methods
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-5,72,77,0.4918947184939864,0.12845187187194823,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,50,100,single set of methods
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-5,NA,NA,0.6718668293533206,0.02642006635665893,vertical slice of 5cm taken within the given representative depth range,100,250,single set of methods
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-6,5,10,0.44971239323688333,0.07677257061004639,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,0,15,single set of methods
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-6,20,25,0.4069199930277148,0.0816417121887207,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,15,30,single set of methods
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-6,37,42,0.5132473418162804,0.0641855239868164,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,30,50,single set of methods
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-6,72,77,0.6421474638312707,0.06852460861206054,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,50,100,single set of methods
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-6,NA,NA,0.5348614258323166,0.07468617916107177,vertical slice of 5cm taken within the given representative depth range,100,250,single set of methods
Kauffman_et_al_2020,Barview Eelgrass,COO-BAR-SG-1,5,10,1.385895404120444,0.00359238832999999,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,0,15,single set of methods
Kauffman_et_al_2020,Barview Eelgrass,COO-BAR-SG-1,20,25,1.4904912836767037,0.00240805476999999,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,15,30,single set of methods
Kauffman_et_al_2020,Barview Eelgrass,COO-BAR-SG-1,37,42,1.4358161648177497,0.0058171016,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,30,50,single set of methods
Kauffman_et_al_2020,Barview Eelgrass,COO-BAR-SG-1,72,77,1.3446909667194928,0.00909731269,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,50,100,single set of methods
Kauffman_et_al_2020,Barview Eelgrass,COO-BAR-SG-1,NA,NA,1.438193343898574,0.00604974091,vertical slice of 5cm taken within the given representative depth range,100,176,single set of methods
Kauffman_et_al_2020,Barview Eelgrass,COO-BAR-SG-2,5,10,1.3280507131537242,0.00615239799022674,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,0,15,single set of methods
Kauffman_et_al_2020,Barview Eelgrass,COO-BAR-SG-2,20,25,1.5887480190174328,0.00284508348,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,15,30,single set of methods
Kauffman_et_al_2020,Barview Eelgrass,COO-BAR-SG-2,37,42,1.3391442155309037,0.0065189606,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,30,50,single set of methods
Kauffman_et_al_2020,Barview Eelgrass,COO-BAR-SG-2,72,77,1.491283676703645,0.00359640479,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,50,100,single set of methods
Kauffman_et_al_2020,Barview Eelgrass,COO-BAR-SG-2,NA,NA,1.246434231378764,0.00375468791,vertical slice of 5cm taken within the given representative depth range,100,177,single set of methods
Kauffman_et_al_2020,Barview Eelgrass,COO-BAR-SG-3,5,10,1.1172741679873217,0.01236307383,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,0,15,single set of methods
Kauffman_et_al_2020,Barview Eelgrass,COO-BAR-SG-3,20,25,1.3660855784469097,0.00799047768,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,15,30,single set of methods
Kauffman_et_al_2020,Barview Eelgrass,COO-BAR-SG-3,37,42,1.340729001584786,0.00949257373809814,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,30,50,single set of methods
Kauffman_et_al_2020,Barview Eelgrass,COO-BAR-SG-3,72,77,1.4484944532488115,0.00702123641967773,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,50,100,single set of methods
Kauffman_et_al_2020,Barview Eelgrass,COO-BAR-SG-3,NA,NA,1.4873217115689383,0.00641984224,vertical slice of 5cm taken within the given representative depth range,100,157,single set of methods
Kauffman_et_al_2020,Barview Eelgrass,COO-BAR-SG-4,5,10,1.3613312202852617,0.00692239403999999,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,0,15,single set of methods
Kauffman_et_al_2020,Barview Eelgrass,COO-BAR-SG-4,20,25,1.3153724247226626,0.00790357828,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,15,30,single set of methods
Kauffman_et_al_2020,Barview Eelgrass,COO-BAR-SG-4,37,42,1.3724247226624406,0.00809376180171966,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,30,50,single set of methods
Kauffman_et_al_2020,Barview Eelgrass,COO-BAR-SG-4,72,77,1.4080824088748018,0.00614612996578216,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,50,100,single set of methods
Kauffman_et_al_2020,Barview Eelgrass,COO-BAR-SG-4,NA,NA,1.2694136291600635,0.00883732378482818,vertical slice of 5cm taken within the given representative depth range,100,172,single set of methods
Kauffman_et_al_2020,Barview Eelgrass,COO-BAR-SG-5,5,10,1.3145800316957212,0.00579687118530273,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,0,15,single set of methods
Kauffman_et_al_2020,Barview Eelgrass,COO-BAR-SG-5,20,25,1.2393026941362917,0.00773570001,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,15,30,single set of methods
Kauffman_et_al_2020,Barview Eelgrass,COO-BAR-SG-5,37,42,1.169572107765452,0.01537888288,vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate,30,50,single set of methods
