study_id,coring_method,roots_flag,sediment_sieved_flag,compaction_flag,dry_bulk_density_temperature,dry_bulk_density_sample_volume,dry_bulk_density_flag,loss_on_ignition_temperature,loss_on_ignition_time,carbon_measured_or_modeled,carbonates_removed,fraction_carbon_method,fraction_carbon_type,cs137_counting_method,sediment_sieve_size,dry_bulk_density_time,loss_on_ignition_sample_mass,loss_on_ignition_flag,carbonate_removal_method,carbon_profile_notes,pb210_counting_method,excess_pb210_rate,excess_pb210_model,ra226_assumption,c14_counting_method,dating_notes,age_depth_model_reference,fraction_carbon_flag,pb210_background_assumption,dbd_1_cm_section_sample_volume,dbd_2_cm_section_sample_volume,loi_1_cm_section_sample_volume,loi_2_cm_section_sample_volume
Krauss_et_al_2018a,piston corer,NA,NA,compaction quantified,NA,NA,modeled,550,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMS,NA,core collection date,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018b,vibracore,NA,NA,compaction quantified,NA,NA,modeled,550,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMS,NA,core collection date,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018c,russian corer,NA,NA,corer limits compaction,NA,NA,modeled,550,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMS,NA,core collection date,NA,NA,NA,NA,NA,NA
Keshta_et_al_2020_a,russian corer,roots and rhizomes separated,sediment sieved,corer limits compaction,105,45.2389,air dried to constant mass,550,2,modeled,TRUE,local regression,total carbon,NA,2,72,NA,time approximate,direct acid treatment,"a peat sampler was used for all wetland habitats, except the adjacent uplands where regular soil core was used for soil sampling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keshta_et_al_2020_b,push core,roots and rhizomes separated,sediment sieved,corer limits compaction,105,171.0597,air dried to constant mass,550,2,modeled,TRUE,local regression,total carbon,NA,2,72,NA,time approximate,direct acid treatment,"a peat sampler was used for all wetland habitats, except the adjacent uplands where regular soil core was used for soil sampling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kemp_et_al_2020,piston corer,NA,NA,corer limits compaction,110,NA,NA,550,4,NA,NA,NA,NA,gamma,NA,24,4,NA,NA,NA,gamma,NA,NA,NA,NA,NA,CE,NA,NA,NA,NA,NA,NA
Kauffman_et_al_2020,gouge auger,roots and rhizomes included,sediment not sieved,NA,60,NA,time approximate,NA,NA,measured,FALSE,EA,total carbon,NA,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Johnson_et_al_2007,vibracore,NA,NA,NA,100,NA,to constant mass,NA,NA,measured,TRUE,NA,organic carbon,NA,NA,NA,NA,NA,direct acid treatment,NA,NA,NA,NA,NA,AMS,NA,YBP,NA,NA,NA,NA,NA,NA
Breithaupt_et_al_2017,piston corer,NA,NA,corer limits compaction,NA,NA,not specified,550,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no details,NA,NA,NA,NA,NA
Cochran_et_al_1998,mccaffrey peat cutter,NA,NA,NA,60,NA,duplicate measurements,450,12,NA,NA,NA,NA,NA,NA,48,NA,duplicate measurements,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRMS_Database,push core,NA,NA,compaction quantified,NA,NA,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drake_et_al_2015,none specified,NA,NA,NA,105,NA,not specified,NA,NA,measured,NA,NA,organic carbon,NA,NA,NA,NA,NA,none specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elsey_Quirk_et_al_2011,push core,NA,NA,NA,60,NA,time approximate,460,8,measured,TRUE,NA,organic carbon,NA,NA,12,NA,NA,acid fumigation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hill_and_Anisfeld_2015,push core,NA,NA,NA,60,NA,not specified,550,NA,measured,TRUE,NA,organic carbon,NA,NA,NA,NA,not specified,acid fumigation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kulawardhana_et_al_2015,other shallow corer,roots and rhizomes separated,NA,no obvious compaction,105,NA,NA,440,8,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Merrill_1999,mcauley corer,NA,NA,corer limits compaction,NA,NA,not specified,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neubauer_2002,push core,NA,NA,NA,50,NA,not specified,500,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noe_et_al_2013,push core,NA,NA,NA,NA,NA,not specified,550,4,measured,FALSE,NA,total carbon,NA,NA,NA,NA,ground and sieved,NA,NA,NA,NA,NA,NA,NA,NA,NA,fumigated to remove microbeal biomass,NA,NA,NA,NA,NA
Nuttle_1996,none specified,NA,NA,NA,NA,NA,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nyman_et_al_1993,other shallow corer,NA,NA,NA,80,NA,removed non structural water,400,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orson_1990,russian corer,NA,NA,corer limits compaction,NA,NA,not specified,475,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pastore_et_al_2017,gouge auger,NA,NA,NA,60,NA,time approximate,NA,NA,measured,FALSE,NA,total carbon,NA,NA,336,NA,NA,low carbonate soil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piazza_et_al_2011,none specified,NA,NA,NA,60,NA,not specified,550,2,NA,NA,NA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no details,NA,NA,NA,NA,NA
Radabaugh_et_al_2018,russian corer,roots and rhizomes included,NA,NA,105,NA,NA,550,3,modeled,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,extrapolated from subset of samples,NA,NA,NA,NA,NA
Windham_Meyers_et_al_2010,piston corer,NA,NA,NA,105,NA,time approximate,450,4,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,russian corer,NA,NA,NA,NA,NA,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,NA,NA,NA,NA,NA,NA,AMS,NA,YBP,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,hargas corer,NA,sediment sieved,corer limits compaction,80,NA,time approximate,NA,NA,measured,TRUE,EA,organic carbon,NA,2,NA,NA,NA,acid fumigation,NA,gamma,mass accumulation,CRS,each sample,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2013,hargas corer,NA,NA,corer limits compaction,80,NA,time approximate,NA,NA,measured,TRUE,EA,organic carbon,gamma,2,NA,NA,NA,acid fumigation,NA,gamma,mass accumulation,CRS,each sample,NA,NA,CE,NA,NA,NA,NA,NA,NA
Drexler_et_al_2009,piston corer,NA,NA,NA,105,NA,time approximate,550,4,modeled,FALSE,NA,total carbon,NA,NA,12,NA,NA,low carbonate soil,fraction carbon extrapolated from subset of samples,NA,NA,NA,NA,AMS,NA,YBP,NA,NA,NA,NA,NA,NA
Doughty_et_al_2016,other shallow corer,roots and rhizomes separated,sediment not sieved,compaction quantified,105,NA,air dried to constant mass,NA,NA,measured,FALSE,EA,total carbon,NA,NA,336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Craft_2007,none specified,NA,NA,NA,NA,NA,air dried to constant mass,NA,NA,measured,TRUE,EA,total carbon,gamma,NA,NA,NA,NA,direct acid treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chambers_et_al_2019,push core,roots and rhizomes included,sediment not sieved,no obvious compaction,70,NA,time approximate,550,3,measured,FALSE,EA,total carbon,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White_et_al_2020_a,push core,roots and rhizomes included,sediment not sieved,no obvious compaction,60,384.85,air dried to constant mass,550,4,measured,FALSE,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White_et_al_2020_b,piston corer,NA,sediment not sieved,not specified,60,384.85,air dried to constant mass,550,4,measured,FALSE,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019,hargas corer,NA,NA,compaction qualified,85,NA,NA,450,8,measured,NA,EA,NA,gamma,NA,72,NA,NA,NA,NA,gamma,accretion,CIC,NA,NA,NA,NA,NA,pb214,NA,NA,NA,NA
Buffington_et_al_2020,russian corer,roots and rhizomes included,sediment not sieved,corer limits compaction,80,1,NA,500,4,modeled,FALSE,NA,total carbon,gamma,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CE,NA,NA,NA,NA,NA,NA
Breithaupt_et_al_2020,pvc and hammer,roots and rhizomes included,sediment not sieved,no obvious compaction,105,NA,air dried to constant mass,550,3,measured,TRUE,EA,organic carbon,gamma,NA,24,NA,NA,acid fumigation,NA,gamma,NA,CRS,NA,NA,NA,core collection date,NA,NA,NA,NA,NA,NA
Breithaupt_et_al_2014,pvc and hammer,roots and rhizomes included,sediment not sieved,no obvious compaction,105,NA,air dried to constant mass,550,3,measured,TRUE,EA,organic carbon,gamma,NA,24,NA,NA,acid fumigation,NA,gamma,NA,CRS,NA,NA,NA,core collection date,NA,NA,4.15,8.3,4.15,8.3
Boyd_2012,pvc and hammer,NA,NA,NA,NA,NA,modeled,550,4,NA,NA,NA,NA,gamma,NA,NA,4,NA,NA,NA,gamma,accretion,CIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_and_Sommerfield_2016,pvc and hammer,NA,NA,NA,NA,NA,modeled,550,4,NA,NA,NA,NA,gamma,NA,NA,4,NA,NA,NA,gamma,accretion,CFCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2017,piston corer,roots and rhizomes included,NA,corer limits compaction,NA,NA,modeled,550,4,measured,TRUE,NA,organic carbon,gamma,NA,NA,4,NA,acid fumigation,NA,gamma,not specified,CFCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Unger_et_al_2016,piston corer,roots and rhizomes included,NA,corer limits compaction,NA,NA,modeled,550,4,measured,TRUE,NA,organic carbon,NA,NA,NA,4,NA,acid fumigation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,pvc and hammer,roots and rhizomes included,sediment not sieved,compaction quantified,60,24.5,to constant mass,NA,NA,measured,TRUE,EA,organic carbon,NA,NA,48,NA,NA,direct acid treatment,NA,alpha,mass accumulation,CRS,NA,AMS,"Mix of dating methods used for each core. 14C measurements were made on particualte OM, dead seagrass sheaths",YBP,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,mcauley corer,NA,NA,NA,NA,40.85641245993526,freeze dried,550,14,NA,NA,NA,NA,gamma,NA,NA,NA,NA,NA,NA,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arriola_and_Cable_2017,push core,NA,NA,compaction qualified,60,NA,NA,550,4,measured,NA,EA,total carbon,gamma,NA,48,NA,NA,NA,NA,gamma,NA,CRS,each sample,NA,NA,core collection date,NA,NA,NA,NA,NA,NA
Abbott_et_al_2019,polycarbonate tube,roots and rhizomes included,NA,corer limits compaction,60,NA,to constant mass,550,4,measured,TRUE,EA,organic carbon,NA,NA,NA,NA,NA,acid fumigation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
