study_id,bibliography_id,publication_type,bibtype,doi,url,author,keywords,title,publisher,year,copyright,month,volume,number,pages,journal,school,key,editor,booktitle,institution,language
StLaurent_et_al_2020,StLaurent_et_al_2020,associated,Article,10.1007/s11852-020-00783-3,https://doi.org/10.1007/s11852-020-00783-3,Kari A. St. Laurent and Daniel J. Hribar and Annette J. Carlson and Calyn M. Crawford and Drexel Siok,NA,Assessing coastal carbon variability in two Delaware tidal marshes,Springer Science and Business Media {LLC},2020,NA,oct,24,6,NA,Journal of Coastal Conservation,NA,NA,NA,NA,NA,NA
Smith_et_al_2015,Smith_et_al_2015,data release,Misc,10.3133/ds877,https://doi.org/10.3133/ds877,Kathryn E. L. Smith and James G. Flocks and Gregory D. Steyer and Sarai C. Piazza,NA,Wetland paleoecological study of southwest coastal Louisiana: sediment cores and diatom calibration dataset,{US} Geological Survey,2015,NA,NA,NA,NA,NA,NA,NA,Smith_et_al_2015,NA,NA,NA,NA
Campbell_et_al_2015,Campbell_et_al_2014_article,associated,Article,10.1007/s12237-014-9802-9,https://doi.org/10.1007/s12237-014-9802-9,J. E. Campbell and E. A. Lacey and R. A. Decker and S. Crooks and J. W. Fourqurean,NA,"Carbon Storage in Seagrass Beds of Abu Dhabi, United Arab Emirates",Springer Science and Business Media {LLC},2014,NA,mar,38,1,242--251,Estuaries and Coasts,NA,NA,NA,NA,NA,NA
Schile-Beers_and_Megonigal_2017,Schile-Beers_et_al_2017_data,synthesis,Misc,10.5479/data_serc/10088/31949,https://repository.si.edu/handle/10088/31949,Lisa M. Schile and J. Patrick Megonigal,NA,Abu Dhabi Blue Carbon Demonstration Project,Smithsonian Environmental Research Center,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell_et_al_2015,Schile-Beers_et_al_2017_data,synthesis,Misc,10.5479/data_serc/10088/31949,https://repository.si.edu/handle/10088/31949,Lisa M. Schile and J. Patrick Megonigal,NA,Abu Dhabi Blue Carbon Demonstration Project,Smithsonian Environmental Research Center,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abino_et_al_2014,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2015,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ajonina_et_al_2014,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allen_et_al_2007,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_1996,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_1999,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2001,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2004,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2005,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2008,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andreetta_et_al_2014,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andreetta_et_al_2016,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashton_and_Macintosh_2002,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Banerjee_et_al_2012,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bouillon_et_al_2003,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brunskill_et_al_2002,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brunskill_et_al_2004,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bukoski_et_al_2017,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulmer_et_al_2016,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cahoon_and_Lynch_1997,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callaway_et_al_1997,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cardona_and_Botero_1998,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chanda_et_al_2013,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chen_and_Twilley_1999,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chen_et_al_2010,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chen_et_al_2012,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chen_et_al_2014,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chen_et_al_2016,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chmura_et_al_2003,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DelVecchia_et_al_2014,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dissanayake_and_Chandrasekara_2014,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donato_et_al_2011,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donato_et_al_2012,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dung_et_al_2016,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dutta_et_al_2013,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ezcurra_et_al_2016,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ferreira_et_al_2007,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fujimoto_et_al_1999,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gillis_et_al_2017,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gleason_and_Ewel_2002,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gomes_et_al_2016,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gonneea_et_al_2004,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
He_et_al_2002,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Howe_et_al_2009,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jennerjahn_and_Ittekkot_2002,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jones_et_al_2016,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kao_et_al_2002,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keuskamp_et_al_2013,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kristensen_et_al_1992,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kristensen_et_al_2000,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lacerda_et_al_1995,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lallier-Verges_et_al_1998,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lang'at_et_al_2014,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lee_and_Baker_1972,Sanderman_2018_data,synthesis,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,Jonathan Sanderman,NA,Global mangrove soil carbon: dataset and spatial maps,Harvard Dataverse,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
