study_id,site_id,core_id,year,core_notes,latitude,longitude,position_method,salinity_class,salinity_method,vegetation_class,vegetation_method,inundation_class,inundation_method,month,day,position_accuracy,position_notes,elevation,elevation_datum,elevation_accuracy,elevation_method,elevation_notes,salinity_notes,vegetation_notes,habitat,inundation_notes,core_length_flag
Watson_and_Byrne_2013,Bair_Island,Bair_Island_4,NA,NA,32.567032,-117.130867,NA,saline,NA,emergent,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,core depth represents deposit depth
Watson_and_Byrne_2013,Corkscrew_Slough,Corkscrew_Slough_1,NA,NA,32.567032,-117.130867,NA,saline,NA,emergent,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,core depth represents deposit depth
Watson_and_Byrne_2013,Corkscrew_Slough,Corkscrew_Slough_2,NA,NA,32.567032,-117.130867,NA,saline,NA,emergent,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,core depth represents deposit depth
Watson_and_Byrne_2013,Coyote_Creek,Coyote_Creek_1,NA,NA,32.567032,-117.130867,NA,saline,NA,emergent,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,core depth represents deposit depth
Watson_and_Byrne_2013,Coyote_Creek,Coyote_Creek_2,NA,NA,32.567032,-117.130867,NA,saline,NA,emergent,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,core depth represents deposit depth
Watson_and_Byrne_2013,Coyote_Creek,Coyote_Creek_3,NA,NA,32.567032,-117.130867,NA,saline,NA,emergent,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,core depth represents deposit depth
Watson_and_Byrne_2013,Coyote_Creek,Coyote_Creek_4,NA,NA,32.567032,-117.130867,NA,saline,NA,emergent,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,core depth represents deposit depth
Watson_and_Byrne_2013,Damon_Slough,Damon_Slough_1,NA,NA,32.567032,-117.130867,NA,saline,NA,emergent,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,core depth represents deposit depth
Watson_and_Byrne_2013,Damon_Slough,Damon_Slough_2,NA,NA,32.567032,-117.130867,NA,saline,NA,emergent,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,core depth represents deposit depth
Watson_and_Byrne_2013,Greco_Island,Greco_Island_1,NA,NA,32.567032,-117.130867,NA,saline,NA,emergent,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,core depth represents deposit depth
Watson_and_Byrne_2013,Greco_Island,Greco_Island_2,NA,NA,32.567032,-117.130867,NA,saline,NA,emergent,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,core depth represents deposit depth
Watson_and_Byrne_2013,Mud_Slough,Mud_Slough_1,NA,NA,32.567032,-117.130867,NA,saline,NA,emergent,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,core depth represents deposit depth
Watson_and_Byrne_2013,Mud_Slough,Mud_Slough_2,NA,NA,32.567032,-117.130867,NA,saline,NA,emergent,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,core depth represents deposit depth
Watson_and_Byrne_2013,Mud_Slough,Mud_Slough_3,NA,NA,32.567032,-117.130867,NA,saline,NA,emergent,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,core depth represents deposit depth
Watson_and_Byrne_2013,Plummer_Slough,Plummer_Slough_1,NA,NA,32.567032,-117.130867,NA,saline,NA,emergent,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,core depth represents deposit depth
Watson_and_Byrne_2013,Ravenswood_Slough,Ravenswood_Slough_1,NA,NA,32.567032,-117.130867,NA,saline,NA,emergent,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,core depth represents deposit depth
Watson_and_Byrne_2013,Ravenswood_Slough,Ravenswood_Slough_2,NA,NA,32.567032,-117.130867,NA,saline,NA,emergent,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,core depth represents deposit depth
Watson_and_Byrne_2013,South_Belmont,South_Belmont_Slough_1,NA,NA,32.567032,-117.130867,NA,saline,NA,emergent,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,core depth represents deposit depth
Watson_and_Byrne_2013,South_Belmont,South_Belmont_Slough_2,NA,NA,32.567032,-117.130867,NA,saline,NA,emergent,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,core depth represents deposit depth
Watson_and_Byrne_2013,Triangle_Marsh,Triangle_Marsh_1,NA,NA,32.567032,-117.130867,NA,saline,NA,emergent,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,core depth represents deposit depth
Watson_and_Byrne_2013,Triangle_Marsh,Triangle_Marsh_2,NA,NA,32.567032,-117.130867,NA,saline,NA,emergent,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,core depth represents deposit depth
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,2017,NA,32.567032,-117.130867,NA,estuarine,field observation,scrub shrub,measurement,mid,field observation,4,11,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,full profiles omitted
Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,2017,NA,32.567032,-117.130867,NA,estuarine,field observation,emergent,measurement,mid,field observation,4,11,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,full profiles omitted
Vaughn_et_al_2020,St_Augustine,St_Augustine_Transition,2017,NA,32.567032,-117.130867,NA,estuarine,field observation,scrub shrub,measurement,mid,field observation,4,11,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,full profiles omitted
Vaughn_et_al_2020,Waccasassa_Bay,Waccasassa_Bay_Mangrove,2018,NA,32.567032,-117.130867,NA,estuarine,field observation,scrub shrub,measurement,mid,field observation,5,1,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,full profiles omitted
Vaughn_et_al_2020,Waccasassa_Bay,Waccasassa_Bay_Salt_Marsh,2018,NA,32.567032,-117.130867,NA,estuarine,field observation,emergent,measurement,high,field observation,5,1,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,full profiles omitted
Vaughn_et_al_2020,Waccasassa_Bay,Waccasassa_Bay_Transition,2018,NA,32.567032,-117.130867,NA,estuarine,field observation,scrub shrub,measurement,mid,field observation,5,1,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,full profiles omitted
Vaughn_et_al_2020,Waccasassa_Bay,Waccasassa_Bay_Mangrove_replicate,2018,NA,32.567032,-117.130867,NA,estuarine,field observation,scrub shrub,measurement,mid,field observation,5,1,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,full profiles omitted
Trettin_et_al_2017,1001,1001_1,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1001,1001_2,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1001,1001_3,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1001,1001_4,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1001,1001_5,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1079,1079_1,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1079,1079_2,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1079,1079_3,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1079,1079_4,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1079,1079_5,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1113,1113_1,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1113,1113_2,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1113,1113_3,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1113,1113_4,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1130,1130_1,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1130,1130_2,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1130,1130_3,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1130,1130_4,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1130,1130_5,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1216,1216_1,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1216,1216_2,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1216,1216_3,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1216,1216_4,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1216,1216_5,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1219,1219_1,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1219,1219_2,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1219,1219_3,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1219,1219_4,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1219,1219_5,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1254,1254_1,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1254,1254_2,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1254,1254_3,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1254,1254_4,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1254,1254_5,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1285,1285_1,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1285,1285_2,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1285,1285_3,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1285,1285_4,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1285,1285_5,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,13,13_1,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,13,13_2,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,13,13_3,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,13,13_4,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,13,13_5,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,13,13_6,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1305,1305_1,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1305,1305_4,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1314,1314_1,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1314,1314_2,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1314,1314_3,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1314,1314_4,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1314,1314_5,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1317,1317_1,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1317,1317_2,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1317,1317_3,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1317,1317_4,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1317,1317_5,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1359,1359_1,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1359,1359_2,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1359,1359_3,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
Trettin_et_al_2017,1359,1359_4,NA,NA,32.567032,-117.130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified
