study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,cs137_activity,cs137_activity_se,total_pb210_activity,total_pb210_activity_se,ra226_activity,ra226_activity_se,excess_pb210_activity,excess_pb210_activity_se,age,age_se,delta_c13,pb210_unit,ra226_unit,cs137_unit,method_id
Breithaupt_et_al_2020,NMg,BWB1A,6,8,0.29,0.35,0.15,0,0,2.95,0.11,1.09,0.28,1.88,0.31,16.7,2.7,-27.45,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,BWB1A,8,10,0.24,0.32,0.19,0,0,2.69,0.13,0.85,0.27,1.87,0.3,19.8,2.8,-27.08,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,CCB2,0,2,0.16,0.66,0.29,0,0.01,11.23,0.36,1.07,0.11,10.31,0.38,4.8,0.6,-27.66,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,CCB2,10,11,0.23,0.41,0.23,0.12,0.02,3.78,0.15,0.54,0.09,3.29,0.18,24.9,0.8,-27.54,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,CCB2,11,12,0.21,0.46,0.21,0.18,0.01,3,0.08,0.57,0.08,2.47,0.11,28.1,0.9,-27.3,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,CCB2,12,13,0.18,0.47,0.2,0.2,0.01,2.96,0.07,0.4,0.07,2.6,0.1,31.2,0.9,-27.27,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,CCB2,13,14,0.25,0.54,0.22,0.18,0.02,3.69,0.15,0.48,0.1,3.26,0.18,37.6,1,-27.21,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,CCB2,14,15,0.26,0.42,0.12,0,0,2.69,0.12,0.57,0.08,2.16,0.14,42.9,1.1,-27.39,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,CCB2,15,16,0.26,0.35,0.15,0,0,1.76,0.07,0.35,0.06,1.44,0.09,46.9,1.2,NA,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,CCB2,16,17,0.26,0.34,0.26,0,0.01,2.22,0.1,0.34,0.08,1.91,0.14,53.2,1.3,-26.56,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,CCB2,17,18,0.32,0.31,0.14,0,0,1.89,0.06,0.41,0.07,1.51,0.09,60.7,1.6,NA,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,CCB2,18,19,0.25,0.32,0.14,0,0,1.36,0.06,0.39,0.07,0.98,0.09,65.4,1.7,-26.89,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,CCB2,19,20,0.29,0.27,0.12,0,0,1.22,0.05,0.3,0.05,0.94,0.08,71.6,2,NA,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,CCB2,2,4,0.16,0.64,0.28,0,0.01,7.89,0.26,0.47,0.09,7.52,0.28,8.8,0.7,-27.8,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,CCB2,20,21,0.51,0.2,0.22,0,0,1.28,0.05,0.31,0.05,1,0.07,87.7,2.9,-26.55,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,CCB2,21,22,0.56,0.19,0.08,0,0,0.79,0.03,0.33,0.06,0.47,0.06,101.1,3.8,NA,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,CCB2,22,23,0.38,0.27,0.05,0,0,0.57,0.03,0.35,0.05,0.23,0.06,106.9,4.3,-26.79,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,CCB2,23,24,0.57,0.23,0.1,0,0,0.76,0.03,0.39,0.05,0.38,0.06,129.2,6.7,NA,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,CCB2,24,25,0.44,0.17,0.05,0,0,0.56,0.02,0.42,0.05,0.14,0.05,139.8,7.9,-26.78,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,CCB2,25,26,0.62,0.11,NA,0,0,0.55,0.03,0.3,0.05,0.25,0.06,NA,NA,NA,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,CCB2,4,6,0.17,0.59,0.26,0,0.01,7.45,0.31,0.43,0.11,7.13,0.33,13.4,0.7,-27.69,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,CCB2,6,8,0.18,0.56,0.26,0,0.01,4.91,0.17,0.47,0.09,4.5,0.19,16.8,0.7,-27.49,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,CCB2,8,10,0.21,0.55,0.25,0,0.01,4.64,0.11,0.56,0.08,4.14,0.14,20.9,0.8,-27.52,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,UFU1A,0,2,0.18,0.49,0.22,-0.03,0,8.02,0.35,0.88,0.07,7.22,0.37,5.6,0.7,-28.57,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,UFU1A,10,11,0.21,0.38,0.22,0.17,0.02,4.72,0.18,0.98,0.05,3.78,0.19,27.8,0.7,-28.09,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,UFU1A,11,12,0.19,0.41,0.18,0.14,0.02,4.75,0.17,0.88,0.05,3.92,0.18,31.4,0.7,-28.07,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,UFU1A,12,13,0.23,0.37,0.19,0.21,0.01,4.24,0.14,0.83,0.04,3.45,0.15,35.6,0.8,-28.06,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,UFU1A,13,14,0.18,0.45,0.18,0.21,0.01,4.45,0.14,1.23,0.04,3.26,0.14,39.2,0.8,-27.88,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,UFU1A,14,15,0.2,0.31,0.18,0.22,0.02,3.82,0.16,0.92,0.05,2.94,0.17,43.3,0.9,-27.85,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,UFU1A,15,16,0.21,0.42,0.18,0.15,0.01,3.52,0.11,0.98,0.04,2.57,0.11,47.6,0.9,NA,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,UFU1A,16,17,0.2,0.37,0.19,0.44,0.03,3.52,0.18,1.21,0.06,2.33,0.19,51.9,1,-27.74,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,UFU1A,17,18,0.17,0.35,0.15,0.37,0.02,3.05,0.1,1.03,0.04,2.04,0.11,55.5,1,NA,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,UFU1A,18,19,0.21,0.37,0.18,0.18,0.02,3.24,0.16,1.01,0.06,2.27,0.17,61,1.1,-27.72,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,UFU1A,19,20,0.2,0.43,0.19,0.03,0.01,2.98,0.1,0.97,0.04,2.04,0.11,66.6,1.2,NA,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,UFU1A,2,4,0.15,0.47,0.24,-0.03,0,6.84,0.32,0.97,0.07,5.93,0.33,9.9,0.7,-28.53,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,UFU1A,20,21,0.23,0.34,0.19,-0.04,0,2.98,0.14,1.03,0.05,1.98,0.15,74.3,1.4,-27.43,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,UFU1A,21,22,0.22,0.43,0.19,-0.03,0,2.71,0.11,1.08,0.04,1.65,0.12,82.4,1.6,NA,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,UFU1A,22,23,0.23,0.32,0.17,-0.03,0,2.55,0.1,1.07,0.04,1.51,0.11,92.4,1.9,-27.45,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,UFU1A,23,24,0.22,0.33,NA,-0.04,0,2.48,0.07,1.1,0.03,1.4,0.08,105.3,2.7,NA,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,UFU1A,24,25,0.29,0.31,0.18,-0.03,0,2.09,0.13,1.08,0.06,1.03,0.15,125.9,2.8,-27.27,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,UFU1A,25,26,0.22,0.38,NA,-0.03,0,2,0.08,1.07,0.03,0.94,0.09,156.5,5.5,NA,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,UFU1A,26,27,NA,NA,0.17,-0.03,0,1.62,0.11,0.94,0.05,0.68,0.12,NA,NA,-27.08,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,UFU1A,4,6,0.13,0.45,0.23,-0.03,0,6.56,0.32,0.87,0.07,5.75,0.33,14,0.7,-28.32,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,UFU1A,6,8,0.16,0.43,0.21,0.1,0.01,5.28,0.14,0.8,0.04,4.53,0.15,18.7,0.7,-28.16,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,NMg,UFU1A,8,10,0.19,0.4,0.18,0.14,0.02,4.91,0.21,0.92,0.06,4.04,0.22,24.4,0.7,-28.23,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC2A,0,2,0.1,0.81,0.42,0,0,20.34,0.68,1.68,0.59,18.75,0.91,6.7,1,-29.17,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC2A,10,11,0.12,0.84,0.42,0.79,0.05,12.49,0.36,1.09,0.51,11.47,0.63,52.8,2.1,-27.94,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC2A,11,12,0.11,0.84,0.41,0.89,0.05,8.42,0.3,1.02,0.52,7.45,0.6,60.5,2.5,-27.65,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC2A,12,13,0.11,0.84,0.43,0.46,0.04,8.48,0.3,1.49,0.59,7.04,0.67,70.1,3.1,-27.61,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC2A,13,14,0.12,0.85,0.44,0,0,7.1,0.32,0.98,0.6,6.17,0.69,83.8,4.3,-27.44,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC2A,14,15,0.12,0.85,0.43,0,0,5.3,0.24,1.04,0.61,4.3,0.67,97.2,5.9,-27.52,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC2A,15,16,0.13,0.84,0.45,0,0,4.69,0.33,0.84,0.77,3.87,0.85,120.4,9.7,-27.46,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC2A,16,17,0.12,0.87,0.44,0,0,2.56,0.24,0.79,0.77,1.79,0.81,140.7,12.8,-27.56,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC2A,17,18,0.13,0.84,0.43,0,0,2.78,0.27,0.83,0.73,1.96,0.78,NA,NA,-27.54,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC2A,2,4,0.11,0.83,0.41,0,0,17.23,0.45,1.36,0.58,15.94,0.73,14.6,1.1,-28.7,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC2A,4,6,0.1,0.83,0.42,0,0,14.89,0.35,1.47,0.67,13.48,0.76,22.7,1.3,-28.19,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC2A,6,8,0.1,0.81,0.41,0.34,0.03,14.42,0.4,1.71,0.53,12.77,0.66,32.6,1.5,-28.09,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC2A,8,10,0.09,0.83,0.41,0.97,0.06,11.18,0.41,0.92,0.66,10.32,0.78,42.8,1.7,-27.71,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMs,WSC2B,0,2,0.1,0.81,0.43,0,0,33.75,0.6,1.57,0.55,33.13,0.84,15.7,1,-27.58,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMs,WSC2B,10,11,NA,0.87,0.47,0,0,1.53,0.19,0.77,0.61,0.78,0.66,NA,NA,-27.03,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMs,WSC2B,2,4,0.11,0.83,0.43,0.34,0.03,20.99,0.38,1.51,0.48,20.05,0.63,33.3,1.3,-27.47,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMs,WSC2B,4,6,0.1,0.83,0.43,1.38,0.06,17.97,0.42,1.07,0.52,17.4,0.69,63.4,2.2,-26.96,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMs,WSC2B,6,8,0.1,0.81,0.43,0.53,0.03,10,0.24,0.68,0.5,9.6,0.57,119.8,7.8,-26.71,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMs,WSC2B,8,10,0.09,0.83,0.46,0,0,2.35,0.19,0.74,0.47,1.65,0.52,166.2,0.6,-27.29,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC8A,0,2,0.17,0.7,0.31,0,0.01,10.9,0.34,1.01,0.12,10.02,0.36,3.9,0.6,-28.27,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC8A,10,12,0.15,0.63,0.27,0.71,0.06,6.97,0.32,1.44,0.14,5.61,0.35,31.4,0.8,-27.54,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC8A,12,13,0.22,0.62,0.28,0.55,0.05,6.92,0.31,1.3,0.13,5.68,0.34,35.4,0.8,-27.52,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC8A,13,14,0.16,0.57,0.29,0.63,0.06,6.44,0.32,1.2,0.14,5.31,0.35,38.5,0.8,-27.39,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC8A,14,15,0.14,0.61,0.3,0.49,0.03,6.22,0.2,1.28,0.16,5.01,0.25,41.2,0.9,-27.48,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC8A,15,16,0.18,0.67,0.29,0.65,0.05,6.15,0.26,1.54,0.18,4.67,0.32,44.8,0.9,-27.41,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC8A,16,17,0.17,0.63,0.29,0.35,0.04,5.29,0.24,1.24,0.17,4.1,0.3,48.2,1,-27.1,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC8A,17,18,0.16,0.68,0.3,-0.01,0.01,4.8,0.14,1.32,0.15,3.55,0.2,51.3,1,-27.13,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC8A,18,19,0.17,0.67,0.32,-0.01,0.01,4.77,0.2,1.05,0.2,3.78,0.29,55,1.1,-27.45,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC8A,19,20,0.18,0.64,0.31,-0.01,0.01,4.91,0.17,1.23,0.17,3.75,0.24,59.5,1.2,-27.29,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC8A,2,4,0.17,0.64,0.28,0,0.01,10.25,0.34,1.14,0.11,9.23,0.36,8.1,0.6,-27.65,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC8A,20,21,0.18,0.65,0.3,-0.01,0.01,4.7,0.18,1.21,0.19,3.54,0.27,64.5,1.4,-27.29,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC8A,21,22,0.24,0.65,0.31,-0.01,0.01,4.56,0.18,1.22,0.23,3.39,0.3,72,1.5,-27.18,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC8A,22,23,0.21,0.67,0.3,-0.01,0.01,3.66,0.17,1.11,0.19,2.59,0.26,78.2,1.7,-27.19,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC8A,23,24,0.18,0.66,0.3,-0.01,0.01,3.45,0.15,1.37,0.15,2.11,0.21,83.4,1.9,-26.93,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC8A,24,25,0.2,0.62,0.31,-0.01,0.01,3.77,0.18,1.29,0.2,2.53,0.28,92,2.1,-27.07,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC8A,25,26,0.27,0.54,0.29,-0.01,0.01,3.37,0.14,1.42,0.18,1.99,0.24,104.8,2.5,-27.13,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC8A,26,27,0.25,0.51,0.3,0,0.01,2.96,0.08,1.47,0.11,1.51,0.14,118.3,3.5,-27.3,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC8A,27,28,0.21,0.67,0.32,0,0.01,3.17,0.14,1.63,0.14,1.58,0.21,138.1,5.4,-27.4,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC8A,28,29,0.2,0.64,0.3,-0.01,0.01,2.56,0.09,1.81,0.15,0.77,0.18,154.6,7.5,-27.29,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC8A,29,30,0.23,0.58,0.34,0,0.01,2.26,0.12,1.44,0.14,0.83,0.18,205.9,24.6,-27.61,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC8A,30,31,0.25,0.64,NA,0,0.01,2.02,0.07,1.83,0.12,0.19,0.14,NA,NA,NA,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
Breithaupt_et_al_2020,SMg,WSC8A,4,6,0.22,0.57,0.29,-0.01,0.01,10.34,0.33,1.47,0.16,8.98,0.38,14.4,0.7,-28.18,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,single set of methods
