table,attribute_name,attribute_definition,required,data_type,format_unit_codes,number,data_category,parent_data_category,quality_class,uncontrolled,conditional_on,conditional_variables,conditional_on_absence
methods,dry_bulk_density_sample_mass,"Sample mass used for bulk density measurements, if held constant.",encouraged,numeric,gram,real,dry_bulk_density,carbon_stock,NA,NA,NA,NA,dry_bulk_density_sample_volume
methods,dry_bulk_density_flag,Any notable codes regarding how the authors quantified dry bulk density.,optional,factor,"air dried to constant mass = Methodology specified that samples were air dried to a constant mass; modeled = Bulk density was not measured, but was modeled from loss on ignition and assumptions about the particle densities of organic and inorganic matter; freeze dried = Bulk density was measured on freeze dried samples; not specified = No additional details regarding bulk density methodology were provided; removed non structural water = Bulk density methodology did not specify drying temperature or length, only that non-strucural water was removed; time approximate = Bulk density time recorded herin is an approximate estimate; to constant mass = Bulk density methodology did not specify drying temperature or length, only that samples were dried to a constant mass",NA,dry_bulk_density,carbon_stock,NA,NA,NA,NA,NA
methods,loss_on_ignition_temperature,Temperature at which samples were combusted to estimate fraction organic matter.,encouraged,numeric,celsius,real,loss_on_ignition,carbon_stock,NA,NA,NA,NA,NA
methods,loss_on_ignition_time,Time over which samples were combusted to estimate fraction organic matter.,encouraged,numeric,hour,integer,loss_on_ignition,carbon_stock,NA,NA,NA,NA,NA
methods,loss_on_ignition_sample_volume,"Sample volume used for loss on ignition, if held constant.",encouraged,numeric,centimeterCubed,real,loss_on_ignition,carbon_stock,NA,NA,NA,NA,loss_on_ignition_sample_mass
methods,loss_on_ignition_sample_mass,"Sample mass used for loss on ignition, if held constant.",encouraged,numeric,gram,real,loss_on_ignition,carbon_stock,NA,NA,loss_on_ignition_sample_volume,NA,loss_on_ignition_sample_volume
methods,loss_on_ignition_flag,Common codes regarding loss on ignition methodology.,optional,factor,time approximate = Loss on ignition time recorded herein is an approximate estimate; not specified = No additional details regarding loss on ignition methodology or time were provided,NA,loss_on_ignition,carbon_stock,NA,NA,NA,NA,NA
methods,carbon_measured_or_modeled,Code indicating whether fraction carbon was measured or estimated as a function of organic matter.,optional,factor,measured = Fraction carbon was measured as opposed to modeled; modeled = Fraction carbon was modeled as opposed to measured.,NA,fraction_carbon,carbon_stock,NA,NA,NA,NA,NA
methods,carbonates_removed,Whether or not carbonates were removed prior to calculating fraction organic carbon.,conditional,factor,FALSE = Carbonates were not removed before measuring organic carbon; TRUE = Carbonates were removed before measuring organic carbon.,NA,fraction_carbon,carbon_stock,NA,NA,carbon_measured_or_modeled,measured,NA
methods,carbonate_removal_method,The method used to remove carbonates prior to measuring fraction carbon.,conditional,factor,direct acid treatment = Carbonates were removed using direct application of dilute acid; acid fumigation = Carbonates were removed by fumigating with concentrated acid; low carbonate soil = Organic carbon fraction was measured without removing carbonates assuming carbonate content of the soil type was minimal; carbonates not removed = Carbonates were not removed and low carbonate soil was not specified; none specified = Carbonate removal methodology was not specified.; total carbon difference after LOI = Samples were run twice in the elemental analyzer - once with original sample and once with sample after LOI occurred. Pre and post-LOI values were differenced to determine organic carbon.,NA,fraction_carbon,carbon_stock,NA,NA,carbonates_removed,TRUE,NA
methods,fraction_carbon_method,"Code indicating the method for which fraction carbon was measured or modeled (Note: regression based models are permitted, but the use of the Bemmelen factor [0.58 gOC gOM-1] is discouraged).",conditional,factor,"Craft regression = Used regression model from Craft et al., 1991, Estuaries, to predict fraction carbon as a function of fraction organic matter; EA = Each sample presented was measured using Elemental Analysis; Fourqurean regression = Used regression model from Fourqurean et al., 2012, Nature Geoscience, to predict fraction carbon as a function of fraction organic matter; Holmquist regression = Used regression model from Holmquist et al., 2018, Scientific Reports, to predict fraction carbon as a function of fraction organic matter; kjeldahl digestion = Each sample was measured kjeldahl digestion method; local regression = A regression model fit using a subset of measurements was used to predict fraction carbon as a function of fraction organic matter; not specified = No additional details were provided regarding fraction carbon methodologies; wet oxidation = Each sample was measured using a wet oxidation method.",NA,fraction_carbon,carbon_stock,NA,NA,carbon_measured_or_modeled,measured,NA
methods,fraction_carbon_type,Code indicating whether fraction_carbon refers to organic or total carbon.,conditional,factor,organic carbon = Author specified that fraction carbon measurements were of organic carbon; total carbon = Author specified that fraction carbon measurements were of total carbon.,NA,fraction_carbon,carbon_stock,NA,NA,carbon_measured_or_modeled,measured,NA
methods,carbon_profile_notes,"Any other submitter defined notes describing methodologies for determining dry bulk density, organic matter fraction, and carbon fraction.",optional,character,NA,NA,NA,carbon_stock,NA,NA,NA,NA,NA
methods,cs137_counting_method,Code indicating the method used for determining radiocesium activity.,optional,factor,alpha = Alpha counting method used; gamma = Gamma counting method used.,NA,cs137,age_depth,NA,NA,NA,NA,NA
methods,pb210_counting_method,Code indicating the method used for determining lead 210 activity.,optional,factor,alpha = Alpha counting method used; gamma = Gamma counting method used.,NA,pb210,age_depth,NA,NA,NA,NA,NA
methods,excess_pb210_rate,Code indicating the mass or accretion rate used in the excess_pb_210_model.,optional,factor,mass accumulation = Excess 210Pb modeled using mass accumulation rate; accretion = Excess 210Pb modeled using vertical accretion rate.; cumulative mass = Model run as excess 210Pb against cumulative mass.; depth = Model run as excess 210Pb against depth.,NA,pb210,age_depth,NA,NA,NA,NA,NA
methods,excess_pb210_model,Code indicating the model used to estimate accumulation rates and/or age-depth chronologies.,optional,factor,CRS = Constant rate of supply model used to estimate mass and/or accretion rates from age profile or chronology.; CIC = Constant initial concentration model used.; CFCS = Constant flux constant sedimentation model used.,NA,pb210,age_depth,NA,NA,NA,NA,NA
methods,ra226_assumption,Code indicating the assumption used to estimate the core's supported 226Ra specific activities.,optional,factor,each sample = 226Ra was measured for each sample; total core = 226Ra was measured for the total core; at asymptote = asy; selected samples = 226Ra measured by spectrometry at selected samples along the soil profile.,NA,pb210,age_depth,NA,NA,NA,NA,NA
methods,c14_counting_method,Code indicating the method used for determining radiocarbon activity.,optional,factor,AMS = Accelerator mass spectroscopy used; beta = Beta counting used.,NA,c14,age_depth,NA,NA,NA,NA,NA
methods,dating_notes,Any submitter defined notes elaborating on the process of dating the core not yet made clear by the coding.,optional,character,NA,NA,NA,age_depth,NA,NA,NA,NA,NA
methods,age_depth_model_reference,Code indicating the reference or 0 year of the age depth model.,optional,factor,"YBP = Year zero is defined as years before present, 1960 CE; CE = Year zero is set according to Common Era and Before Common Era standards; core collection date = Year zero is set as the core's collection year.",NA,age_depth_model,age_depth,NA,NA,NA,NA,NA
methods,age_depth_model_notes,Any submitter defined notes on how the age depth model was created.,optional,character,NA,NA,age_depth_model,age_depth,NA,NA,NA,NA,NA
sites,study_id,"Unique identifier for the study made up of the first author's family name, as well as the second author's family name or et al. if more than three, then publication year separated by underscores.",required,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
sites,site_id,Site identification code unique to each study.,optional,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
sites,site_description,Site description including relevant study details and political geographic units. Some of these descriptions can be automated by the ingestion code.,optional,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
sites,site_latitude_max,Maximum latitude defining a bounding box for the site in decimal degree World Geodedic System of 1984 (WGS84). This can also be generated automatically by the ingestion code.,optional,numeric,degree,real,NA,position,NA,NA,NA,NA,NA
sites,site_latitude_min,Minimum latitude defining a bounding box for the site in decimal degree WGS84. This can also be generated automatically by the ingestion code.,optional,numeric,degree,real,NA,position,NA,NA,NA,NA,NA
sites,site_longitude_max,Maximum longitude defining a bounding box for the site in decimal degree WGS84. This can also be generated automatically by the ingestion code.,optional,numeric,degree,real,NA,position,NA,NA,NA,NA,NA
sites,site_longitude_min,Minimum longitude defining a bounding box for the site in decimal degree WGS84. This can also be generated automatically by the ingestion code.,optional,numeric,degree,real,NA,position,NA,NA,NA,NA,NA
sites,site_boundaries,"As an alternative to submitting or automatically generating a bounding box, submitters can include a shapefile (.shp) or keyhole markup language (.kml) documenting the geographic boundaries of the site. This can be converted to and stored in well known text (WTK) format.",optional,character,NA,NA,NA,position,NA,NA,NA,NA,NA
sites,salinity_class,"Code based on submitter field observation or measurement indicating average annual salinity (Note: Palustrine and freshwater should only include tidal wetlands, or wetlands that are potentially/formerly tidal but artificially freshened due to artificial tidal restrictions).",optional,factor,estuarine = 0.5-35 ppt.; brine = >50 ppt.; saline = 30-50 ppt.; brackish = 0.5-30 ppt.; fresh = <0.5 ppt.; mixoeuhaline = 30-40 ppt.; polyhaline = 18-30 ppt.; mesohaline = 5-18 ppt.; oligohaline = 0.5-5 ppt.; estuarine C-CAP = 5-35 parts per thousand salinity (ppt) according to the coastal change analysis program; palustrine C-CAP = < 5 ppt according to the coastal change analysis program,NA,NA,salinity,NA,NA,NA,NA,NA
sites,salinity_method,Indicate whether salinity_class was determined using a field observation or a measurement.,optional,factor,field observation = Salinity inferred by field observation such as vegetation; measurement = Salinity observed from local instrument.,NA,NA,salinity,NA,NA,NA,NA,NA
sites,salinity_notes,Any relevant submitter generated notes on how salinity_class was determined.,optional,character,NA,NA,NA,salinity,NA,NA,NA,NA,NA
sites,vegetation_class,Code based on submitter field observations or measurement indicating dominant wetland vegetation type.,optional,factor,emergent = Describes wetlands dominated by persistent emergent vascular plants; scrub shrub = Describes wetlands dominated by woody vegetation < or equal to 5 meters in height; forested = Describes wetlands dominated by woody vegetation > 5 meters in height; forested to shrub = Dominated by forested to scrub/shrub biomass; forested to emergent = Dominated by forest and underlying marsh; seagrass = Describes tidal or subtidal communities dominated by rooted vascular plants.; unvegetated = Unvegetated.,NA,NA,vegetation,NA,NA,NA,NA,NA
sites,vegetation_method,Indicate whether vegetation_class was determined using a field observation or a measurement.,optional,factor,field observation = Vegetation inferred by field observation; measurement = Vegetation measured by counts or plots.,NA,NA,vegetation,NA,NA,NA,NA,NA
sites,vegetation_notes,Any relevant submitter generated notes on how vegetation_class and/or dominant species were determined.,optional,character,NA,NA,NA,vegetation,NA,NA,NA,NA,NA
sites,inundation_class,Code based on submitter field observation or measurement indicating how often the coring location is inundated.,optional,factor,"high = Study-specific definition of an elevation relatively high in the tidal frame, typically defined by vegetation type; mid = Study-specific definition of an elevation in the relative middle of the tidal frame, typically defined by vegetation type; low = Study-specific definition of an elevation in relatively low in the tidal frame, typically defined by vegetation type; levee = Study-specific definition of a relatively high elevation zone built up on the edge of a river, creek, or channel; back = Study-specific definition of a relatively low elevation zone behind a levee.",NA,NA,inundation,NA,NA,NA,NA,NA
sites,inundation_method,Indicate whether inundation_class was determined using a field observation or a measurement.,optional,factor,field observation = Inundation inferred by field observation such as vegetation; measurement = Inundation class assessed from elevation and nearby tide gauge or other similar method.,NA,NA,inundation,NA,NA,NA,NA,NA
sites,inundation_notes,Any relevant submitter generated notes on how inundation was determined.,optional,character,NA,NA,NA,inundation,NA,NA,NA,NA,NA
cores,study_id,"Unique identifier for the study made up of the first author's family name, as well as the second author's family name or et al. if more than three, then publication year separated by underscores.",required,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
cores,site_id,Site identification code unique to each study.,optional,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
cores,core_id,Core identification code unique to each site.,required,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
cores,year,Year of core collection.,required,numeric,nominalYear,integer,NA,NA,NA,1,NA,NA,NA
cores,month,Numeric month of year of core collection.,optional,numeric,nominalMonth,integer,NA,NA,NA,NA,NA,NA,NA
cores,day,Numeric day of month of core collection.,optional,numeric,nominalDay,integer,NA,NA,NA,NA,NA,NA,NA
cores,core_notes,Any other relevant submitter generated notes on how cores were collected.,optional,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
cores,latitude,Positional latitude of the core in decimal degree WGS84.,required,numeric,degree,real,NA,position,NA,NA,NA,NA,NA
cores,longitude,Positional longitude of the core in decimal degree WGS84.,required,numeric,degree,real,NA,position,NA,NA,NA,NA,NA
cores,position_accuracy,"Accuracy of latitude and longitude measurement, if determined and recorded.",encouraged,numeric,meter,real,NA,position,NA,NA,NA,NA,NA
cores,position_method,Code indicating how latitude and longitude were determined.,required,factor,RTK = Real-time kinematic global position system (GPS); handheld = Conventional Commercially available hand-held GPS; other high resolution = Any other technique resulting in positional error < 1 meter; other moderate resolution = Any other technique resulting in positional error < 30 meters; other low resolution = Any other technique resulting in positional error > 30 meters.,NA,NA,position,NA,NA,latitude; longitude,NA,NA
cores,position_notes,Any relevant submitter generated notes on how latitude and longitude were determined.,optional,character,NA,NA,NA,position,NA,NA,NA,NA,NA
cores,elevation,Surface elevation of the core relative to defined datum.,optional,numeric,meter,real,NA,elevation,NA,NA,NA,NA,NA
cores,elevation_datum,The datum relative to which the core elevation was measured against (For a complete list of datum names and aliases please refer to the ISO Geodedic Registry_https://iso.registry.bespire.eu/register/geodetic/VerticalDatum).,conditional,factor,"NAVD88 = A gravity-based geodetic datum, North American Vertical Datum of 1988; MSL = A tidal datum, Mean Sea Level as measured against a local tide gauge; MTL = A tidal datum, Mean Tidal Level as measured against a local tide gauge; MHW = A tidal datum, Mean High Water as measured against a local tide gauge; MHHW = A tidal datum, Mean Higher High Water as measured against a local tide gauge; MHHWS = A tidal datum, Mean Higher High Water for Spring Tides as measured against a local tide gauge; MLW = A tidal datum, Mean Low Water as measured against a local tide gauge; MLLW = A tidal datum, Mean Lower Low Water as measured against a local tide gauge.; NHN = TBD.; NAP = TBD.",NA,NA,elevation,NA,NA,elevation,NA,NA
cores,elevation_accuracy,"Accuracy of elevation measurement, if determined and recorded",optional,numeric,meter,real,NA,elevation,NA,NA,NA,NA,NA
cores,elevation_method,Code indicating how elevation was determined,conditional,factor,RTK = Real-time kinematic GPS; other high resolution = Any other technique resulting in positional error < 5 cm of random error; LiDAR = Handheld GPS matched to lidar-based digital elevation model; DEM = Handheld GPS matched to another digital elevation model; other low resolution = Any other technique resulting in positional error > 5 cm of random error.,NA,NA,elevation,NA,NA,elevation,NA,NA
cores,elevation_notes,Any relevant submitter generated notes on how elevation was determined.,optional,character,NA,NA,NA,elevation,NA,NA,NA,NA,NA
cores,salinity_class,"Code based on submitter field observation or measurement indicating average annual salinity (Note: Palustrine and freshwater should only include tidal wetlands, or wetlands that are potentially/formerly tidal but artificially freshened due to artificial tidal restrictions).",optional,factor,estuarine = 0.5-35 ppt.; brine = >50 ppt.; saline = 30-50 ppt.; brackish = 0.5-30 ppt.; fresh = <0.5 ppt.; mixoeuhaline = 30-40 ppt.; polyhaline = 18-30 ppt.; mesohaline = 5-18 ppt.; oligohaline = 0.5-5 ppt.; estuarine C-CAP = 5-35 parts per thousand salinity (ppt) according to the coastal change analysis program; palustrine C-CAP = < 5 ppt according to the coastal change analysis program,NA,NA,salinity,NA,NA,NA,NA,NA
cores,salinity_method,Indicate whether salinity_class was determined using a field observation or a measurement.,encouraged,factor,field observation = Salinity inferred by field observation such as vegetation; measurement = Salinity observed from local instrument.,NA,NA,salinity,NA,NA,salinity_class,NA,NA
cores,salinity_notes,Any relevant submitter generated notes on how salinity_class was determined.,optional,character,NA,NA,NA,salinity,NA,NA,NA,NA,NA
cores,vegetation_class,Code based on submitter field observations or measurement indicating dominant wetland vegetation type.,optional,factor,emergent = Describes wetlands dominated by persistent emergent vascular plants; scrub shrub = Describes wetlands dominated by woody vegetation < or equal to 5 meters in height; forested = Describes wetlands dominated by woody vegetation > 5 meters in height; forested to shrub = Dominated by forested to scrub/shrub biomass; forested to emergent = Dominated by forest and underlying marsh; seagrass = Describes tidal or subtidal communities dominated by rooted vascular plants.; unvegetated = Unvegetated.,NA,NA,vegetation,NA,NA,NA,NA,NA
cores,vegetation_method,Indicate whether vegetation_class was determined using a field observation or a measurement.,encouraged,factor,field observation = Vegetation inferred by field observation; measurement = Vegetation measured by counts or plots.,NA,NA,vegetation,NA,NA,vegetation_class,NA,NA
cores,vegetation_notes,Any relevant submitter generated notes on how vegetation_class and/or dominant species were determined.,optional,character,NA,NA,NA,vegetation,NA,NA,NA,NA,NA
cores,habitat,Habitat classification of the sampled location based on description or dominate vegetation.,optional,factor,"mangrove = Tropical and dominated by specialized shrubs or trees.; swamp = Predominantly freshwater and dominated by trees.; scrub/shrub = Wetland dominated by shrubs.; marsh = Wetland dominated by emergent vegetation, gramminoids or forbs.; seagrass = Intertidal to subtidal and dominated by specialized predominantly submerged grasses.; algal mat = Dominated by algae.; unvegetated = Unvegetated, tidally influenced habitat.; mudflat = Describes unvegetated areas exposed and flooded by the tides.; upland = Predominately above sea level and dominated by trees.",NA,NA,NA,NA,NA,NA,NA,NA
cores,inundation_class,Code based on submitter field observation or measurement indicating how often the coring location is inundated.,optional,factor,"high = Study-specific definition of an elevation relatively high in the tidal frame, typically defined by vegetation type; mid = Study-specific definition of an elevation in the relative middle of the tidal frame, typically defined by vegetation type; low = Study-specific definition of an elevation in relatively low in the tidal frame, typically defined by vegetation type; levee = Study-specific definition of a relatively high elevation zone built up on the edge of a river, creek, or channel; back = Study-specific definition of a relatively low elevation zone behind a levee.",NA,NA,inundation,NA,NA,NA,NA,NA
cores,inundation_method,Indicate whether inundation_class was determined using a field observation or a measurement.,encouraged,factor,field observation = Inundation inferred by field observation such as vegetation; measurement = Inundation class assessed from elevation and nearby tide gauge or other similar method.,NA,NA,inundation,NA,NA,inundation_class,NA,NA
cores,inundation_notes,Any relevant submitter generated notes on how inundation was determined.,optional,character,NA,NA,NA,inundation,NA,NA,NA,NA,NA
cores,core_length_flag,"Indicated whether or not the coring team believes they recovered a full sediment profile, down to bedrock, or other non-marsh interface.",encouraged,factor,core depth limited by length of corer = The total depth of the core was limited by the length of the coring device; core depth represents deposit depth = Authors report that the depth of the core represents the depth of the wetland soil deposit; not specified = Authors did not specify whether or not the depth of the core represents the depth of the wetland soil deposit.,NA,NA,NA,NA,NA,NA,NA,NA
cores,pb210_cic_accretion_rate,Accretion rate according to a lead-210 based Constant Initial Concentration model.,optional,numeric,centimeterPerYear,real,NA,NA,NA,NA,NA,NA,NA
cores,pb210_cic_accretion_rate_se,Accretion rate parameter error according to a lead-210 based Constant Initial Concentration model.,encouraged,numeric,millimetersPerYear,real,NA,NA,NA,NA,pb210_cic_accretion_rate,NA,NA
cores,pb210_cic_notes,Any notes associated with a lead-210 based Constant Initial Concentration model.,optional,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
cores,pb210_cic_max_depth,"Maximum depth to which a lead-210 based Constant Initial Concentration model was applied, in centimeters depth relevant to surface.",conditional,numeric,centimeter,real,NA,NA,NA,NA,pb210_cic_accretion_rate,NA,NA
cores,pb210_cic_r2,"The coefficient of determination, or R-squared value, for the lead-210 based Constatn Initial Concentration model.",encouraged,numeric,dimensionless,real,NA,NA,NA,NA,pb210_cic_accretion_rate,NA,NA
cores,stocks_qual_code,Code indicating the quality of information present for a core containing data relevent for carbon stock assessment.,added automatically,factor,"C2 = Carbon stock data complete, not confirmed to be a complete profile.; C1 = Carbon stock data complete, confirmed to be a complete profile.",NA,NA,NA,NA,NA,NA,NA,NA
cores,dates_qual_code,Code indicating the quality of information present for a core containing dated stratigraphy.,added automatically,factor,"B2 = Dating information present, but not complete.; B1 = Dating information present and complete.",NA,NA,NA,NA,NA,NA,NA,NA
cores,elevation_qual_code,Code indicating the quality of information present for a dated core that contains elevation data.,added automatically,factor,"A3 = Elevation data present but of low quality, dating info present.; A2 = Elevation data is high quality, and dating info present but incomplete.; A1 = Elevation data is high quality, and dating info is complete.",NA,NA,NA,NA,NA,NA,NA,NA
cores,max_depth,Maximum depth of the sampled soil profile.,added automatically,numeric,centimeter,real,NA,NA,NA,NA,NA,NA,NA
cores,country,Country in which data was collected.,added automatically,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
cores,admin_division,Administrative division in which data was collected.,added automatically,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
depthseries,study_id,"Unique identifier for the study made up of the first author's family name, as well as the second author's family name or et al. if more than three, then publication year separated by underscores.",required,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
depthseries,site_id,Site identification code unique to each study.,optional,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
depthseries,core_id,Core identification code unique to each site.,required,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
depthseries,method_id,Unique identification code used to distinguish cores or sampling intervals that were collected or processed using different methods.,required,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
depthseries,depth_min,Minimum depth of a sampling increment.,required,numeric,centimeter,real,NA,NA,NA,NA,NA,NA,NA
depthseries,depth_max,Maximum depth of a sampling increment.,required,numeric,centimeter,real,NA,NA,NA,NA,NA,NA,NA
depthseries,representative_depth_min,Minimum depth of a soil horizon of which the sample is representative.,optional,numeric,centimeter,real,NA,NA,NA,NA,NA,NA,NA
depthseries,representative_depth_max,Maximum depth of a soil horizon of which the sample is representative.,optional,numeric,centimeter,real,NA,NA,NA,NA,NA,NA,NA
depthseries,sample_id,"Sample identification unique to the core. This should be used in the case that there are relevant lab specific sample codes, or in the case that there are multiple replicate samples.",optional,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
depthseries,dry_bulk_density,Dry mass per unit volume of a soil sample. This does not include ash free bulk density.,required,numeric,gramsPerCubicCentimeter,real,dry_bulk_density,carbon_stock,NA,NA,NA,NA,NA
depthseries,fraction_organic_matter,Mass of organic matter relative to sample dry mass. Ash free bulk density should not be used here but should be expressed as a loss on ignition fraction.,encouraged,numeric,dimensionless,real,loss_on_ignition,carbon_stock,NA,NA,NA,NA,NA
depthseries,fraction_carbon,Mass of carbon relative to sample dry mass.,optional,numeric,dimensionless,real,fraction_carbon,carbon_stock,NA,NA,NA,NA,NA
depthseries,compaction_fraction,Fraction of the sample depth interval reduced due to compaction.,optional,numeric,dimensionless,real,NA,NA,NA,NA,NA,NA,NA
depthseries,compaction_notes,Any submitter generated notes on compaction.,optional,character,NA,NA,NA,NA,NA,NA,NA,NA,NA
depthseries,cs137_peak_age,Age of documented 137Cs Peak.,optional,numeric,year,integer,NA,NA,NA,NA,NA,NA,NA
depthseries,cs137_activity,Radioactivity counts per unit dry weight for radiocesium (137Cs).,encouraged,numeric,NA,real,cs137,age_depth,2,NA,cs137_peak_age; cs137_peak_present,NA,NA
depthseries,cs137_activity_se,1 standard error of uncertainty associated with cs137_activity.,encouraged,numeric,NA,real,cs137,age_depth,1,NA,cs137_activity,NA,NA
depthseries,cs137_unit,Reported unit for sample interval's Cs 137 activity measurements.,conditional,character,NA,NA,NA,NA,NA,1,cs137_activity; cs137_activity_se,NA,NA
depthseries,excess_pb210_activity,Excess radioactivity counts per unit dry weight for excess lead 210 (210Pb).,optional,numeric,NA,real,pb210,age_depth,2,NA,NA,NA,NA
depthseries,excess_pb210_activity_se,1 standard error of uncertainty associated with excess_pb210_activity.,optional,numeric,NA,real,pb210,age_depth,1,NA,NA,NA,NA
depthseries,total_pb210_activity,Total radioactivity counts per unit dry weight for excess lead 210 (210Pb).,encouraged,numeric,NA,real,pb210,age_depth,2,NA,excess_pb210_activity,NA,NA
depthseries,total_pb210_activity_se,1 standard error of uncertainty associated with total_pb210_activity.,encouraged,numeric,NA,real,pb210,age_depth,1,NA,total_pb210_activity,NA,NA
depthseries,pb210_unit,Reported unit for sample interval's Pb-210 activity measurements.,conditional,character,NA,NA,NA,NA,NA,1,total_pb210_activity; total_pb210_activity_se; excess_pb210_activity; excess_pb210_activity_se,NA,NA
depthseries,ra226_activity,Total radioactivity counts per unit dry weight for Radium 226 (226Ra) if measured as part of the_210Pb dating process.,optional,numeric,NA,real,pb210,age_depth,2,NA,NA,NA,NA
depthseries,ra226_activity_se,1 standard error of uncertainty associated with ra226_activity.,optional,numeric,NA,real,pb210,age_depth,2,NA,NA,NA,NA
depthseries,ra226_unit,Reported unit for sample interval's Ra 226 activity measurements.,conditional,character,NA,NA,NA,NA,NA,NA,ra226_activity; ra226_activity_se,NA,NA
depthseries,pb214_activity,Radioactivity counts per unit dry weight for 214 Pb.,optional,numeric,NA,real,NA,NA,NA,1,NA,NA,NA
depthseries,pb214_activity_se,Estimated uncertainty in pb214_activity.,optional,numeric,NA,real,NA,NA,NA,1,NA,NA,NA
depthseries,pb214_unit,Reported unit for sample interval's 214 Pb activity measurements.,conditional,character,NA,NA,NA,NA,NA,1,pb214_activity; pb214_activity_se,NA,NA
depthseries,bi214_activity,Radioactivity counts per unit dry weight for 214 Bi.,optional,numeric,NA,real,NA,age_depth,NA,1,NA,NA,NA
depthseries,bi214_activity_se,Reported standard error for radioactivity counts per unit dry weight for_214Bi,optional,numeric,NA,real,NA,age_depth,NA,1,NA,NA,NA
depthseries,bi214_unit,Reported unit for sample interval's Bi 214 activity measurements.,conditional,character,NA,NA,NA,NA,NA,1,bi214_activity; bi214_activity_se,NA,NA
