attribute_name,table,definition,required,data_type,format_unit_codes,data_category,parent_data_category,quality_class,uncontrolled
dry_bulk_density_flag,methods,Any notable codes regarding how the authors quantified dry bulk density.,optional,factor,"air dried to constant mass = Methodology specified that samples were air dried to a constant mass. modeled = Bulk density was not measured, but was modeled from loss on ignition and assumptions about the particle densities of organic and inorganic matter. freeze dried = Bulk density was measured on freeze dried samples. not specified_= No additional details regarding bulk density methodology were provided. removed non structural water = Bulk density methodology did not specify drying temperature or length, only that non-strucural water was removed. time approximate = Bulk density time recorded herin is an approximate estimate._to constant mass = Bulk density methodology did not specify drying temperature or length, only that samples were dried to a constant mass.",dry_bulk_density,carbon_stock,NA,NA
loss_on_ignition_temperature,methods,Temperature at which samples were combusted to estimate fraction organic matter.,encouraged,numeric,celsius,loss_on_ignition,carbon_stock,NA,NA
loss_on_ignition_time,methods,Time over which samples were combusted to estimate fraction organic matter.,encouraged,numeric,hour,loss_on_ignition,carbon_stock,NA,NA
loss_on_ignition_sample_volume,methods,"Sample volume used for loss on ignition, if held constant.",encouraged,numeric,cubicCentimeters,loss_on_ignition,carbon_stock,NA,NA
loss_on_ignition_sample_mass,methods,"Sample mass used for loss on ignition, if held constant.",encouraged,numeric,grams,loss_on_ignition,carbon_stock,NA,NA
loss_on_ignition_flag,methods,Common codes regarding loss on ignition methodology.,optional,factor,time approximate = Loss on ignition time recorded herein is an approximate estimate._not specified = No additional details regarding loss on ignition methodology or time were provided.,loss_on_ignition,carbon_stock,NA,NA
carbon_measured_or_modeled,methods,Code indicating whether fraction carbon was measured or estimated as a function of organic matter.,optional,factor,measured = Fraction carbon was measured as opposed to modeled. modeled = Fraction carbon was modeled as opposed to measured.,fraction_carbon,carbon_stock,NA,NA
carbonates_removed,methods,Whether or not carbonates were removed prior to calculating fraction organic carbon.,conditional,factor,FALSE = Carbonates were not removed before measuring organic carbon. TRUE = Carbonates were removed before measuring organic carbon.,fraction_carbon,carbon_stock,NA,NA
carbonate_removal_method,methods,The method used to remove carbonates prior to measuring fraction carbon.,conditional,factor,direct acid treatment = Carbonates were removed using direct application of dilute acid. acid fumigation = Carbonates were removed by fumigating with concentrated acid. low carbonate soil = Organic carbon fraction was measured without removing carbonates assuming carbonate content of the soil type was minimal. carbonates not removed = Carbonates were not removed and low carbonate soil was not specified. none specified = Carbonate removal methodology was not specified.,fraction_carbon,carbon_stock,NA,NA
fraction_carbon_method,methods,"Code indicating the method for which fraction carbon was measured or modeled (Note: regression based models are permitted, but the use of the Bemmelen factor [0.58 gOC gOM-1] is discouraged).",conditional,factor,"Craft regression = Used regression model from Craft et al., 1991, Estuaries, to predict fraction carbon as a function of fraction organic matter. EA = Each sample presented was measured using Elemental Analysis. Fourqurean regression = Used regression model from Fourqurean et al., 2012, Nature Geoscience, to predict fraction carbon as a function of fraction organic matter. Holmquist regression = Used regression model from Holmquist et al., 2018, Scientific Reports, to predict fraction carbon as a function of fraction organic matter. kjeldahl digestion = Each sample was measured kjeldahl digestion method. local regression = A regression model fit using a subset of measurements was used to predict fraction carbon as a function of fraction organic matter. not specified = No additional details were provided regarding fraction carbon methodologies. wet oxidation = Each sample was measured using a wet oxidation method.",fraction_carbon,carbon_stock,NA,NA
fraction_carbon_type,methods,Code indicating whether fraction_carbon refers to organic or total carbon.,conditional,factor,organic carbon = Author specified that fraction carbon measurements were of organic carbon. total carbon = Author specified that fraction carbon measurements were of total carbon.,fraction_carbon,carbon_stock,NA,NA
carbon_profile_notes,methods,"Any other submitter defined notes describing methodologies for determining dry bulk density, organic matter fraction, and carbon fraction.",optional,character,NA,NA,carbon_stock,NA,NA
cs137_counting_method,methods,Code indicating the method used for determining radiocesium activity.,optional,factor,alpha = Alpha counting method used. gamma = Gamma counting method used.,cs137,age_depth,NA,NA
pb210_counting_method,methods,Code indicating the method used for determining lead 210 activity.,optional,factor,alpha = Alpha counting method used. gamma = Gamma counting method used.,pb210,age_depth,NA,NA
excess_pb210_rate,methods,Code indicating the mass or accretion rate used in the excess_pb_210_model,optional,factor,mass accumulation = Excess_210Pb modeled using mass accumulation rate. accretion = Excess_210Pb modeled using vertical accretion rate.,pb210,age_depth,NA,NA
excess_pb210_model,methods,Code indicating the model used to estimate excess lead 210.,optional,factor,CRS = Constant rate of supply model used. CIC = Constant initial concentration model used. CFCS = Constant flux constant sedimentation model used.,pb210,age_depth,NA,NA
ra226_assumption,methods,Code indicating the assumption used to estimate the coreês background_226Ra levels.,optional,factor,"each sample =_226Ra was measured for each sample. total core =_226Ra was measured for the total core, at asymptote = asy",pb210,age_depth,NA,NA
c14_counting_method,methods,Code indicating the method used for determining radiocarbon activity.,optional,factor,AMS = Accelerator mass spectroscopy used. beta = Beta counting used.,c14,age_depth,NA,NA
dating_notes,methods,Any submitter defined notes elaborating on the process of dating the core not yet made clear by the coding.,optional,character,NA,NA,age_depth,NA,NA
age_depth_model_reference,methods,Code indicating the reference or 0 year of the age depth model.,optional,factor,"YBP = Year zero is defined as years before present, 1960 CE. CE = Year zero is set according to Common Era and Before Common Era standards. core collection date = Year zero is set as the coreês collection year.",age_depth_model,age_depth,NA,NA
age_depth_model_notes,methods,Any submitter defined notes on how the age depth model was created.,optional,character,NA,age_depth_model,age_depth,NA,NA
study_id,sites,"Unique identifier for the study made up of the first authorês family name, as well as the second authorês family name or ¥et al.ê if more than three, then publication year separated by underscores.",required,character,NA,NA,NA,NA,NA
site_id,sites,Site identification code unique to each study.,optional,character,NA,NA,NA,NA,NA
site_description,sites,Site description including relevant study details and political geographic units. Some of these descriptions can be automated by the ingestion code.,optional,character,NA,NA,NA,NA,NA
site_latitude_max,sites,Maximum latitude defining a bounding box for the site in decimal degree World Geodedic System of 1984 (WGS84). This can also be generated automatically by the ingestion code.,optional,numeric,degree,NA,position,NA,NA
site_latitude_min,sites,Minimum latitude defining a bounding box for the site in decimal degree WGS84. This can also be generated automatically by the ingestion code.,optional,numeric,degree,NA,position,NA,NA
site_longitude_max,sites,Maximum longitude defining a bounding box for the site in decimal degree WGS84. This can also be generated automatically by the ingestion code.,optional,numeric,degree,NA,position,NA,NA
site_longitude_min,sites,Minimum longitude defining a bounding box for the site in decimal degree WGS84. This can also be generated automatically by the ingestion code.,optional,numeric,degree,NA,position,NA,NA
site_boundaries,sites,"As an alternative to submitting or automatically generating a bounding box, submitters can include a shapefile (.shp) or keyhole markup language (.kml) documenting the geographic boundaries of the site. This can be converted to and stored in well known text (WTK) format.",optional,character,NA,NA,position,NA,NA
salinity_class,sites,"Code based on submitter field observation or measurement indicating average annual salinity (Note: Palustrine and freshwater should only include tidal wetlands, or wetlands that are potentially/formerly tidal but artificially freshened due to artificial tidal restrictions).",optional,factor,estuarine C-CAP = 5-35 parts per thousand salinity (ppt) according to the coastal change analysis program. palustrine C-CAP = < 5 ppt according to the coastal change analysis program. estuarine = 0.5-35 ppt according to most other definitions. palustrine = < 0.5 ppt according to most other definitions. brine = >50 ppt. saline = 30-50 ppt. brackish = 0.5-30 ppt. fresh = <0.5 ppt. mixoeuhaline = 30-40 ppt. polyhaline = 18-30 ppt. mesohaline = 5-18 ppt. oligohaline = 0.5-5 ppt.,NA,salinity,NA,NA
salinity_method,sites,Indicate whether salinity_class was determined using a field observation or a measurement.,optional,factor,field observation = Salinity inferred by field observation such as vegetation. measurement = Salinity observed from local instrument.,NA,salinity,NA,NA
salinity_notes,sites,Any relevant submitter generated notes on how salinity_class was determined.,optional,character,NA,NA,salinity,NA,NA
vegetation_class,sites,Code based on submitter field observations or measurement indicating dominant wetland vegetation type.,optional,factor,emergent = Describes wetlands dominated by persistent emergent vascular plants. scrub shrub = Describes wetlands dominated by woody vegetation <= 5 meters in height. forested = Describes wetlands dominated by woody vegetation > 5 meters in height. FO/SS = Dominated by forested to scrub/shrub biomass. seagrass = Describes tidal or subtidal communities dominated by rooted vascular plants.,NA,vegetation,NA,NA
vegetation_method,sites,Indicate whether vegetation_class was determined using a field observation or a measurement,optional,factor,field observation = Vegetation inferred by field observation. measurement = Vegetation measured by counts or plots.,NA,vegetation,NA,NA
vegetation_notes,sites,Any relevant submitter generated notes on how vegetation_class was were determined,optional,character,NA,NA,vegetation,NA,NA
inundation_class,sites,Code based on submitter field observation or measurement indicating how often the coring location is inundated,optional,factor,"high = Study-specific definition of an elevation relatively high in the tidal frame, typically defined by vegetation type. mid = Study-specific definition of an elevation in the relative middle of the tidal frame, typically defined by vegetation type. low = Study-specific definition of an elevation in relatively low in the tidal frame, typically defined by vegetation type. levee = Study-specific definition of a relatively high elevation zone built up on the edge of a river, creek, or channel. back = Study-specific definition of a relatively low elevation zone behind a levee.",NA,inundation,NA,NA
inundation_method,sites,Indicate whether inundation_class was determined using a field observation or a measurement,optional,factor,field observation = Inundation inferred by field observation such as vegetation. measurement = Inundation class assessed from elevation and nearby tide gauge or other similar method.,NA,inundation,NA,NA
inundation_notes,sites,Any relevant submitter generated notes on how inundation was determined,optional,character,NA,NA,inundation,NA,NA
study_id,cores,"Unique identifier for the study made up of the first authorês family name, as well as the second authorês family name or ¥et al.ê if more than three, then publication year separated by underscores.",required,factor,NA,NA,NA,NA,NA
site_id,cores,Site identification code unique to each study.,optional,factor,NA,NA,NA,NA,NA
core_id,cores,Core identification code unique to each site.,required,factor,NA,NA,NA,NA,NA
year,cores,Year of core collection,required,numeric,YYYY,NA,NA,NA,1
month,cores,Numeric month of year of core,optional,numeric,MM,NA,NA,NA,NA
day,cores,Numeric day of month of core,optional,numeric,DD,NA,NA,NA,NA
core_notes,cores,Any other relevant submitter generated notes on how cores were collected.,optional,character,NA,NA,NA,NA,NA
latitude,cores,Positional latitude of the core in decimal degree WGS84.,required,numeric,degree,NA,position,NA,NA
longitude,cores,Positional longitude of the core in decimal degree WGS84.,required,numeric,degree,NA,position,NA,NA
position_accuracy,cores,"Accuracy of latitude and longitude measurement, if determined and recorded.",encouraged,numeric,meter,NA,position,NA,NA
position_method,cores,Code indicating how latitude and longitude were determined.,conditional,factor,RTK = Real-time kinematic global position system (GPS). handheld = Conventional Commercially available hand-held GPS. other high resolution = Any other technique resulting in positional error < 1 meter. other moderate resolution = Any other technique resulting in positional error < 30 meters. other low resolution = Any other technique resulting in positional error > 30 meters.,NA,position,NA,NA
position_notes,cores,Any relevant submitter generated notes on how latitude and longitude were determined.,optional,character,NA,NA,position,NA,NA
elevation,cores,Surface elevation of the core relative to defined datum.,optional,numeric,meters,NA,elevation,NA,NA
elevation_datum,cores,The datum relative to which the core elevation was measured against (For a complete list of datum names and aliases please refer to the ISO Geodedic Registry_https://iso.registry.bespire.eu/register/geodetic/VerticalDatum).,conditional,factor,"NAVD88 = A gravity-based geodetic datum, North American Vertical Datum of 1988. MSL = A tidal datum, Mean Sea Level as measured against a local tide gauge. MTL = A tidal datum, Mean Tidal Level as measured against a local tide gauge. MHW = A tidal datum, Mean High Water as measured against a local tide gauge. MHHW = A tidal datum, Mean Higher High Water as measured against a local tide gauge. MHHWS = A tidal datum, Mean Higher High Water for Spring Tides as measured against a local tide gauge. MLW = A tidal datum, Mean Low Water as measured against a local tide gauge. MLLW = A tidal datum, Mean Lower Low Water as measured against a local tide gauge.",NA,elevation,NA,NA
elevation_accuracy,cores,"Accuracy of elevation measurement, if determined and recorded",optional,numeric,meters,NA,elevation,NA,NA
elevation_method,cores,Code indicating how elevation was determined,conditional,factor,RTK = Real-time kinematic GPS. other high resolution = Any other technique resulting in positional error < 5 cm of random error. LiDAR = Handheld GPS matched to lidar-based digital elevation model. DEM = Handheld GPS matched to another digital elevation model. other low resolution = Any other technique resulting in positional error > 5 cm of random error.,NA,elevation,NA,NA
elevation_notes,cores,Any relevant submitter generated notes on how elevation was determined,optional,character,NA,NA,elevation,NA,NA
salinity_class,cores,"Code based on submitter field observation or measurement indicating average annual salinity (Note: Palustrine and freshwater should only include tidal wetlands, or wetlands that are potentially/formerly tidal but artificially freshened due to artificial tidal restrictions).",optional,factor,estuarine C-CAP = 5-35 parts per thousand salinity (ppt) according to the coastal change analysis program. palustrine C-CAP = < 5 ppt according to the coastal change analysis program. estuarine = 0.5-35 ppt according to most other definitions. palustrine = < 0.5 ppt according to most other definitions. brine = >50 ppt. saline = 30-50 ppt. brackish = 0.5-30 ppt. fresh = <0.5 ppt. mixoeuhaline = 30-40 ppt. polyhaline = 18-30 ppt. mesohaline = 5-18 ppt. oligohaline = 0.5-5 ppt.,NA,salinity,NA,NA
salinity_method,cores,Indicate whether salinity_class was determined using a field observation or a measurement,encouraged,factor,field observation = Salinity inferred by field observation such as vegetation. measurement = Salinity observed from local instrument.,NA,salinity,NA,NA
salinity_notes,cores,Any relevant submitter generated notes on how salinity_class was determined,optional,character,NA,NA,salinity,NA,NA
vegetation_class,cores,Code based on submitter field observations or measurement indicating dominant wetland vegetation type.,optional,factor,emergent = Describes wetlands dominated by persistent emergent vascular plants. scrub shrub = Describes wetlands dominated by woody vegetation < 5 meters in height. forested = Describes wetlands dominated by woody vegetation > 5 meters in height. seagrass = Describes tidal or subtidal communities dominated by rooted vascular plants.,NA,vegetation,NA,NA
vegetation_method,cores,Indicate whether vegetation_class was determined using a field observation or a measurement,encouraged,factor,field observation = Vegetation inferred by field observation. measurement = Vegetation measured by counts or plots.,NA,vegetation,NA,NA
vegetation_notes,cores,Any relevant submitter generated notes on how vegetation_class and dominant_species were determined.,optional,character,NA,NA,vegetation,NA,NA
inundation_class,cores,Code based on submitter field observation or measurement indicating how often the coring location is inundated.,optional,factor,"high = Study-specific definition of an elevation relatively high in the tidal frame, typically defined by vegetation type. mid = Study-specific definition of an elevation in the relative middle of the tidal frame, typically defined by vegetation type. low tidal frame, typically defined by vegetation type. mid = Study-specific definition of an elevation in the relative middle of the tidal frame, typically defined by vegetation type. low = Study-specific definition of an elevation in relatively low in the tidal frame, typically defined by vegetation type. levee = Study-specific definition of a relatively high elevation zone built up on the edge of a river, creek, or channel. back = Study-specific definition of a relatively low elevation zone behind a levee.",NA,inundation,NA,NA
inundation_method,cores,Indicate whether inundation_class was determined using a field observation or a measurement,encouraged,factor,field observation = Inundation inferred by field observation such as vegetation. measurement = Inundation class assesed from elevation and nearby tidegauge or other similar method.,NA,inundation,NA,NA
habitat,cores,"Defines whether the code refers to a description, or level of plant taxonomy.",optional,factor,"mangrove = tropical and dominated by specialized shrubs or trees; swamp = predominantly freshwater and dominated by trees; scrub/shrub = wetland dominated by shrubs; marsh = wetland dominated by emergent vegetation, gramminoids or forbs; seagrass = intertidal to subtidal and dominated by specialized predominantly submerged grasses; algal mat = dominated by algae; unvegetated = unvegetated",NA,NA,NA,NA
inundation_notes,cores,Any relevant submitter generated notes on how elevation was determined,optional,character,NA,NA,inundation,NA,NA
core_length_flag,cores,"Indicated whether or not the coring team believes they recovered a full sediment profile, down to bedrock, or other non-marsh interface.",encouraged,factor,core depth limited by length of corer = The total depth of the core was limited by the length of the coring device. core depth represents deposit depth = Authors report that the depth of the core represents the depth of the wetland soil deposit. not specified = Authors did not specify whether or not the depth of the core represents the depth of the wetland soil deposit.,NA,NA,NA,NA
pb210_cic_accretion_rate,cores,Accretion rate according to a lead-210 based Constant Initial Concentration model.,optional,numeric,centimetersPerYear,NA,NA,NA,NA
pb210_cic_accretion_rate_se,cores,Accretion rate parameter error according to a lead-210 based Constant Initial Concentration model.,encouraged,numeric,millimetersPerYear,NA,NA,NA,NA
pb210_cic_notes,cores,Any notes associated with a lead-210 based Constant Initial Concentration model.,optional,character,NA,NA,NA,NA,NA
pb210_cic_max_depth,cores,"Maximum depth to which a lead-210 based Constant Initial Concentration model was applied, in centimeters depth relevant to surface.",conditional,numeric,centimeter,NA,NA,NA,NA
pb210_cic_r2,cores,"The coefficient of determination, or R-squared value, for the lead-210 based Constatn Initial Concentration model.",encouraged,numeric,dimensionless,NA,NA,NA,NA
study_id,depthseries,"Unique identifier for the study made up of the first authorês family name, as well as the second authorês family name or ¥et al.ê if more than three, then publication year separated by underscores.",required,character,NA,NA,NA,NA,NA
site_id,depthseries,Site identification code unique to each study,optional,character,NA,NA,NA,NA,NA
core_id,depthseries,Core identification code unique to each site,required,character,NA,NA,NA,NA,NA
depth_min,depthseries,Minimum depth of a sampling increment.,required,numeric,centimeter,NA,NA,NA,NA
depth_max,depthseries,Maximum depth of a sampling increment.,required,numeric,centimeter,NA,NA,NA,NA
representative_depth_min,depthseries,Minimum depth of a soil horizon of which the sample is representative.,optional,numeric,centimeter,NA,NA,NA,NA
representative_depth_max,depthseries,Maximum depth of a soil horizon of which the sample is representative.,optional,numeric,centimeter,NA,NA,NA,NA
sample_id,depthseries,"Sample identification unique to the core. This should be used in the case that there are relevant lab specific sample codes, or in the case that there are multiple replicate samples.",optional,character,NA,NA,NA,NA,NA
dry_bulk_density,depthseries,Dry mass per unit volume of a soil sample. This does not include ash free bulk density.,required,numeric,gramsPerCubicCentimeter,dry_bulk_density,carbon_stock,NA,NA
fraction_organic_matter,depthseries,Mass of organic matter relative to sample dry mass. Ash free bulk density should not be used here but should be expressed as a loss on ignition fraction.,encouraged,numeric,dimensionless,loss_on_ignition,carbon_stock,NA,NA
fraction_carbon,depthseries,Mass of carbon relative to sample dry mass.,optional,numeric,dimensionless,fraction_carbon,carbon_stock,NA,NA
compaction_fraction,depthseries,Fraction of the sample depth interval reduced due to compaction.,optional,numeric,dimensionless,NA,NA,NA,NA
compaction_notes,depthseries,Any submitter generated notes on compaction.,optional,character,NA,NA,NA,NA,NA
cs137_peak_age,depthseries,Age of documented 137Cs Peak.,optional,NA,NA,NA,NA,NA,NA
cs137_activity,depthseries,Radioactivity counts per unit dry weight for radiocesium (137Cs).,encouraged,numeric,becquerelPerKilogram,cs137,age_depth,2,NA
cs137_activity_se,depthseries,1 standard error of uncertainty associated with cs137_activity.,encouraged,numeric,becquerelPerKilogram,cs137,age_depth,1,NA
cs137_unit,depthseries,Reported unit for sample interval's Cs 137 activity measurements,conditional,NA,NA,NA,NA,NA,1
excess_pb210_activity,depthseries,Excess radioactivity counts per unit dry weight for excess lead 210 (210Pb).,optional,numeric,becquerelPerKilogram,pb210,age_depth,2,NA
excess_pb210_activity_se,depthseries,1 standard error of uncertainty associated with excess_pb210_activity.,optional,numeric,becquerelPerKilogram,pb210,age_depth,1,NA
total_pb210_activity,depthseries,Total radioactivity counts per unit dry weight for excess lead 210 (210Pb).,encouraged,numeric,becquerelPerKilogram,pb210,age_depth,2,NA
total_pb210_activity_se,depthseries,1 standard error of uncertainty associated with total_pb210_activity.,encouraged,numeric,becquerelPerKilogram,pb210,age_depth,1,NA
pb210_unit,depthseries,Reported unit for sample interval's Pb-210 activity measurements,conditional,character,NA,NA,NA,NA,1
ra226_activity,depthseries,Total radioactivity counts per unit dry weight for Radium 226 (226Ra) if measured as part of the_210Pb dating process.,optional,numeric,becquerelPerKilogram,pb210,age_depth,2,NA
ra226_activity_se,depthseries,1 standard error of uncertainty associated with ra226_activity.,optional,numeric,becquerelPerKilogram,pb210,age_depth,2,NA
ra226_unit,depthseries,NA,conditional,NA,NA,NA,NA,NA,NA
pb214_activity,depthseries,Radioactivity counts per unit dry weight for 214 Pb,optional,NA,NA,NA,NA,NA,1
pb214_activity_se,depthseries,Estimated uncertainty in pb214_activity.,optional,NA,NA,NA,NA,NA,1
pb214_unit,depthseries,Reported unit for sample interval's 214 Pb activity measurements,conditional,NA,NA,NA,NA,NA,1
bi214_activity,depthseries,Radioactivity counts per unit dry weight for_214Bi,optional,NA,NA,NA,age_depth,NA,1
bi214_unit,depthseries,Reported unit for sample interval's Bi 214 activity measurements,conditional,NA,NA,NA,NA,NA,1
c14_age,depthseries,Radiocarbon age as estimated from AMS measurements.,optional,numeric,radiocarbonYear,c14,age_depth,2,NA
c14_age_se,depthseries,Estimated uncertainty in c14_age.,conditional,numeric,radiocarbonYear,c14,age_depth,1,NA
c14_material,depthseries,Description of the material selected for radiocarbon (14C) dating.,conditional,character,NA,c14,age_depth,2,NA
c14_notes,depthseries,Any relevant submitter generated notes on_14C dating process.,optional,character,NA,c14,age_depth,NA,NA
delta_c13,depthseries,The isotopic signature of_13C. This is oftentimes measured along with c14_age and can be useful for analyzing carbon lability and provenance.,optional,numeric,partsPerMillion,c14,age_depth,2,NA
be7_activity,depthseries,Radioactivity counts per unit dry weight for_7Be.,optional,numeric,becquerelPerKilogram,be7,age_depth,2,NA
be7_activity_se,depthseries,Estimated uncertainty in be_7_activity.,optional,numeric,becquerelPerKilogram,be7,age_depth,1,NA
be7_unit,depthseries,Reported unit for sample interval's Be 7 activity measurements,conditional,NA,NA,NA,NA,NA,1
marker_date,depthseries,"The age of any other dated depth horizon such as an artificial marker, pollen horizon, pollution horizon, etc.",optional,Date,YYYY,other_dated_horizon,age_depth,2,NA
marker_date_se,depthseries,"The standard error of the age of any other dated depth horizon such as an artificial marker, pollen horizon, pollution horizon, etc.",optional,Date,NA,NA,NA,NA,NA
marker_type,depthseries,Code indicating the type of marker.,conditional,factor,"artificial horizon = Horizon was added to the surface artificially by using materials such as feldspar, glitter, or rare earth elements. pollen = Pollen analysis was used to tie horizon to the timing of vegetation change such as the arrival of invasives, or the beginning of local agriculture. pollution = Chemical analysis was used to tie the horizon to the timing of a pollution event. tsunami = Sediment analysis was used to tie the horizon to the timing of a tsunami event.",other_dated_horizon,age_depth,NA,NA
marker_notes,depthseries,Any other submitter generated notes about the origin of the marker.,optional,character,NA,other_dated_horizon,age_depth,NA,NA
age,depthseries,"Most likely, median, or mean age of the depth interval from submitter generated age depth model.",optional,numeric,year,age_depth_model,age_depth,2,NA
age_min,depthseries,Minimum age of the depth interval from submitter generated age depth model.,optional,numeric,year,age_depth_model,age_depth,2,NA
age_max,depthseries,Maximum age of the depth interval from submitter generated age depth model.,optional,numeric,year,age_depth_model,age_depth,2,NA
age_se,depthseries,Standard error of age estimate from submitter generated age depth model.,optional,numeric,year,age_depth_model,age_depth,1,NA
depth_interval_notes,depthseries,Any other submitter generated notes specific to the depth interval.,optional,character,NA,NA,NA,NA,NA
study_id,species,"Unique identifier for the study made up of the first authorês family name, as well as the second authorês family name or ¥et al.ê if more than three, then publication year separated by underscores.",optional,character,NA,NA,NA,NA,NA
site_id,species,Site identification code unique to each study.,optional,character,NA,NA,NA,NA,NA
core_id,species,Core identification code unique to each site.,optional,character,NA,NA,NA,NA,NA
species_code,species,Code associated with a species or a vegetation assemblage.,optional,character,NA,NA,NA,NA,NA
code_type,species,"Defines whether the code refers to a description, or level of plant taxonomy.",conditional,factor,description = cover description not related to plant taxonomy; Family = refers to taxonomic family without indicating a genus or species; Genus = refers to a taxonomic genus without indicating a species; Genus species = Refers to taxonomic Genus and species,NA,NA,NA,NA
habitat,species,"Defines whether the code refers to a description, or level of plant taxonomy.",optional,factor,"mangrove = tropical and dominated by specialized shrubs or trees; swamp = predominantly freshwater and dominated by trees; scrub/shrub = wetland dominated by shrubs; marsh = wetland dominated by emergent vegetation, gramminoids or forbs; seagrass = intertidal to subtidal and dominated by specialized predominantly submerged grasses; algal mat = dominated by algae; unvegetated = unvegetated",NA,NA,NA,NA
study_id,impacts,"Unique identifier for the study made up of the first authorês family name, as well as the second authorês family name or ¥et al.ê if more than three, then publication year separated by underscores.",optional,character,NA,NA,NA,NA,NA
site_id,impacts,Site identification code unique to each study.,optional,character,NA,NA,NA,NA,NA
core_id,impacts,Core identification code unique to each site.,optional,character,NA,NA,NA,NA,NA
impacts,impacts,Code indicating any major anthropogenic impacts historically and currently affecting the coring location.,optional,factor,"tidally restricted = Tidal flow is muted or blocked by built structures. impounded = Water level is raised artificially by a tidal restriction, resulting in ponding of water on the wetland and or upland surface. managed impounded = Wetland is impounded seasonally, and other times natural or semi natural hydrology occurs. ditched = Tidal hydrology is altered because artificial ditches have been cut to promote tidal flooding and drainage. diked and drained = The wetland has been diked and drained, with or without flapper gates, pumping, or other means. farmed = Managed impoundment or drainage in which wetland has been converted to agricultural land. tidally restored = Tidal flow has been restored by removing an artificial obstruction. revegetated = Wetland vegetation has been reintroduced by replanting on unvegetated surfaces. invasive plants removed = Natural plant communities have been restored by the active removal of invasive plant species. invasive herbivores removed = Tidal wetland vegetation has been managed by the removal of invasive herbivores. sediment added = Elevation has been managed by artificially adding sediment to the site using techniques such as thin layering or sediment diversion. wetlands built = Constructed wetland using sediments such as dredge spoils or other sediment source.",NA,NA,NA,NA
