attribute_name,attribute_definition,data_type,format_unit_codes,number,unit,format_string,values
age_depth_model_reference,Code indicating the reference or 0 year of the age depth model.,factor,"YBP = Year zero is defined as years before present, 1960 CE; CE = Year zero is set according to Common Era and Before Common Era standards; core collection date = Year zero is set as the core's collection year.",NA,NA,NA,"YBP = Year zero is defined as years before present, 1960 CE; CE = Year zero is set according to Common Era and Before Common Era standards; core collection date = Year zero is set as the core's collection year."
age_depth_model_notes,Any submitter defined notes on how the age depth model was created.,character,NA,NA,NA,NA,NA
site_id,Site identification code unique to each study.,character,NA,NA,NA,NA,NA
site_description,Site description including relevant study details and political geographic units. Some of these descriptions can be automated by the ingestion code.,character,NA,NA,NA,NA,NA
site_latitude_max,Maximum latitude defining a bounding box for the site in decimal degree World Geodedic System of 1984 (WGS84). This can also be generated automatically by the ingestion code.,numeric,degree,real,degree,NA,NA
site_latitude_min,Minimum latitude defining a bounding box for the site in decimal degree WGS84. This can also be generated automatically by the ingestion code.,numeric,degree,real,degree,NA,NA
site_longitude_max,Maximum longitude defining a bounding box for the site in decimal degree WGS84. This can also be generated automatically by the ingestion code.,numeric,degree,real,degree,NA,NA
site_longitude_min,Minimum longitude defining a bounding box for the site in decimal degree WGS84. This can also be generated automatically by the ingestion code.,numeric,degree,real,degree,NA,NA
site_boundaries,"As an alternative to submitting or automatically generating a bounding box, submitters can include a shapefile (.shp) or keyhole markup language (.kml) documenting the geographic boundaries of the site. This can be converted to and stored in well known text (WTK) format.",character,NA,NA,NA,NA,NA
salinity_class,"Code based on submitter field observation or measurement indicating average annual salinity (Note: Palustrine and freshwater should only include tidal wetlands, or wetlands that are potentially/formerly tidal but artificially freshened due to artificial tidal restrictions).",factor,estuarine = 0.5-35 ppt.; brine = >50 ppt.; saline = 30-50 ppt.; brackish = 0.5-30 ppt.; fresh = <0.5 ppt.; mixoeuhaline = 30-40 ppt.; polyhaline = 18-30 ppt.; mesohaline = 5-18 ppt.; oligohaline = 0.5-5 ppt.; estuarine C-CAP = 5-35 parts per thousand salinity (ppt) according to the coastal change analysis program; palustrine C-CAP = < 5 ppt according to the coastal change analysis program,NA,NA,NA,estuarine = 0.5-35 ppt.; brine = >50 ppt.; saline = 30-50 ppt.; brackish = 0.5-30 ppt.; fresh = <0.5 ppt.; mixoeuhaline = 30-40 ppt.; polyhaline = 18-30 ppt.; mesohaline = 5-18 ppt.; oligohaline = 0.5-5 ppt.; estuarine C-CAP = 5-35 parts per thousand salinity (ppt) according to the coastal change analysis program; palustrine C-CAP = < 5 ppt according to the coastal change analysis program
salinity_method,Indicate whether salinity_class was determined using a field observation or a measurement.,factor,field observation = Salinity inferred by field observation such as vegetation; measurement = Salinity observed from local instrument.,NA,NA,NA,field observation = Salinity inferred by field observation such as vegetation; measurement = Salinity observed from local instrument.
salinity_notes,Any relevant submitter generated notes on how salinity_class was determined.,character,NA,NA,NA,NA,NA
vegetation_class,Code based on submitter field observations or measurement indicating dominant wetland vegetation type.,factor,emergent = Describes wetlands dominated by persistent emergent vascular plants; scrub shrub = Describes wetlands dominated by woody vegetation < or equal to 5 meters in height; forested = Describes wetlands dominated by woody vegetation > 5 meters in height; forested to shrub = Dominated by forested to scrub/shrub biomass; forested to emergent = Dominated by forest and underlying marsh; seagrass = Describes tidal or subtidal communities dominated by rooted vascular plants.,NA,NA,NA,emergent = Describes wetlands dominated by persistent emergent vascular plants; scrub shrub = Describes wetlands dominated by woody vegetation < or equal to 5 meters in height; forested = Describes wetlands dominated by woody vegetation > 5 meters in height; forested to shrub = Dominated by forested to scrub/shrub biomass; forested to emergent = Dominated by forest and underlying marsh; seagrass = Describes tidal or subtidal communities dominated by rooted vascular plants.
vegetation_method,Indicate whether vegetation_class was determined using a field observation or a measurement.,factor,field observation = Vegetation inferred by field observation; measurement = Vegetation measured by counts or plots.,NA,NA,NA,field observation = Vegetation inferred by field observation; measurement = Vegetation measured by counts or plots.
vegetation_notes,Any relevant submitter generated notes on how vegetation_class and/or dominant species were determined.,character,NA,NA,NA,NA,NA
inundation_class,Code based on submitter field observation or measurement indicating how often the coring location is inundated.,factor,"high = Study-specific definition of an elevation relatively high in the tidal frame, typically defined by vegetation type; mid = Study-specific definition of an elevation in the relative middle of the tidal frame, typically defined by vegetation type; low = Study-specific definition of an elevation in relatively low in the tidal frame, typically defined by vegetation type; levee = Study-specific definition of a relatively high elevation zone built up on the edge of a river, creek, or channel; back = Study-specific definition of a relatively low elevation zone behind a levee.",NA,NA,NA,"high = Study-specific definition of an elevation relatively high in the tidal frame, typically defined by vegetation type; mid = Study-specific definition of an elevation in the relative middle of the tidal frame, typically defined by vegetation type; low = Study-specific definition of an elevation in relatively low in the tidal frame, typically defined by vegetation type; levee = Study-specific definition of a relatively high elevation zone built up on the edge of a river, creek, or channel; back = Study-specific definition of a relatively low elevation zone behind a levee."
inundation_method,Indicate whether inundation_class was determined using a field observation or a measurement.,factor,field observation = Inundation inferred by field observation such as vegetation; measurement = Inundation class assessed from elevation and nearby tide gauge or other similar method.,NA,NA,NA,field observation = Inundation inferred by field observation such as vegetation; measurement = Inundation class assessed from elevation and nearby tide gauge or other similar method.
inundation_notes,Any relevant submitter generated notes on how inundation was determined.,character,NA,NA,NA,NA,NA
core_id,Core identification code unique to each site.,character,NA,NA,NA,NA,NA
year,Year of core collection.,numeric,nominalYear,integer,nominalYear,YYYY,NA
month,Numeric month of year of core collection.,numeric,nominalMonth,integer,nominalMonth,MM,NA
day,Numeric day of month of core collection.,numeric,nominalDay,integer,nominalDay,DD,NA
core_notes,Any other relevant submitter generated notes on how cores were collected.,character,NA,NA,NA,NA,NA
latitude,Positional latitude of the core in decimal degree WGS84.,numeric,degree,real,degree,NA,NA
longitude,Positional longitude of the core in decimal degree WGS84.,numeric,degree,real,degree,NA,NA
position_accuracy,"Accuracy of latitude and longitude measurement, if determined and recorded.",numeric,meter,real,meter,NA,NA
position_method,Code indicating how latitude and longitude were determined.,factor,RTK = Real-time kinematic global position system (GPS); handheld = Conventional Commercially available hand-held GPS; other high resolution = Any other technique resulting in positional error < 1 meter; other moderate resolution = Any other technique resulting in positional error < 30 meters; other low resolution = Any other technique resulting in positional error > 30 meters.,NA,NA,NA,RTK = Real-time kinematic global position system (GPS); handheld = Conventional Commercially available hand-held GPS; other high resolution = Any other technique resulting in positional error < 1 meter; other moderate resolution = Any other technique resulting in positional error < 30 meters; other low resolution = Any other technique resulting in positional error > 30 meters.
position_notes,Any relevant submitter generated notes on how latitude and longitude were determined.,character,NA,NA,NA,NA,NA
elevation,Surface elevation of the core relative to defined datum.,numeric,meter,real,meter,NA,NA
elevation_datum,The datum relative to which the core elevation was measured against (For a complete list of datum names and aliases please refer to the ISO Geodedic Registry_https://iso.registry.bespire.eu/register/geodetic/VerticalDatum).,factor,"NAVD88 = A gravity-based geodetic datum, North American Vertical Datum of 1988; MSL = A tidal datum, Mean Sea Level as measured against a local tide gauge; MTL = A tidal datum, Mean Tidal Level as measured against a local tide gauge; MHW = A tidal datum, Mean High Water as measured against a local tide gauge; MHHW = A tidal datum, Mean Higher High Water as measured against a local tide gauge; MHHWS = A tidal datum, Mean Higher High Water for Spring Tides as measured against a local tide gauge; MLW = A tidal datum, Mean Low Water as measured against a local tide gauge; MLLW = A tidal datum, Mean Lower Low Water as measured against a local tide gauge.; NHN = TBD.; NAP = TBD.",NA,NA,NA,"NAVD88 = A gravity-based geodetic datum, North American Vertical Datum of 1988; MSL = A tidal datum, Mean Sea Level as measured against a local tide gauge; MTL = A tidal datum, Mean Tidal Level as measured against a local tide gauge; MHW = A tidal datum, Mean High Water as measured against a local tide gauge; MHHW = A tidal datum, Mean Higher High Water as measured against a local tide gauge; MHHWS = A tidal datum, Mean Higher High Water for Spring Tides as measured against a local tide gauge; MLW = A tidal datum, Mean Low Water as measured against a local tide gauge; MLLW = A tidal datum, Mean Lower Low Water as measured against a local tide gauge.; NHN = TBD.; NAP = TBD."
elevation_accuracy,"Accuracy of elevation measurement, if determined and recorded",numeric,meter,real,meter,NA,NA
elevation_method,Code indicating how elevation was determined,factor,RTK = Real-time kinematic GPS; other high resolution = Any other technique resulting in positional error < 5 cm of random error; LiDAR = Handheld GPS matched to lidar-based digital elevation model; DEM = Handheld GPS matched to another digital elevation model; other low resolution = Any other technique resulting in positional error > 5 cm of random error.,NA,NA,NA,RTK = Real-time kinematic GPS; other high resolution = Any other technique resulting in positional error < 5 cm of random error; LiDAR = Handheld GPS matched to lidar-based digital elevation model; DEM = Handheld GPS matched to another digital elevation model; other low resolution = Any other technique resulting in positional error > 5 cm of random error.
elevation_notes,Any relevant submitter generated notes on how elevation was determined.,character,NA,NA,NA,NA,NA
habitat,Habitat classification of the sampled location based on description or dominate vegetation.,factor,"mangrove = Tropical and dominated by specialized shrubs or trees.; swamp = Predominantly freshwater and dominated by trees.; scrub/shrub = Wetland dominated by shrubs.; marsh = Wetland dominated by emergent vegetation, gramminoids or forbs.; seagrass = Intertidal to subtidal and dominated by specialized predominantly submerged grasses.; algal mat = Dominated by algae.; unvegetated = Unvegetated.; mudflat = Describes unvegetated areas exposed and flooded by the tides.; upland = Predominately above sea level and dominated by trees.",NA,NA,NA,"mangrove = Tropical and dominated by specialized shrubs or trees.; swamp = Predominantly freshwater and dominated by trees.; scrub/shrub = Wetland dominated by shrubs.; marsh = Wetland dominated by emergent vegetation, gramminoids or forbs.; seagrass = Intertidal to subtidal and dominated by specialized predominantly submerged grasses.; algal mat = Dominated by algae.; unvegetated = Unvegetated.; mudflat = Describes unvegetated areas exposed and flooded by the tides.; upland = Predominately above sea level and dominated by trees."
core_length_flag,"Indicated whether or not the coring team believes they recovered a full sediment profile, down to bedrock, or other non-marsh interface.",factor,core depth limited by length of corer = The total depth of the core was limited by the length of the coring device; core depth represents deposit depth = Authors report that the depth of the core represents the depth of the wetland soil deposit; not specified = Authors did not specify whether or not the depth of the core represents the depth of the wetland soil deposit.,NA,NA,NA,core depth limited by length of corer = The total depth of the core was limited by the length of the coring device; core depth represents deposit depth = Authors report that the depth of the core represents the depth of the wetland soil deposit; not specified = Authors did not specify whether or not the depth of the core represents the depth of the wetland soil deposit.
pb210_cic_accretion_rate,Accretion rate according to a lead-210 based Constant Initial Concentration model.,numeric,centimetersPerYear,real,centimetersPerYear,NA,NA
pb210_cic_accretion_rate_se,Accretion rate parameter error according to a lead-210 based Constant Initial Concentration model.,numeric,millimetersPerYear,real,millimetersPerYear,NA,NA
pb210_cic_notes,Any notes associated with a lead-210 based Constant Initial Concentration model.,character,NA,NA,NA,NA,NA
pb210_cic_max_depth,"Maximum depth to which a lead-210 based Constant Initial Concentration model was applied, in centimeters depth relevant to surface.",numeric,centimeter,real,centimeter,NA,NA
pb210_cic_r2,"The coefficient of determination, or R-squared value, for the lead-210 based Constatn Initial Concentration model.",numeric,dimensionless,real,dimensionless,NA,NA
stocks_qual_code,TBD.,factor,"C2 = Carbon stock data complete, not confirmed to be a complete profile.; C1 = Carbon stock data complete, confirmed to be a complete profile.",NA,NA,NA,"C2 = Carbon stock data complete, not confirmed to be a complete profile.; C1 = Carbon stock data complete, confirmed to be a complete profile."
dates_qual_code,TBD.,factor,"B2 = Dating information present, but not complete.; B1 = Dating information present and complete.",NA,NA,NA,"B2 = Dating information present, but not complete.; B1 = Dating information present and complete."
elevation_qual_code,TBD.,factor,"A3 = Elevation data present but of low quality, dating info present.; A2 = Elevation data is high quality, and dating info present but incomplete.; A1 = Elevation data is high quality, and dating info is complete.",NA,NA,NA,"A3 = Elevation data present but of low quality, dating info present.; A2 = Elevation data is high quality, and dating info present but incomplete.; A1 = Elevation data is high quality, and dating info is complete."
max_depth,Maximum depth of the sampled soil profile.,numeric,centimeter,real,centimeter,NA,NA
country,Country in which data was collected.,character,NA,NA,NA,NA,NA
admin_division,Administrative division in which data was collected.,character,NA,NA,NA,NA,NA
depth_min,Minimum depth of a sampling increment.,numeric,centimeter,real,centimeter,NA,NA
depth_max,Maximum depth of a sampling increment.,numeric,centimeter,real,centimeter,NA,NA
representative_depth_min,Minimum depth of a soil horizon of which the sample is representative.,numeric,centimeter,real,centimeter,NA,NA
representative_depth_max,Maximum depth of a soil horizon of which the sample is representative.,numeric,centimeter,real,centimeter,NA,NA
sample_id,"Sample identification unique to the core. This should be used in the case that there are relevant lab specific sample codes, or in the case that there are multiple replicate samples.",character,NA,NA,NA,NA,NA
dry_bulk_density,Dry mass per unit volume of a soil sample. This does not include ash free bulk density.,numeric,gramsPerCubicCentimeter,real,gramsPerCubicCentimeter,NA,NA
fraction_organic_matter,Mass of organic matter relative to sample dry mass. Ash free bulk density should not be used here but should be expressed as a loss on ignition fraction.,numeric,dimensionless,real,dimensionless,NA,NA
fraction_carbon,Mass of carbon relative to sample dry mass.,numeric,dimensionless,real,dimensionless,NA,NA
compaction_fraction,Fraction of the sample depth interval reduced due to compaction.,numeric,dimensionless,real,dimensionless,NA,NA
compaction_notes,Any submitter generated notes on compaction.,character,NA,NA,NA,NA,NA
cs137_peak_age,Age of documented 137Cs Peak.,numeric,year,integer,year,NA,NA
cs137_activity,Radioactivity counts per unit dry weight for radiocesium (137Cs).,numeric,becquerelPerKilogram,real,becquerelPerKilogram,NA,NA
cs137_activity_se,1 standard error of uncertainty associated with cs137_activity.,numeric,becquerelPerKilogram,real,becquerelPerKilogram,NA,NA
cs137_unit,Reported unit for sample interval's Cs 137 activity measurements.,character,NA,NA,NA,NA,NA
excess_pb210_activity,Excess radioactivity counts per unit dry weight for excess lead 210 (210Pb).,numeric,becquerelPerKilogram,real,becquerelPerKilogram,NA,NA
excess_pb210_activity_se,1 standard error of uncertainty associated with excess_pb210_activity.,numeric,becquerelPerKilogram,real,becquerelPerKilogram,NA,NA
total_pb210_activity,Total radioactivity counts per unit dry weight for excess lead 210 (210Pb).,numeric,becquerelPerKilogram,real,becquerelPerKilogram,NA,NA
total_pb210_activity_se,1 standard error of uncertainty associated with total_pb210_activity.,numeric,becquerelPerKilogram,real,becquerelPerKilogram,NA,NA
pb210_unit,Reported unit for sample interval's Pb-210 activity measurements.,character,NA,NA,NA,NA,NA
ra226_activity,Total radioactivity counts per unit dry weight for Radium 226 (226Ra) if measured as part of the_210Pb dating process.,numeric,becquerelPerKilogram,real,becquerelPerKilogram,NA,NA
ra226_activity_se,1 standard error of uncertainty associated with ra226_activity.,numeric,becquerelPerKilogram,real,becquerelPerKilogram,NA,NA
ra226_unit,Reported unit for sample interval's Ra 226 activity measurements.,character,NA,NA,NA,NA,NA
pb214_activity,Radioactivity counts per unit dry weight for 214 Pb.,numeric,becquerelPerKilogram,real,becquerelPerKilogram,NA,NA
pb214_activity_se,Estimated uncertainty in pb214_activity.,numeric,becquerelPerKilogram,real,becquerelPerKilogram,NA,NA
pb214_unit,Reported unit for sample interval's 214 Pb activity measurements.,character,NA,NA,NA,NA,NA
bi214_activity,Radioactivity counts per unit dry weight for 214 Bi.,numeric,becquerelPerKilogram,real,becquerelPerKilogram,NA,NA
bi214_activity_se,Reported standard error for radioactivity counts per unit dry weight for_214Bi,numeric,becquerelPerKilogram,real,becquerelPerKilogram,NA,NA
bi214_unit,Reported unit for sample interval's Bi 214 activity measurements.,character,NA,NA,NA,NA,NA
c14_age,Radiocarbon age as estimated from AMS measurements.,numeric,radiocarbonYear,real,radiocarbonYear,NA,NA
c14_age_se,Estimated uncertainty in c14_age.,numeric,radiocarbonYear,real,radiocarbonYear,NA,NA
c14_material,Description of the material selected for radiocarbon (14C) dating.,character,NA,NA,NA,NA,NA
c14_notes,Any relevant submitter generated notes on 14C dating process.,character,NA,NA,NA,NA,NA
delta_c13,The isotopic signature of 13C. This is oftentimes measured along with c14_age and can be useful for analyzing carbon lability and provenance.,numeric,partsPerMillion,real,partsPerMillion,NA,NA
be7_activity,Radioactivity counts per unit dry weight for 7Be.,numeric,becquerelPerKilogram,real,becquerelPerKilogram,NA,NA
be7_activity_se,Estimated uncertainty in be_7_activity.,numeric,becquerelPerKilogram,real,becquerelPerKilogram,NA,NA
be7_unit,Reported unit for sample interval's Be 7 activity measurements.,character,NA,NA,NA,NA,NA
marker_date,"The age of any other dated depth horizon such as an artificial marker, pollen horizon, pollution horizon, etc.",Date,YYYY,NA,NA,YYYY,NA
marker_date_se,"The standard error of the age of any other dated depth horizon such as an artificial marker, pollen horizon, pollution horizon, etc.",Date,NA,NA,NA,NA,NA
