study_id,site_id,core_id,latitude,longitude,position_method,position_notes,elevation,elevation_datum,elevation_method,elevation_notes,salinity_class,salinity_method,vegetation_class,vegetation_method,inundation_class,inundation_method,core_length_flag,year,month,day
Poppe_and_Rybczyk_2018,Padilla_1,1_2J,48.549,-122.509,RTK,NA,0.37,NAVD88,RTK,NA,saline,NA,seagrass,measurement,low,measurement,core depth limited by length of corer,2013,12,2
Poppe_and_Rybczyk_2018,Padilla_2,2_3F,48.549,-122.514,RTK,NA,0.18,NAVD88,RTK,NA,saline,NA,seagrass,measurement,low,measurement,core depth limited by length of corer,2013,12,2
Poppe_and_Rybczyk_2018,Padilla_3,3_4F,48.549,-122.523,RTK,NA,-0.03,NAVD88,RTK,NA,saline,NA,seagrass,measurement,low,measurement,core depth limited by length of corer,2013,12,2
Poppe_and_Rybczyk_2018,Padilla_4,4_5B,48.549,-122.529,RTK,NA,-0.13,NAVD88,RTK,NA,saline,NA,seagrass,measurement,low,measurement,core depth limited by length of corer,2013,12,2
Poppe_and_Rybczyk_2018,Padilla_5,5_5F,48.55,-122.536,RTK,NA,-0.35,NAVD88,RTK,NA,saline,NA,seagrass,measurement,low,measurement,core depth limited by length of corer,2013,12,2
Poppe_and_Rybczyk_2018,Padilla_6,6_5J,48.55,-122.544,RTK,NA,-0.79,NAVD88,RTK,NA,saline,NA,seagrass,measurement,low,measurement,core depth limited by length of corer,2013,12,2
Poppe_and_Rybczyk_2019,Stillaguamish_HM5,HM5_1,48.227,-122.384,RTK,NA,2.66,NAVD88,RTK,NA,brackish,measurement,emergent,measurement,high,measurement,core depth limited by length of corer,2016,7,17
Poppe_and_Rybczyk_2019,Stillaguamish_HM5,HM5_2,48.227,-122.383,RTK,NA,2.73,NAVD88,RTK,NA,brackish,measurement,emergent,measurement,high,measurement,core depth limited by length of corer,2016,7,17
Poppe_and_Rybczyk_2019,Stillaguamish_LM5,LM5_3,48.226,-122.384,RTK,NA,1.82,NAVD88,RTK,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer,2016,7,17
Poppe_and_Rybczyk_2019,Stillaguamish_LM5,LM5_4,48.226,-122.383,RTK,NA,1.85,NAVD88,RTK,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer,2016,7,17
Poppe_and_Rybczyk_2019,Stillaguamish_TF,TF_5A,48.202,-122.386,RTK,NA,1.5,NAVD88,RTK,NA,brackish,measurement,unvegetated,measurement,low,measurement,core depth limited by length of corer,2016,7,3
Poppe_and_Rybczyk_2019,Stillaguamish_TF,TF_5B,48.202,-122.386,RTK,NA,1.5,NAVD88,RTK,NA,brackish,measurement,unvegetated,measurement,low,measurement,core depth limited by length of corer,2016,7,3
Poppe_and_Rybczyk_2019,Stillaguamish_HM1,HM1_7,48.192,-122.363,RTK,NA,2.4,NAVD88,RTK,NA,brackish,measurement,emergent,measurement,high,measurement,core depth limited by length of corer,2015,2,23
Poppe_and_Rybczyk_2019,Stillaguamish_HM1,HM1_8,48.191,-122.363,RTK,NA,2.39,NAVD88,RTK,NA,brackish,measurement,emergent,measurement,high,measurement,core depth limited by length of corer,2015,2,23
Poppe_and_Rybczyk_2019,Stillaguamish_LM1,LM1_9,48.188,-122.363,RTK,NA,2.01,NAVD88,RTK,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer,2015,2,12
Poppe_and_Rybczyk_2019,Stillaguamish_LM1,LM1_10,48.187,-122.363,RTK,NA,1.99,NAVD88,RTK,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer,2015,2,12
Poppe_and_Rybczyk_2019,Stillaguamish_HM3,HM3_11,48.201,-122.372,RTK,NA,2.63,NAVD88,RTK,NA,brackish,measurement,emergent,measurement,high,measurement,core depth limited by length of corer,2016,7,20
Poppe_and_Rybczyk_2019,Stillaguamish_HM3,HM3_20,48.2,-122.371,RTK,NA,2.55,NAVD88,RTK,NA,brackish,measurement,emergent,measurement,high,measurement,core depth limited by length of corer,2016,7,20
Poppe_and_Rybczyk_2019,Stillaguamish_LM3,LM3_13,48.201,-122.373,RTK,NA,2.22,NAVD88,RTK,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer,2016,7,20
Poppe_and_Rybczyk_2019,Stillaguamish_LM3,LM3_16,48.201,-122.373,RTK,NA,2.21,NAVD88,RTK,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer,2016,7,20
Poppe_and_Rybczyk_2019,Stillaguamish_HM4,HM4_21,48.217,-122.37,RTK,NA,2.61,NAVD88,RTK,NA,brackish,measurement,emergent,measurement,high,measurement,core depth limited by length of corer,2016,3,28
Poppe_and_Rybczyk_2019,Stillaguamish_HM4,HM4_22,48.217,-122.37,RTK,NA,2.64,NAVD88,RTK,NA,brackish,measurement,emergent,measurement,high,measurement,core depth limited by length of corer,2016,7,30
Poppe_and_Rybczyk_2019,Stillaguamish_LM4,LM4_23,48.216,-122.37,RTK,NA,2.17,NAVD88,RTK,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer,2016,7,30
Poppe_and_Rybczyk_2019,Stillaguamish_LM4,LM4_24,48.216,-122.37,RTK,NA,2.26,NAVD88,RTK,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer,2016,7,30
Poppe_and_Rybczyk_2019,Stillaguamish_R1,25A,48.204,-122.37,RTK,NA,1.75,NAVD88,RTK,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer,2016,7,2
Poppe_and_Rybczyk_2019,Stillaguamish_R1,25B,48.204,-122.37,RTK,NA,1.75,NAVD88,RTK,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer,2016,7,2
Poppe_and_Rybczyk_2019,Stillaguamish_R2,26A,48.202,-122.369,RTK,NA,1.85,NAVD88,RTK,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer,2016,7,2
Poppe_and_Rybczyk_2019,Stillaguamish_R2,26B,48.202,-122.369,RTK,NA,1.85,NAVD88,RTK,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer,2016,7,2
Poppe_and_Rybczyk_2019,Stillaguamish_R3,27A,48.19878,-122.3652,RTK,NA,2.11,NAVD88,RTK,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer,2016,6,5
Poppe_and_Rybczyk_2019,Stillaguamish_R3,27B,48.19878,-122.3652,RTK,NA,2.11,NAVD88,RTK,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer,2016,6,5
Poppe_and_Rybczyk_2019,Stillaguamish_R4,28A,48.198480000000004,-122.3645,RTK,NA,2.2,NAVD88,RTK,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer,2016,7,3
Poppe_and_Rybczyk_2019,Stillaguamish_R4,28B,48.198480000000004,-122.3645,RTK,NA,2.2,NAVD88,RTK,NA,brackish,measurement,emergent,measurement,low,measurement,core depth limited by length of corer,2016,7,3
