study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,excess_pb210_activity,pb210_unit
McGlathery_et_al_2018,SouthBay,SB152_C2,single set of methods,19,20,8.17,0.787,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB_B5_C2,single set of methods,0,1,2.72,0.477,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB_B5_C2,single set of methods,1,2,2.516,0.518,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB_B5_C2,single set of methods,2,3,3.042,0.49,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB_B5_C2,single set of methods,3,4,5.644,0.759,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB_B5_C2,single set of methods,4,5,4.725,0.613,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB_B5_C2,single set of methods,5,6,3.9,0.636,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB_B5_C2,single set of methods,6,7,4.732,0.625,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB_B5_C2,single set of methods,7,8,6.12,0.575,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB_B5_C2,single set of methods,8,9,2.826,0.775,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB_B5_C2,single set of methods,9,10,5.313,0.767,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB_B5_C2,single set of methods,10,11,7.24,0.834,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB_B5_C2,single set of methods,11,12,7.783,0.749,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB_B5_C2,single set of methods,12,13,6.256,0.764,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB_B5_C2,single set of methods,13,14,6.174,0.699,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB_B5_C2,single set of methods,14,15,6.885,0.78,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB_B5_C2,single set of methods,15,16,6.09,0.612,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB_B5_C2,single set of methods,16,17,7.406,0.643,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB_B5_C2,single set of methods,17,18,5.85,0.524,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB_B5_C2,single set of methods,18,19,6.952,0.75,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB_B5_C2,single set of methods,19,20,9.46,0.543,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,T1_9,single set of methods,0,1,7.056,0.771,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,T1_9,single set of methods,1,2,6.413,0.99,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,T1_9,single set of methods,2,3,5.098,0.877,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,T1_9,single set of methods,3,4,5.204,0.74,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,T1_9,single set of methods,4,5,5.174,0.806,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,T1_9,single set of methods,5,6,2.997,0.871,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,T1_9,single set of methods,6,7,3.786,1.553,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,T1_9,single set of methods,7,8,8.045,1.012,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,T1_9,single set of methods,8,9,5.562,0.802,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,T1_9,single set of methods,9,10,5.735,0.831,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,T1_9,single set of methods,10,11,5.511,0.886,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,T1_9,single set of methods,11,12,3.092,0.571,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,T1_9,single set of methods,12,13,2.786,0.376,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,T1_9,single set of methods,13,14,3.791,0.361,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,T1_9,single set of methods,14,15,2.986,0.445,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,T1_9,single set of methods,15,16,3.034,0.293,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,T1_9,single set of methods,16,17,2.932,0.433,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,T1_9,single set of methods,17,18,5.313,0.468,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,T1_9,single set of methods,18,19,2.965,0.581,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,T1_9,single set of methods,19,20,3.521,0.403,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,2B,single set of methods,0,1,2.585,0.709,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,2B,single set of methods,1,2,2.305,0.691,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,2B,single set of methods,2,3,2.752,0.529,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,2B,single set of methods,3,4,2.768,0.62,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,2B,single set of methods,4,5,3.202,0.783,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,2B,single set of methods,5,6,3.348,0.635,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,2B,single set of methods,6,7,3.206,0.561,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,2B,single set of methods,7,8,2.493,0.674,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,2B,single set of methods,8,9,3.575,0.556,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,2B,single set of methods,9,10,3.02,0.651,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,2B,single set of methods,10,11,2.422,0.586,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,2B,single set of methods,11,12,2.575,0.645,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,2B,single set of methods,12,13,3.225,0.755,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,2B,single set of methods,13,14,6.166,0.79,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,2B,single set of methods,14,15,3.948,0.697,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,2B,single set of methods,15,16,8.468,0.714,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,2B,single set of methods,16,17,6.359,0.809,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,2B,single set of methods,17,18,5.52,0.728,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,2B,single set of methods,18,19,4.134,0.841,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,ManAndBoyChannel,2B,single set of methods,19,20,5.659,0.598,disintegrationsPerMinutePerGram
