"ID","SPECID","SGN","SG","ORIGIN","CITID","NOTES"
72,6,2,0.76,"South-East Asia (Tropical)",161,"Average of records 2327 & 2328"
73,61,1,0.78,"Tropical",161,"Average of records 4573-4575"
74,60,1,0.56,"South-East Asia (tropical)",161,"Record # 5201"
75,36,3,0.84,"Global Wood Density Database",161,"Average of records 8023-8027"
76,64,1,0.70,"South-East Asia (Tropical)",161,"Record # 8042"
77,38,1,0.72,"South-East Asia (Tropical)",161,"Record # 8623, regional average"
78,63,1,0.66,"Australia/PNG (tropical)",161,"Record # 10032"
79,62,1,0.59,"South-East Asia (Tropical)",161,"Average of records 12503-12506"
80,51,2,0.38,"South-East Asia (Tropical)",161,"Average of records 14498 & 14499"
81,47,1,0.38,"South-East Asia (Tropical)",161,"Average of records 14498-14502"
82,22,5,0.56,"Australia/PNG (Tropical)",161,"Average of records 16297-16299"
83,33,1,0.57,"Australia/PNG (Tropical)",161,"Average of records 16297-16300"
1000,25,1,1.00,"Wood density not available",1000,"Wood density not available"
