study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,total_pb210_activity,total_pb210_activity_se,pb210_unit
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,single set of methods,52,54,0.124,0.4019,5.39,0.27,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,single set of methods,56,58,0.152,0.2898,4.27,0.21,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT3A,single set of methods,0,1,0.159,0.3545,9.96,0.5,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT3A,single set of methods,2,3,0.108,0.4008,27.55,1.38,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT3A,single set of methods,4,5,0.142,0.5508,17.35,0.87,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT3A,single set of methods,6,7,0.0874,0.3876,10.64,0.53,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT3A,single set of methods,8,9,0.108,0.361,7.39,0.37,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT3A,single set of methods,10,11,0.144,0.2899,8.94,0.45,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT3A,single set of methods,12,13,0.181,0.2677,6.59,0.33,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT3A,single set of methods,14,15,0.309,0.2698,7.7,0.39,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT3A,single set of methods,16,17,0.196,0.2667,4.43,0.22,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT3A,single set of methods,18,19,0.164,0.2546,7.76,0.39,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT3A,single set of methods,20,22,0.205,0.2927,7.88,0.39,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT3A,single set of methods,24,26,0.315,0.2338,5.13,0.26,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT3A,single set of methods,28,30,0.0558,0.4804,13.34,0.67,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT3A,single set of methods,32,34,0.548,0.1297,3.67,0.18,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT3A,single set of methods,36,38,0.326,0.2033,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT3A,single set of methods,40,42,0.3,0.2559,5.63,0.28,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT3A,single set of methods,44,46,0.615,0.1565,3.29,0.16,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT3A,single set of methods,48,50,0.321,0.2229,3.02,0.15,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT3A,single set of methods,52,54,0.416,0.1977,2.6,0.13,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT3A,single set of methods,56,58,0.369,0.1173,2.21,0.11,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT2B,single set of methods,0,1,0.0379,NA,6.15,0.31,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT2B,single set of methods,1,2,0.0981,0.5133,10.03,0.5,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT2B,single set of methods,2,3,0.0738,NA,7.56,0.38,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT2B,single set of methods,3,4,0.0875,0.5325,11.35,0.57,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT2B,single set of methods,4,5,0.0799,NA,8.03,0.4,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT2B,single set of methods,5,6,0.0903,0.5248,12.29,0.61,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT2B,single set of methods,6,7,0.0626,NA,6.24,0.31,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT2B,single set of methods,7,8,0.0767,0.5579,7.8,0.39,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT2B,single set of methods,8,9,0.0768,NA,5.39,0.27,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT2B,single set of methods,9,10,0.201,0.3623,NA,0.21,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT2B,single set of methods,10,11,0.139,0.2454,4.13,0.27,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT2B,single set of methods,11,12,0.0943,0.4394,5.45,0.33,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT2B,single set of methods,12,13,0.151,0.2603,6.63,0.27,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT2B,single set of methods,13,14,0.0596,0.427,6.34,0.32,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT2B,single set of methods,14,15,0.128,0.2619,4,0.2,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT2B,single set of methods,15,16,0.08,0.4552,4.19,0.21,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT2B,single set of methods,16,17,0.151,NA,3.83,0.19,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT2B,single set of methods,17,18,0.102,0.4444,3.62,0.18,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT2B,single set of methods,18,19,0.12,NA,3.71,0.19,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT2B,single set of methods,19,20,0.105,0.4177,6.18,0.31,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT2B,single set of methods,20,22,0.223,0.3145,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT2B,single set of methods,22,24,0.184,0.3276,5.09,0.25,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT2B,single set of methods,26,28,0.141,0.4536,9.17,0.46,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT2B,single set of methods,30,32,0.185,0.3773,4.33,0.22,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT2B,single set of methods,34,36,0.191,0.2908,3.33,0.17,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT2B,single set of methods,38,40,0.139,0.3925,3.7,0.18,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT2B,single set of methods,42,44,0.195,0.3475,2.37,0.12,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT2B,single set of methods,46,48,0.38,0.292,1.89,0.09,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT2B,single set of methods,50,52,0.558,0.2772,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DMT2B,single set of methods,54,56,0.221,0.2361,2.14,0.11,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DM35,single set of methods,0,2,0.119,0.2956,22.69,1.13,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DM35,single set of methods,4,6,0.138,0.2705,10.61,0.53,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DM35,single set of methods,8,10,0.144,0.335,17.93,0.9,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DM35,single set of methods,12,14,0.0864,0.3042,3.85,0.19,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DM35,single set of methods,16,18,0.212,0.2538,9.57,0.48,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DM35,single set of methods,20,22,0.208,0.2166,7.27,0.36,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DM35,single set of methods,24,26,0.0725,0.312,4.43,0.22,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DM35,single set of methods,28,30,0.222,0.1866,4.58,0.23,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DM35,single set of methods,32,34,0.131,0.1913,4.18,0.21,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DM35,single set of methods,36,38,0.275,0.2519,3.95,0.2,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DM35,single set of methods,40,42,0.11,0.2373,5.19,0.26,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DM35,single set of methods,44,46,0.283,0.15310000000000001,5.3,0.27,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DM35,single set of methods,48,50,0.13,0.1758,3.78,0.19,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DM35,single set of methods,52,54,0.279,0.1516,9.3,0.46,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,DM35,single set of methods,56,58,0.237,0.143,2.97,0.15,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-2,single set of methods,0,2,NA,NA,6.72,0.34,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-2,single set of methods,6,8,NA,NA,6,0.3,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-2,single set of methods,12,14,NA,NA,4.48,0.22,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-2,single set of methods,18,20,NA,NA,7.57,0.38,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-2,single set of methods,28,30,NA,NA,4.34,0.22,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-2,single set of methods,34,36,NA,NA,2.53,0.13,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-2,single set of methods,42,44,NA,NA,8.02,0.4,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-2,single set of methods,48,50,NA,NA,1.22,0.06,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-2,single set of methods,54,56,NA,NA,1.38,0.07,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-3,single set of methods,0,1,0.167,0.4078,9.93,0.5,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-3,single set of methods,2,3,0.142,0.436,9.97,0.5,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-3,single set of methods,4,5,0.0495,0.3302,7.36,0.37,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-3,single set of methods,6,7,0.1,0.2813,11.61,0.58,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-3,single set of methods,8,9,0.189,0.2749,9.87,0.49,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-3,single set of methods,10,11,0.253,0.4541,10.82,0.54,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-3,single set of methods,12,13,0.159,0.2567,8.39,0.42,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-3,single set of methods,14,15,0.172,0.2436,6.38,0.32,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-3,single set of methods,16,17,0.177,0.2407,9.19,0.46,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-3,single set of methods,18,19,0.262,0.2437,14.28,0.71,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-3,single set of methods,20,22,0.197,0.2104,12.01,0.6,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-3,single set of methods,24,26,0.358,0.2327,8.39,0.42,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-3,single set of methods,28,30,0.277,0.2635,9.69,0.48,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-3,single set of methods,32,34,0.256,0.1855,5.99,0.3,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-3,single set of methods,36,38,0.493,0.1473,5.13,0.26,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-3,single set of methods,40,42,0.403,0.1726,4.85,0.24,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-3,single set of methods,44,46,0.583,0.1292,3.38,0.17,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-3,single set of methods,48,50,0.569,0.1126,3.86,0.19,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-3,single set of methods,52,54,0.583,0.0971,4.22,0.21,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-3,single set of methods,56,58,0.641,0.1191,4.01,0.2,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-3,single set of methods,60,61,0.285,0.1395,NA,NA,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-1,single set of methods,0,1,0.02,0.6149,11.79,0.59,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-1,single set of methods,2,3,0.04,0.355,12.85,0.64,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-1,single set of methods,4,5,0.03,0.2216,7.36,0.37,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-1,single set of methods,6,7,0.06,0.29,13.06,0.65,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-1,single set of methods,8,9,0.07,0.3214,9.22,0.46,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-1,single set of methods,10,11,0.1,0.2542,5.79,0.29,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-1,single set of methods,12,13,0.09,0.2736,7.76,0.39,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-1,single set of methods,14,15,0.08,0.2338,5.84,0.29,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-1,single set of methods,16,17,0.12,0.2451,6.01,0.3,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-1,single set of methods,18,19,0.17,0.2332,8.02,0.4,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-1,single set of methods,20,22,0.17,0.2383,7.31,0.37,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-1,single set of methods,24,26,0.22,0.267,7.68,0.38,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-1,single set of methods,28,30,0.17,0.2785,6.91,0.35,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-1,single set of methods,32,34,0.16,0.2407,5.49,0.27,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-1,single set of methods,36,38,0.27,0.1639,5.35,0.27,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-1,single set of methods,40,42,0.2,0.254,7.28,0.36,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-1,single set of methods,44,46,0.16,0.2742,4.6,0.23,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-1,single set of methods,48,50,0.21,0.2527,4.24,0.21,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-1,single set of methods,52,54,0.23,0.2896,3.58,0.18,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-2,single set of methods,2,4,NA,0.4511,5.31,0.27,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-2,single set of methods,8,10,NA,0.2831,5.45,0.27,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-2,single set of methods,14,16,NA,0.2293,4.06,0.2,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-2,single set of methods,22,24,NA,0.2649,2.62,0.13,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-2,single set of methods,28,30,NA,0.2475,2.66,0.13,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-2,single set of methods,36,38,NA,0.1641,3.16,0.16,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-2,single set of methods,42,44,NA,0.2155,3.31,0.17,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-2,single set of methods,50,52,NA,0.194,3.07,0.15,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-2,single set of methods,56,58,NA,0.2332,2.77,0.14,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-3,single set of methods,0,2,NA,0.602,5.56,0.28,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-3,single set of methods,6,8,NA,0.595,6.04,0.3,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-3,single set of methods,12,14,NA,0.693,5.12,0.26,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-3,single set of methods,18,20,NA,0.67,4.57,0.23,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-3,single set of methods,24,26,NA,0.692,4.04,0.2,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-3,single set of methods,30,32,NA,NA,2.02,0.1,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-3,single set of methods,36,38,NA,NA,0.73,0.04,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-3,single set of methods,42,44,NA,NA,0.5,0.03,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-3,single set of methods,50,52,NA,NA,1.72,0.09,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS2-3,single set of methods,56,57,NA,NA,1.4,0.07,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-1,single set of methods,0,2,0.182,0.2795,12.37,0.62,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-1,single set of methods,4,6,0.203,0.2489,6.49,0.32,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-1,single set of methods,8,10,0.251,0.29,12.35,0.62,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-1,single set of methods,12,14,0.164,0.2421,18.71,0.94,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-1,single set of methods,16,18,0.214,0.2262,7.37,0.37,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-1,single set of methods,20,22,0.27,0.2101,3.84,0.19,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-1,single set of methods,24,26,0.241,0.1721,10.42,0.52,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-1,single set of methods,28,30,0.18,0.1862,9.63,0.48,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-1,single set of methods,32,34,0.222,0.1746,8.36,0.42,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS3-1,single set of methods,36,38,0.262,0.1275,4.56,0.23,disintegrationsPerMinutePerGram
