study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,total_pb210_activity,total_pb210_activity_se,ra226_activity,ra226_activity_se,excess_pb210_activity,excess_pb210_activity_se,pb210_unit
Drexler_et_al_2019,Six_Gill_Slough,SG6,single set of methods,6,8,0.309,0.11789999999999999,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG6,single set of methods,8,10,0.32,0.1106,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG6,single set of methods,10,12,0.375,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG6,single set of methods,12,14,0.442,0.061200000000000004,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG6,single set of methods,14,16,0.683,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG6,single set of methods,16,18,0.902,0.0256,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG6,single set of methods,18,20,1.112,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG6,single set of methods,20,22,0.944,0.0216,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG6,single set of methods,22,24,0.978,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG6,single set of methods,24,26,0.869,0.0189,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG10,single set of methods,0,2,0.673,0.03,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG10,single set of methods,2,4,0.743,0.0265,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG10,single set of methods,4,6,0.285,0.09939999999999999,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG10,single set of methods,6,8,0.2,0.11349999999999999,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG10,single set of methods,8,10,0.149,0.25379999999999997,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG10,single set of methods,10,12,0.204,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG10,single set of methods,12,14,0.272,0.2022,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG10,single set of methods,14,16,0.553,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG10,single set of methods,16,18,0.67,0.038,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG10,single set of methods,18,20,0.608,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG10,single set of methods,20,22,0.686,0.0519,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG10,single set of methods,22,24,0.652,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG10,single set of methods,24,26,0.662,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG10,single set of methods,26,28,0.791,0.042,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG10,single set of methods,28,30,0.851,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG10,single set of methods,30,32,0.795,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG10,single set of methods,32,34,0.98,0.035,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG10,single set of methods,34,36,0.738,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG10,single set of methods,36,38,0.867,0.0358,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG11,single set of methods,0,2,0.642,0.0359,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG11,single set of methods,2,4,0.179,0.1623,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG11,single set of methods,4,6,0.152,0.2763,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG11,single set of methods,6,8,0.195,0.18289999999999998,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG11,single set of methods,8,10,0.175,0.2357,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG11,single set of methods,10,12,0.434,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG11,single set of methods,12,14,0.853,0.018799999999999997,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG11,single set of methods,14,16,0.491,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG11,single set of methods,16,18,0.542,0.0588,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG11,single set of methods,18,20,0.911,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG11,single set of methods,20,22,0.893,0.025,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG11,single set of methods,22,24,0.962,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG11,single set of methods,24,26,0.943,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG11,single set of methods,26,28,1.031,0.0197,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG11,single set of methods,28,30,1.012,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG11,single set of methods,30,32,0.969,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG11,single set of methods,32,34,0.892,0.022000000000000002,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG11,single set of methods,34,36,1.016,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG11,single set of methods,36,38,0.827,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG11,single set of methods,38,40,0.981,0.0255,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG12,single set of methods,0,2,0.673,0.0305,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG12,single set of methods,2,4,0.654,0.031400000000000004,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG12,single set of methods,4,6,0.456,0.07139999999999999,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG12,single set of methods,6,8,0.2,0.17629999999999998,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG12,single set of methods,8,10,0.199,0.1986,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG12,single set of methods,10,12,0.35,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG12,single set of methods,12,14,0.498,0.0764,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG12,single set of methods,14,16,0.562,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG12,single set of methods,16,18,0.676,0.042800000000000005,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG12,single set of methods,18,20,0.813,0.047400000000000005,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG12,single set of methods,20,22,0.79,0.026600000000000002,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG12,single set of methods,22,24,0.93,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG12,single set of methods,24,26,0.874,0.0208,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG12,single set of methods,26,28,0.774,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG12,single set of methods,28,30,0.963,0.021099999999999997,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS7,single set of methods,0,2,0.194,0.2335,6.63,0.62,0.37,0.12,6.26,NA,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS7,single set of methods,2,4,0.289,0.1518,4.67,0.57,0.41,0.12,4.26,NA,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS7,single set of methods,4,6,0.26,0.16510000000000002,4.15,0.45,0.62,0.09,3.54,NA,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS7,single set of methods,6,8,0.322,0.12890000000000001,2.7,0.34,0.69,0.07,2.01,NA,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS7,single set of methods,8,10,0.292,0.1671,2.77,0.27,0.58,0.05,2.19,NA,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS7,single set of methods,10,12,0.263,NA,2.67,0.31,0.62,0.06,2.05,NA,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS7,single set of methods,12,14,0.349,0.1164,2.23,0.26,0.7,0.05,1.53,NA,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS7,single set of methods,14,16,0.387,NA,1.45,0.24,0.65,0.05,0.8,NA,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS7,single set of methods,16,18,0.355,0.0968,1.64,0.23,0.88,0.05,0.76,NA,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS7,single set of methods,18,20,0.352,NA,1.34,0.25,0.77,0.05,0.57,NA,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS7,single set of methods,20,22,0.392,0.1039,0.99,0.23,0.82,0.05,0.17,NA,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS7,single set of methods,22,24,0.534,NA,1.12,0.19,0.99,0.04,0.13,NA,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS7,single set of methods,24,26,0.66,NA,1,0.23,1.02,0.05,-0.02,NA,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS7,single set of methods,26,28,0.502,0.0572,1.1,0.22,1.01,0.05,0.09,NA,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS7,single set of methods,28,30,0.562,NA,1.14,0.22,1.1,0.05,0.05,NA,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS7,single set of methods,30,32,0.606,NA,1.2,0.24,1.11,0.05,0.09,NA,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS7,single set of methods,32,34,0.604,0.052199999999999996,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS7,single set of methods,34,36,0.759,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS7,single set of methods,36,38,1.014,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS7,single set of methods,38,40,0.756,0.0345,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS7,single set of methods,40,42,0.754,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS7,single set of methods,42,44,0.741,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS7,single set of methods,44,46,0.716,0.0232,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS8,single set of methods,0,2,0.055,0.1673,7.3,0.4,0.65,0.05,6.66,0.41,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS8,single set of methods,2,4,0.149,0.17,7.03,0.45,0.67,0.06,6.36,0.45,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS8,single set of methods,4,6,0.254,0.11939999999999999,5.66,0.43,0.81,0.06,4.85,0.44,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS8,single set of methods,6,8,0.261,0.1105,4.24,0.29,0.92,0.04,3.32,0.29,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS8,single set of methods,8,10,0.216,0.1139,3.72,0.38,0.78,0.06,2.94,0.39,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS8,single set of methods,10,12,0.212,NA,3.12,0.37,0.64,0.06,2.48,0.38,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS8,single set of methods,12,14,0.241,0.1346,2.98,0.32,0.75,0.05,2.23,0.33,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS8,single set of methods,14,16,0.259,NA,2.94,0.29,0.76,0.05,2.17,0.3,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS8,single set of methods,16,18,0.263,0.10400000000000001,3.02,0.27,0.7,0.04,2.32,0.27,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS8,single set of methods,18,20,0.246,NA,2.57,0.23,0.69,0.04,1.87,0.23,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS8,single set of methods,20,22,0.283,0.09269999999999999,1.92,0.22,0.74,0.04,1.18,0.22,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS8,single set of methods,22,24,0.302,NA,1.69,0.24,0.83,0.04,0.87,0.24,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS8,single set of methods,24,26,0.299,NA,1.51,0.25,0.82,0.04,0.69,0.25,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS8,single set of methods,26,28,0.281,0.0981,1.91,0.3,0.87,0.05,1.04,0.31,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS8,single set of methods,28,30,0.259,NA,0.89,0.33,0.8,0.06,0.09,0.34,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS8,single set of methods,30,32,0.413,NA,0.97,0.26,0.96,0.06,0,0.27,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS8,single set of methods,32,34,0.358,0.0795,1.44,0.29,0.98,0.07,0.46,0.3,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS8,single set of methods,34,36,0.268,NA,1.59,0.3,0.81,0.07,0.78,0.31,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS8,single set of methods,36,38,0.393,NA,1.08,0.19,1.05,0.04,0.04,0.19,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS8,single set of methods,38,40,0.441,0.0559,0.85,0.2,1.19,0.05,-0.34,0.21,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS8,single set of methods,40,42,0.389,NA,1.02,0.22,1.01,0.05,0,0.23,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS8,single set of methods,42,44,0.394,NA,0.94,0.3,0.99,0.06,-0.05,0.3,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS8,single set of methods,44,46,0.361,0.08109999999999999,1.15,0.32,0.95,0.07,0.21,0.33,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS8,single set of methods,46,48,0.423,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS8,single set of methods,48,50,0.431,NA,1.27,0.22,1.02,0.04,0.25,0.22,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS9,single set of methods,0,2,0.234,0.1572,5.77,0.47,0.88,0.07,4.89,0.48,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS9,single set of methods,2,4,0.299,0.1338,4.43,0.34,0.9,0.04,3.53,0.34,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS9,single set of methods,4,6,0.35,0.0916,3.84,0.34,0.86,0.05,2.98,0.34,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS9,single set of methods,6,8,0.288,0.0851,3.2,0.25,0.93,0.04,2.27,0.26,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS9,single set of methods,8,10,0.295,0.0791,2.31,0.29,0.8,0.05,1.51,0.29,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS9,single set of methods,10,12,0.297,NA,2.29,0.24,0.93,0.04,1.36,0.24,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS9,single set of methods,12,14,0.274,0.0909,2.44,0.25,0.95,0.04,1.49,0.25,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS9,single set of methods,14,16,0.298,NA,2.33,0.22,0.84,0.04,1.49,0.22,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS9,single set of methods,16,18,0.301,0.0857,1.61,0.21,0.74,0.04,0.87,0.21,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS9,single set of methods,18,20,0.265,NA,1.43,0.2,0.72,0.04,0.7,0.21,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS9,single set of methods,20,22,0.279,0.0851,1.27,0.16,0.83,0.03,0.43,0.16,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS9,single set of methods,22,24,0.383,NA,1.13,0.2,0.87,0.04,0.25,0.2,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS9,single set of methods,24,26,0.345,NA,1.13,0.2,0.91,0.04,0.22,0.2,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS9,single set of methods,26,28,0.324,0.0848,1.13,0.19,0.95,0.04,0.18,0.19,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS9,single set of methods,28,30,0.437,NA,1.17,0.18,0.97,0.04,0.2,0.19,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS9,single set of methods,30,32,0.417,NA,1.34,0.18,0.96,0.04,0.38,0.18,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS9,single set of methods,32,34,0.413,0.0781,1.09,0.16,1.08,0.04,0.01,0.16,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS9,single set of methods,34,36,0.488,NA,0.95,0.16,0.99,0.04,-0.04,0.16,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS9,single set of methods,36,38,0.427,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS9,single set of methods,38,40,0.453,0.0815,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS9,single set of methods,40,42,0.398,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS9,single set of methods,42,44,0.378,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS9,single set of methods,44,46,0.346,0.0667,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS9,single set of methods,46,48,0.397,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS9,single set of methods,48,50,0.409,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS9,single set of methods,50,52,0.431,0.0501,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS14,single set of methods,0,2,0.174,0.2368,6.15,0.39,0.48,0.06,5.68,0.4,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS14,single set of methods,2,4,0.159,0.20920000000000002,8.44,0.47,0.58,0.06,7.86,0.47,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS14,single set of methods,4,6,0.236,0.17920000000000003,6.66,0.47,0.67,0.08,5.98,0.48,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS14,single set of methods,6,8,0.904,0.12269999999999999,3.76,0.36,0.65,0.06,3.11,0.36,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS14,single set of methods,8,10,0.189,0.1364,3.96,0.36,0.74,0.06,3.22,0.37,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS14,single set of methods,10,12,0.196,0.1381,3.74,0.3,0.71,0.04,3.03,0.3,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS14,single set of methods,12,14,0.226,0.125,3.31,0.3,0.7,0.04,2.61,0.3,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS14,single set of methods,14,16,0.358,0.0925,2.26,0.23,0.91,0.04,1.35,0.23,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS14,single set of methods,16,18,0.333,0.08560000000000001,2.19,0.21,0.9,0.04,1.29,0.22,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS14,single set of methods,18,20,0.376,0.0784,1.68,0.24,0.84,0.05,0.84,0.25,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS14,single set of methods,20,22,0.458,0.0692,1.5,0.22,0.9,0.05,0.6,0.22,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS14,single set of methods,22,24,0.44,0.0542,1.2,0.19,0.98,0.03,0.22,0.19,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS14,single set of methods,24,26,0.606,0.0475,1.71,0.21,1.03,0.04,0.68,0.22,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS14,single set of methods,26,28,0.679,0.0444,1.15,0.15,0.98,0.04,0.16,0.16,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS14,single set of methods,28,30,0.547,0.060899999999999996,1.02,0.15,1.01,0.04,0.01,0.15,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS14,single set of methods,30,32,0.828,0.041299999999999996,1.05,0.2,1.02,0.04,0.03,0.2,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS14,single set of methods,32,34,0.708,0.039,0.95,0.17,1.08,0.03,-0.13,0.18,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS14,single set of methods,34,36,0.916,0.031400000000000004,1.07,0.18,1.13,0.04,-0.06,0.19,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS14,single set of methods,36,38,1.03,0.0208,1.01,0.19,1.17,0.04,-0.15,0.2,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS14,single set of methods,38,40,0.772,0.0217,0.94,0.14,1.17,0.03,-0.23,0.15,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS14,single set of methods,40,42,0.967,0.0235,1.21,0.17,1.18,0.03,0.03,0.17,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS14,single set of methods,42,44,1.022,0.0187,0.91,0.13,1.1,0.04,-0.19,0.14,distintegrations per minute per gram
Drexler_et_al_2019,Animal_Slough,AS14,single set of methods,44,46,0.799,0.0209,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Animal_Slough,AS14,single set of methods,46,48,1.025,0.016399999999999998,NA,NA,NA,NA,NA,NA,NA
