study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,cs137_activity,cs137_activity_se,cs137_unit,total_pb210_activity,total_pb210_activity_se,excess_pb210_activity,excess_pb210_activity_se,pb210_unit,age,age_se,depth_interval_notes,method_id
Drexler_et_al_2013,Sandy_Island_Deeply_Flooded,Sandy_Island_Deeply_Flooded_1,0,3,0.02,0.411,-0.138,0.072,picoCuriesPerGram,7.88,1.07,7.42,1.11,disintegrationsPerMinutePerGram,2010.2,0,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Deeply_Flooded,Sandy_Island_Deeply_Flooded_1,3,6,0.03,0.371,0.068,0.039,picoCuriesPerGram,12.53,0.71,12.05,0.72,disintegrationsPerMinutePerGram,2009.2,0.1,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Deeply_Flooded,Sandy_Island_Deeply_Flooded_1,6,9,0.02,0.398,-0.02,0.058,picoCuriesPerGram,12.31,0.93,11.33,0.95,disintegrationsPerMinutePerGram,2008,0.1,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Deeply_Flooded,Sandy_Island_Deeply_Flooded_1,9,12,0.02,0.39,0.108,0.037,picoCuriesPerGram,15.05,0.77,13.98,0.78,disintegrationsPerMinutePerGram,2006.9,0.1,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Deeply_Flooded,Sandy_Island_Deeply_Flooded_1,12,15,0.02,0.359,0.141,0.041,picoCuriesPerGram,15.12,0.78,14.31,0.79,disintegrationsPerMinutePerGram,2005.6,0.1,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Deeply_Flooded,Sandy_Island_Deeply_Flooded_1,15,18,0.03,0.368,0.238,0.052,picoCuriesPerGram,13.3,0.84,12.6,0.85,disintegrationsPerMinutePerGram,2003.9,0.2,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Deeply_Flooded,Sandy_Island_Deeply_Flooded_1,18,21,0.05,0.338,0.601,0.064,picoCuriesPerGram,14.02,0.81,13.14,0.82,disintegrationsPerMinutePerGram,2001.2,0.3,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Deeply_Flooded,Sandy_Island_Deeply_Flooded_1,21,24,0.12,0.234,1.766,0.127,picoCuriesPerGram,11.57,0.64,10.11,0.65,disintegrationsPerMinutePerGram,1995.9,0.7,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Deeply_Flooded,Sandy_Island_Deeply_Flooded_1,24,27,0.13,0.189,2.447,0.167,picoCuriesPerGram,9.74,0.5,8.39,0.51,disintegrationsPerMinutePerGram,1987.7,1.3,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Deeply_Flooded,Sandy_Island_Deeply_Flooded_1,27,30,0.19,0.116,2.2,0.155,picoCuriesPerGram,6.27,0.51,4.02,0.52,disintegrationsPerMinutePerGram,1979.1,2,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Deeply_Flooded,Sandy_Island_Deeply_Flooded_1,30,33,0.23,0.111,1.445,0.103,picoCuriesPerGram,5.08,0.42,2.56,0.44,disintegrationsPerMinutePerGram,1970.9,2.4,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Deeply_Flooded,Sandy_Island_Deeply_Flooded_1,33,36,0.26,0.102,0.466,0.035,picoCuriesPerGram,4.11,0.25,1.45,0.26,disintegrationsPerMinutePerGram,1963.5,2.6,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Deeply_Flooded,Sandy_Island_Deeply_Flooded_1,36,39,0.27,0.101,0.185,0.023,picoCuriesPerGram,4.05,0.31,1.26,0.32,disintegrationsPerMinutePerGram,1956.6,3.2,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Deeply_Flooded,Sandy_Island_Deeply_Flooded_1,39,42,0.21,0.1,0.088,0.017,picoCuriesPerGram,3.65,0.27,0.88,0.28,disintegrationsPerMinutePerGram,1950.6,3.4,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Deeply_Flooded,Sandy_Island_Deeply_Flooded_1,42,51,0.28,0.082,0.063,0.017,picoCuriesPerGram,3.09,0.26,0.08,0.27,disintegrationsPerMinutePerGram,1947.5,10.9,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Deeply_Flooded,Sandy_Island_Deeply_Flooded_2,0,3,0.02,0.392,0.169,0.062,picoCuriesPerGram,12.37,0.95,11.98,0.97,disintegrationsPerMinutePerGram,2010,0.1,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Deeply_Flooded,Sandy_Island_Deeply_Flooded_2,3,6,0.01,0.4,0.234,0.078,picoCuriesPerGram,13.91,1.17,13.56,1.21,disintegrationsPerMinutePerGram,2009,0.1,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Deeply_Flooded,Sandy_Island_Deeply_Flooded_2,6,9,0.02,0.394,0.229,0.04,picoCuriesPerGram,15.64,0.73,15.17,0.75,disintegrationsPerMinutePerGram,2007.7,0.2,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Deeply_Flooded,Sandy_Island_Deeply_Flooded_2,9,12,0.02,0.381,0.402,0.059,picoCuriesPerGram,15.43,0.89,14.92,0.9,disintegrationsPerMinutePerGram,2005.9,0.3,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Deeply_Flooded,Sandy_Island_Deeply_Flooded_2,12,15,0.04,0.317,0.922,0.083,picoCuriesPerGram,13.43,0.83,12.53,0.85,disintegrationsPerMinutePerGram,2003.4,0.4,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Deeply_Flooded,Sandy_Island_Deeply_Flooded_2,15,18,0.08,0.22,1.98,0.138,picoCuriesPerGram,11.66,0.61,10.4,0.62,disintegrationsPerMinutePerGram,1999,0.8,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Deeply_Flooded,Sandy_Island_Deeply_Flooded_2,18,21,0.12,0.216,1.859,0.137,picoCuriesPerGram,12.31,0.75,10.92,0.76,disintegrationsPerMinutePerGram,1990.5,2,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Deeply_Flooded,Sandy_Island_Deeply_Flooded_2,21,24,0.18,0.151,2.553,0.178,picoCuriesPerGram,8.77,0.59,7.05,0.6,disintegrationsPerMinutePerGram,1976.2,5,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Deeply_Flooded,Sandy_Island_Deeply_Flooded_2,24,27,0.23,0.109,2.141,0.149,picoCuriesPerGram,6.59,0.47,4.57,0.48,disintegrationsPerMinutePerGram,1954,15.1,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Deeply_Flooded,Sandy_Island_Deeply_Flooded_2,27,30,0.25,0.088,0.374,0.037,picoCuriesPerGram,5.08,0.39,2.28,0.4,disintegrationsPerMinutePerGram,1917.9,72.2,NA,single set of methods
Drexler_et_al_2013,Hasty_Point_Managed_Shallow,Hasty_Point_Managed_Shallow_1,0,2,0.05,0.27,0.322,0.075,picoCuriesPerGram,8.02,1,6.07,1.03,disintegrationsPerMinutePerGram,2009.7,0.1,NA,single set of methods
Drexler_et_al_2013,Hasty_Point_Managed_Shallow,Hasty_Point_Managed_Shallow_1,2,4,0.15,0.223,0.438,0.062,picoCuriesPerGram,10.33,0.85,8.93,0.86,disintegrationsPerMinutePerGram,2005.8,0.6,NA,single set of methods
Drexler_et_al_2013,Hasty_Point_Managed_Shallow,Hasty_Point_Managed_Shallow_1,4,6,0.32,0.135,0.471,0.05,picoCuriesPerGram,10.08,0.63,7.54,0.64,disintegrationsPerMinutePerGram,1994.2,2,NA,single set of methods
Drexler_et_al_2013,Hasty_Point_Managed_Shallow,Hasty_Point_Managed_Shallow_1,6,8,0.62,0.059,0.605,0.052,picoCuriesPerGram,5.18,0.46,1.84,0.47,disintegrationsPerMinutePerGram,1979.4,5.3,NA,single set of methods
Drexler_et_al_2013,Hasty_Point_Managed_Shallow,Hasty_Point_Managed_Shallow_1,8,10,0.62,0.053,0.649,0.052,picoCuriesPerGram,5.46,0.41,2.06,0.42,disintegrationsPerMinutePerGram,1960.7,9.1,NA,single set of methods
Drexler_et_al_2013,Hasty_Point_Managed_Shallow,Hasty_Point_Managed_Shallow_1,10,12,0.61,0.05,0.449,0.042,picoCuriesPerGram,4.01,0.42,0.47,0.43,disintegrationsPerMinutePerGram,1943.2,22,NA,single set of methods
Drexler_et_al_2013,Hasty_Point_Managed_Shallow,Hasty_Point_Managed_Shallow_2,0,2,0.14,0.226,0.414,0.062,picoCuriesPerGram,14.17,0.91,12.2,0.92,disintegrationsPerMinutePerGram,2006.3,0.6,NA,single set of methods
Drexler_et_al_2013,Hasty_Point_Managed_Shallow,Hasty_Point_Managed_Shallow_2,2,4,0.36,0.114,0.614,0.06,picoCuriesPerGram,8.51,0.63,5.79,0.65,disintegrationsPerMinutePerGram,1996.3,2,NA,single set of methods
Drexler_et_al_2013,Hasty_Point_Managed_Shallow,Hasty_Point_Managed_Shallow_2,4,6,0.56,0.069,0.574,0.052,picoCuriesPerGram,6.16,0.49,3.05,0.51,disintegrationsPerMinutePerGram,1983,3.9,NA,single set of methods
Drexler_et_al_2013,Hasty_Point_Managed_Shallow,Hasty_Point_Managed_Shallow_2,6,8,0.47,0.07,0.691,0.063,picoCuriesPerGram,5.48,0.54,1.97,0.56,disintegrationsPerMinutePerGram,1969.8,6.3,NA,single set of methods
Drexler_et_al_2013,Hasty_Point_Managed_Shallow,Hasty_Point_Managed_Shallow_2,8,10,0.83,0.058,0.758,0.062,picoCuriesPerGram,4.88,0.45,1.36,0.46,disintegrationsPerMinutePerGram,1951.7,13.5,NA,single set of methods
Drexler_et_al_2013,Hasty_Point_Managed_Shallow,Hasty_Point_Managed_Shallow_2,10,12,0.68,0.046,0.455,0.041,picoCuriesPerGram,4.29,0.38,0.6,0.4,disintegrationsPerMinutePerGram,1930.6,32.7,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_1,0,3,0.07,0.329,0.276,0.057,picoCuriesPerGram,9.78,0.81,9.08,0.83,disintegrationsPerMinutePerGram,2009.1,0.1,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_1,3,6,0.1,0.357,0.172,0.043,picoCuriesPerGram,6.83,0.62,5.92,0.64,disintegrationsPerMinutePerGram,2006.4,0.3,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_1,6,9,0.08,0.341,0.168,0.032,picoCuriesPerGram,9.29,0.52,8.04,0.53,disintegrationsPerMinutePerGram,2003.3,0.3,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_1,9,12,0.1,0.337,0.262,0.047,picoCuriesPerGram,9.23,0.67,7.88,0.69,disintegrationsPerMinutePerGram,1999.3,0.5,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_1,12,15,0.09,0.362,0.257,0.036,picoCuriesPerGram,7.5,0.49,6.33,0.5,disintegrationsPerMinutePerGram,1995.2,0.5,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_1,15,18,0.09,0.305,0.344,0.042,picoCuriesPerGram,7.02,0.53,5.75,0.54,disintegrationsPerMinutePerGram,1991.4,0.5,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_1,18,21,0.08,0.285,0.395,0.048,picoCuriesPerGram,6.45,0.58,5.03,0.6,disintegrationsPerMinutePerGram,1987.8,0.6,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_1,21,24,0.1,0.257,0.509,0.039,picoCuriesPerGram,6.38,0.32,4.65,0.33,disintegrationsPerMinutePerGram,1983.9,0.6,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_1,24,27,0.08,0.264,0.716,0.062,picoCuriesPerGram,5.68,0.5,3.92,0.51,disintegrationsPerMinutePerGram,1979.8,0.8,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_1,27,30,0.08,0.269,0.82,0.066,picoCuriesPerGram,6.1,0.47,4.45,0.48,disintegrationsPerMinutePerGram,1975.8,0.8,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_1,30,33,0.07,0.281,0.674,0.056,picoCuriesPerGram,5.01,0.43,3.68,0.44,disintegrationsPerMinutePerGram,1972,0.8,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_1,33,36,0.1,0.253,1.051,0.079,picoCuriesPerGram,5.14,0.43,3.62,0.44,disintegrationsPerMinutePerGram,1967.4,1.1,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_1,36,39,0.14,0.162,2.951,0.203,picoCuriesPerGram,4.12,0.45,1.78,0.47,disintegrationsPerMinutePerGram,1962.2,1.9,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_1,39,42,0.15,0.136,2.788,0.193,picoCuriesPerGram,4.48,0.47,2.11,0.48,disintegrationsPerMinutePerGram,1956.4,2.2,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_1,45,48,0.18,0.095,1.031,0.079,picoCuriesPerGram,4.21,0.43,1.31,0.45,disintegrationsPerMinutePerGram,1945.3,6,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_1,51,54,0.22,0.063,0.157,0.024,picoCuriesPerGram,3.67,0.33,0.72,0.34,disintegrationsPerMinutePerGram,1929.8,13.1,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_1,57,60,0.23,0.066,0.086,0.017,picoCuriesPerGram,3.54,0.26,0.33,0.27,disintegrationsPerMinutePerGram,1915.5,20.1,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_2,0,3,0.06,0.365,0.212,0.054,picoCuriesPerGram,9.97,0.79,8.71,0.81,disintegrationsPerMinutePerGram,2009.3,0.1,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_2,3,6,0.07,0.365,0.321,0.06,picoCuriesPerGram,7.69,0.79,6.5,0.81,disintegrationsPerMinutePerGram,2007.1,0.3,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_2,6,9,0.08,0.384,0.149,0.063,picoCuriesPerGram,8.03,0.86,7.15,0.88,disintegrationsPerMinutePerGram,2004.5,0.4,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_2,9,12,0.08,0.384,0.247,0.055,picoCuriesPerGram,7.52,0.72,6.59,0.74,disintegrationsPerMinutePerGram,2001.4,0.4,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_2,12,15,0.08,0.366,0.282,0.035,picoCuriesPerGram,7.75,0.5,6.1,0.51,disintegrationsPerMinutePerGram,1998.2,0.4,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_2,15,18,0.07,0.339,0.253,0.052,picoCuriesPerGram,6.39,0.67,5.1,0.68,disintegrationsPerMinutePerGram,1995.3,0.5,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_2,18,21,0.08,0.357,0.267,0.048,picoCuriesPerGram,6.11,0.63,4.99,0.65,disintegrationsPerMinutePerGram,1992.4,0.5,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_2,21,24,0.08,0.321,0.377,0.04,picoCuriesPerGram,6.26,0.45,5.15,0.46,disintegrationsPerMinutePerGram,1988.9,0.5,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_2,24,27,0.08,0.309,0.392,0.036,picoCuriesPerGram,6.07,0.36,4.93,0.37,disintegrationsPerMinutePerGram,1985.1,0.5,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_2,27,30,0.09,0.279,0.694,0.061,picoCuriesPerGram,5.58,0.5,4.09,0.51,disintegrationsPerMinutePerGram,1981,0.7,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_2,30,33,0.07,0.274,0.677,0.06,picoCuriesPerGram,4.89,0.49,3.34,0.5,disintegrationsPerMinutePerGram,1977.5,0.7,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_2,33,36,0.1,0.224,1.026,0.079,picoCuriesPerGram,4.74,0.45,2.88,0.46,disintegrationsPerMinutePerGram,1974.1,0.8,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_2,36,39,0.1,0.237,1.202,0.084,picoCuriesPerGram,4.6,0.31,2.91,0.32,disintegrationsPerMinutePerGram,1969.7,0.9,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_2,39,42,0.12,0.189,1.567,0.114,picoCuriesPerGram,4.4,0.45,2.08,0.47,disintegrationsPerMinutePerGram,1965,1.4,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_2,42,45,0.14,0.171,2.468,0.171,picoCuriesPerGram,4.48,0.44,2.22,0.45,disintegrationsPerMinutePerGram,1959.3,1.9,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_2,45,48,0.14,0.148,3.638,0.248,picoCuriesPerGram,4.36,0.46,1.87,0.48,disintegrationsPerMinutePerGram,1952.3,2.9,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_2,48,51,0.17,0.114,2.445,0.163,picoCuriesPerGram,3.98,0.25,1.22,0.26,disintegrationsPerMinutePerGram,1945.1,3.3,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_2,51,54,0.19,0.093,1.626,0.115,picoCuriesPerGram,3.82,0.4,1.02,0.42,disintegrationsPerMinutePerGram,1937.4,5.1,NA,single set of methods
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_2,54,57,0.17,0.088,1.097,0.078,picoCuriesPerGram,3.59,0.32,0.59,0.33,disintegrationsPerMinutePerGram,1921.1,6,NA,single set of methods
Drexler_et_al_2013,Bird_Field,Bird_Field_1,0,2,0.06,0.354,0.91,0.075,picoCuriesPerGram,13.98,0.73,13.17,0.74,disintegrationsPerMinutePerGram,2009,0.1,no clearly defined cs137 peak,single set of methods
Drexler_et_al_2013,Bird_Field,Bird_Field_1,2,4,0.05,0.395,0.607,0.059,picoCuriesPerGram,11.44,0.66,10.98,0.67,disintegrationsPerMinutePerGram,2006.4,0.2,no clearly defined cs137 peak,single set of methods
Drexler_et_al_2013,Bird_Field,Bird_Field_1,4,6,0.08,0.365,0.937,0.091,picoCuriesPerGram,10.92,0.87,9.74,0.89,disintegrationsPerMinutePerGram,2003.4,0.3,no clearly defined cs137 peak,single set of methods
Drexler_et_al_2013,Bird_Field,Bird_Field_1,6,8,0.18,0.24,3.687,0.25,picoCuriesPerGram,9.6,0.55,7.68,0.56,disintegrationsPerMinutePerGram,1998,0.6,no clearly defined cs137 peak,single set of methods
Drexler_et_al_2013,Bird_Field,Bird_Field_1,8,10,0.17,0.216,3.171,0.219,picoCuriesPerGram,8.81,0.6,7.32,0.62,disintegrationsPerMinutePerGram,1990.2,1,no clearly defined cs137 peak,single set of methods
Drexler_et_al_2013,Bird_Field,Bird_Field_1,10,12,0.18,0.211,3.443,0.237,picoCuriesPerGram,9.47,0.61,7.16,0.63,disintegrationsPerMinutePerGram,1980,1.6,no clearly defined cs137 peak,single set of methods
Drexler_et_al_2013,Bird_Field,Bird_Field_1,12,14,0.16,0.182,2.6,0.176,picoCuriesPerGram,7.36,0.42,5.47,0.43,disintegrationsPerMinutePerGram,1968.1,2.5,no clearly defined cs137 peak,single set of methods
Drexler_et_al_2013,Bird_Field,Bird_Field_1,14,16,0.27,0.163,0.556,0.048,picoCuriesPerGram,4.82,0.41,2.12,0.42,disintegrationsPerMinutePerGram,1956.6,3.9,no clearly defined cs137 peak,single set of methods
Drexler_et_al_2013,Bird_Field,Bird_Field_1,16,18,0.29,0.119,0.135,0.019,picoCuriesPerGram,4.29,0.28,1.23,0.29,disintegrationsPerMinutePerGram,1946.3,4.7,no clearly defined cs137 peak,single set of methods
Drexler_et_al_2013,Bird_Field,Bird_Field_1,18,20,0.36,0.087,0.027,0.016,picoCuriesPerGram,3.53,0.28,0.33,0.29,disintegrationsPerMinutePerGram,1939.5,6.9,no clearly defined cs137 peak,single set of methods
Drexler_et_al_2013,Bird_Field,Bird_Field_2,0,3,0.1,0.3,0.446,0.062,picoCuriesPerGram,12.01,0.85,11.19,0.87,disintegrationsPerMinutePerGram,2007.3,0.3,NA,single set of methods
Drexler_et_al_2013,Bird_Field,Bird_Field_2,3,6,0.11,0.275,0.69,0.061,picoCuriesPerGram,13.13,0.69,11.93,0.7,disintegrationsPerMinutePerGram,1999.7,0.9,NA,single set of methods
Drexler_et_al_2013,Bird_Field,Bird_Field_2,6,9,0.12,0.309,0.728,0.064,picoCuriesPerGram,9.53,0.59,8.49,0.6,disintegrationsPerMinutePerGram,1990.7,1.4,NA,single set of methods
Drexler_et_al_2013,Bird_Field,Bird_Field_2,9,12,0.12,0.308,1.049,0.085,picoCuriesPerGram,6.35,0.57,5.14,0.59,disintegrationsPerMinutePerGram,1982.5,1.7,NA,single set of methods
Drexler_et_al_2013,Bird_Field,Bird_Field_2,12,15,0.1,0.301,2.578,0.181,picoCuriesPerGram,5.87,0.54,4.6,0.56,disintegrationsPerMinutePerGram,1975.6,1.7,NA,single set of methods
Drexler_et_al_2013,Bird_Field,Bird_Field_2,15,18,0.11,0.257,2.827,0.193,picoCuriesPerGram,4.88,0.45,3.5,0.46,disintegrationsPerMinutePerGram,1968.7,2.1,NA,single set of methods
Drexler_et_al_2013,Bird_Field,Bird_Field_2,18,21,0.09,0.252,2.13,0.152,picoCuriesPerGram,4.57,0.51,2.96,0.53,disintegrationsPerMinutePerGram,1962.1,2.5,NA,single set of methods
Drexler_et_al_2013,Bird_Field,Bird_Field_2,21,24,0.1,0.3,0.517,0.043,picoCuriesPerGram,4.03,0.34,2.72,0.35,disintegrationsPerMinutePerGram,1955.4,2.9,NA,single set of methods
Drexler_et_al_2013,Bird_Field,Bird_Field_2,24,27,0.1,0.261,0.223,0.032,picoCuriesPerGram,2.9,0.38,1.35,0.4,disintegrationsPerMinutePerGram,1949.3,3.6,NA,single set of methods
Drexler_et_al_2013,Bird_Field,Bird_Field_2,27,30,0.11,0.242,0.097,0.027,picoCuriesPerGram,3.48,0.37,2.09,0.38,disintegrationsPerMinutePerGram,1942.3,4.5,NA,single set of methods
Drexler_et_al_2013,Bird_Field,Bird_Field_2,30,33,0.15,0.169,0.043,0.022,picoCuriesPerGram,3.08,0.33,0.86,0.34,disintegrationsPerMinutePerGram,1930.9,11.1,NA,single set of methods
Drexler_et_al_2013,Bird_Field,Bird_Field_2,33,36,0.14,0.148,0.021,0.023,picoCuriesPerGram,3.08,0.34,0.29,0.36,disintegrationsPerMinutePerGram,1919.8,19.8,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_2,0,3,0.07,0.323,0.249,0.033,picoCuriesPerGram,8.47,0.49,7.54,0.5,disintegrationsPerMinutePerGram,2009.4,0.1,NA,single set of methods
Drexler_et_al_2013,Sandy_Island_Natural,Sandy_Island_Natural_2,3,6,0.09,0.364,0.165,0.043,picoCuriesPerGram,7.37,0.62,6.69,0.63,disintegrationsPerMinutePerGram,2007.1,0.2,NA,single set of methods
