"","Source","Site_name","Site","Core","Habitat_type","Soil_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","BD_reported_g_cm3","DOI"
"80","Ruranska et al 2022","PR Isley Marsh 1","Isley Marsh","Isley Marsh 1","Salt marsh","Sandy ",51.07417,-4.1575,"direct from dataset","1","UK",2019,0,0.1,"EA",6.01,7.5,0.73,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"81","Ruranska et al 2022","PR Isley Marsh 2","Isley Marsh","Isley Marsh 2","Salt marsh","Not Sandy",51.07306,-4.155277778,"direct from dataset","1","UK",2019,0,0.1,"EA",5.41,8.13,0.67,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"82","Ruranska et al 2022","PR Isley Marsh 3","Isley Marsh","Isley Marsh 3","Salt marsh","Not Sandy",51.07222,-4.155,"direct from dataset","1","UK",2019,0,0.1,"EA",10.98,25.49,0.22,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"83","Ruranska et al 2022","PR King's 1","King's","King's 1","Salt marsh","Not Sandy",52.09262,1.5815967,"direct from dataset","1","UK",2019,0,0.1,"EA",7.21,17.01,0.53,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"84","Ruranska et al 2022","PR King's 2","King's","King's 2","Salt marsh","Not Sandy",52.09247,1.5789446,"direct from dataset","1","UK",2019,0,0.1,"EA",8.36,17.63,0.65,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"85","Ruranska et al 2022","PR King's 3","King's","King's 3","Salt marsh","Not Sandy",52.0923,1.5765874,"direct from dataset","1","UK",2019,0,0.1,"EA",9.29,18.04,0.62,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"86","Ruranska et al 2022","PR King's 4","King's","King's 4","Salt marsh","Not Sandy",52.09243,1.577832,"direct from dataset","1","UK",2019,0,0.1,"EA",10.37,21.19,0.59,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"87","Ruranska et al 2022","PR King's 5","King's","King's 5","Salt marsh","Not Sandy",52.09252,1.579996,"direct from dataset","1","UK",2019,0,0.1,"EA",8.1,30.4,0.44,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"88","Ruranska et al 2022","PR Levington 1","Levington","Levington 1","Salt marsh","Sandy ",51.99824,1.263033,"direct from dataset","1","UK",2019,0,0.1,"EA",9,7,0.77,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"89","Ruranska et al 2022","PR Levington 2","Levington","Levington 2","Salt marsh","Not Sandy",51.99782,1.260948,"direct from dataset","1","UK",2019,0,0.1,"EA",5.67,9.25,0.61,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"90","Ruranska et al 2022","PR Levington 3","Levington","Levington 3","Salt marsh","Not Sandy",51.99794,1.2617291,"direct from dataset","1","UK",2019,0,0.1,"EA",2.77,9.86,0.65,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"91","Ruranska et al 2022","PR Levington 4","Levington","Levington 4","Salt marsh","Not Sandy",51.9981,1.2624838,"direct from dataset","1","UK",2019,0,0.1,"EA",2.92,9.92,0.54,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"92","Ruranska et al 2022","PR Levington 5","Levington","Levington 5","Salt marsh","Not Sandy",51.99781,1.2613406,"direct from dataset","1","UK",2019,0,0.1,"EA",12.54,11.01,0.54,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"93","Ruranska et al 2022","PR Maydays 1","Maydays","Maydays 1","Salt marsh","Not Sandy",51.80371,0.9351864,"direct from dataset","1","UK",2019,0,0.1,"EA",4.2,11.25,0.76,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"94","Ruranska et al 2022","PR Maydays 2","Maydays","Maydays 2","Salt marsh","Not Sandy",51.8032,0.9352564,"direct from dataset","1","UK",2019,0,0.1,"EA",4.48,12.81,0.57,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"95","Ruranska et al 2022","PR Maydays 3","Maydays","Maydays 3","Salt marsh","Not Sandy",51.80263,0.93536619,"direct from dataset","1","UK",2019,0,0.1,"EA",10.85,30.32,0.28,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
