"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","SOM_perc","DOI"
"12","Cott et al 2013","GC Banna 3 Lower shore","Banna","Banna 3","Saltmarsh",52.35,-9.83,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",2.387428226,"https://doi.org/10.1007/s12237-012-9579-7"
"13","Cott et al 2013","GC Banna 4 Mid shore","Banna","Banna 4","Saltmarsh",52.35,-9.83,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",1.88986346,"https://doi.org/10.1007/s12237-012-9579-7"
"14","Cott et al 2013","GC Banna 5 Mid shore","Banna","Banna 5","Saltmarsh",52.35,-9.83,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",1.84675835,"https://doi.org/10.1007/s12237-012-9579-7"
"15","Cott et al 2013","GC Banna 6 Mid shore","Banna","Banna 6","Saltmarsh",52.35,-9.83,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",1.651205937,"https://doi.org/10.1007/s12237-012-9579-7"
"16","Cott et al 2013","GC Banna 7 Upper shore","Banna","Banna 7","Saltmarsh",52.35,-9.83,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",0.767880649,"https://doi.org/10.1007/s12237-012-9579-7"
"17","Cott et al 2013","GC Banna 8 Upper shore","Banna","Banna 8","Saltmarsh",52.35,-9.83,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",0.918762089,"https://doi.org/10.1007/s12237-012-9579-7"
"18","Cott et al 2013","GC Banna 9 Upper shore","Banna","Banna 9","Saltmarsh",52.35,-9.83,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",0.822757112,"https://doi.org/10.1007/s12237-012-9579-7"
"19","Cott et al 2013","GC Barrow 1 Lower shore","Barrow","Barrow 1","Saltmarsh",52.29,-9.83,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",5.111935831,"https://doi.org/10.1007/s12237-012-9579-7"
"20","Cott et al 2013","GC Barrow 2 Lower shore","Barrow","Barrow 2","Saltmarsh",52.29,-9.83,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",4.263604593,"https://doi.org/10.1007/s12237-012-9579-7"
"21","Cott et al 2013","GC Barrow 3 Lower shore","Barrow","Barrow 3","Saltmarsh",52.29,-9.83,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",3.271574028,"https://doi.org/10.1007/s12237-012-9579-7"
"22","Cott et al 2013","GC Barrow 4 Mid shore","Barrow","Barrow 4","Saltmarsh",52.29,-9.83,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",19.10803537,"https://doi.org/10.1007/s12237-012-9579-7"
"23","Cott et al 2013","GC Barrow 5 Mid shore","Barrow","Barrow 5","Saltmarsh",52.29,-9.83,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",10.02,"https://doi.org/10.1007/s12237-012-9579-7"
"24","Cott et al 2013","GC Barrow 6 Mid shore","Barrow","Barrow 6","Saltmarsh",52.29,-9.83,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",9.511,"https://doi.org/10.1007/s12237-012-9579-7"
"25","Cott et al 2013","GC Barrow 7 Upper shore","Barrow","Barrow 7","Saltmarsh",52.29,-9.83,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",23.83911053,"https://doi.org/10.1007/s12237-012-9579-7"
"26","Cott et al 2013","GC Barrow 8 Upper shore","Barrow","Barrow 8","Saltmarsh",52.29,-9.83,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",18.00073099,"https://doi.org/10.1007/s12237-012-9579-7"
"27","Cott et al 2013","GC Barrow 9 Upper shore","Barrow","Barrow 9","Saltmarsh",52.29,-9.83,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",12.23220456,"https://doi.org/10.1007/s12237-012-9579-7"
"28","Cott et al 2013","GC Carrahane 1 Lower shore","Carrahane","Carrahane 1","Saltmarsh",52.32,-9.83,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",5.510455105,"https://doi.org/10.1007/s12237-012-9579-7"
"29","Cott et al 2013","GC Carrahane 2 Lower shore","Carrahane","Carrahane 2","Saltmarsh",52.32,-9.83,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",4.929051531,"https://doi.org/10.1007/s12237-012-9579-7"
"30","Cott et al 2013","GC Carrahane 3 Lower shore","Carrahane","Carrahane 3","Saltmarsh",52.32,-9.83,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",4.147361284,"https://doi.org/10.1007/s12237-012-9579-7"
"31","Cott et al 2013","GC Carrahane 4 Mid shore","Carrahane","Carrahane 4","Saltmarsh",52.32,-9.83,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",7.923154194,"https://doi.org/10.1007/s12237-012-9579-7"
"32","Cott et al 2013","GC Carrahane 5 Mid shore","Carrahane","Carrahane 5","Saltmarsh",52.32,-9.83,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",6.198083067,"https://doi.org/10.1007/s12237-012-9579-7"
"33","Cott et al 2013","GC Carrahane 6 Mid shore","Carrahane","Carrahane 6","Saltmarsh",52.32,-9.83,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",8.645735708,"https://doi.org/10.1007/s12237-012-9579-7"
"34","Cott et al 2013","GC Carrahane 7 Upper shore","Carrahane","Carrahane 7","Saltmarsh",52.32,-9.83,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",17.0012815,"https://doi.org/10.1007/s12237-012-9579-7"
"35","Cott et al 2013","GC Carrahane 8 Upper shore","Carrahane","Carrahane 8","Saltmarsh",52.32,-9.83,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",10.54446908,"https://doi.org/10.1007/s12237-012-9579-7"
"36","Cott et al 2013","GC Carrahane 9 Upper shore","Carrahane","Carrahane 9","Saltmarsh",52.32,-9.83,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",8.83266245,"https://doi.org/10.1007/s12237-012-9579-7"
"37","Cott et al 2013","GC Dunworley 1 Lower shore","Dunworley","Dunworley 1","Saltmarsh",51.59,-8.76,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",3.069139966,"https://doi.org/10.1007/s12237-012-9579-7"
"38","Cott et al 2013","GC Dunworley 2 Lower shore","Dunworley","Dunworley 2","Saltmarsh",51.59,-8.76,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",4.031100478,"https://doi.org/10.1007/s12237-012-9579-7"
"39","Cott et al 2013","GC Dunworley 3 Lower shore","Dunworley","Dunworley 3","Saltmarsh",51.59,-8.76,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",2.684563758,"https://doi.org/10.1007/s12237-012-9579-7"
"40","Cott et al 2013","GC Dunworley 4 Mid shore","Dunworley","Dunworley 4","Saltmarsh",51.59,-8.76,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",3.941658631,"https://doi.org/10.1007/s12237-012-9579-7"
"41","Cott et al 2013","GC Dunworley 5 Mid shore","Dunworley","Dunworley 5","Saltmarsh",51.59,-8.76,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",4.691706192,"https://doi.org/10.1007/s12237-012-9579-7"
"42","Cott et al 2013","GC Dunworley 6 Mid shore","Dunworley","Dunworley 6","Saltmarsh",51.59,-8.76,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",3.224769659,"https://doi.org/10.1007/s12237-012-9579-7"
"43","Cott et al 2013","GC Dunworley 7 Upper shore","Dunworley","Dunworley 7","Saltmarsh",51.59,-8.76,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",4.315875423,"https://doi.org/10.1007/s12237-012-9579-7"
"44","Cott et al 2013","GC Dunworley 8 Upper shore","Dunworley","Dunworley 8","Saltmarsh",51.59,-8.76,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",8.741641337,"https://doi.org/10.1007/s12237-012-9579-7"
"45","Cott et al 2013","GC Dunworley 9 Upper shore","Dunworley","Dunworley 9","Saltmarsh",51.59,-8.76,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",6.241,"https://doi.org/10.1007/s12237-012-9579-7"
"46","Cott et al 2013","GC Kilbrttain 1 Lower shore","Kilbrttain","Kilbrttain 1","Saltmarsh",51.65,-8.67,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",0.884955752,"https://doi.org/10.1007/s12237-012-9579-7"
"47","Cott et al 2013","GC Kilbrttain 2 Lower shore","Kilbrttain","Kilbrttain 2","Saltmarsh",51.65,-8.67,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",0.450415469,"https://doi.org/10.1007/s12237-012-9579-7"
"48","Cott et al 2013","GC Kilbrttain 3 Lower shore","Kilbrttain","Kilbrttain 3","Saltmarsh",51.65,-8.67,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",0.498947533,"https://doi.org/10.1007/s12237-012-9579-7"
"49","Cott et al 2013","GC Kilbrttain 4 Mid shore","Kilbrttain","Kilbrttain 4","Saltmarsh",51.65,-8.67,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",0.796348451,"https://doi.org/10.1007/s12237-012-9579-7"
"50","Cott et al 2013","GC Kilbrttain 5 Mid shore","Kilbrttain","Kilbrttain 5","Saltmarsh",51.65,-8.67,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",2.15424386,"https://doi.org/10.1007/s12237-012-9579-7"
"51","Cott et al 2013","GC Kilbrttain 6 Mid shore","Kilbrttain","Kilbrttain 6","Saltmarsh",51.65,-8.67,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",0.785160467,"https://doi.org/10.1007/s12237-012-9579-7"
"52","Cott et al 2013","GC Kilbrttain 7 Upper shore","Kilbrttain","Kilbrttain 7","Saltmarsh",51.65,-8.67,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",1.202492759,"https://doi.org/10.1007/s12237-012-9579-7"
"53","Cott et al 2013","GC Kilbrttain 8 Upper shore","Kilbrttain","Kilbrttain 8","Saltmarsh",51.65,-8.67,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",0.977508651,"https://doi.org/10.1007/s12237-012-9579-7"
"54","Cott et al 2013","GC Kilbrttain 9 Upper shore","Kilbrttain","Kilbrttain 9","Saltmarsh",51.65,-8.67,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",0.925925926,"https://doi.org/10.1007/s12237-012-9579-7"
"55","Cott et al 2013","GC Lauragh 1 Lower shore","Lauragh","Lauragh 1","Saltmarsh",51.76,-9.77,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",12.66294227,"https://doi.org/10.1007/s12237-012-9579-7"
"56","Cott et al 2013","GC Lauragh 2 Lower shore","Lauragh","Lauragh 2","Saltmarsh",51.76,-9.77,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",9.560315671,"https://doi.org/10.1007/s12237-012-9579-7"
"57","Cott et al 2013","GC Lauragh 3 Lower shore","Lauragh","Lauragh 3","Saltmarsh",51.76,-9.77,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",15.85351016,"https://doi.org/10.1007/s12237-012-9579-7"
"58","Cott et al 2013","GC Lauragh 4 Mid shore","Lauragh","Lauragh 4","Saltmarsh",51.76,-9.77,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",12.91322314,"https://doi.org/10.1007/s12237-012-9579-7"
"59","Cott et al 2013","GC Lauragh 5 Mid shore","Lauragh","Lauragh 5","Saltmarsh",51.76,-9.77,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",22.25554889,"https://doi.org/10.1007/s12237-012-9579-7"
"60","Cott et al 2013","GC Lauragh 6 Mid shore","Lauragh","Lauragh 6","Saltmarsh",51.76,-9.77,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",16.64596273,"https://doi.org/10.1007/s12237-012-9579-7"
"61","Cott et al 2013","GC Lauragh 7 Upper shore","Lauragh","Lauragh 7","Saltmarsh",51.76,-9.77,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",19.16766272,"https://doi.org/10.1007/s12237-012-9579-7"
"62","Cott et al 2013","GC Lauragh 8 Upper shore","Lauragh","Lauragh 8","Saltmarsh",51.76,-9.77,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",25.126,"https://doi.org/10.1007/s12237-012-9579-7"
"63","Cott et al 2013","GC Lauragh 9 Upper shore","Lauragh","Lauragh 9","Saltmarsh",51.76,-9.77,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",24.42234572,"https://doi.org/10.1007/s12237-012-9579-7"
"64","Cott et al 2013","GC Schull 1 Lower shore","Schull","Schull 1","Saltmarsh",51.51,-9.58,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",21.74447174,"https://doi.org/10.1007/s12237-012-9579-7"
"65","Cott et al 2013","GC Schull 2 Lower shore","Schull","Schull 2","Saltmarsh",51.51,-9.58,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",26.5053397,"https://doi.org/10.1007/s12237-012-9579-7"
"66","Cott et al 2013","GC Schull 3 Lower shore","Schull","Schull 3","Saltmarsh",51.51,-9.58,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",20.1016703,"https://doi.org/10.1007/s12237-012-9579-7"
"67","Cott et al 2013","GC Schull 4 Mid shore","Schull","Schull 4","Saltmarsh",51.51,-9.58,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",45.39542689,"https://doi.org/10.1007/s12237-012-9579-7"
"68","Cott et al 2013","GC Schull 5 Mid shore","Schull","Schull 5","Saltmarsh",51.51,-9.58,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",33.10787961,"https://doi.org/10.1007/s12237-012-9579-7"
"69","Cott et al 2013","GC Schull 6 Mid shore","Schull","Schull 6","Saltmarsh",51.51,-9.58,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",36.17321249,"https://doi.org/10.1007/s12237-012-9579-7"
"70","Cott et al 2013","GC Schull 7 Upper shore","Schull","Schull 7","Saltmarsh",51.51,-9.58,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",34.27468865,"https://doi.org/10.1007/s12237-012-9579-7"
"71","Cott et al 2013","GC Schull 8 Upper shore","Schull","Schull 8","Saltmarsh",51.51,-9.58,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",27.01001431,"https://doi.org/10.1007/s12237-012-9579-7"
"72","Cott et al 2013","GC Schull 9 Upper shore","Schull","Schull 9","Saltmarsh",51.51,-9.58,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",26.70623145,"https://doi.org/10.1007/s12237-012-9579-7"
"73","Cott et al 2013","GC Timoleague 1 Lower shore","Timoleague","Timoleague 1","Saltmarsh",51.64,-8.76,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",6.538,"https://doi.org/10.1007/s12237-012-9579-7"
"74","Cott et al 2013","GC Timoleague 2 Lower shore","Timoleague","Timoleague 2","Saltmarsh",51.64,-8.76,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",6.456456456,"https://doi.org/10.1007/s12237-012-9579-7"
"75","Cott et al 2013","GC Timoleague 3 Lower shore","Timoleague","Timoleague 3","Saltmarsh",51.64,-8.76,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",5.826426134,"https://doi.org/10.1007/s12237-012-9579-7"
"76","Cott et al 2013","GC Timoleague 4 Mid shore","Timoleague","Timoleague 4","Saltmarsh",51.64,-8.76,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",11.42251531,"https://doi.org/10.1007/s12237-012-9579-7"
"77","Cott et al 2013","GC Timoleague 5 Mid shore","Timoleague","Timoleague 5","Saltmarsh",51.64,-8.76,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",8.444187392,"https://doi.org/10.1007/s12237-012-9579-7"
"78","Cott et al 2013","GC Timoleague 6 Mid shore","Timoleague","Timoleague 6","Saltmarsh",51.64,-8.76,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",10.408535,"https://doi.org/10.1007/s12237-012-9579-7"
"79","Cott et al 2013","GC Timoleague 7 Upper shore","Timoleague","Timoleague 7","Saltmarsh",51.64,-8.76,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",12.45,"https://doi.org/10.1007/s12237-012-9579-7"
"80","Cott et al 2013","GC Timoleague 8 Upper shore","Timoleague","Timoleague 8","Saltmarsh",51.64,-8.76,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",19.01386749,"https://doi.org/10.1007/s12237-012-9579-7"
"81","Cott et al 2013","GC Timoleague 9 Upper shore","Timoleague","Timoleague 9","Saltmarsh",51.64,-8.76,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",11.125,"https://doi.org/10.1007/s12237-012-9579-7"
