"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","BD_reported_g_cm3","Conv_factor","DOI"
"33","Burke et al 2022","SAB Baldoyle Estuary 7","Baldoyle Estuary","Baldoyle Estuary 7","Saltmarsh",53.41788,-6.1297,"estimated from GE","1","Ireland",2020,0.2,0.25,"EA",5.62,13,0.28,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"34","Burke et al 2022","SAB Baldoyle Estuary 7","Baldoyle Estuary","Baldoyle Estuary 7","Saltmarsh",53.41788,-6.1297,"estimated from GE","1","Ireland",2020,0.375,0.425,"EA",0.73,1.8,0.97,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"35","Burke et al 2022","SAB Baldoyle Estuary 7","Baldoyle Estuary","Baldoyle Estuary 7","Saltmarsh",53.41788,-6.1297,"estimated from GE","1","Ireland",2020,0.655,0.705,"EA",0.24,0.6,0.76,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"36","Burke et al 2022","SAB Baldoyle Estuary 8","Baldoyle Estuary","Baldoyle Estuary 8","Saltmarsh",53.41857,-6.13012,"estimated from GE","1","Ireland",2020,0,0.05,"EA",28.62,53.6,0.06,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"37","Burke et al 2022","SAB Baldoyle Estuary 8","Baldoyle Estuary","Baldoyle Estuary 8","Saltmarsh",53.41857,-6.13012,"estimated from GE","1","Ireland",2020,0.075,0.125,"EA",24.45,47.2,0.1,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"38","Burke et al 2022","SAB Baldoyle Estuary 8","Baldoyle Estuary","Baldoyle Estuary 8","Saltmarsh",53.41857,-6.13012,"estimated from GE","1","Ireland",2020,0.2,0.25,"EA",17.87,36.4,0.19,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"39","Burke et al 2022","SAB Baldoyle Estuary 8","Baldoyle Estuary","Baldoyle Estuary 8","Saltmarsh",53.41857,-6.13012,"estimated from GE","1","Ireland",2020,0.375,0.425,"EA",6.85,15.6,0.29,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"40","Burke et al 2022","SAB Baldoyle Estuary 8","Baldoyle Estuary","Baldoyle Estuary 8","Saltmarsh",53.41857,-6.13012,"estimated from GE","1","Ireland",2020,0.65,0.7,"EA",0.56,1.4,1.5,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"41","Burke et al 2022","SAB Baldoyle Estuary 9","Baldoyle Estuary","Baldoyle Estuary 9","Saltmarsh",53.41725,-6.12897,"estimated from GE","1","Ireland",2020,0,0.05,"EA",26.12,49.8,0.19,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"42","Burke et al 2022","SAB Baldoyle Estuary 9","Baldoyle Estuary","Baldoyle Estuary 9","Saltmarsh",53.41725,-6.12897,"estimated from GE","1","Ireland",2020,0.075,0.125,"EA",18.69,37.8,0.18,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"43","Burke et al 2022","SAB Baldoyle Estuary 9","Baldoyle Estuary","Baldoyle Estuary 9","Saltmarsh",53.41725,-6.12897,"estimated from GE","1","Ireland",2020,0.2,0.25,"EA",11.25,24.4,0.19,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"44","Burke et al 2022","SAB Baldoyle Estuary 9","Baldoyle Estuary","Baldoyle Estuary 9","Saltmarsh",53.41725,-6.12897,"estimated from GE","1","Ireland",2020,0.375,0.425,"EA",4.34,10.2,0.49,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"45","Burke et al 2022","SAB Baldoyle Estuary 9","Baldoyle Estuary","Baldoyle Estuary 9","Saltmarsh",53.41725,-6.12897,"estimated from GE","1","Ireland",2020,0.595,0.645,"EA",2.15,5.2,1.1,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"46","Burke et al 2022","SAB Malahide Estuary 1","Malahide Estuary","Malahide Estuary 1","Saltmarsh",53.46835,-6.13241,"estimated from GE","1","Ireland",2021,0,0.05,"EA",15.58,32.4,0.13,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"47","Burke et al 2022","SAB Malahide Estuary 1","Malahide Estuary","Malahide Estuary 1","Saltmarsh",53.46835,-6.13241,"estimated from GE","1","Ireland",2021,0.075,0.125,"EA",4.98,11.6,0.32,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"48","Burke et al 2022","SAB Malahide Estuary 1","Malahide Estuary","Malahide Estuary 1","Saltmarsh",53.46835,-6.13241,"estimated from GE","1","Ireland",2021,0.2,0.25,"EA",0.65,1.6,1.21,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"49","Burke et al 2022","SAB Malahide Estuary 1","Malahide Estuary","Malahide Estuary 1","Saltmarsh",53.46835,-6.13241,"estimated from GE","1","Ireland",2021,0.375,0.425,"EA",0.32,0.8,0.83,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"50","Burke et al 2022","SAB Malahide Estuary 1","Malahide Estuary","Malahide Estuary 1","Saltmarsh",53.46835,-6.13241,"estimated from GE","1","Ireland",2021,0.5,0.55,"EA",0.16,0.4,0.57,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"51","Burke et al 2022","SAB Malahide Estuary 2","Malahide Estuary","Malahide Estuary 2","Saltmarsh",53.46835,-6.13311,"estimated from GE","1","Ireland",2021,0,0.05,"EA",8.8,19.6,0.11,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"52","Burke et al 2022","SAB Malahide Estuary 2","Malahide Estuary","Malahide Estuary 2","Saltmarsh",53.46835,-6.13311,"estimated from GE","1","Ireland",2021,0.075,0.125,"EA",9.4,20.8,0.24,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"53","Burke et al 2022","SAB Malahide Estuary 2","Malahide Estuary","Malahide Estuary 2","Saltmarsh",53.46835,-6.13311,"estimated from GE","1","Ireland",2021,0.2,0.25,"EA",1.31,3.2,0.57,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"54","Burke et al 2022","SAB Malahide Estuary 2","Malahide Estuary","Malahide Estuary 2","Saltmarsh",53.46835,-6.13311,"estimated from GE","1","Ireland",2021,0.375,0.425,"EA",0.24,0.6,0.99,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"55","Burke et al 2022","SAB Malahide Estuary 2","Malahide Estuary","Malahide Estuary 2","Saltmarsh",53.46835,-6.13311,"estimated from GE","1","Ireland",2021,0.5,0.55,"EA",0.16,0.4,0.68,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"56","Burke et al 2022","SAB Malahide Estuary 3","Malahide Estuary","Malahide Estuary 3","Saltmarsh",53.46811,-6.13278,"estimated from GE","1","Ireland",2021,0,0.05,"EA",19.88,39.8,0.29,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"57","Burke et al 2022","SAB Malahide Estuary 3","Malahide Estuary","Malahide Estuary 3","Saltmarsh",53.46811,-6.13278,"estimated from GE","1","Ireland",2021,0.075,0.125,"EA",5.9,13.6,0.63,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"58","Burke et al 2022","SAB Malahide Estuary 3","Malahide Estuary","Malahide Estuary 3","Saltmarsh",53.46811,-6.13278,"estimated from GE","1","Ireland",2021,0.2,0.25,"EA",0.56,1.4,1.12,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"59","Burke et al 2022","SAB Malahide Estuary 3","Malahide Estuary","Malahide Estuary 3","Saltmarsh",53.46811,-6.13278,"estimated from GE","1","Ireland",2021,0.3,0.34,"EA",0.24,0.6,0.62,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"60","Burke et al 2022","SAB Malahide Estuary 4","Malahide Estuary","Malahide Estuary 4","Saltmarsh",53.46809,-6.13217,"estimated from GE","1","Ireland",2021,0,0.05,"EA",7.33,16.6,0.29,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"61","Burke et al 2022","SAB Malahide Estuary 4","Malahide Estuary","Malahide Estuary 4","Saltmarsh",53.46809,-6.13217,"estimated from GE","1","Ireland",2021,0.075,0.125,"EA",7.33,16.6,0.34,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"62","Burke et al 2022","SAB Malahide Estuary 4","Malahide Estuary","Malahide Estuary 4","Saltmarsh",53.46809,-6.13217,"estimated from GE","1","Ireland",2021,0.2,0.25,"EA",0.73,1.8,1.02,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"63","Burke et al 2022","SAB Malahide Estuary 4","Malahide Estuary","Malahide Estuary 4","Saltmarsh",53.46809,-6.13217,"estimated from GE","1","Ireland",2021,0.355,0.405,"EA",0.24,0.6,1.1,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"64","Burke et al 2022","SAB Malahide Estuary 5","Malahide Estuary","Malahide Estuary 5","Saltmarsh",53.46812,-6.13175,"estimated from GE","1","Ireland",2021,0,0.05,"EA",5.44,12.6,0.29,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"65","Burke et al 2022","SAB Malahide Estuary 5","Malahide Estuary","Malahide Estuary 5","Saltmarsh",53.46812,-6.13175,"estimated from GE","1","Ireland",2021,0.075,0.125,"EA",3.98,9.4,0.33,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"66","Burke et al 2022","SAB Malahide Estuary 5","Malahide Estuary","Malahide Estuary 5","Saltmarsh",53.46812,-6.13175,"estimated from GE","1","Ireland",2021,0.16,0.21,"EA",4.61,10.8,0.33,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"67","Burke et al 2022","SAB Malahide Estuary 6","Malahide Estuary","Malahide Estuary 6","Saltmarsh",53.46787,-6.13339,"estimated from GE","1","Ireland",2021,0,0.05,"EA",8.01,18,0.3,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"68","Burke et al 2022","SAB Malahide Estuary 6","Malahide Estuary","Malahide Estuary 6","Saltmarsh",53.46787,-6.13339,"estimated from GE","1","Ireland",2021,0.075,0.125,"EA",7.52,17,0.22,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"69","Burke et al 2022","SAB Malahide Estuary 6","Malahide Estuary","Malahide Estuary 6","Saltmarsh",53.46787,-6.13339,"estimated from GE","1","Ireland",2021,0.2,0.25,"EA",1.89,4.6,0.76,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"70","Burke et al 2022","SAB Malahide Estuary 6","Malahide Estuary","Malahide Estuary 6","Saltmarsh",53.46787,-6.13339,"estimated from GE","1","Ireland",2021,0.375,0.425,"EA",0.24,0.6,0.9,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"71","Burke et al 2022","SAB Malahide Estuary 6","Malahide Estuary","Malahide Estuary 6","Saltmarsh",53.46787,-6.13339,"estimated from GE","1","Ireland",2021,0.725,0.775,"EA",0.4,1,0.83,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"72","Burke et al 2022","SAB Malahide Estuary 7","Malahide Estuary","Malahide Estuary 7","Saltmarsh",53.46784,-6.13271,"estimated from GE","1","Ireland",2021,0,0.05,"EA",27.3,51.6,0.24,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"73","Burke et al 2022","SAB Malahide Estuary 7","Malahide Estuary","Malahide Estuary 7","Saltmarsh",53.46784,-6.13271,"estimated from GE","1","Ireland",2021,0.075,0.125,"EA",8.8,19.6,0.62,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"74","Burke et al 2022","SAB Malahide Estuary 7","Malahide Estuary","Malahide Estuary 7","Saltmarsh",53.46784,-6.13271,"estimated from GE","1","Ireland",2021,0.175,0.225,"EA",2.06,5,0.68,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"75","Burke et al 2022","SAB Malahide Estuary 8","Malahide Estuary","Malahide Estuary 8","Saltmarsh",53.46772,-6.13221,"estimated from GE","1","Ireland",2021,0,0.05,"EA",14.47,30.4,0.19,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"76","Burke et al 2022","SAB Malahide Estuary 8","Malahide Estuary","Malahide Estuary 8","Saltmarsh",53.46772,-6.13221,"estimated from GE","1","Ireland",2021,0.075,0.125,"EA",8.11,18.2,0.35,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"77","Burke et al 2022","SAB Malahide Estuary 8","Malahide Estuary","Malahide Estuary 8","Saltmarsh",53.46772,-6.13221,"estimated from GE","1","Ireland",2021,0.2,0.25,"EA",3.8,9,0.75,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"78","Burke et al 2022","SAB Malahide Estuary 8","Malahide Estuary","Malahide Estuary 8","Saltmarsh",53.46772,-6.13221,"estimated from GE","1","Ireland",2021,0.31,0.36,"EA",0.24,0.6,0.88,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"79","Burke et al 2022","SAB Malahide Estuary 9","Malahide Estuary","Malahide Estuary 9","Saltmarsh",53.46835,-6.13311,"estimated from GE","1","Ireland",2021,0,0.05,"EA",5.72,13.2,0.3,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"80","Burke et al 2022","SAB Malahide Estuary 9","Malahide Estuary","Malahide Estuary 9","Saltmarsh",53.46835,-6.13311,"estimated from GE","1","Ireland",2021,0.075,0.125,"EA",4.52,10.6,0.32,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"81","Burke et al 2022","SAB Malahide Estuary 9","Malahide Estuary","Malahide Estuary 9","Saltmarsh",53.46835,-6.13311,"estimated from GE","1","Ireland",2021,0.2,0.25,"EA",6.75,15.4,0.25,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"82","Burke et al 2022","SAB Malahide Estuary 9","Malahide Estuary","Malahide Estuary 9","Saltmarsh",53.46835,-6.13311,"estimated from GE","1","Ireland",2021,0.355,0.405,"EA",0.48,1.2,0.94,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"83","Burke et al 2022","SAB Malahide Estuary 10","Malahide Estuary","Malahide Estuary 10","Saltmarsh",53.46712,-6.13344,"estimated from GE","1","Ireland",2021,0,0.05,"EA",14.69,30.8,0.17,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"84","Burke et al 2022","SAB Malahide Estuary 10","Malahide Estuary","Malahide Estuary 10","Saltmarsh",53.46712,-6.13344,"estimated from GE","1","Ireland",2021,0.075,0.125,"EA",1.14,2.8,0.93,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"85","Burke et al 2022","SAB Malahide Estuary 10","Malahide Estuary","Malahide Estuary 10","Saltmarsh",53.46712,-6.13344,"estimated from GE","1","Ireland",2021,0.17,0.23,"EA",0.48,1.2,1.02,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"86","Burke et al 2022","SAB North Bull Island (North Lagoon) 1","North Bull Island (North Lagoon)","North Bull Island (North Lagoon) 1","Saltmarsh",53.37286,-6.15256,"direct from dataset","1","Ireland",2019,0,0.05,"EA",6.09,14,0.35,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
