"","Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Emirate","Country","Year_collected","U_depth_m","L_depth_m","Method","IC_perc","OC_perc","SOM_perc","BD_reported_g_cm3","N_perc","DOI"
"11","Schile et al 2016","LS al_aryam salt marsh 3","al_aryam",3,"salt marsh",24.256042,54.237708,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.3,0.5,"EA","8.64","1.40","4.638",1.432,"0.060","https://doi.org/10.15146/R3K59Z"
"12","Schile et al 2016","LS al_aryam salt marsh 3","al_aryam",3,"salt marsh",24.256042,54.237708,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.5,1,"EA","9.27","0.66","4.219",1.188,"0.051","https://doi.org/10.15146/R3K59Z"
"13","Schile et al 2016","LS al_aryam salt marsh 4","al_aryam",4,"salt marsh",24.255852,54.237738,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0,0.15,"EA","10.01","0.88","4.496",1.162,"0.078","https://doi.org/10.15146/R3K59Z"
"14","Schile et al 2016","LS al_aryam salt marsh 4","al_aryam",4,"salt marsh",24.255852,54.237738,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.15,0.3,"EA","9.70","0.99","5.561",1.358,"0.075","https://doi.org/10.15146/R3K59Z"
"15","Schile et al 2016","LS al_aryam salt marsh 4","al_aryam",4,"salt marsh",24.255852,54.237738,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.3,0.62,"EA","8.74","1.48","6.382",1.306,"0.071","https://doi.org/10.15146/R3K59Z"
"16","Schile et al 2016","LS al_aryam salt marsh 4","al_aryam",4,"salt marsh",24.255852,54.237738,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.62,0.67,"EA","1.38","6.73","17.919",0.687,"0.319","https://doi.org/10.15146/R3K59Z"
"17","Schile et al 2016","LS al_aryam salt marsh 4","al_aryam",4,"salt marsh",24.255852,54.237738,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.67,0.74,"EA","3.57","9.18","19.802",0.505,"0.394","https://doi.org/10.15146/R3K59Z"
"18","Schile et al 2016","LS al_aryam salt marsh 4","al_aryam",4,"salt marsh",24.255852,54.237738,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.8,0.85,"EA","8.45","1.87","6.058",0.945,"0.112","https://doi.org/10.15146/R3K59Z"
"19","Schile et al 2016","LS al_aryam salt marsh 4","al_aryam",4,"salt marsh",24.255852,54.237738,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,1,2,"EA","10.16","0.87","4.472",1.245,"0.082","https://doi.org/10.15146/R3K59Z"
"20","Schile et al 2016","LS al_aryam salt marsh 5","al_aryam",5,"salt marsh",24.25569,54.237801,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0,0.15,"EA","9.15","1.23","6.304",1.136,"0.097","https://doi.org/10.15146/R3K59Z"
"21","Schile et al 2016","LS al_aryam salt marsh 5","al_aryam",5,"salt marsh",24.25569,54.237801,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.15,0.3,"EA","9.12","1.44","6.120",1.22,"0.081","https://doi.org/10.15146/R3K59Z"
"22","Schile et al 2016","LS al_aryam salt marsh 5","al_aryam",5,"salt marsh",24.25569,54.237801,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.3,0.48,"EA","9.05","1.02","5.901",1.229,"0.070","https://doi.org/10.15146/R3K59Z"
"23","Schile et al 2016","LS al_aryam salt marsh 5","al_aryam",5,"salt marsh",24.25569,54.237801,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.48,0.5,"EA","3.46","2.48","10.037",1.14,"0.105","https://doi.org/10.15146/R3K59Z"
"24","Schile et al 2016","LS al_aryam salt marsh 5","al_aryam",5,"salt marsh",24.25569,54.237801,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.5,1,"EA","9.47","0.83","3.573",1.286,"0.068","https://doi.org/10.15146/R3K59Z"
"25","Schile et al 2016","LS al_aryam salt marsh 5","al_aryam",5,"salt marsh",24.25569,54.237801,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,1,1.8,"EA","9.49","1.38","5.990",1.086,"0.109","https://doi.org/10.15146/R3K59Z"
"26","Schile et al 2016","LS al_aryam salt marsh 6","al_aryam",6,"salt marsh",24.255534,54.237849,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0,0.15,"EA","9.14","1.42","6.594",1.135,"0.092","https://doi.org/10.15146/R3K59Z"
"27","Schile et al 2016","LS al_aryam salt marsh 6","al_aryam",6,"salt marsh",24.255534,54.237849,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.15,0.3,"EA","8.99","1.28","6.175",1.346,"0.081","https://doi.org/10.15146/R3K59Z"
"28","Schile et al 2016","LS al_aryam salt marsh 6","al_aryam",6,"salt marsh",24.255534,54.237849,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.3,0.5,"EA","9.08","1.18","5.818",1.373,"0.072","https://doi.org/10.15146/R3K59Z"
"29","Schile et al 2016","LS al_aryam salt marsh 6","al_aryam",6,"salt marsh",24.255534,54.237849,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.5,0.81,"EA","9.56","1.02","3.813",1.493,"0.066","https://doi.org/10.15146/R3K59Z"
"30","Schile et al 2016","LS eastern_mangrove salt marsh 1","eastern_mangrove",1,"salt marsh",24.455332,54.433888,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0,0.15,"EA","9.78","1.37","4.861",1.098,"0.110","https://doi.org/10.15146/R3K59Z"
"31","Schile et al 2016","LS eastern_mangrove salt marsh 1","eastern_mangrove",1,"salt marsh",24.455332,54.433888,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.15,0.3,"EA","10.09","0.51","3.585",1.348,"0.077","https://doi.org/10.15146/R3K59Z"
"32","Schile et al 2016","LS eastern_mangrove salt marsh 1","eastern_mangrove",1,"salt marsh",24.455332,54.433888,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.3,0.5,"EA","9.53","0.73","3.200",1.36,"0.057","https://doi.org/10.15146/R3K59Z"
"33","Schile et al 2016","LS eastern_mangrove salt marsh 1","eastern_mangrove",1,"salt marsh",24.455332,54.433888,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.5,0.85,"EA","10.52","0.32","2.329",1.47,"0.000","https://doi.org/10.15146/R3K59Z"
"34","Schile et al 2016","LS eastern_mangrove salt marsh 2","eastern_mangrove",2,"salt marsh",24.455446,54.433737,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0,0.15,"EA","9.67","1.37","4.734",0.966,"0.120","https://doi.org/10.15146/R3K59Z"
"35","Schile et al 2016","LS eastern_mangrove salt marsh 2","eastern_mangrove",2,"salt marsh",24.455446,54.433737,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.15,0.3,"EA","9.92","0.74","3.466",1.266,"0.076","https://doi.org/10.15146/R3K59Z"
"36","Schile et al 2016","LS eastern_mangrove salt marsh 2","eastern_mangrove",2,"salt marsh",24.455446,54.433737,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.3,0.5,"EA","10.02","0.21","2.666",1.398,"0.053","https://doi.org/10.15146/R3K59Z"
"37","Schile et al 2016","LS eastern_mangrove salt marsh 2","eastern_mangrove",2,"salt marsh",24.455446,54.433737,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.5,1,"EA","10.45","0.37","2.369",1.454,"0.047","https://doi.org/10.15146/R3K59Z"
"38","Schile et al 2016","LS eastern_mangrove salt marsh 2","eastern_mangrove",2,"salt marsh",24.455446,54.433737,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,1,1.44,"EA","nd","nd","nd",1.499,"nd","https://doi.org/10.15146/R3K59Z"
"39","Schile et al 2016","LS eastern_mangrove salt marsh 3","eastern_mangrove",3,"salt marsh",24.45557,54.433597,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0,0.15,"EA","9.69","1.21","4.631",1.127,"0.114","https://doi.org/10.15146/R3K59Z"
"40","Schile et al 2016","LS eastern_mangrove salt marsh 3","eastern_mangrove",3,"salt marsh",24.45557,54.433597,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.15,0.3,"EA","9.81","0.71","3.482",1.298,"0.072","https://doi.org/10.15146/R3K59Z"
"41","Schile et al 2016","LS eastern_mangrove salt marsh 3","eastern_mangrove",3,"salt marsh",24.45557,54.433597,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.3,0.5,"EA","9.92","0.45","2.665",1.439,"0.051","https://doi.org/10.15146/R3K59Z"
"42","Schile et al 2016","LS eastern_mangrove salt marsh 3","eastern_mangrove",3,"salt marsh",24.45557,54.433597,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.5,0.75,"EA","10.06","0.55","2.351",1.591,"0.040","https://doi.org/10.15146/R3K59Z"
"43","Schile et al 2016","LS eastern_mangrove salt marsh 4","eastern_mangrove",4,"salt marsh",24.455685,54.433437,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0,0.15,"EA","9.93","0.83","3.948",1.046,"0.083","https://doi.org/10.15146/R3K59Z"
"44","Schile et al 2016","LS eastern_mangrove salt marsh 4","eastern_mangrove",4,"salt marsh",24.455685,54.433437,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.15,0.3,"EA","9.85","1.13","4.524",1.222,"0.116","https://doi.org/10.15146/R3K59Z"
"45","Schile et al 2016","LS eastern_mangrove salt marsh 4","eastern_mangrove",4,"salt marsh",24.455685,54.433437,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.3,0.5,"EA","9.50","0.60","3.550",1.313,"0.069","https://doi.org/10.15146/R3K59Z"
"46","Schile et al 2016","LS eastern_mangrove salt marsh 4","eastern_mangrove",4,"salt marsh",24.455685,54.433437,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.5,1,"EA","10.55","0.50","2.730",1.485,"0.060","https://doi.org/10.15146/R3K59Z"
"47","Schile et al 2016","LS eastern_mangrove salt marsh 4","eastern_mangrove",4,"salt marsh",24.455685,54.433437,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,1,1.85,"EA","10.19","0.42","2.553",1.611,"0.038","https://doi.org/10.15146/R3K59Z"
"48","Schile et al 2016","LS eastern_mangrove salt marsh 5","eastern_mangrove",5,"salt marsh",24.4558,54.433286,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0,0.15,"EA","9.97","1.32","4.915",1.165,"0.119","https://doi.org/10.15146/R3K59Z"
"49","Schile et al 2016","LS eastern_mangrove salt marsh 5","eastern_mangrove",5,"salt marsh",24.4558,54.433286,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.15,0.3,"EA","10.11","0.67","3.799",1.317,"0.074","https://doi.org/10.15146/R3K59Z"
"50","Schile et al 2016","LS eastern_mangrove salt marsh 5","eastern_mangrove",5,"salt marsh",24.4558,54.433286,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.3,0.5,"EA","9.33","0.90","4.485",1.217,"0.092","https://doi.org/10.15146/R3K59Z"
"51","Schile et al 2016","LS eastern_mangrove salt marsh 5","eastern_mangrove",5,"salt marsh",24.4558,54.433286,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.5,1,"EA","10.51","0.54","2.895",1.272,"0.073","https://doi.org/10.15146/R3K59Z"
"52","Schile et al 2016","LS eastern_mangrove salt marsh 5","eastern_mangrove",5,"salt marsh",24.4558,54.433286,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,1,1.94,"EA","10.08","0.20","2.363",1.451,"0.000","https://doi.org/10.15146/R3K59Z"
"53","Schile et al 2016","LS eastern_mangrove salt marsh 6","eastern_mangrove",6,"salt marsh",24.455905,54.433127,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0,0.15,"EA","9.90","0.86","3.903",1.266,"0.088","https://doi.org/10.15146/R3K59Z"
"54","Schile et al 2016","LS eastern_mangrove salt marsh 6","eastern_mangrove",6,"salt marsh",24.455905,54.433127,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.15,0.3,"EA","9.74","1.00","3.841",1.205,"0.078","https://doi.org/10.15146/R3K59Z"
"55","Schile et al 2016","LS eastern_mangrove salt marsh 6","eastern_mangrove",6,"salt marsh",24.455905,54.433127,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.3,0.5,"EA","9.64","0.59","2.864",1.408,"0.059","https://doi.org/10.15146/R3K59Z"
"56","Schile et al 2016","LS eastern_mangrove salt marsh 6","eastern_mangrove",6,"salt marsh",24.455905,54.433127,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.5,1,"EA","9.91","0.37","2.260",1.417,"0.000","https://doi.org/10.15146/R3K59Z"
"57","Schile et al 2016","LS eastern_mangrove salt marsh 6","eastern_mangrove",6,"salt marsh",24.455905,54.433127,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,1,1.62,"EA","10.69","0.36","2.830",1.552,"0.068","https://doi.org/10.15146/R3K59Z"
"58","Schile et al 2016","LS jubail_island salt marsh 1","jubail_island",1,"salt marsh",24.519099,54.470849,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0,0.15,"EA","10.09","0.58","2.987",1.342,"0.059","https://doi.org/10.15146/R3K59Z"
"59","Schile et al 2016","LS jubail_island salt marsh 1","jubail_island",1,"salt marsh",24.519099,54.470849,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.15,0.3,"EA","10.29","0.26","2.799",1.466,"0.051","https://doi.org/10.15146/R3K59Z"
"60","Schile et al 2016","LS jubail_island salt marsh 1","jubail_island",1,"salt marsh",24.519099,54.470849,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.3,0.62,"EA","9.34","0.12","3.714",1.231,"0.074","https://doi.org/10.15146/R3K59Z"
"61","Schile et al 2016","LS jubail_island salt marsh 2","jubail_island",2,"salt marsh",24.519266,54.470914,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0,0.15,"EA","9.75","0.62","3.701",1.274,"0.065","https://doi.org/10.15146/R3K59Z"
"62","Schile et al 2016","LS jubail_island salt marsh 2","jubail_island",2,"salt marsh",24.519266,54.470914,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.15,0.36,"EA","9.43","0.94","3.740",1.158,"0.083","https://doi.org/10.15146/R3K59Z"
"63","Schile et al 2016","LS jubail_island salt marsh 3","jubail_island",3,"salt marsh",24.519429,54.470992,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0,0.15,"EA","9.83","0.86","3.129",1.426,"0.056","https://doi.org/10.15146/R3K59Z"
"64","Schile et al 2016","LS jubail_island salt marsh 3","jubail_island",3,"salt marsh",24.519429,54.470992,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.15,0.3,"EA","9.99","0.67","2.995",1.439,"0.000","https://doi.org/10.15146/R3K59Z"
"65","Schile et al 2016","LS jubail_island salt marsh 3","jubail_island",3,"salt marsh",24.519429,54.470992,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.3,0.49,"EA","9.94","0.58","2.721",1.04,"0.049","https://doi.org/10.15146/R3K59Z"
"66","Schile et al 2016","LS jubail_island salt marsh 4","jubail_island",4,"salt marsh",24.519593,54.471047,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0,0.15,"EA","9.37","0.47","3.760",1.192,"0.067","https://doi.org/10.15146/R3K59Z"
"67","Schile et al 2016","LS jubail_island salt marsh 4","jubail_island",4,"salt marsh",24.519593,54.471047,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.15,0.3,"EA","8.57","0.52","3.339",1.378,"0.053","https://doi.org/10.15146/R3K59Z"
"68","Schile et al 2016","LS jubail_island salt marsh 5","jubail_island",5,"salt marsh",24.519783,54.471158,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0,0.15,"EA","9.06","0.56","3.325",1.347,"0.065","https://doi.org/10.15146/R3K59Z"
"69","Schile et al 2016","LS jubail_island salt marsh 5","jubail_island",5,"salt marsh",24.519783,54.471158,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.15,0.3,"EA","8.96","1.13","3.112",1.509,"0.065","https://doi.org/10.15146/R3K59Z"
"70","Schile et al 2016","LS jubail_island salt marsh 6","jubail_island",6,"salt marsh",24.519938,54.471203,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0,0.15,"EA","9.44","0.50","3.254",1.625,"0.059","https://doi.org/10.15146/R3K59Z"
"71","Schile et al 2016","LS jubail_island salt marsh 6","jubail_island",6,"salt marsh",24.519938,54.471203,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.15,0.29,"EA","9.31","0.35","2.915",1.636,"0.050","https://doi.org/10.15146/R3K59Z"
"72","Schile et al 2016","LS jubail_island_east salt marsh 1","jubail_island_east",1,"salt marsh",24.497854,54.532935,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0,0.15,"EA","9.74","0.98","3.654",1.155,"0.083","https://doi.org/10.15146/R3K59Z"
"73","Schile et al 2016","LS jubail_island_east salt marsh 1","jubail_island_east",1,"salt marsh",24.497854,54.532935,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.15,0.3,"EA","8.50","1.79","4.246",1.293,"0.064","https://doi.org/10.15146/R3K59Z"
"74","Schile et al 2016","LS jubail_island_east salt marsh 1","jubail_island_east",1,"salt marsh",24.497854,54.532935,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.3,0.48,"EA","9.55","0.91","4.262",1.195,"0.073","https://doi.org/10.15146/R3K59Z"
"75","Schile et al 2016","LS jubail_island_east salt marsh 2","jubail_island_east",2,"salt marsh",24.497885,54.53276,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0,0.15,"EA","9.65","0.87","4.289",1.142,"0.066","https://doi.org/10.15146/R3K59Z"
"76","Schile et al 2016","LS jubail_island_east salt marsh 2","jubail_island_east",2,"salt marsh",24.497885,54.53276,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.15,0.42,"EA","9.39","0.84","3.984",1.172,"0.064","https://doi.org/10.15146/R3K59Z"
"77","Schile et al 2016","LS jubail_island_east salt marsh 3","jubail_island_east",3,"salt marsh",24.497885,54.532552,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0,0.15,"EA","8.69","1.21","6.257",1.204,"0.066","https://doi.org/10.15146/R3K59Z"
"78","Schile et al 2016","LS jubail_island_east salt marsh 3","jubail_island_east",3,"salt marsh",24.497885,54.532552,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.15,0.3,"EA","9.89","0.51","3.256",1.158,"0.000","https://doi.org/10.15146/R3K59Z"
"79","Schile et al 2016","LS jubail_island_east salt marsh 3","jubail_island_east",3,"salt marsh",24.497885,54.532552,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.3,0.56,"EA","9.49","1.07","3.416",1.028,"0.073","https://doi.org/10.15146/R3K59Z"
"80","Schile et al 2016","LS jubail_island_east salt marsh 4","jubail_island_east",4,"salt marsh",24.497928,54.532369,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0,0.15,"EA","9.03","1.20","5.621",1.195,"0.088","https://doi.org/10.15146/R3K59Z"
"81","Schile et al 2016","LS jubail_island_east salt marsh 4","jubail_island_east",4,"salt marsh",24.497928,54.532369,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.15,0.3,"EA","8.95","1.12","4.478",1.102,"0.070","https://doi.org/10.15146/R3K59Z"
"82","Schile et al 2016","LS jubail_island_east salt marsh 4","jubail_island_east",4,"salt marsh",24.497928,54.532369,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.3,0.54,"EA","8.83","1.79","3.438",1.279,"0.062","https://doi.org/10.15146/R3K59Z"
"83","Schile et al 2016","LS jubail_island_east salt marsh 5","jubail_island_east",5,"salt marsh",24.49793,54.532212,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0,0.15,"EA","8.38","1.99","6.111",1.082,"0.080","https://doi.org/10.15146/R3K59Z"
"84","Schile et al 2016","LS jubail_island_east salt marsh 5","jubail_island_east",5,"salt marsh",24.49793,54.532212,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.15,0.3,"EA","8.76","1.45","5.586",1.179,"0.073","https://doi.org/10.15146/R3K59Z"
"85","Schile et al 2016","LS jubail_island_east salt marsh 5","jubail_island_east",5,"salt marsh",24.49793,54.532212,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.3,0.53,"EA","9.51","1.14","3.629",1.065,"0.080","https://doi.org/10.15146/R3K59Z"
"86","Schile et al 2016","LS jubail_island_east salt marsh 6","jubail_island_east",6,"salt marsh",24.497941,54.532007,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0,0.15,"EA","8.89","1.67","6.195",1.206,"0.074","https://doi.org/10.15146/R3K59Z"
"87","Schile et al 2016","LS jubail_island_east salt marsh 6","jubail_island_east",6,"salt marsh",24.497941,54.532007,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.15,0.3,"EA","9.13","1.02","4.246",1.194,"0.064","https://doi.org/10.15146/R3K59Z"
"88","Schile et al 2016","LS jubail_island_east salt marsh 6","jubail_island_east",6,"salt marsh",24.497941,54.532007,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.3,0.55,"EA","9.44","0.96","3.863",1.033,"0.075","https://doi.org/10.15146/R3K59Z"
"89","Schile et al 2016","LS marawah_island salt marsh 1","marawah_island",1,"salt marsh",24.28207,53.313232,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0,0.16,"EA","7.94","1.59","8.944",1.228,"0.083","https://doi.org/10.15146/R3K59Z"
"90","Schile et al 2016","LS marawah_island salt marsh 2","marawah_island",2,"salt marsh",24.282198,53.313369,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0,0.19,"EA","7.67","2.34","10.083",1.381,"0.072","https://doi.org/10.15146/R3K59Z"
"91","Schile et al 2016","LS marawah_island salt marsh 3","marawah_island",3,"salt marsh",24.282323,53.313527,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0,0.15,"EA","8.05","2.60","11.461",1.49,"0.060","https://doi.org/10.15146/R3K59Z"
"92","Schile et al 2016","LS marawah_island salt marsh 3","marawah_island",3,"salt marsh",24.282323,53.313527,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.15,0.23,"EA","9.78","0.86","5.997",1.491,"0.073","https://doi.org/10.15146/R3K59Z"
"93","Schile et al 2016","LS marawah_island salt marsh 4","marawah_island",4,"salt marsh",24.282441,53.313661,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0,0.15,"EA","6.14","4.09","18.062",1.552,"0.059","https://doi.org/10.15146/R3K59Z"
"94","Schile et al 2016","LS marawah_island salt marsh 4","marawah_island",4,"salt marsh",24.282441,53.313661,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.15,0.26,"EA","9.67","1.30","6.718",1.712,"0.076","https://doi.org/10.15146/R3K59Z"
"95","Schile et al 2016","LS marawah_island salt marsh 5","marawah_island",5,"salt marsh",24.282577,53.313797,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0,0.1,"EA","5.06","4.97","21.000",1.368,"0.000","https://doi.org/10.15146/R3K59Z"
"96","Schile et al 2016","LS marawah_island salt marsh 6","marawah_island",6,"salt marsh",24.282682,53.313945,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0,0.18,"EA","9.78","1.21","6.843",1.665,"0.061","https://doi.org/10.15146/R3K59Z"
