study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,cs137_activity,cs137_unit,excess_pb210_activity,pb210_unit,age
Saunders_2013,SRS3,SRS3_C0010,single set of methods,52,54,0.117,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0010,single set of methods,54,56,0.124,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0010,single set of methods,56,58,0.12,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0010,single set of methods,58,60,0.116,0.0234,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS4,SRS4_C0012,single set of methods,0,3,0.075,0.4168,picoCuriesPerGram,36.8129,disintegrationsPerMinutePerGram,2000.3
Saunders_2013,SRS4,SRS4_C0012,single set of methods,3,6,0.073,0.7053,picoCuriesPerGram,29.164,disintegrationsPerMinutePerGram,1990
Saunders_2013,SRS4,SRS4_C0012,single set of methods,6,9,0.071,0.7944,picoCuriesPerGram,18.9218,disintegrationsPerMinutePerGram,1982
Saunders_2013,SRS4,SRS4_C0012,single set of methods,9,12,0.087,0.4186,picoCuriesPerGram,21.7995,disintegrationsPerMinutePerGram,1972.5
Saunders_2013,SRS4,SRS4_C0012,single set of methods,12,15,0.099,0,picoCuriesPerGram,17.1309,disintegrationsPerMinutePerGram,1956.8
Saunders_2013,SRS4,SRS4_C0012,single set of methods,15,18,0.14,0,picoCuriesPerGram,9.0542,disintegrationsPerMinutePerGram,1935.6
Saunders_2013,SRS4,SRS4_C0012,single set of methods,18,21,0.132,0,picoCuriesPerGram,5.5055,disintegrationsPerMinutePerGram,1903.5
Saunders_2013,SRS4,SRS4_C0012,single set of methods,21,24,0.136,0.0272,picoCuriesPerGram,2.0491,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS4,SRS4_C0012,single set of methods,24,25,0.111,0,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0016,single set of methods,0,2,0.06,"NA",picoCuriesPerGram,11.1291,disintegrationsPerMinutePerGram,2004.8
Saunders_2013,SRS3,SRS3_C0016,single set of methods,2,4,0.067,"NA",picoCuriesPerGram,13.185,disintegrationsPerMinutePerGram,2001.9
Saunders_2013,SRS3,SRS3_C0016,single set of methods,4,6,0.085,"NA",picoCuriesPerGram,10.6339,disintegrationsPerMinutePerGram,1998.2
Saunders_2013,SRS3,SRS3_C0016,single set of methods,6,8,0.101,"NA",picoCuriesPerGram,11.967,disintegrationsPerMinutePerGram,1993.2
Saunders_2013,SRS3,SRS3_C0016,single set of methods,8,10,0.109,"NA",picoCuriesPerGram,10.4081,disintegrationsPerMinutePerGram,1986.6
Saunders_2013,SRS3,SRS3_C0016,single set of methods,10,12,0.115,"NA",picoCuriesPerGram,9.4091,disintegrationsPerMinutePerGram,1978.8
Saunders_2013,SRS3,SRS3_C0016,single set of methods,12,14,0.128,"NA",picoCuriesPerGram,7.4768,disintegrationsPerMinutePerGram,1969.5
Saunders_2013,SRS3,SRS3_C0016,single set of methods,14,16,0.132,"NA",picoCuriesPerGram,6.8802,disintegrationsPerMinutePerGram,1957.6
Saunders_2013,SRS3,SRS3_C0016,single set of methods,16,18,0.115,"NA",picoCuriesPerGram,7.5603,disintegrationsPerMinutePerGram,1939
Saunders_2013,SRS3,SRS3_C0016,single set of methods,18,20,0.158,"NA",picoCuriesPerGram,2.6962,disintegrationsPerMinutePerGram,1915.6
Saunders_2013,SRS3,SRS3_C0016,single set of methods,20,22,0.133,"NA",picoCuriesPerGram,2.9469,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0016,single set of methods,22,24,0.11,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0016,single set of methods,24,26,0.097,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0016,single set of methods,26,28,0.111,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0016,single set of methods,28,30,0.118,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0016,single set of methods,30,32,0.093,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0016,single set of methods,32,34,0.094,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0016,single set of methods,34,36,0.096,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0016,single set of methods,36,38,0.09,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0016,single set of methods,38,40,0.099,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0016,single set of methods,40,42,0.102,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0016,single set of methods,42,44,0.108,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0016,single set of methods,44,46,0.095,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0016,single set of methods,46,48,0.112,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0016,single set of methods,48,50,0.149,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0016,single set of methods,50,52,0.115,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0016,single set of methods,52,54,0.128,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0016,single set of methods,54,56,0.127,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0016,single set of methods,56,58,0.13,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0016,single set of methods,58,60,0.139,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0050,single set of methods,0,2,0.086,0,picoCuriesPerGram,23.5298,disintegrationsPerMinutePerGram,2002.1
Saunders_2013,NE_SRS1,NE_SRS1_C0050,single set of methods,2,4,0.21,0.3422,picoCuriesPerGram,10.7936,disintegrationsPerMinutePerGram,1991.9
Saunders_2013,NE_SRS1,NE_SRS1_C0050,single set of methods,4,6,0.323,1.0172,picoCuriesPerGram,4.6971,disintegrationsPerMinutePerGram,1979.6
Saunders_2013,NE_SRS1,NE_SRS1_C0050,single set of methods,6,8,0.226,1.1731,picoCuriesPerGram,4.4673,disintegrationsPerMinutePerGram,1967.7
Saunders_2013,NE_SRS1,NE_SRS1_C0050,single set of methods,8,10,0.167,0.8252,picoCuriesPerGram,4.2528,disintegrationsPerMinutePerGram,1955.9
Saunders_2013,NE_SRS1,NE_SRS1_C0050,single set of methods,10,12,0.187,0.4996,picoCuriesPerGram,1.9196,disintegrationsPerMinutePerGram,1945.9
Saunders_2013,NE_SRS1,NE_SRS1_C0050,single set of methods,12,14,0.168,0.5876,picoCuriesPerGram,2.5862,disintegrationsPerMinutePerGram,1934.8
Saunders_2013,NE_SRS1,NE_SRS1_C0050,single set of methods,14,16,0.145,0.5235,picoCuriesPerGram,3.5619,disintegrationsPerMinutePerGram,1911
Saunders_2013,NE_SRS1,NE_SRS1_C0050,single set of methods,16,18,0.182,0.3379,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,1894.2
Saunders_2013,NE_SRS1,NE_SRS1_C0050,single set of methods,18,20,0.313,0.0998,picoCuriesPerGram,0.8971,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0050,single set of methods,20,22,0.433,0,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0050,single set of methods,22,24,0.467,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0050,single set of methods,24,26,0.508,0,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0050,single set of methods,26,28,0.554,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0050,single set of methods,28,30,0.499,0,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0050,single set of methods,30,32,0.451,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0050,single set of methods,32,34,0.484,0,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0050,single set of methods,34,36,0.459,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0050,single set of methods,36,38,0.181,0,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0050,single set of methods,38,40,0.143,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0050,single set of methods,40,42,0.132,0,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0050,single set of methods,42,44,0.116,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0050,single set of methods,44,46,0.118,0,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0050,single set of methods,46,48,0.11,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0050,single set of methods,48,50,0.139,0,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0050,single set of methods,50,52,0.117,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0050,single set of methods,52,54,0.14,0,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0050,single set of methods,54,56,0.101,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0050,single set of methods,56,58,0.111,0,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0050,single set of methods,58,60,0.111,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0053,single set of methods,0,2,0.087,0.3211,picoCuriesPerGram,23.8547,disintegrationsPerMinutePerGram,2003.9
Saunders_2013,NE_SRS1,NE_SRS1_C0053,single set of methods,2,4,0.216,0.4647,picoCuriesPerGram,13.7346,disintegrationsPerMinutePerGram,1997.7
Saunders_2013,NE_SRS1,NE_SRS1_C0053,single set of methods,4,6,0.295,0.553,picoCuriesPerGram,9.8361,disintegrationsPerMinutePerGram,1988.8
Saunders_2013,NE_SRS1,NE_SRS1_C0053,single set of methods,6,8,0.306,0.8188,picoCuriesPerGram,6.9998,disintegrationsPerMinutePerGram,1978.6
Saunders_2013,NE_SRS1,NE_SRS1_C0053,single set of methods,8,10,0.357,1.1747,picoCuriesPerGram,5.741,disintegrationsPerMinutePerGram,1966.4
Saunders_2013,NE_SRS1,NE_SRS1_C0053,single set of methods,10,12,0.312,1.6093,picoCuriesPerGram,5.7342,disintegrationsPerMinutePerGram,1948.5
Saunders_2013,NE_SRS1,NE_SRS1_C0053,single set of methods,12,14,0.296,1.3217,picoCuriesPerGram,3.9138,disintegrationsPerMinutePerGram,1922.5
Saunders_2013,NE_SRS1,NE_SRS1_C0053,single set of methods,14,16,0.339,0.6803,picoCuriesPerGram,2.1484,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0053,single set of methods,16,18,0.434,0.2479,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0053,single set of methods,18,20,0.493,0.1073,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0053,single set of methods,20,22,0.537,0.0651,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0053,single set of methods,22,24,0.499,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0053,single set of methods,24,26,0.25,0.0837,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0053,single set of methods,26,28,0.51,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0053,single set of methods,28,30,0.533,0,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0053,single set of methods,30,32,0.603,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0053,single set of methods,32,34,0.527,0,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0053,single set of methods,34,36,0.524,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0053,single set of methods,36,38,0.479,0,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0053,single set of methods,38,40,0.487,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0053,single set of methods,40,42,0.204,0.0802,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0053,single set of methods,42,44,0.15,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0053,single set of methods,44,46,0.157,0.0523,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0053,single set of methods,46,48,0.159,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0053,single set of methods,48,50,0.163,0,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0053,single set of methods,50,52,0.126,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0053,single set of methods,52,54,0.13,0,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0053,single set of methods,54,56,0.141,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0053,single set of methods,56,58,0.154,0,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,NE_SRS1,NE_SRS1_C0053,single set of methods,58,60,0.151,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
