study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_carbon,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,total_pb210_activity,pb210_unit,sample_wt,C:N,fraction_nitrogen,fraction_phosphorus
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,4,6,ORIG,0.24720305007265753,0.07187,0.30869369369369376,NA,picocuriesPerGram,0.9638758302392345,6.403941441441441,disintegrationsPerMinutePerGram,8.383,0.06734091624906399,0.00484,0.001088180389221557
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,6,8,ORIG,0.45739477138716034,0.07053,0.2618294190358468,NA,picocuriesPerGram,2.7155362978762154,8.155601909078422,disintegrationsPerMinutePerGram,6.022,0.08696384143513748,0.00449,0.0010305705735660844
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,8,10,ORIG,0.3632365233201801,0.04642,0.15408955223880597,NA,picocuriesPerGram,0.722462028377671,6.162527639579878,disintegrationsPerMinutePerGram,7.272,0.05501401930367891,0.0034300000000000003,0.0010350224550898205
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,10,12,ORIG,0.29911743950389524,0.051079999999999993,0.09102272727272727,NA,picocuriesPerGram,NA,5.31763599537037,disintegrationsPerMinutePerGram,7.303,0.05637759304828704,0.0035299999999999997,0.0012175144638403989
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,12,14,ORIG,0.2779549143823532,0.04484,0.08164462809917356,NA,picocuriesPerGram,NA,4.6886076675849395,disintegrationsPerMinutePerGram,8.184,0.04774328658994663,0.00335,9.838333333333337e-4
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,12,14,DUP,0.2779549143823532,0.04421,NA,NA,NA,NA,NA,NA,7.414,0.053960338329694234,0.0034300000000000003,0.0010659915211970073
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,14,16,ORIG,0.508288498421477,0.05739,0.09942779,NA,picocuriesPerGram,NA,5.187777525481884,disintegrationsPerMinutePerGram,6.779,0.06366037841062526,0.0037,8.15736631684158e-4
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,16,18,ORIG,0.514435101038479,0.042670000000000007,0.09294824,NA,picocuriesPerGram,NA,5.732876360649003,disintegrationsPerMinutePerGram,6.985,0.05827632305934507,0.0034899999999999996,7.515134730538924e-4
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,18,20,ORIG,0.4325067523533541,0.043129999999999995,0.08840067,NA,picocuriesPerGram,NA,5.213249392068836,disintegrationsPerMinutePerGram,8.161,0.04916411098417862,0.00344,6.705028434706032e-4
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,20,22,ORIG,0.47693235028419695,0.04182,0.0338155,NA,picocuriesPerGram,NA,5.193297762800711,disintegrationsPerMinutePerGram,7.05,0.05608461034244512,0.0033900000000000002,3.3900000000000006e-7
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,22,24,ORIG,0.3305907889017003,0.0452,NA,NA,NA,NA,NA,NA,8.477,0.05035841214858011,0.00366,3.66e-7
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,24,26,ORIG,0.410591715078273,0.048949999999999994,0.03297427,NA,picocuriesPerGram,NA,5.187702496664761,disintegrationsPerMinutePerGram,6.796,0.06521738065051734,0.0038,3.8e-7
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,26,28,ORIG,0.3093510802869606,0.0529,NA,NA,NA,NA,NA,NA,7.405,0.06316150001040095,0.0040100000000000005,4.01e-7
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,28,30,ORIG,0.21239731050591332,0.06831999999999999,0.32451965,NA,picocuriesPerGram,NA,8.243934983017951,disintegrationsPerMinutePerGram,6.954,0.07665043774038363,0.00457,NA
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,30,32,ORIG,0.3894854392699582,0.050890000000000005,NA,NA,NA,NA,NA,NA,7.699,0.0572651767982671,0.00378,9.068910000000001e-4
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,32,34,ORIG,0.43690551109757,0.053070000000000006,0.11075905,NA,picocuriesPerGram,NA,6.171925566343042,disintegrationsPerMinutePerGram,7.326,0.06447943666927847,0.004050000000000001,8.105778443113773e-4
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,34,36,ORIG,0.44845201671266494,0.06131,NA,NA,NA,NA,NA,NA,7.76,0.06387932736465315,0.00425,6.471664171656687e-4
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,36,38,ORIG,0.49686582274197505,0.060129999999999996,0.01599441,NA,picocuriesPerGram,NA,4.67749378771743,disintegrationsPerMinutePerGram,6.556,0.07810137880828412,0.00439,5.289163745618427e-4
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,38,40,ORIG,0.4240588283242311,0.05837,NA,NA,NA,NA,NA,NA,7.144,0.06661190329447371,0.004079999999999999,4.7564239401496245e-4
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,40,42,ORIG,0.31965544389125944,0.05483,0,NA,picocuriesPerGram,NA,5.734920985473106,disintegrationsPerMinutePerGram,7.76,0.05546228658248709,0.00369,4.316740870435218e-4
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,42,44,ORIG,0.41776713059044207,0.04997,NA,NA,NA,NA,NA,NA,8.743,0.04575797190625106,0.0034300000000000003,4.1941204397801093e-4
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,44,46,ORIG,0.3929871908111706,0.0481,0,NA,picocuriesPerGram,NA,5.543216349739,disintegrationsPerMinutePerGram,8.097,0.04681578903258441,0.0032500000000000003,3.9081212424849695e-4
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,44,46,DUP,0.3929871908111706,0.05022,NA,NA,NA,NA,NA,NA,6.468,0.061131184742461056,0.0033900000000000002,3.7153268463073854e-4
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,46,48,ORIG,0.4659495382364791,0.05228,NA,NA,NA,NA,NA,NA,8.888,0.04304303869187918,0.00328,3.746231231231231e-4
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,48,50,ORIG,0.5039692038804329,0.05959,0,NA,picocuriesPerGram,NA,6.632083444533404,disintegrationsPerMinutePerGram,6.674,0.05924430669976597,0.0033900000000000002,3.856993006993007e-4
