study_id,bibliography_id,publication_type,bibtype,title,author,school,year,doi,url,month,publisher,volume,number,pages,journal,keywords,copyright,editor,booktitle,institution,language
Breithaupt_et_al_2017,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,2018,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noe_et_al_2013,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,2018,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piazza_et_al_2011,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,2018,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noe_et_al_2013,Noe_et_al_2013_article,synthesis source,Article,The effect of increasing salinity and forest mortality on soil nitrogen and phosphorus mineralization in tidal freshwater forested wetlands,Gregory B. Noe and Ken W. Krauss and B. Graeme Lockaby and William H. Conner and Cliff R. Hupp,NA,2012,10.1007/s10533-012-9805-1,https://doi.org/10.1007/s10533-012-9805-1,nov,Springer Science and Business Media {LLC},114,NA,225--244,Biogeochemistry,NA,NA,NA,NA,NA,NA
Hill_and_Anisfeld_2015,Hill_and_Anisfeld_2015_article,synthesis source,Article,Coastal wetland response to sea level rise in Connecticut and New York,Troy D. Hill and Shimon C. Anisfeld,NA,2015,10.1016/j.ecss.2015.06.004,https://doi.org/10.1016/j.ecss.2015.06.004,sep,Elsevier {BV},163,NA,185--193,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA
Breithaupt_et_al_2017,Breithaupt_et_al_2017_article,synthesis source,Article,Partitioning the relative contributions of organic matter and mineral sediment to accretion rates in carbonate platform mangrove soils,Joshua L. Breithaupt and Joseph M. Smoak and Victor H. Rivera-Monroy and Edward Castañeda-Moya and Ryan P. Moyer and Marc Simard and Christian J. Sanders,NA,2017,10.1016/j.margeo.2017.07.002,https://doi.org/10.1016/j.margeo.2017.07.002,aug,Elsevier {BV},390,NA,170--180,Marine Geology,NA,NA,NA,NA,NA,NA
Piazza_et_al_2011,Piazza_et_al_2011_misc,synthesis source,Misc,Geomorphic and ecological effects of Hurricanes Katrina and Rita on coastal Louisiana marsh communities,Sarai C. Piazza and Gregory D. Steyer and Kari F. Cretini and Charles E. Sasser and Jenneke M. Visser and Guerry O. Holm and Leigh A. Sharp and D. Elaine Evers and John R. Meriwether,NA,2011,10.3133/ofr20111094,https://doi.org/10.3133/ofr20111094,NA,{US} Geological Survey,NA,NA,i--126,NA,NA,NA,NA,NA,NA,NA
Kamp-Nielsen_et_al_2002,Fourqurean_et_al_2012_article,synthesis source,Article,Seagrass ecosystems as a globally significant carbon stock,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,2012,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,may,Springer Nature,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Danovaro_1996,Fourqurean_et_al_2012_article,synthesis source,Article,Seagrass ecosystems as a globally significant carbon stock,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,2012,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,may,Springer Nature,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Fourqurean_et_al_2010,Fourqurean_et_al_2012_article,synthesis source,Article,Seagrass ecosystems as a globally significant carbon stock,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,2012,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,may,Springer Nature,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Fourqurean_and_Kendrick_unpublished,Fourqurean_et_al_2012_article,synthesis source,Article,Seagrass ecosystems as a globally significant carbon stock,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,2012,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,may,Springer Nature,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Fourqurean_unpublished,Fourqurean_et_al_2012_article,synthesis source,Article,Seagrass ecosystems as a globally significant carbon stock,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,2012,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,may,Springer Nature,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Orem_et_al_1999,Fourqurean_et_al_2012_article,synthesis source,Article,Seagrass ecosystems as a globally significant carbon stock,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,2012,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,may,Springer Nature,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Kamp-Nielsen_et_al_2002,Kamp-Nielsen_et_al_2002_article,synthesis source,Article,Sediment Properties along Gradients of Siltation in South-east Asia,L. Kamp-Nielsen and J.E. Vermaat and I. Wesseling and J. Borum and O. Geertz-Hansen,NA,2002,10.1006/ecss.2001.0822,https://doi.org/10.1006/ecss.2001.0822,jan,Elsevier {BV},54,1,127--137,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA
Danovaro_1996,Danovaro_1996_article,synthesis source,Article,Detritus-Bacteria-Meiofauna interactions in a seagrass bed (Posidonia oceanica) of the {NW} Mediterranean,R. Danovaro,NA,1996,10.1007/bf00993638,https://doi.org/10.1007/bf00993638,NA,Springer Science and Business Media {LLC},127,1,1--13,Marine Biology,NA,NA,NA,NA,NA,NA
Fourqurean_et_al_2010,Fourqurean_et_al_2010_article,synthesis source,Article,Epiphyte loads on seagrasses and microphytobenthos abundance are not reliable indicators of nutrient availability in oligotrophic coastal ecosystems,James W. Fourqurean and Meredith F. Muth and Joseph N. Boyer,NA,2010,10.1016/j.marpolbul.2010.03.003,https://doi.org/10.1016/j.marpolbul.2010.03.003,jul,Elsevier {BV},60,7,971--983,Marine Pollution Bulletin,NA,NA,NA,NA,NA,NA
Fourqurean_and_Kendrick_unpublished,Fourqurean_et_al_2012_article,synthesis source,Article,Seagrass ecosystems as a globally significant carbon stock,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,2012,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,may,Springer Nature,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Fourqurean_unpublished,Fourqurean_et_al_2012_article,synthesis source,Article,Seagrass ecosystems as a globally significant carbon stock,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,2012,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,may,Springer Nature,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Orem_et_al_1999,Orem_et_al_1999_article,synthesis source,Article,Geochemistry of Florida Bay sediments: nutrient history at five sites in eastern and central Florida Bay,"Orem, W. H., Holmes, C. W., Kendall, C., Lerch, H. E., Bates, A. L., Silva, S. R., Boylan, A., Corum, M., Marot, M., and Hedgeman, C.",NA,1999,NA,https://www.jstor.org/stable/4299024,NA,NA,15,NA,NA,Journal of Coastal Research,NA,NA,NA,NA,NA,NA
Doughty_et_al_2016,Doughty_et_al_2019_data,primary dataset,Misc,Mangroves marching northward: the impacts of rising seas and temperatures on ecosystems at Kennedy Space Center,Cheryl Doughty and {J. Adam Langley} and Wayne Walker and Ilka C. Feller and Ronald Schaub and Samantha Chapman,NA,2019,10.25573/DATA.9695918.V1,https://smithsonian.figshare.com/articles/Mangroves_marching_northward_the_impacts_of_rising_seas_and_temperatures_on_ecosystems_at_Kennedy_Space_Center/9695918/1,NA,The Smithsonian Institution,NA,NA,NA,NA,"Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries",CC BY 4.0,NA,NA,NA,NA
Doughty_et_al_2016,Doughty_et_al_2015_article,associated source,Article,Mangrove Range Expansion Rapidly Increases Coastal Wetland Carbon Storage,Cheryl L. Doughty and J. Adam Langley and Wayne S. Walker and Ilka C. Feller and Ronald Schaub and Samantha K. Chapman,NA,2015,10.1007/s12237-015-9993-8,https://doi.org/10.1007/s12237-015-9993-8,may,Springer Science and Business Media {LLC},39,2,385--396,Estuaries and Coasts,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019,Callaway_et_al_2019_data,primary dataset,Misc,Dataset: Carbon sequestration and sediment accretion in San Francisco Bay tidal wetlands,John C. Callaway and {Evyan L. Borgnis} and {R. Eugene Turner} and Charles S. Milan,NA,2019,10.25573/DATA.9693251,https://smithsonian.figshare.com/articles/Dataset_Carbon_sequestration_and_sediment_accretion_in_San_Francisco_Bay_tidal_wetlands/9693251,NA,The Smithsonian Institution,NA,NA,NA,NA,"Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries",CC BY 4.0,NA,NA,NA,NA
Callaway_et_al_2019,Callaway_et_al_2012_article,associated source,Article,Carbon Sequestration and Sediment Accretion in San Francisco Bay Tidal Wetlands,John C. Callaway and Evyan L. Borgnis and R. Eugene Turner and Charles S. Milan,NA,2012,10.1007/s12237-012-9508-9,https://doi.org/10.1007/s12237-012-9508-9,jun,Springer Science and Business Media {LLC},35,5,1163--1181,Estuaries and Coasts,NA,NA,NA,NA,NA,NA
Breithaupt_et_al_2020,Breithaupt_et_al_2020_data,primary dataset,Misc,Dataset: Increasing rates of carbon burial in southwest Florida coastal wetlands,"Breithaupt, Joshua L. and Smoak, Joseph M. and Bianchi, Thomas S. and Vaughn, Derrick and Sanders, Christian J. and Radabaugh, Kara R. and  Michael J. Osland and Laura C. Feher and James C. Lynch and Donald R. Cahoon and Gordon H. Anderson and Kevin R.T. Whelan and Brad E. Rosenheim and Ryan P. Moyer and Lisa G. Chambers",NA,2020,10.25573/data.9894266,https://doi.org/10.25573/data.9894266,NA,The Smithsonian Institution,NA,NA,NA,NA,"Soil Science, 50301 Carbon Sequestration Science",NA,NA,NA,NA,NA
Breithaupt_et_al_2014,Breithaupt_et_al_2014_article,associated source,Article,"Temporal variability of carbon and nutrient burial, sediment accretion, and mass accumulation over the past century in a carbonate platform mangrove forest of the Florida Everglades",Joshua L Breithaupt and Joseph M Smoak and Thomas J {Smith III} and Christian J Sanders,NA,2014,NA,NA,NA,Wiley Online Library,119,10,2032--2048,Journal of Geophysical Research: Biogeosciences,NA,NA,NA,NA,NA,NA
Breithaupt_et_al_2014,Breithaupt_et_al_2019_data,primary dataset,Misc,"Temporal variability of carbon and nutrient burial, sedient accretion, and mass accumulation over the past century in a carbonate platform mangrove forest of the Florida Everglades",Joshua L. Breithaupt and Joseph M. Smoak and Christian J. Sanders and III {Thomas J. Smith},NA,2019,10.25573/serc.11310926,NA,NA,The Smithsonian Institution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Unger_et_al_2016,Unger_et_al_2016_article,synthesis source,Article,Stability of organic carbon accumulating in Spartina alterniflora-dominated salt marshes of the Mid-Atlantic U.S.,Viktoria Unger and Tracy Elsey-Quirk and Christopher Sommerfield and David Velinsky,NA,2016,10.1016/j.ecss.2016.10.001,https://doi.org/10.1016/j.ecss.2016.10.001,dec,Elsevier {BV},182,NA,179--189,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA
Unger_et_al_2016,Boyd_et_al_2019_data,synthesis dataset,Misc,Dataset: Accretion and sediment accumulation in impounded and unimpounded marshes in the Delaware Estuary and Barnegat Bay,Brandon Boyd and Christopher K. Sommerfield and Tracy Quirk and Viktoria Unger,NA,2019,10.25573/DATA.9747065,https://smithsonian.figshare.com/articles/Dataset_Accretion_and_sediment_accumulation_in_impounded_and_unimpounded_marshes_in_the_Delaware_Estuary_and_Barnegat_Bay/9747065,NA,The Smithsonian Institution,NA,NA,NA,NA,"50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries, Soil Science",CC BY 4.0,NA,NA,NA,NA
Arriola_and_Cable_2017,Arriola_and_Cable_2017_article,associated source,Article,Variations in carbon burial and sediment accretion along a tidal creek in a Florida salt marsh,Jill M. Arriola and Jaye E. Cable,NA,2017,10.1002/lno.10652,https://doi.org/10.1002/lno.10652,sep,Wiley,62,S1,S15--S28,Limnology and Oceanography,NA,NA,NA,NA,NA,NA
Abbott_et_al_2019,Abbott_et_al_2019_data,primary dataset,Misc,Dataset: Factors influencing blue carbon accumulation across a 32‐year chronosequence of created coastal marshes,Katherine M Abbott and Tracy Quirk and Ronald D. Delaune,NA,2019,10.25573/DATA.10005215,https://smithsonian.figshare.com/articles/Dataset_Factors_influencing_blue_carbon_accumulation_across_a_32_year_chronosequence_of_created_coastal_marshes/10005215,NA,The Smithsonian Institution,NA,NA,NA,NA,"Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries",CC BY 4.0,NA,NA,NA,NA
Abbott_et_al_2019,Abbott_et_al_2019_article,associated source,Article,Factors influencing blue carbon accumulation across a 32-year chronosequence of created coastal marshes,Katherine M. Abbott and Tracy Elsey-Quirk and Ronald D. DeLaune,NA,2019,10.1002/ecs2.2828,https://doi.org/10.1002/ecs2.2828,aug,Wiley,10,8,NA,Ecosphere,NA,NA,NA,NA,NA,NA
