study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,cs137_activity,depth_interval_notes,cs137_unit,method_id
Thom_1992,Elk_River_Not_Diked,ER1,14,15,0.074,0.179,2.96,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Elk_River_Not_Diked,ER1,16,17,0.097,0.13,3.24,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Elk_River_Not_Diked,ER1,18,19,0.081,0.168,6.29,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Elk_River_Not_Diked,ER1,21,22,0.1,0.10099999999999999,1.19,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Elk_River_Not_Diked,ER1,24,25,0.12,0.10400000000000001,0.76,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Elk_River_Not_Diked,ER1,27,28,0.15,0.099,0.32,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Elk_River_Not_Diked,ER1,30,31,0.17,0.069,0,cs137 activity below detection limits,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,South_Slough,SS1,0,1,0.066,0.215,1.49,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,South_Slough,SS1,2,3,0.11,0.222,2.4,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,South_Slough,SS1,4,5,0.07,0.222,0.32,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,South_Slough,SS1,6,7,0.08,0.225,1.33,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,South_Slough,SS1,8,9,0.072,0.221,2.5,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,South_Slough,SS1,10,11,0.084,0.149,2.64,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,South_Slough,SS1,12,13,0.08,0.185,1.72,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,South_Slough,SS1,14,15,0.076,0.159,1.11,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,South_Slough,SS1,16,17,0.068,0.162,2.26,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,South_Slough,SS1,18,19,0.18,0.043,0.69,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,South_Slough,SS1,21,22,0.1,0.085,1.02,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,South_Slough,SS1,24,25,0.14,0.078,0.63,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,South_Slough,SS1,27,28,0.22,0.045,1,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,South_Slough,SS1,30,31,0.23,0.039,0.72,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,South_Slough,SS1,33,34,0.63,0.03,0,cs137 activity below detection limits,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Salmon_River,SR2,0,1,0.32,0.29,2.7,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Salmon_River,SR2,2,3,0.28,0.25,1.86,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Salmon_River,SR2,4,5,0.28,0.21,0,cs137 activity below detection limits,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Salmon_River,SR2,6,7,0.4,0.15,2.41,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Salmon_River,SR2,8,9,0.25,0.3,14.02,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Salmon_River,SR2,10,11,0.52,0.21,6.02,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Salmon_River,SR2,12,13,0.51,0.18,0.54,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Salmon_River,SR2,14,15,0.51,0.17,0,cs137 activity below detection limits,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Salmon_River,SR2,16,17,0.48,0.16,2.02,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Salmon_River,SR2,18,19,0.48,0.12,0,cs137 activity below detection limits,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Salmon_River,SR2,21,22,0.52,0.16,0.82,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Salmon_River,SR2,24,25,1.82,0.02,0.07,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Salmon_River,SR1,0,1,0.22,0.39,0.72,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Salmon_River,SR1,2,3,0.25,0.28,1.63,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Salmon_River,SR1,4,5,0.35,0.24,6.52,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Salmon_River,SR1,6,7,0.21,0.25,5.88,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Salmon_River,SR1,8,9,0.52,0.19,5.31,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Salmon_River,SR1,10,11,0.57,0.14,2.11,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Salmon_River,SR1,12,13,0.63,0.11,2.54,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Salmon_River,SR1,14,15,0.37,0.21,2.24,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Salmon_River,SR1,16,17,0.24,0.25,0.78,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Salmon_River,SR1,18,19,0.66,0.17,1.88,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Salmon_River,SR1,21,22,0.41,0.17,0.11,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Salmon_River,SR1,24,25,0.44,0.14,0,cs137 activity below detection limits,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Salmon_River,SR1,27,28,0.59,0.12,0,cs137 activity below detection limits,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Salmon_River,SR1,30,31,0.62,0.13,1.14,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,NA,SB1,0,1,2.28,0.02,0.87,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,NA,SB1,2,3,1.4,0.02,1.35,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,NA,SB1,4,5,1.49,0.03,0,cs137 activity below detection limits,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,NA,SB1,6,7,1.77,0.01,0.15,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,NA,SB1,8,9,1.74,0.01,0.24,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,NA,SB1,10,11,2.17,0.011000000000000001,0,cs137 activity below detection limits,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,NA,SB1,12,13,1.62,0.013000000000000001,0.53,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Padilla_Bay,PB3,0,1,0.24,0.226,0.75,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Padilla_Bay,PB3,2,3,0.25,0.27899999999999997,2.03,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Padilla_Bay,PB3,4,5,0.32,0.19,0,cs137 activity below detection limits,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Padilla_Bay,PB3,6,7,0.23,0.231,2.89,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Padilla_Bay,PB3,8,9,0.32,0.214,0.79,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Padilla_Bay,PB3,10,11,0.35,0.171,0.61,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Padilla_Bay,PB3,12,13,0.31,0.139,3.07,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Padilla_Bay,PB3,14,15,0.45,0.134,0,cs137 activity below detection limits,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Padilla_Bay,PB3,16,17,0.49,0.138,0.12,NA,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Padilla_Bay,PB3,18,19,0.54,0.168,0,cs137 activity below detection limits,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Padilla_Bay,PB3,21,22,0.76,0.12,0,cs137 activity below detection limits,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Padilla_Bay,PB3,24,25,0.71,0.106,0,cs137 activity below detection limits,countsPerGramDryWeightPerHour,single set of methods
Thom_1992,Padilla_Bay,PB3,27,28,0.61,0.095,0,cs137 activity below detection limits,countsPerGramDryWeightPerHour,single set of methods
