"[Abbreviations: ID, identification; WGS84, World Geodetic System 1984; NAD83, North American Datum of 1983; m, meter; NAVD88, North American Vertical Datum of 1988; NA, not applicable; NR, not recorded;  cm, centimeter; °C, degree Celsius; mmHg, millimeter of mercury; %, percent; mg/L, milligrams per liter; mS/cm, millisiemens per centimeter; mV, millivolt; --, no data]",,,,,,,,,,,,,,,,,,,,,,,
Site Location,,,,,,,,,,,Core Length,,,,,Water Quality Parameters,,,,,,,
Site ID,"Date 
Collected",Site Description,Type of Samples Collected,Latitude (WGS84),Longitude (WGS84),Latitude (NAD83),Longitude (NAD83),"Orthometric Height
(m NAVD88, Geoid 12A)",Water Depth (m),,"Push Core
Recovered Length
(cm)","Push Core
Compaction During Coring
(cm)","Shovel Core
Recovered Length
(cm)",Total Auger Core Length (cm),,Temperature (°C),Barometric Pressure (mmHg),Dissolved Oxygen (%),"Dissolved Oxygen
(mg/L)",Specific Conductance (mS/cm),Salinity,pH,Oxidation-Reduction Potential (mV)
14CCT01-GB42,09/17/2014,Marsh,S,30.35044,-88.39632,30.35044,-88.39633,0.353,NA,,--,--,--,--,,26,763,3.6,0.26,30.46,18.87,6.39,-170
14CCT01-GB43,09/17/2014,Estuarine,"B, G",30.3401,-88.4028,--,--,--,2.3,,--,--,--,--,,29.4,762.9,77,5.07,42,26.03,7.94,62.4
14CCT01-GB44,09/15/2014,Estuarine,"B, G",30.40978,-88.40246,--,--,--,2,,--,--,--,--,,31.7,764.8,80.9,5.1,44.4,28.48,7.41,58.4
14CCT01-GB45,09/15/2014,Estuarine,"B, G",30.39625,-88.40147,--,--,--,1,,--,--,--,--,,31.2,764.8,74.4,4.62,43.48,27.82,7.32,62
14CCT01-GB46,09/15/2014,Estuarine,"B, G",30.40472,-88.39976,--,--,--,1.8,,--,--,--,--,,31.5,764.7,80.1,4.99,43.9,28.13,7.38,60.8
14CCT01-GB47,09/15/2014,Estuarine,"B, G",30.39472,-88.39981,--,--,--,2.4,,--,--,--,--,,30.3,764.9,63.3,4,43.42,27.81,7.25,51.5
14CCT01-GB48,09/15/2014,Estuarine,"B, G",30.39098,-88.39874,--,--,--,1,,--,--,--,--,,31.4,765,79.3,5,43.02,27.51,7.48,44.1
14CCT01-GB49,09/15/2014,Marsh,S,30.4065,-88.39867,30.40649,-88.39865,0.383,NA,,--,--,--,--,,30.2,764.9,60.3,4.11,23.46,14.1,7.04,67.38
14CCT01-GB50,09/16/2014,Marsh,S,30.39851,-88.40186,30.3985,-88.40186,0.332,NA,,--,--,--,--,,28.7,762.4,2.9,0.2,31.38,19.42,6.34,-39.9
14CCT01-GB51,09/15/2014,Estuarine,"B, G",30.40038,-88.39831,--,--,--,1.9,,--,--,--,--,,30.2,764.8,72.6,4.68,43.8,28.09,7.25,57.8
14CCT01-GB52,09/15/2014,Estuarine,"B, G",30.38806,-88.39823,--,--,--,2.8,,--,--,--,--,,30.7,765.3,78.3,5,42.91,27.43,7.43,41.5
14CCT01-GB53,09/16/2014,Marsh,"D, M, R, S",30.38452,-88.39787,30.38451,-88.39788,0.245,NA,,71(A) / 37(B),28(A) / 7(B),38,130,,28.9,766,1.2,0.08,38.48,24.36,6.06,55.4
14CCT01-GB54,09/16/2014,Marsh,S,30.40182,-88.37948,30.40181,-88.39746,0.343,NA,,--,--,--,--,,27.9,763,3.1,0.21,35.38,22.21,6.37,-11.7
14CCT01-GB55,09/16/2014,Marsh,S,30.39269,-88.39664,30.39268,-88.39664,0.255,NA,,--,--,--,--,,27.9,763,13,0.85,39.27,24.94,6.5,-138
14CCT01-GB56 & -GB60,09/16/2014,Marsh,S,30.38936,-88.39754,30.38933,-88.39751,0.265,NA,,--,--,--,--,,27.2,763.6,8.5,0.55,41.1,26.25,6,-197.7
14CCT01-GB57,09/17/2014,Marsh,S,30.3506,-88.3964,30.3506,-88.39639,0.377,NA,,--,--,--,--,,25.8,762.9,5.3,0.36,31.94,19.89,6.01,-37.9
14CCT01-GB58,09/15/2014,Estuarine,"B, G",30.38568,-88.39624,--,--,--,2.4,,--,--,--,--,,30,766.4,69,4.42,42.49,27.16,7.69,60.1
14CCT01-GB59,09/15/2014,Estuarine,"B, G",30.37889,-88.39587,--,--,--,0.9,,--,--,--,--,,29.9,766.3,80.5,5.24,42.01,26.83,7.97,52.9
14CCT01-GB60 & -GB56,09/16/2014,Marsh,"D, M, R, S",30.38936,-88.39754,30.38933,-88.39751,0.265,NA,,65,20,40,108,,27.2,763.6,8.5,0.55,41.1,26.25,6,-197.7
14CCT01-GB61,09/15/2014,Estuarine,"B, G",30.37439,-88.39223,--,--,--,1.7,,--,--,--,--,,29.5,766.3,76.2,4.86,42.23,26.93,7.92,55
14CCT01-GB62 & -GB70,09/15/2014,Estuarine,"B, G",30.36995,-88.38802,--,--,--,1.6,,--,--,--,--,,29.8,766.3,75.6,4.92,42.22,26.97,7.95,57.1
14CCT01-GB63,09/15/2014,Estuarine,"B, G",30.36825,-88.38216,--,--,--,1.6,,--,--,--,--,,29.7,766.2,72.2,4.89,42.23,26.99,7.86,72.2
14CCT01-GB64,09/16/2014,Marsh,"D, M, R, S",30.38717,-88.38207,30.38716,-88.38207,0.229,NA,,72,3,38,108,,28.9,765.3,2.4,0.16,37.31,23.51,6.47,-23.3
14CCT01-GB65,09/15/2014,Estuarine,"B, G",30.36491,-88.37468,--,--,--,1.2,,--,--,--,--,,29.6,766.1,68.6,4.78,41.13,26.2,7.97,76.2
14CCT01-GB67 & -GB37,09/17/2014,Estuarine,G,30.34833,-88.41104,--,--,--,0.7,,--,--,--,--,,29.1,762.6,63.9,4.16,41.69,26.62,7.76,52.8
14CCT01-GB68,09/16/2014,Marsh,S,30.39848,-88.4012,30.39845,-88.40118,0.215,NA,,--,--,--,--,,29.6,762.5,35,2.32,38.3,23.78,6.62,-113.7
14CCT01-GB70 & -GB62,09/15/2014,Estuarine,"B, G",30.36995,-88.38802,--,--,--,1.6,,--,--,--,--,,29.8,766.3,75.6,4.92,42.22,26.97,7.95,57.1
14CCT01-GB96*,09/17/2014,Beach,S,30.35072,-88.39525,--,--,--,NA,,--,--,--,--,,NA,NA,NA,NA,NA,NA,NA,NA
"* GPS reading not recorded, location is approximate",,,,,,,,,,,,,,,,,,,,,,,
Sediment Sample Type Key:,,,,,,,,,,,,,,,,,,,,,,,
"B = Manganese fiber radium water sample, data not presented in this report",,,,,,,,,,,,,,,,,,,,,,,
D = Shovel core,,,,,,,,,,,,,,,,,,,,,,,
"G = Petite Ponar grab sample, estuarine surface sediments, 0-1 cm sampled",,,,,,,,,,,,,,,,,,,,,,,
M = 4-inch marsh push core,,,,,,,,,,,,,,,,,,,,,,,
R = Russian peat auger core,,,,,,,,,,,,,,,,,,,,,,,
"S = Marsh surface sediment, 0-1 cm sampled",,,,,,,,,,,,,,,,,,,,,,,
