"study_id","site_id","core_id","sample_id","representative_depth_min","representative_depth_max","dry_bulk_density","fraction_carbon","depth_interval_notes"
"Nahlik_and_Fennessy_2016","NWCA11-1002","NWCA11-1002-2812","NWCA11-1002-1-11-AL-003-001-4",42,65,1.78,0.0031,NA
"Nahlik_and_Fennessy_2016","NWCA11-1002","NWCA11-1002-2812","NWCA11-1002-1-11-AL-003-001-5",65,125,NA,0.0034,NA
"Nahlik_and_Fennessy_2016","NWCA11-2410","NWCA11-2410-3275","NWCA11-2410-1-11-SC-013-001-1",0,11,1.23,0.0327,NA
"Nahlik_and_Fennessy_2016","NWCA11-2410","NWCA11-2410-3275","NWCA11-2410-1-11-SC-013-001-2",11,40,1.66,0.0143,NA
"Nahlik_and_Fennessy_2016","NWCA11-2410","NWCA11-2410-3275","NWCA11-2410-1-11-SC-013-001-3",40,125,1.47,0.0061,NA
"Nahlik_and_Fennessy_2016","NWCA11-1105","NWCA11-1105-3314","NWCA11-1105-1-11-CA-081-001-1",0,18,0.55,0.0429,NA
"Nahlik_and_Fennessy_2016","NWCA11-1105","NWCA11-1105-3314","NWCA11-1105-1-11-CA-081-001-2",18,31,0.8,0.0097,NA
"Nahlik_and_Fennessy_2016","NWCA11-1105","NWCA11-1105-3314","NWCA11-1105-1-11-CA-081-001-3",31,60,0.67,0.0135,"Matrix color: 10y 3/1"
"Nahlik_and_Fennessy_2016","NWCA11-1105","NWCA11-1105-3314","NWCA11-1105-1-11-CA-081-001-4",60,125,NA,0.0243,"20-30% coarse organic from previous marsh surface. Matrix color: 10gy 3/1"
"Nahlik_and_Fennessy_2016","NWCA11-2639","NWCA11-2639-3317","NWCA11-2639-1-11-VA-810-001-1",0,17,0.03,0.3824,NA
"Nahlik_and_Fennessy_2016","NWCA11-2639","NWCA11-2639-3317","NWCA11-2639-1-11-VA-810-001-2",17,45,0.02,0.4264,NA
"Nahlik_and_Fennessy_2016","NWCA11-2639","NWCA11-2639-3317","NWCA11-2639-1-11-VA-810-001-3",45,86,0.04,0.2298,NA
"Nahlik_and_Fennessy_2016","NWCA11-2639","NWCA11-2639-3317","NWCA11-2639-1-11-VA-810-001-4",86,125,NA,0.0046,NA
"Nahlik_and_Fennessy_2016","NWCA11-2637","NWCA11-2637-3339","NWCA11-2637-1-11-VA-115-002-1",0,24,0.38,0.1357,NA
"Nahlik_and_Fennessy_2016","NWCA11-2637","NWCA11-2637-3339","NWCA11-2637-1-11-VA-115-002-2",24,40,1.71,0.0259,NA
"Nahlik_and_Fennessy_2016","NWCA11-2637","NWCA11-2637-3339","NWCA11-2637-1-11-VA-115-002-3",40,68,1.74,0.0081,NA
"Nahlik_and_Fennessy_2016","NWCA11-2637","NWCA11-2637-3339","NWCA11-2637-1-11-VA-115-002-4",68,100,NA,0.0025,NA
"Nahlik_and_Fennessy_2016","NWCA11-2637","NWCA11-2637-3339","NWCA11-2637-1-11-VA-115-002-5",100,120,NA,0.0011,NA
"Nahlik_and_Fennessy_2016","NWCA11-2536","NWCA11-2536-3340","NWCA11-2536-1-11-TX-167-001-2",0,11,1.43,0.0135,NA
"Nahlik_and_Fennessy_2016","NWCA11-2536","NWCA11-2536-3340","NWCA11-2536-1-11-TX-167-001-3",11,32,NA,0.0101,"outside of valid range (0.06-2.53 g/cc)"
"Nahlik_and_Fennessy_2016","NWCA11-2536","NWCA11-2536-3340","NWCA11-2536-1-11-TX-167-001-4",32,56,NA,0.0015,"outside of valid range (0.06-2.53 g/cc)"
"Nahlik_and_Fennessy_2016","NWCA11-2536","NWCA11-2536-3340","NWCA11-2536-1-11-TX-167-001-5",56,64,1.43,0.0042,NA
"Nahlik_and_Fennessy_2016","NWCA11-2420","NWCA11-2420-3358","NWCA11-2420-1-11-SC-019-005-1",0,60,1.43,0.0048,NA
"Nahlik_and_Fennessy_2016","NWCA11-2066","NWCA11-2066-3401","NWCA11-2066-1-11-NC-031-005-1",0,25,1.25,0.0442,NA
"Nahlik_and_Fennessy_2016","NWCA11-2066","NWCA11-2066-3401","NWCA11-2066-1-11-NC-031-005-2",25,79,1.33,0.0212,NA
"Nahlik_and_Fennessy_2016","NWCA11-2025","NWCA11-2025-3403","NWCA11-2025-1-11-NC-031-001-2",0,53,0.9,0.0914,NA
"Nahlik_and_Fennessy_2016","NWCA11-2404","NWCA11-2404-3404","NWCA11-2404-1-11-SC-019-004-1",0,17,0.95,0.0276,NA
"Nahlik_and_Fennessy_2016","NWCA11-2404","NWCA11-2404-3404","NWCA11-2404-1-11-SC-019-004-2",17,60,1.43,0.0055,NA
"Nahlik_and_Fennessy_2016","NWCA11-2412","NWCA11-2412-3405","NWCA11-2412-1-11-SC-051-001-1",0,63,1.05,0.0247,NA
"Nahlik_and_Fennessy_2016","NWCA11-2666","NWCA11-2666-3408","NWCA11-2666-1-11-VA-810-003-1",0,16,0.52,0.1275,NA
"Nahlik_and_Fennessy_2016","NWCA11-2666","NWCA11-2666-3408","NWCA11-2666-1-11-VA-810-003-2",16,48,1.65,0.0011,NA
"Nahlik_and_Fennessy_2016","NWCA11-2666","NWCA11-2666-3408","NWCA11-2666-1-11-VA-810-003-3",48,120,1.64,1e-04,NA
"Nahlik_and_Fennessy_2016","NWCA11-2653","NWCA11-2653-3409",NA,0,6,1.44,NA,NA
"Nahlik_and_Fennessy_2016","NWCA11-2653","NWCA11-2653-3409","NWCA11-2653-1-11-VA-810-002-2",6,24,1.66,0.0127,"Dry bulk density inconsistent with layer position"
"Nahlik_and_Fennessy_2016","NWCA11-2653","NWCA11-2653-3409","NWCA11-2653-1-11-VA-810-002-3",24,38,1.46,0.0106,NA
"Nahlik_and_Fennessy_2016","NWCA11-2653","NWCA11-2653-3409","NWCA11-2653-1-11-VA-810-002-4",38,60,NA,0.0113,NA
"Nahlik_and_Fennessy_2016","NWCA11-2653","NWCA11-2653-3409","NWCA11-2653-1-11-VA-810-002-5",60,85,NA,0.1361,NA
"Nahlik_and_Fennessy_2016","NWCA11-2653","NWCA11-2653-3409","NWCA11-2653-1-11-VA-810-002-6",85,125,NA,0.0365,NA
"Nahlik_and_Fennessy_2016","NWCA11-2647","NWCA11-2647-3411","NWCA11-2647-1-11-VA-073-002-1",0,15,0.36,0.0896,NA
"Nahlik_and_Fennessy_2016","NWCA11-2647","NWCA11-2647-3411","NWCA11-2647-1-11-VA-073-002-2",15,30,NA,0.0864,"Bulk density unable to be collected"
"Nahlik_and_Fennessy_2016","NWCA11-2647","NWCA11-2647-3411","NWCA11-2647-1-11-VA-073-002-3",30,60,NA,0.1042,"Bulk density unable to be collected"
"Nahlik_and_Fennessy_2016","NWCA11-2634","NWCA11-2634-3436","NWCA11-2634-1-11-VA-115-001-1",0,25,0.59,0.0241,NA
"Nahlik_and_Fennessy_2016","NWCA11-2634","NWCA11-2634-3436","NWCA11-2634-1-11-VA-115-001-2",25,42,1.21,0.0202,NA
"Nahlik_and_Fennessy_2016","NWCA11-2634","NWCA11-2634-3436","NWCA11-2634-1-11-VA-115-001-3",42,55,1.63,0.009,NA
"Nahlik_and_Fennessy_2016","NWCA11-2634","NWCA11-2634-3436","NWCA11-2634-1-11-VA-115-001-4",55,100,NA,0.0038,NA
"Nahlik_and_Fennessy_2016","NWCA11-2634","NWCA11-2634-3436","NWCA11-2634-1-11-VA-115-001-5",100,125,NA,7e-04,NA
"Nahlik_and_Fennessy_2016","NWCA11-2651","NWCA11-2651-3437","NWCA11-2651-1-11-VA-115-003-1",0,19,0.46,0.0679,NA
"Nahlik_and_Fennessy_2016","NWCA11-2651","NWCA11-2651-3437","NWCA11-2651-1-11-VA-115-003-2",19,29,1.06,0.0331,NA
"Nahlik_and_Fennessy_2016","NWCA11-2651","NWCA11-2651-3437","NWCA11-2651-1-11-VA-115-003-3",29,40,1.93,0.0183,NA
"Nahlik_and_Fennessy_2016","NWCA11-2651","NWCA11-2651-3437","NWCA11-2651-1-11-VA-115-003-4",40,70,1.92,0.0031,NA
"Nahlik_and_Fennessy_2016","NWCA11-2651","NWCA11-2651-3437","NWCA11-2651-1-11-VA-115-003-5",70,119,NA,0.0014,NA
"Nahlik_and_Fennessy_2016","NWCA11-2651","NWCA11-2651-3437","NWCA11-2651-1-11-VA-115-003-6",119,120,NA,8e-04,NA
"Nahlik_and_Fennessy_2016","NWCA11-2652","NWCA11-2652-3438","NWCA11-2652-1-11-VA-001-006-1",0,17,0.35,0.0771,NA
"Nahlik_and_Fennessy_2016","NWCA11-2652","NWCA11-2652-3438","NWCA11-2652-1-11-VA-001-006-2",17,42,0.37,0.0641,NA
"Nahlik_and_Fennessy_2016","NWCA11-2652","NWCA11-2652-3438","NWCA11-2652-1-11-VA-001-006-3",42,60,0.56,0.0224,NA
"Nahlik_and_Fennessy_2016","NWCA11-2652","NWCA11-2652-3438","NWCA11-2652-1-11-VA-001-006-4",60,80,NA,0.0257,NA
"Nahlik_and_Fennessy_2016","NWCA11-2652","NWCA11-2652-3438","NWCA11-2652-1-11-VA-001-006-5",80,82,NA,0.022,"For depth, team wrote in 82+"
"Nahlik_and_Fennessy_2016","NWCA11-2427","NWCA11-2427-3453","NWCA11-2427-1-11-SC-043-001-1",0,60,1.14,0.0458,NA
"Nahlik_and_Fennessy_2016","NWCA11-1021","NWCA11-1021-3469","NWCA11-1021-1-11-AL-003-012-1",0,14,0.25,0.1028,NA
"Nahlik_and_Fennessy_2016","NWCA11-1021","NWCA11-1021-3469","NWCA11-1021-1-11-AL-003-012-2",14,33,0.16,0.1479,"Dry bulk density inconsistent with layer position"
"Nahlik_and_Fennessy_2016","NWCA11-1021","NWCA11-1021-3469","NWCA11-1021-1-11-AL-003-012-3",33,127,0.32,0.0552,NA
"Nahlik_and_Fennessy_2016","NWCA11-1017","NWCA11-1017-3471","NWCA11-1017-1-11-AL-003-010-1",0,15,NA,0.3561,"Extracted using king's sampler"
"Nahlik_and_Fennessy_2016","NWCA11-1017","NWCA11-1017-3471","NWCA11-1017-1-11-AL-003-010-2",15,27,NA,0.3505,NA
"Nahlik_and_Fennessy_2016","NWCA11-1017","NWCA11-1017-3471","NWCA11-1017-1-11-AL-003-010-3",27,37,NA,0.3495,NA
"Nahlik_and_Fennessy_2016","NWCA11-1017","NWCA11-1017-3471","NWCA11-1017-1-11-AL-003-010-4",37,54,NA,0.2588,NA
"Nahlik_and_Fennessy_2016","NWCA11-1017","NWCA11-1017-3471","NWCA11-1017-1-11-AL-003-010-5",54,64,NA,0.0125,NA
"Nahlik_and_Fennessy_2016","NWCA11-1017","NWCA11-1017-3471","NWCA11-1017-1-11-AL-003-010-6",64,77,NA,0.0327,NA
"Nahlik_and_Fennessy_2016","NWCA11-1002","NWCA11-1002-3473","NWCA11-1002-2-11-AL-003-002-2",0,18,1.31,0.0359,NA
"Nahlik_and_Fennessy_2016","NWCA11-1002","NWCA11-1002-3473","NWCA11-1002-2-11-AL-003-002-3",18,41,1.78,0.0017,NA
"Nahlik_and_Fennessy_2016","NWCA11-1002","NWCA11-1002-3473","NWCA11-1002-2-11-AL-003-002-4",41,62,1.91,0.0023,NA
"Nahlik_and_Fennessy_2016","NWCA11-1002","NWCA11-1002-3473","NWCA11-1002-2-11-AL-003-002-5",62,100,NA,0.0023,NA
"Nahlik_and_Fennessy_2016","NWCA11-1823","NWCA11-1823-3483","NWCA11-1823-1-11-ME-029-002-1",0,57,0.42,0.0778,"Dry bulk density inconsistent with layer position"
"Nahlik_and_Fennessy_2016","NWCA11-1823","NWCA11-1823-3483","NWCA11-1823-1-11-ME-029-002-2",57,84,0.2,0.1443,"Dry bulk density inconsistent with layer position"
"Nahlik_and_Fennessy_2016","NWCA11-1823","NWCA11-1823-3483","NWCA11-1823-1-11-ME-029-002-3",84,125,NA,0.0242,NA
"Nahlik_and_Fennessy_2016","NWCA11-1836","NWCA11-1836-3548","NWCA11-1836-1-11-ME-009-003-1",0,22,0.21,0.1924,"Dry bulk density inconsistent with layer position"
"Nahlik_and_Fennessy_2016","NWCA11-1836","NWCA11-1836-3548","NWCA11-1836-1-11-ME-009-003-2",22,97,0.1,0.268,"Dry bulk density inconsistent with layer position"
"Nahlik_and_Fennessy_2016","NWCA11-1836","NWCA11-1836-3548","NWCA11-1836-1-11-ME-009-003-3",97,126,NA,0.2741,NA
"Nahlik_and_Fennessy_2016","NWCA11-1010","NWCA11-1010-3562","NWCA11-1010-1-11-AL-003-005-1",0,18,0.19,0.1283,NA
"Nahlik_and_Fennessy_2016","NWCA11-1010","NWCA11-1010-3562","NWCA11-1010-1-11-AL-003-005-2",18,27,0.85,0.0152,"Dry bulk density inconsistent with layer position"
"Nahlik_and_Fennessy_2016","NWCA11-1010","NWCA11-1010-3562","NWCA11-1010-1-11-AL-003-005-3",27,38,0.21,0.1077,NA
"Nahlik_and_Fennessy_2016","NWCA11-1010","NWCA11-1010-3562","NWCA11-1010-1-11-AL-003-005-4",38,63,0.28,0.0939,NA
"Nahlik_and_Fennessy_2016","NWCA11-1203","NWCA11-1203-3569","NWCA11-1203-1-11-DE-005-003-1",0,21,0.22,0.1627,"Dry bulk density inconsistent with layer position"
"Nahlik_and_Fennessy_2016","NWCA11-1203","NWCA11-1203-3569","NWCA11-1203-1-11-DE-005-003-2",21,60,0.18,0.0854,"Dry bulk density inconsistent with layer position"
"Nahlik_and_Fennessy_2016","NWCA11-1203","NWCA11-1203-3569","NWCA11-1203-1-11-DE-005-003-3",60,102,NA,0.0045,NA
"Nahlik_and_Fennessy_2016","NWCA11-2599","NWCA11-2599-3570","NWCA11-2599-1-11-TX-057-002-1",0,40,0.14,0.0712,NA
"Nahlik_and_Fennessy_2016","NWCA11-2599","NWCA11-2599-3570","NWCA11-2599-1-11-TX-057-002-2",40,49,0.32,0.0649,NA
"Nahlik_and_Fennessy_2016","NWCA11-2599","NWCA11-2599-3570","NWCA11-2599-1-11-TX-057-002-3",49,74,2.07,0.0076,NA
"Nahlik_and_Fennessy_2016","NWCA11-2600","NWCA11-2600-3572","NWCA11-2600-1-11-TX-167-007-2",0,11,1.61,0.0078,NA
"Nahlik_and_Fennessy_2016","NWCA11-2600","NWCA11-2600-3572","NWCA11-2600-1-11-TX-167-007-3",11,32,1.63,0.0016,NA
"Nahlik_and_Fennessy_2016","NWCA11-2600","NWCA11-2600-3572","NWCA11-2600-1-11-TX-167-007-4",32,63,1.84,0.0015,NA
"Nahlik_and_Fennessy_2016","NWCA11-2582","NWCA11-2582-3573","NWCA11-2582-1-11-TX-167-006-2",0,32,2.15,0.0097,"Very difficult ot break open without a soil knife Dry bulk density inconsistent with layer position"
"Nahlik_and_Fennessy_2016","NWCA11-2582","NWCA11-2582-3573","NWCA11-2582-1-11-TX-167-006-3",32,51,1.12,0.009,"Very difficult ot break open without a soil knife"
"Nahlik_and_Fennessy_2016","NWCA11-2582","NWCA11-2582-3573","NWCA11-2582-1-11-TX-167-006-4",51,65,1.28,0.0106,"Mineral/salt deposits possibly present."
"Nahlik_and_Fennessy_2016","NWCA11-2531","NWCA11-2531-3574","NWCA11-2531-1-11-TX-321-001-2",0,23,1.67,0.008,"Rock fragments represents shell fragments Dry bulk density inconsistent with layer position"
"Nahlik_and_Fennessy_2016","NWCA11-2531","NWCA11-2531-3574","NWCA11-2531-1-11-TX-321-001-3",23,34,1.21,0.0168,"Rock fragment value is represented by about 13% shell fragments."
"Nahlik_and_Fennessy_2016","NWCA11-2531","NWCA11-2531-3574","NWCA11-2531-1-11-TX-321-001-4",34,93,1.57,0.0038,NA
"Nahlik_and_Fennessy_2016","NWCA11-1222","NWCA11-1222-3575","NWCA11-1222-1-11-DE-003-010-1",0,10,0.39,0.0546,NA
"Nahlik_and_Fennessy_2016","NWCA11-1222","NWCA11-1222-3575","NWCA11-1222-1-11-DE-003-010-2",10,85,0.65,0.051,NA
"Nahlik_and_Fennessy_2016","NWCA11-1222","NWCA11-1222-3575","NWCA11-1222-1-11-DE-003-010-3",85,125,NA,0.0514,NA
"Nahlik_and_Fennessy_2016","NWCA11-1210","NWCA11-1210-3576","NWCA11-1210-1-11-DE-005-005-1",0,12,0.11,0.0907,NA
"Nahlik_and_Fennessy_2016","NWCA11-1210","NWCA11-1210-3576","NWCA11-1210-1-11-DE-005-005-2",12,22,0.52,0.2658,"Dry bulk density inconsistent with layer position"
"Nahlik_and_Fennessy_2016","NWCA11-1210","NWCA11-1210-3576","NWCA11-1210-1-11-DE-005-005-3",22,36,0.22,0.0724,NA
"Nahlik_and_Fennessy_2016","NWCA11-1210","NWCA11-1210-3576","NWCA11-1210-1-11-DE-005-005-4",36,100,0.88,0.0234,NA
"Nahlik_and_Fennessy_2016","NWCA11-1210","NWCA11-1210-3576","NWCA11-1210-1-11-DE-005-005-5",100,134,NA,0.0022,NA
"Nahlik_and_Fennessy_2016","NWCA11-R127","NWCA11-R127-3624","NWCA11-R127-1-11-MS-059-008-1",0,12,0.53,0.074,NA
"Nahlik_and_Fennessy_2016","NWCA11-R127","NWCA11-R127-3624","NWCA11-R127-1-11-MS-059-008-2",12,40,0.49,0.0658,"Core was collected to a depth of 60cm but the bottom 20cm was fluid mud and was not recovered intact."
"Nahlik_and_Fennessy_2016","NWCA11-1622","NWCA11-1622-3654","NWCA11-1622-1-11-LA-109-002-1",0,122,1.54,0.0031,NA
"Nahlik_and_Fennessy_2016","NWCA11-2588","NWCA11-2588-3663","NWCA11-2588-1-11-TX-321-002-3",0,20,1.44,0.0261,"Too little iron to color. Percentage rock equals shell. Dry bulk density inconsistent with layer position"
"Nahlik_and_Fennessy_2016","NWCA11-2588","NWCA11-2588-3663","NWCA11-2588-1-11-TX-321-002-4",20,41,1.06,0.0063,"% Age rock equals shell Dry bulk density inconsistent with layer position"
"Nahlik_and_Fennessy_2016","NWCA11-2588","NWCA11-2588-3663","NWCA11-2588-1-11-TX-321-002-5",41,80,1.85,0.0062,"% Age rock equals shell Dry bulk density inconsistent with layer position"
"Nahlik_and_Fennessy_2016","NWCA11-1197","NWCA11-1197-3666","NWCA11-1197-2-11-DE-003-012-1",0,24,0.19,0.0354,NA
"Nahlik_and_Fennessy_2016","NWCA11-1197","NWCA11-1197-3666","NWCA11-1197-2-11-DE-003-012-2",24,43,0.27,0.0339,NA
"Nahlik_and_Fennessy_2016","NWCA11-1197","NWCA11-1197-3666","NWCA11-1197-2-11-DE-003-012-3",43,74,0.17,0.0422,NA
"Nahlik_and_Fennessy_2016","NWCA11-1197","NWCA11-1197-3666","NWCA11-1197-2-11-DE-003-012-4",74,102,NA,0.0469,NA
"Nahlik_and_Fennessy_2016","NWCA11-1226","NWCA11-1226-3667","NWCA11-1226-1-11-DE-003-014-1",0,9,0.38,0.046,NA
"Nahlik_and_Fennessy_2016","NWCA11-1226","NWCA11-1226-3667","NWCA11-1226-1-11-DE-003-014-2",9,56,0.31,0.0618,NA
"Nahlik_and_Fennessy_2016","NWCA11-1226","NWCA11-1226-3667","NWCA11-1226-1-11-DE-003-014-3",56,123,NA,0.0696,NA
"Nahlik_and_Fennessy_2016","NWCA11-2443","NWCA11-2443-3678","NWCA11-2443-1-11-SC-043-002-1",0,15,0.7,0.0036,NA
"Nahlik_and_Fennessy_2016","NWCA11-2443","NWCA11-2443-3678","NWCA11-2443-1-11-SC-043-002-2",15,43,1.42,0.0019,NA
"Nahlik_and_Fennessy_2016","NWCA11-2450","NWCA11-2450-3679","NWCA11-2450-1-11-SC-013-005-1",0,27,0.96,0.0103,NA
"Nahlik_and_Fennessy_2016","NWCA11-2450","NWCA11-2450-3679","NWCA11-2450-1-11-SC-013-005-2",27,125,1.34,0.0017,NA
"Nahlik_and_Fennessy_2016","NWCA11-2454","NWCA11-2454-3682","NWCA11-2454-1-11-SC-013-006-1",0,43,0.36,0.0453,"Soil texture is mucky peat"
"Nahlik_and_Fennessy_2016","NWCA11-2458","NWCA11-2458-3683","NWCA11-2458-1-11-SC-013-008-1",0,62,0.4,0.0416,NA
"Nahlik_and_Fennessy_2016","NWCA11-1202","NWCA11-1202-3694","NWCA11-1202-1-11-DE-003-003-1",0,10,0.12,0.1806,NA
"Nahlik_and_Fennessy_2016","NWCA11-1202","NWCA11-1202-3694","NWCA11-1202-1-11-DE-003-003-2",10,27,0.08,0.1786,NA
"Nahlik_and_Fennessy_2016","NWCA11-1202","NWCA11-1202-3694","NWCA11-1202-1-11-DE-003-003-3",27,39,0.28,0.0241,NA
"Nahlik_and_Fennessy_2016","NWCA11-1202","NWCA11-1202-3694","NWCA11-1202-1-11-DE-003-003-4",39,57,NA,0.0072,NA
"Nahlik_and_Fennessy_2016","NWCA11-1202","NWCA11-1202-3694","NWCA11-1202-1-11-DE-003-003-5",57,125,NA,0.0027,NA
"Nahlik_and_Fennessy_2016","NWCA11-3047","NWCA11-3047-3695","NWCA11-3047-1-11-FL-101-001-1",0,29,0.25,0.0914,NA
"Nahlik_and_Fennessy_2016","NWCA11-3047","NWCA11-3047-3695","NWCA11-3047-1-11-FL-101-001-2",29,60,1.07,0.0084,NA
"Nahlik_and_Fennessy_2016","NWCA11-3047","NWCA11-3047-3695","NWCA11-3047-1-11-FL-101-001-3",60,78,NA,0.0589,NA
"Nahlik_and_Fennessy_2016","NWCA11-2677","NWCA11-2677-3702","NWCA11-2677-1-11-VA-810-004-2",0,44,1.64,0.0013,NA
"Nahlik_and_Fennessy_2016","NWCA11-2677","NWCA11-2677-3702","NWCA11-2677-1-11-VA-810-004-3",44,125,1.68,1e-04,NA
"Nahlik_and_Fennessy_2016","NWCA11-1335","NWCA11-1335-3731","NWCA11-1335-1-11-FL-015-001-1",0,43,0.29,0.1775,"No feature to color"
"Nahlik_and_Fennessy_2016","NWCA11-1335","NWCA11-1335-3731","NWCA11-1335-1-11-FL-015-001-2",43,80,1.18,0.0121,"Inundated conditions / sumping limited pit depth"
"Nahlik_and_Fennessy_2016","NWCA11-1326","NWCA11-1326-3732","NWCA11-1326-1-11-FL-109-003-1",0,36,0.36,0.0502,NA
"Nahlik_and_Fennessy_2016","NWCA11-1326","NWCA11-1326-3732","NWCA11-1326-1-11-FL-109-003-2",36,60,0.61,0.0298,NA
"Nahlik_and_Fennessy_2016","NWCA11-1303","NWCA11-1303-3733","NWCA11-1303-1-11-FL-017-001-1",0,85,0.08,0.3855,NA
"Nahlik_and_Fennessy_2016","NWCA11-1218","NWCA11-1218-3741","NWCA11-1218-1-11-DE-005-006-1",0,24,0.08,0.3183,NA
"Nahlik_and_Fennessy_2016","NWCA11-1218","NWCA11-1218-3741","NWCA11-1218-1-11-DE-005-006-2",24,51,0.15,0.2143,NA
"Nahlik_and_Fennessy_2016","NWCA11-1218","NWCA11-1218-3741","NWCA11-1218-1-11-DE-005-006-3",51,76,0.48,0.0696,"Horizon has 2 % roots"
"Nahlik_and_Fennessy_2016","NWCA11-1218","NWCA11-1218-3741","NWCA11-1218-1-11-DE-005-006-4",76,110,NA,0.1831,NA
"Nahlik_and_Fennessy_2016","NWCA11-1213","NWCA11-1213-3751","NWCA11-1213-1-11-DE-003-007-1",0,15,0.34,0.0787,NA
"Nahlik_and_Fennessy_2016","NWCA11-1213","NWCA11-1213-3751","NWCA11-1213-1-11-DE-003-007-2",15,63,0.34,0.0807,NA
"Nahlik_and_Fennessy_2016","NWCA11-1213","NWCA11-1213-3751","NWCA11-1213-1-11-DE-003-007-3",63,125,NA,0.0429,NA
"Nahlik_and_Fennessy_2016","NWCA11-2549","NWCA11-2549-3755","NWCA11-2549-1-11-TX-245-002-1",0,11,1.82,0.0153,"Dry bulk density inconsistent with layer position"
"Nahlik_and_Fennessy_2016","NWCA11-2549","NWCA11-2549-3755","NWCA11-2549-1-11-TX-245-002-3",11,48,1.4,0.007,"Dry bulk density inconsistent with layer position"
"Nahlik_and_Fennessy_2016","NWCA11-2549","NWCA11-2549-3755","NWCA11-2549-1-11-TX-245-002-4",48,125,1.65,0.0079,"Dry bulk density inconsistent with layer position"
"Nahlik_and_Fennessy_2016","NWCA11-2577","NWCA11-2577-3792","NWCA11-2577-1-11-TX-245-004-3",0,39,1.09,0.034,"Dry bulk density inconsistent with layer position"
"Nahlik_and_Fennessy_2016","NWCA11-2577","NWCA11-2577-3792","NWCA11-2577-1-11-TX-245-004-4",39,54,1.27,0.0093,"There is a thin, dark organic streaking (between 48 to 50cm) Dry bulk density inconsistent with layer position"
"Nahlik_and_Fennessy_2016","NWCA11-2577","NWCA11-2577-3792","NWCA11-2577-1-11-TX-245-004-5",54,71,0.82,0.0076,"Dry bulk density inconsistent with layer position"
"Nahlik_and_Fennessy_2016","NWCA11-1039","NWCA11-1039-3793","NWCA11-1039-1-11-AL-003-019-1",0,9,0.09,0.3267,NA
