study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,total_pb210_activity,total_pb210_activity_se,excess_pb210_activity,pb210_unit,age,age_se
Noe_et_al_2016,Turkey_Creek,W3,single set of methods,14,16,0.13,0.307,2.35,0.06,0.87,disintegrations_per_minute_per_gram,89.9,4.3
Noe_et_al_2016,Turkey_Creek,W3,single set of methods,16,18,NA,NA,2.16,NA,0.69,disintegrations_per_minute_per_gram,NA,NA
Noe_et_al_2016,Turkey_Creek,W3,single set of methods,18,20,0.16,NA,1.47,0.04,NA,disintegrations_per_minute_per_gram,NA,NA
Noe_et_al_2016,Turkey_Creek,W4,single set of methods,0,1,0.13,NA,NA,NA,NA,NA,0,0.2
Noe_et_al_2016,Turkey_Creek,W4,single set of methods,1,2,0.13,NA,NA,NA,NA,NA,4.4,0.2
Noe_et_al_2016,Turkey_Creek,W4,single set of methods,2,3,0.12,0.14,6.79,0.12,5.43,disintegrations_per_minute_per_gram,9.3,0.3
Noe_et_al_2016,Turkey_Creek,W4,single set of methods,3,4,0.16,0.134,6.24,0.11,4.88,disintegrations_per_minute_per_gram,15.6,0.4
Noe_et_al_2016,Turkey_Creek,W4,single set of methods,4,5,0.12,0.149,4.53,0.09,3.18,disintegrations_per_minute_per_gram,25.2,0.3
Noe_et_al_2016,Turkey_Creek,W4,single set of methods,5,6,0.12,0.17600000000000002,6.74,0.16,5.39,disintegrations_per_minute_per_gram,31,0.6
Noe_et_al_2016,Turkey_Creek,W4,single set of methods,6,7,0.08,0.152,6.58,0.14,5.22,disintegrations_per_minute_per_gram,44.5,0.6
Noe_et_al_2016,Turkey_Creek,W4,single set of methods,7,8,NA,0.154,NA,NA,NA,NA,58.3,0.8
Noe_et_al_2016,Turkey_Creek,W4,single set of methods,8,9,0.09,0.151,4.9,0.09,3.54,disintegrations_per_minute_per_gram,79,1.3
Noe_et_al_2016,Turkey_Creek,W4,single set of methods,9,10,0.14,0.172,1.81,0.06,0.46,disintegrations_per_minute_per_gram,128.9,5.6
Noe_et_al_2016,Turkey_Creek,W4,single set of methods,10,11,0.11,0.198,1.59,0.04,0.24,disintegrations_per_minute_per_gram,168.9,10.4
Noe_et_al_2016,Turkey_Creek,W4,single set of methods,11,12,0.07,0.182,1.32,0.04,NA,disintegrations_per_minute_per_gram,NA,NA
Noe_et_al_2016,Turkey_Creek,W4,single set of methods,12,13,0.12,0.149,1.35,0.03,NA,disintegrations_per_minute_per_gram,NA,NA
Noe_et_al_2016,Turkey_Creek,W4,single set of methods,13,14,0.14,0.174,1.34,0.04,NA,disintegrations_per_minute_per_gram,NA,NA
Noe_et_al_2016,Turkey_Creek,W4,single set of methods,14,15,0.1,0.16899999999999998,1.4,0.03,NA,disintegrations_per_minute_per_gram,NA,NA
