study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,ra226_activity,ra226_activity_se,ra226_unit,c14_age,c14_age_se,c14_material,c14_notes,delta_c13,age_min,age_max
Kemp_et_al_2024,TP,1,single set of methods,24,26,NA,1.14,NA,5.25,1.99,bequerelsPerKilogram,24.36,3.32,31.53,3.32,bequerelsPerKilogram,7.17,4.69,bequerelsPerKilogram,NA,NA,NA,NA,NA,NA,NA
Kemp_et_al_2024,TP,1,single set of methods,26,28,NA,1.14,NA,2.94,2.99,bequerelsPerKilogram,16.5,2.49,23.67,2.49,bequerelsPerKilogram,7.17,3.52,bequerelsPerKilogram,NA,NA,NA,NA,NA,NA,NA
Kemp_et_al_2024,TP,1,single set of methods,28,30,NA,1.14,NA,NA,NA,NA,14.46,2.67,21.63,2.67,bequerelsPerKilogram,7.17,3.78,bequerelsPerKilogram,NA,NA,NA,NA,NA,NA,NA
Kemp_et_al_2023,TP,1,single set of methods,32,32,OS 70393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,14,organic,Plant macrofossil remains identifiable to the species level.,NA,NA,NA
Kemp_et_al_2023,TP,1,single set of methods,32,32,OS 70422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,17,organic,Plant macrofossil remains identifiable to the species level.,NA,NA,NA
Kemp_et_al_2024,TP,1,single set of methods,32,34,OS 70422,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.3,NA,NA
Kemp_et_al_2023,TP,1,single set of methods,35,35,OS70424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,16,organic,Plant macrofossil remains identifiable to the species level.,NA,NA,NA
Kemp_et_al_2023,TP,1,single set of methods,47,47,OS 70423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,16,organic,Plant macrofossil remains identifiable to the species level.,NA,NA,NA
Kemp_et_al_2023,TP,1,single set of methods,49,49,OS 70394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,19,organic,Plant macrofossil remains identifiable to the species level.,NA,NA,NA
Kemp_et_al_2023,TP,1,single set of methods,58,58,OS 66915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,30,organic,Juncus roemerianus sub-surface stem,NA,NA,NA
Kemp_et_al_2023,TP,1,single set of methods,66,66,OS 59677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,30,organic,"Distichlis spicata sub-surface stem,",NA,NA,NA
Kemp_et_al_2023,TP,1,single set of methods,77,77,OS 59728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,35,organic,Juncus roemerianus sub-surface stem,NA,NA,NA
Kemp_et_al_2024,TP,1,single set of methods,208,210,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kemp_et_al_2024,TP,1,single set of methods,214,216,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kemp_et_al_2024,TP,1,single set of methods,218,220,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kemp_et_al_2024,TP,1,single set of methods,224,226,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
