study_id,site_id,core_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_activity_se,excess_pb210_activity,excess_pb210_activity_se,marker_date,marker_date_se,marker_type,marker_notes,method_id,cs137_unit,pb210_unit
Kemp_et_al_2020,Barnegat_Bay,BB1B,28,30,NA,0.257599961,0.344787944,0,0,0.19,0.27,NA,NA,NA,NA,single set of methods,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram
Kemp_et_al_2020,Barnegat_Bay,BB1B,30,32,NA,0.278597795,0.367621333,0,0,0.08,0.19,NA,NA,NA,NA,single set of methods,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram
Kemp_et_al_2020,Barnegat_Bay,BB1B,30,36,BB1_horizon7,NA,NA,NA,NA,NA,NA,1875,5,pollution,Pb concentration - Start of national Pb production,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,32,34,NA,0.270231334,0.36300685,0,0,0,0.17,NA,NA,NA,NA,single set of methods,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram
Kemp_et_al_2020,Barnegat_Bay,BB1B,32,36,BB1_horizon8,NA,NA,NA,NA,NA,NA,1857.5,5,pollution,206Pb:207Pb - Peak contribution of UMV,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,34,36,NA,0.248791317,0.415756728,0,0,0,0.18,NA,NA,NA,NA,single set of methods,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram
Kemp_et_al_2020,Barnegat_Bay,BB1B,36,38,NA,0.267280546,0.373953465,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,38,40,NA,0.297621288,0.370012999,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,40,42,NA,0.413298166,0.224025,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,40,42,BB1_horizon9,NA,NA,NA,NA,NA,NA,1827,5,pollution,206Pb:207Pb - Start of UMV Pb production,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,42,44,NA,0.398643685,0.196507096,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,44,46,NA,0.360236705,0.19885,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,46,48,NA,0.365842176,0.175024975,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,48,50,NA,0.289504512,0.250462338,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,50,52,NA,0.26082512,0.2787,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,52,54,NA,0.210921559,0.332383879,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,54,56,NA,0.192396182,0.340134356,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,56,58,NA,0.225804255,0.340779052,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,58,60,NA,0.277466999,0.290970903,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,60,62,NA,0.403111272,0.182031679,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,62,64,NA,0.447163534,0.192404747,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,64,66,NA,0.438710401,0.200675,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,66,68,NA,0.422352154,0.210234371,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,68,70,NA,0.284469901,0.363611375,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,70,72,NA,0.290339346,0.338648405,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,72,74,NA,0.308400472,0.303625,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,74,76,NA,0.29917353,0.329470529,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,76,78,NA,0.297913905,0.337282247,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,78,80,NA,0.256477311,0.383935041,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,80,82,NA,0.221008885,0.427000275,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,82,84,NA,0.256366716,0.388223827,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,84,86,NA,0.26845046,0.378333792,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,86,88,NA,0.26076748,0.399085091,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,88,90,NA,0.255988312,0.408126546,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,90,92,NA,0.251241247,0.404653604,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,92,94,NA,0.254683681,0.442220223,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA
