"study_id","site_id","core_id","depth_min","depth_max","dry_bulk_density","fraction_carbon","depth_interval_notes"
"NRCS","Tuckerton","S2019NJ029008",209,220,0.48,0.0857,NA
"NRCS","Tuckerton","S2019NJ029004",0,10,0.13,0.2631,NA
"NRCS","Tuckerton","S2019NJ029004",10,20,0.12,0.249,NA
"NRCS","Tuckerton","S2019NJ029004",20,31,0.22,0.1364,NA
"NRCS","Tuckerton","S2019NJ029004",31,44,0.26,0.0827,NA
"NRCS","Tuckerton","S2019NJ029004",44,97,0.55,0.07490000000000001,NA
"NRCS","Tuckerton","S2019NJ029004",97,113,0.34,0.1186,NA
"NRCS","Tuckerton","S2019NJ029004",113,156,0.28,0.11779999999999999,NA
"NRCS","Tuckerton","S2019NJ029004",156,176,0.4,0.0924,NA
"NRCS","Tuckerton","S2019NJ029004",176,197,0.46,0.0708,NA
"NRCS","Tuckerton","S2019NJ029004",197,212,0.35,0.08349999999999999,NA
"NRCS","Tuckerton","S2019NJ029004",212,226,0.44,0.0579,NA
"NRCS","Tuckerton","S2019NJ029003",0,13,0.26,0.1607,NA
"NRCS","Tuckerton","S2019NJ029003",13,23,0.48,0.1193,NA
"NRCS","Tuckerton","S2019NJ029003",23,40,0.19,0.1079,NA
"NRCS","Tuckerton","S2019NJ029003",40,69,0.45,0.0745,NA
"NRCS","Tuckerton","S2019NJ029003",69,86,0.66,0.0475,NA
"NRCS","Tuckerton","S2019NJ029003",86,116,0.32,0.1112,NA
"NRCS","Tuckerton","S2019NJ029003",116,132,0.29,0.1061,NA
"NRCS","Tuckerton","S2019NJ029003",132,158,0.31,0.1295,NA
"NRCS","Tuckerton","S2019NJ029003",158,178,0.25,0.20350000000000001,NA
"NRCS","Tuckerton","S2019NJ029003",178,198,0.21,0.2323,NA
"NRCS","Tuckerton","S2019NJ029003",198,211,0.22,0.16260000000000002,NA
"NRCS","Tuckerton","S2019NJ029003",211,232,0.34,0.1066,NA
"NRCS","Tuckerton","S2019NJ029003",232,247,0.42,0.0677,NA
"NRCS","Dividing Creek","S2019NJ011003",0,22,0.29,0.1547,NA
"NRCS","Dividing Creek","S2019NJ011003",22,41,0.21,0.1751,NA
"NRCS","Dividing Creek","S2019NJ011003",41,66,0.44,0.0535,NA
"NRCS","Dividing Creek","S2019NJ011003",66,90,0.43,0.053,NA
"NRCS","Dividing Creek","S2019NJ011003",90,124,0.54,0.04,NA
"NRCS","Dividing Creek","S2019NJ011003",124,176,0.615,0.038599999999999995,NA
"NRCS","Dividing Creek","S2019NJ011003",176,236,0.615,0.0406,NA
"NRCS","Maurice River","S2019NJ011001",0,18,1.06,0.0756,NA
"NRCS","Maurice River","S2019NJ011001",18,30,0.24,0.0677,NA
"NRCS","Maurice River","S2019NJ011001",30,44,0.29,0.0426,NA
"NRCS","Maurice River","S2019NJ011001",44,86,0.34,0.035699999999999996,NA
"NRCS","Maurice River","S2019NJ011001",86,102,0.21,0.0906,NA
"NRCS","Maurice River","S2019NJ011001",102,127,0.19,0.0639,"Only sampled to 172"
"NRCS","Maurice River","S2019NJ011001",127,163,0.28,0.046799999999999994,NA
"NRCS","Maurice River","S2019NJ011001",163,172,0.25,0.0394,NA
"NRCS","Fortescue","S2019NJ011002",0,16,0.29,0.107,NA
"NRCS","Fortescue","S2019NJ011002",16,31,0.25,0.1301,NA
"NRCS","Fortescue","S2019NJ011002",31,61,0.33,0.1065,NA
"NRCS","Fortescue","S2019NJ011002",61,74,0.18,0.1573,NA
"NRCS","Fortescue","S2019NJ011002",74,89,0.33,0.12,NA
"NRCS","Fortescue","S2019NJ011002",89,128,0.21,0.2296,NA
"NRCS","Fortescue","S2019NJ011002",128,147,0.13,0.2705,NA
"NRCS","Fortescue","S2019NJ011002",147,155,1.32,0.0462,NA
"NRCS","Fortescue","S2019NJ011002",155,163,1.7,0.0084,NA
"NRCS","Fortescue","S2019NJ011002",163,184,1.38,0.031400000000000004,NA
"NRCS","Fortescue","S2019NJ011002",184,207,1.49,0.0106,NA
"NRCS","Fortescue","S2019NJ011002",207,229,1.39,0.0031,NA
"NRCS","Fortescue","S2019NJ011002",229,253,1.8,0.0026,NA
"NRCS","Ring Island","S2019NJ009001",0,29,0.25,0.15310000000000001,NA
"NRCS","Ring Island","S2019NJ009001",29,53,0.3,0.1012,NA
"NRCS","Ring Island","S2019NJ009001",53,74,0.36,0.107,NA
"NRCS","Ring Island","S2019NJ009001",74,89,0.35,0.08560000000000001,NA
"NRCS","Ring Island","S2019NJ009001",89,137,0.62,0.0478,NA
"NRCS","Ring Island","S2019NJ009001",137,152,0.79,0.0311,NA
"NRCS","Ring Island","S2019NJ009001",152,164,1.35,0.0031,NA
"NRCS","Ring Island","S2019NJ009001",164,188,1.19,7.000000000000001e-4,NA
"NRCS","Ring Island","S2019NJ009001",188,223,1.22,3e-4,NA
"NRCS","Avalon","S2019NJ009002",0,11,0.22,0.1643,NA
"NRCS","Avalon","S2019NJ009002",11,44,0.16,0.18109999999999998,NA
"NRCS","Avalon","S2019NJ009002",44,63,0.24,0.11019999999999999,NA
"NRCS","Avalon","S2019NJ009002",63,79,0.41,0.0633,NA
"NRCS","Avalon","S2019NJ009002",79,107,0.22,0.1128,NA
"NRCS","Avalon","S2019NJ009002",107,114,0.5,0.061500000000000006,NA
"NRCS","Avalon","S2019NJ009002",114,183,0.36,0.0746,NA
"NRCS","Avalon","S2019NJ009002",183,211,0.47,0.0717,NA
"NRCS","Avalon","S2019NJ009002",211,262,0.68,0.0492,NA
