study_id,site_id,core_id,year,core_notes,latitude,longitude,position_method,elevation,elevation_datum,elevation_method,vegetation_class,inundation_class,month,day
Peck_et_al_2020,Salmon River,SROR1509_01PU,2015,Abbreviated core ID: SR01,45.025,-123.97,handheld,2.37,NAVD88,RTK,emergent,high,9,9
Peck_et_al_2020,Salmon River,SROR1509_02PU,2015,Abbreviated core ID: SR02,45.026,-123.9719,handheld,2.43,NAVD88,RTK,emergent,high,9,9
Peck_et_al_2020,Salmon River,SROR1509_03PU,2015,Abbreviated core ID: SR03,45.0264,-123.9758,handheld,2.46,NAVD88,RTK,emergent,high,9,9
Peck_et_al_2020,Salmon River,SROR1509_04PU,2015,Abbreviated core ID: SR04,45.0239,-123.9731,handheld,2.62,NAVD88,RTK,emergent,high,9,9
Peck_et_al_2020,Nehalem,NBOR1606_01PU,2016,Abbreviated core ID: NB01,45.69017,-123.89616,RTK,1.09,NAVD88,RTK,mudflat,NA,6,21
Peck_et_al_2020,Nehalem,NBOR1606_02PU,2016,Abbreviated core ID: NB02,45.6904,-123.89472,RTK,1.55,NAVD88,RTK,emergent,low,6,21
Peck_et_al_2020,Nehalem,NBOR1606_03PU,2016,Abbreviated core ID: NB03,45.68991,-123.88976,RTK,2.75,NAVD88,RTK,emergent,high,6,21
Peck_et_al_2020,Nehalem,NBOR1606_04PU,2016,Abbreviated core ID: NB04,45.69814,-123.88978,RTK,2.63,NAVD88,RTK,emergent,high,6,21
Peck_et_al_2020,Nehalem,NBOR1606_05PU,2016,Abbreviated core ID: NB05,45.69754,-123.89879,RTK,1.96,NAVD88,RTK,emergent,low,6,21
Peck_et_al_2020,Nehalem,NBOR1606_06PU,2016,Abbreviated core ID: NB06,45.70291,-123.90456,RTK,1.27,NAVD88,RTK,mudflat,NA,6,22
Peck_et_al_2020,Nehalem,NBOR1606_07PU,2016,Abbreviated core ID: NB07,45.70421,-123.90199,RTK,1.92,NAVD88,RTK,emergent,low,6,22
Peck_et_al_2020,Nehalem,NBOR1606_08PU,2016,Abbreviated core ID: NB08,45.70323,-123.89372,RTK,2.38,NAVD88,RTK,emergent,high,6,22
Peck_et_al_2020,Nehalem,NBOR1609_01PU,2016,Abbreviated core ID: NB09,45.7033,-123.8956,handheld,2.41,NAVD88,RTK,emergent,high,9,14
Peck_et_al_2020,Nehalem,NBOR1609_02PU,2016,Abbreviated core ID: NB10,45.7022,-123.8983,handheld,2.33,NAVD88,RTK,emergent,high,9,14
Peck_et_al_2020,Nehalem,NBOR1609_03PU,2016,Abbreviated core ID: NB11,45.7011,-123.8936,handheld,2.44,NAVD88,RTK,emergent,high,9,14
Peck_et_al_2020,Nehalem,NBOR1609_04PU,2016,Abbreviated core ID: NB12,45.7036,-123.9,handheld,2.16,NAVD88,RTK,emergent,high,9,14
Peck_et_al_2020,Alsea,ABOR1702_01PU,2017,Abbreviated core ID: AB01,44.42655,-124.03931,RTK,2.47,NAVD88,RTK,emergent,high,2,17
Peck_et_al_2020,Alsea,ABOR1702_02PU,2017,Abbreviated core ID: AB02,44.42834,-124.04073,RTK,2.15,NAVD88,RTK,emergent,low,2,17
Peck_et_al_2020,Alsea,ABOR1702_03PU,2017,Abbreviated core ID: AB03,44.4292,-124.04055,RTK,1.42,NAVD88,RTK,mudflat,NA,2,17
Peck_et_al_2020,Alsea,ABOR1702_04PU,2017,Abbreviated core ID: AB04,44.42488,-124.03357,RTK,1.38,NAVD88,RTK,mudflat,NA,2,17
Peck_et_al_2020,Alsea,ABOR1702_05PU,2017,Abbreviated core ID: AB05,44.4238,-124.03346,RTK,2.32,NAVD88,RTK,emergent,low,2,17
Peck_et_al_2020,Alsea,ABOR1702_06PU,2017,Abbreviated core ID: AB06,44.42208,-124.03351,RTK,2.54,NAVD88,RTK,emergent,high,2,17
Peck_et_al_2020,Alsea,ABOR1702_07PU,2017,Abbreviated core ID: AB07,44.42008,-124.01397,RTK,2.49,NAVD88,RTK,emergent,high,2,18
Peck_et_al_2020,Alsea,ABOR1702_08PU,2017,Abbreviated core ID: AB08,44.42109,-124.01403,RTK,2.03,NAVD88,RTK,emergent,low,2,18
Peck_et_al_2020,Alsea,ABOR1702_09PU,2017,Abbreviated core ID: AB09,44.42109,-124.0142,RTK,1.66,NAVD88,RTK,mudflat,NA,2,18
Peck_et_al_2020,Coquille,CMOR1706_01PU,2017,Abbreviated core ID: CM01,43.1454,-124.39635,RTK,2.22,NAVD88,RTK,emergent,mid,6,2
Peck_et_al_2020,Coquille,CMOR1706_02PU,2017,Abbreviated core ID: CM02,43.14415,-124.39651,RTK,2.44,NAVD88,RTK,emergent,high,6,2
Peck_et_al_2020,Coquille,CMOR1706_03PU,2017,Abbreviated core ID: CM03,43.14116,-124.40072,RTK,2.35,NAVD88,RTK,emergent,high,6,2
Peck_et_al_2020,Coquille,CMOR1706_04PU,2017,Abbreviated core ID: CM04,43.14249,-124.40153,RTK,2.28,NAVD88,RTK,emergent,high,6,2
Peck_et_al_2020,Coquille,CMOR1706_05PU,2017,Abbreviated core ID: CM05,43.1394,-124.40437,RTK,1.64,NAVD88,RTK,emergent,low,6,2
Peck_et_al_2020,Coquille,CMOR1706_06PU,2017,Abbreviated core ID: CM06,43.13893,-124.40505,RTK,1.48,NAVD88,RTK,mudflat,NA,6,2
Peck_et_al_2020,Coquille,CMOR1706_07PU,2017,Abbreviated core ID: CM07,43.13502,-124.40286,RTK,1.47,NAVD88,RTK,mudflat,NA,6,2
Peck_et_al_2020,Coquille,CMOR1706_08PU,2017,Abbreviated core ID: CM08,43.13018,-124.40729,RTK,2.11,NAVD88,RTK,emergent,mid,6,3
Peck_et_al_2020,Coquille,CMOR1706_09PU,2017,Abbreviated core ID: CM09,43.13409,-124.40674,RTK,1.66,NAVD88,RTK,emergent,low,6,3
Peck_et_al_2020,Coquille,CMOR1706_10PU,2017,Abbreviated core ID: CM10,43.13622,-124.40226,RTK,1.82,NAVD88,RTK,emergent,low,6,3
Peck_et_al_2020,Netarts,NTOR1709_01PU,2017,Abbreviated core ID: NT05,45.3722,-123.9643,handheld,2.77,NAVD88,RTK,emergent,high,9,13
Peck_et_al_2020,Netarts,NTOR1709_02PU,2017,Abbreviated core ID: NT06,45.3713,-123.9652,handheld,2.78,NAVD88,RTK,emergent,high,9,13
Peck_et_al_2020,Netarts,NTOR1709_03PU,2017,Abbreviated core ID: NT07,45.37,-123.9661,handheld,2.68,NAVD88,RTK,emergent,high,9,13
Peck_et_al_2020,Netarts,NTOR1709_04PU,2017,Abbreviated core ID: NT08,45.3691,-123.9667,handheld,2.74,NAVD88,RTK,emergent,high,9,13
Peck_et_al_2020,Netarts,NTOR1802_01PU,2018,Abbreviated core ID: NT09,45.36942,-123.96323,RTK,2.81,NAVD88,RTK,emergent,high,2,23
Peck_et_al_2020,Netarts,NTOR1802_02PU,2018,Abbreviated core ID: NT10,45.37128,-123.96183,RTK,2.65,NAVD88,RTK,emergent,high,2,23
Peck_et_al_2020,Netarts,NTOR1802_03PU,2018,Abbreviated core ID: NT11,45.37168,-123.96127,RTK,1.71,NAVD88,RTK,mudflat,NA,2,23
Peck_et_al_2020,Netarts,NTOR1802_04PU,2018,Abbreviated core ID: NT12,45.37317,-123.96287,RTK,1.6,NAVD88,RTK,mudflat,NA,2,23
Peck_et_al_2020,Netarts,NTOR1802_05PU,2018,Abbreviated core ID: NT13,45.37262,-123.96335,RTK,2.77,NAVD88,RTK,emergent,high,2,23
Peck_et_al_2020,Netarts,NTOR1802_06PU,2018,Abbreviated core ID: NT14,45.36804,-123.96238,RTK,2.84,NAVD88,RTK,emergent,high,2,23
Peck_et_al_2020,Netarts,NTOR1802_07PU,2018,Abbreviated core ID: NT15,45.3673,-123.96271,RTK,2.99,NAVD88,RTK,scrub shrub,NA,2,23
Peck_et_al_2020,Netarts,NTOR1802_08PU,2018,Abbreviated core ID: NT16,45.3661,-123.96595,RTK,3.1,NAVD88,RTK,scrub shrub,NA,2,23
Peck_et_al_2020,Netarts,NTOR1802_09PU,2018,Abbreviated core ID: NT17,45.37075,-123.95888,RTK,2.8,NAVD88,RTK,emergent,high,2,23
Peck_et_al_2020,Netarts,NTOR1802_10PU,2018,Abbreviated core ID: NT18,45.37054,-123.95982,RTK,1.46,NAVD88,RTK,mudflat,NA,2,23
Peck_et_al_2020,Salmon River,SROR1809_01PU,2018,Abbreviated core ID: SR05,45.029,-123.9788,handheld,2.49,NAVD88,RTK,emergent,high,9,13
Peck_et_al_2020,Salmon River,SROR1809_02PU,2018,Abbreviated core ID: SR06,45.0286,-123.9786,handheld,2.5,NAVD88,RTK,emergent,high,9,13
Peck_et_al_2020,Salmon River,SROR1809_03PU,2018,Abbreviated core ID: SR07,45.0268,-123.9782,handheld,2.5,NAVD88,RTK,emergent,high,9,13
Peck_et_al_2020,Salmon River,SROR1809_04PU,2018,Abbreviated core ID: SR08,45.025,-123.9752,handheld,2.51,NAVD88,RTK,emergent,high,9,13
