study_id,site_id,core_id,latitude,longitude,position_method,elevation,elevation_datum,elevation_method,salinity_class,vegetation_class,inundation_class,core_length_flag,year,month,day
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_B_High,38.16315,-122.554428,handheld,NA,NA,NA,saline,emergent,high,core depth limited by length of corer,2009,3,12
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_B_Low,38.158771,-122.553676,RTK,1.92452,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer,2009,3,26
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_B_Mid,38.16128,-122.554058,handheld,NA,NA,NA,saline,emergent,mid,core depth limited by length of corer,2009,3,12
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_A_High,38.191488,-122.013634,RTK,2.00406,NAVD88,RTK,brackish,emergent,high,core depth limited by length of corer,2010,3,1
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_A_Low,38.18954,-122.011907,RTK,1.99336,NAVD88,RTK,brackish,emergent,low,core depth limited by length of corer,2010,8,10
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_A_Mid,38.190525,-122.012788,RTK,1.96279,NAVD88,RTK,brackish,emergent,mid,core depth limited by length of corer,2010,3,1
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_B_High,38.202337,-122.036942,RTK,1.93257,NAVD88,RTK,brackish,emergent,high,core depth limited by length of corer,2010,4,9
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_B_Low,38.202419,-122.039424,RTK,1.98368,NAVD88,RTK,brackish,emergent,low,core depth limited by length of corer,2010,4,9
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_B_Mid,38.202247,-122.038437,RTK,1.97047,NAVD88,RTK,brackish,emergent,mid,core depth limited by length of corer,2010,4,9
Callaway_et_al_2019,Whale's_Tail,Whales_Tail_A_High,37.600374,-122.142273,RTK,2.01727,NAVD88,RTK,saline,emergent,high,core depth limited by length of corer,2009,6,19
Callaway_et_al_2019,Whale's_Tail,Whales_Tail_A_Low,37.600394,-122.143951,RTK,2.11721,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer,2009,6,19
Callaway_et_al_2019,Whale's_Tail,Whales_Tail_A_Mid,37.600351,-122.14556,RTK,2.18632,NAVD88,RTK,saline,emergent,mid,core depth limited by length of corer,2009,6,19
Callaway_et_al_2019,Whale's_Tail,Whales_Tail_B_High,37.587746,-122.141849,RTK,1.99464,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer,2009,6,30
Callaway_et_al_2019,Whale's_Tail,Whales_Tail_B_Low,37.589494,-122.145483,RTK,2.09849,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer,2009,6,30
Callaway_et_al_2019,Whale's_Tail,Whales_Tail_B_Mid,37.588646,-122.143571,RTK,2.0321,NAVD88,RTK,saline,emergent,mid,core depth limited by length of corer,2009,6,30
