See metadata for column descriptions and units.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Below, we've included several statements concerning the ethical use of this dataset. We've adopted the following statement regarding data archiving and sharing from Wright et al. 2004: ""The authors believe that the archiving and sharing of large datasets is important for advancing ecology as a discipline. At the same time, for data sharing to be successful and sustainable, it is imperative that all those involved in data acquisition, archiving and use do so in an ethical manner. In particular, we believe that those individuals whose time, efforts and intellect designed and created the studies are acknowledged appropriately."" Text in quotation from: Wright, I. J., P. B. Reich, M. Westoby, D. D. Ackerly, Z. Baruch, F. Bongers, J. Cavender-Bares, T. Chapin, J. H. Cornelissen, and M. Diemer. 2004. The worldwide leaf economics spectrum. Nature 428:821-827.",,,,,,,,,,,,,,,,,,,,,,,
"As a condition for use of this data set, users agree:",,,,,,,,,,,,,,,,,,,,,,,
(1) To notify the lead investigator (Michael Johannes Osland) if the dataset is to be used in any publication;,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"(2) To provide formal recognition that, at our discretion, may include co-authorship or acknowledgements on publications;",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"(3) To recognise that we may be using these data for scientific analyses, papers or publications that are currently planned or in preparation, and that such activities have precedence over any that that you might wish to prepare.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
State,Habitat,Typeid,Site,Depth,Depthbegin,Sample_all,BD,Moisture,SOM,SIC,TC,TN,Sand, Clay,Silt,SOMvol,SICMvol,TCvol,TNvol,SOMarea,SICMarea,TCarea,TNarea
FL,MF,4,FLMF4,15-May,5,FLMF4-5,0.24,66.58,30.37,3.5,13.1,0.923,80.6,10.2,8,7.142,0.823,0.03081,0.00217,714.157,82.316,3.081,0.217
FL,MF,4,FLMF4,15-30,15,FLMF4-15,0.26,61.12,22.31,2.66,9.728,0.583,82.19,9.8,9.2,5.875,0.7,0.02562,0.00153,881.287,104.997,3.844,0.23
FL,MF,5,FLMF5,0-5,0,FLMF5-0,0.22,59.48,27.93,4.02,11.494,0.897,74.01,18.99,7,6.061,0.872,0.02494,0.00195,303.028,43.595,1.247,0.097
FL,MF,5,FLMF5,15-May,5,FLMF5-5,0.29,59.92,24.23,3.82,9.871,0.723,74.81,18.8,4.6,6.94,1.094,0.02828,0.00207,694.007,109.403,2.828,0.207
FL,MF,5,FLMF5,15-30,15,FLMF5-15,0.31,60.16,23.71,3.62,8.925,0.567,77.19,18.2,6.4,7.231,1.103,0.02722,0.00173,1084.669,165.461,4.083,0.259
FL,MF,6,FLMF6,0-5,0,FLMF6-0,0.24,65.59,31.43,4.11,13.811,1.046,81.59,11.61,6.81,7.54,0.986,0.03313,0.00251,376.994,49.285,1.656,0.125
FL,MF,6,FLMF6,15-May,5,FLMF6-5,0.26,66.56,24.62,1.98,12.952,0.875,82.4,11.4,3.6,6.436,0.517,0.03386,0.00229,643.637,51.735,3.386,0.229
FL,MF,6,FLMF6,15-30,15,FLMF6-15,0.4,47.16,22.13,3.43,9.372,0.581,85.6,10.8,6.2,8.855,1.373,0.03751,0.00233,1328.215,205.973,5.626,0.349
FL,MF,7,FLMF7,0-5,0,FLMF7-0,0.22,57.81,29.25,3.27,11.434,0.912,81.19,11.21,7.6,6.311,0.706,0.02467,0.00197,315.556,35.291,1.234,0.098
FL,MF,7,FLMF7,15-May,5,FLMF7-5,0.31,53.07,32.09,2.67,9.651,0.781,82.4,10.4,1.9,10.076,0.838,0.0303,0.00245,1007.577,83.769,3.03,0.245
FL,MF,7,FLMF7,15-30,15,FLMF7-15,0.35,51.36,29.48,2.74,8.828,0.673,95.5,2.6,7.2,10.203,0.949,0.03056,0.00233,1530.453,142.423,4.584,0.349
FL,MF,8,FLMF8,0-5,0,FLMF8-0,0.13,68.6,36.24,3.12,15.828,1.23,81.01,11.39,7.6,4.63,0.399,0.02022,0.00157,231.492,19.929,1.011,0.079
FL,MF,8,FLMF8,15-May,5,FLMF8-5,0.21,68.15,32.62,3.72,13.66,1.005,81.8,10.6,8,6.93,0.789,0.02902,0.00214,692.96,78.936,2.902,0.214
FL,MF,8,FLMF8,15-30,15,FLMF8-15,0.27,62.2,28.83,3.82,11.27,0.775,82.2,9.8,7.6,7.836,1.039,0.03063,0.00211,1175.36,155.832,4.595,0.316
FL,MF,9,FLMF9,0-5,0,FLMF9-0,0.16,59.38,31.99,3.13,11.287,0.987,81.4,10.2,8.4,5.245,0.514,0.0185,0.00162,262.24,25.675,0.925,0.081
FL,MF,9,FLMF9,15-May,5,FLMF9-5,0.29,59.47,32.81,2.95,11.428,0.945,83,9.8,8.39,9.628,0.867,0.03353,0.00277,962.815,86.658,3.353,0.277
FL,MF,9,FLMF9,15-30,15,FLMF9-15,0.3,58.25,29.05,4.02,10.665,0.709,81.81,9.79,7.2,8.853,1.226,0.0325,0.00216,1327.927,183.83,4.875,0.324
FL,SM,1,FLSM1,0-5,0,FLSM1-0,0.2,68.52,33.53,3.64,14.419,1.16,81.2,10.8,8,6.822,0.741,0.02934,0.00236,341.083,37.058,1.467,0.118
FL,SM,1,FLSM1,15-May,5,FLSM1-5,0.25,66.33,34.72,3.71,12.536,0.99,85.2,10.8,5.4,8.605,0.919,0.03107,0.00245,860.529,91.942,3.107,0.245
FL,SM,1,FLSM1,15-30,15,FLSM1-15,0.31,62.95,35.17,3.52,11.34,0.852,83.59,11.01,4,10.747,1.075,0.03465,0.0026,1612.047,161.225,5.198,0.39
FL,SM,2,FLSM2,0-5,0,FLSM2-0,0.13,73.52,23.92,4.14,14.907,1.365,81.59,11.21,7.2,3.03,0.525,0.01888,0.00173,151.51,26.237,0.944,0.086
FL,SM,2,FLSM2,15-May,5,FLSM2-5,0.2,74.99,35.91,3.96,14.98,1.236,82.4,10.4,6.4,7.107,0.783,0.02964,0.00245,710.689,78.349,2.964,0.245
FL,SM,2,FLSM2,15-30,15,FLSM2-15,0.21,72.84,44.97,3.39,13.238,0.958,83.19,10.41,7.2,9.354,0.706,0.02754,0.00199,1403.144,105.848,4.13,0.299
FL,SM,3,FLSM3,0-5,0,FLSM3-0,0.15,64.43,29.24,3.9,12.114,1.081,82.79,10.61,6.6,4.477,0.598,0.01855,0.00165,223.856,29.892,0.927,0.083
FL,SM,3,FLSM3,15-May,5,FLSM3-5,0.25,65.19,26.97,3.58,11.714,0.957,83.61,10.39,4.4,6.663,0.885,0.02894,0.00236,666.346,88.542,2.894,0.236
FL,SM,3,FLSM3,15-30,15,FLSM3-15,0.43,40.21,12.75,1.88,5.204,0.354,86,9.6,6,5.545,0.819,0.02263,0.00154,831.752,122.923,3.394,0.231
LA,MF,1,LAMF1,0-5,0,LAMF1-0,0.36,55.44,11.23,2.52,4.522,0.254,78.39,9.6,12,4.077,0.916,0.01641,0.00092,203.849,45.799,0.821,0.046
LA,MF,1,LAMF1,15-May,5,LAMF1-5,0.58,54.07,9.64,2.39,3.857,0.215,78.39,9.6,11.61,5.634,1.399,0.02253,0.00126,563.394,139.904,2.253,0.126
LA,MF,1,LAMF1,15-30,15,LAMF1-15,0.66,56.04,9.52,2.57,3.623,0.183,79.18,9.21,12.01,6.332,1.712,0.02409,0.00122,949.836,256.84,3.614,0.182
LA,MF,2,LAMF2,0-5,0,LAMF2-0,0.5,48.74,9.82,2.33,3.791,0.235,78.39,9.2,12.41,4.953,1.176,0.01912,0.00118,247.648,58.777,0.956,0.059
LA,MF,2,LAMF2,15-May,5,LAMF2-5,0.65,51.8,12.23,2.78,4.786,0.268,78.4,9.2,12.81,7.92,1.802,0.03099,0.00174,792,180.216,3.099,0.174
LA,MF,2,LAMF2,15-30,15,LAMF2-15,1.01,41.92,6.01,1.98,2.03,0.112,77.98,9.21,12.4,6.062,2,0.02046,0.00113,909.345,299.954,3.07,0.17
LA,MF,3,LAMF3,0-5,0,LAMF3-0,0.51,54.82,11.41,2.41,4.653,0.336,78.42,9.19,12.39,5.805,1.227,0.02368,0.00171,290.25,61.353,1.184,0.086
LA,MF,3,LAMF3,15-May,5,LAMF3-5,0.62,51.41,10.16,2.45,3.907,0.264,78.81,8.8,12.4,6.262,1.508,0.02408,0.00162,626.212,150.821,2.408,0.162
LA,MF,3,LAMF3,15-30,15,LAMF3-15,0.62,58.33,9.77,2.62,3.526,0.235,78.39,9.2,12.39,6.073,1.63,0.02192,0.00146,910.881,244.465,3.288,0.219
LA,MF,4,LAMF4,0-5,0,LAMF4-0,0.48,53.09,11.89,2.74,5.303,0.31,78.42,9.19,12.39,5.718,1.317,0.02552,0.00149,285.906,65.868,1.276,0.075
LA,MF,4,LAMF4,15-May,5,LAMF4-5,0.51,55.51,13.33,3.23,5.729,0.302,78.78,9.21,11.21,6.813,1.648,0.02928,0.00154,681.28,164.826,2.928,0.154
LA,MF,4,LAMF4,15-30,15,LAMF4-15,0.48,62.19,13.57,3.21,5.895,0.318,79.18,9.61,12.01,6.473,1.53,0.02812,0.00152,970.909,229.512,4.218,0.228
LA,MF,5,LAMF5,0-5,0,LAMF5-0,0.4,62.14,10.5,2.46,4.27,0.255,77.21,10.8,12,4.235,0.994,0.01722,0.00103,211.757,49.688,0.861,0.051
LA,MF,5,LAMF5,15-May,5,LAMF5-5,0.64,50.15,9.51,2.23,4.065,0.216,77.59,10.01,12.01,6.068,1.426,0.02594,0.00138,606.839,142.585,2.594,0.138
LA,MF,5,LAMF5,15-30,15,LAMF5-15,0.49,63.23,12.99,2.77,5.493,0.285,77.98,10.01,12.41,6.385,1.36,0.027,0.0014,957.771,203.975,4.051,0.21
LA,MF,6,LAMF6,0-5,0,LAMF6-0,0.56,53.11,10.7,3.15,3.664,0.238,77.6,9.6,12.8,5.993,1.768,0.02053,0.00133,299.646,88.377,1.026,0.067
LA,MF,6,LAMF6,15-May,5,LAMF6-5,0.64,50.58,10.24,2.84,3.975,0.249,77.61,10,12,6.546,1.816,0.02542,0.00159,654.622,181.639,2.542,0.159
LA,MF,6,LAMF6,15-30,15,LAMF6-15,0.44,60.01,14,3.63,5.554,0.306,77.2,10.8,12.4,6.225,1.615,0.0247,0.00136,933.799,242.222,3.706,0.204
LA,MF,7,LAMF7,0-5,0,LAMF7-0,0.31,66.96,13.37,2.63,5.376,0.353,77.19,9.6,13.21,4.136,0.812,0.01663,0.00109,206.808,40.605,0.831,0.055
LA,MF,7,LAMF7,15-May,5,LAMF7-5,0.45,62.32,15.53,3.05,6.915,0.415,77.18,10.01,12.79,6.988,1.37,0.03111,0.00187,698.841,137.03,3.111,0.187
LA,MF,7,LAMF7,15-30,15,LAMF7-15,0.53,55.92,14,2.72,4.474,0.243,77.21,10,12.81,7.363,1.433,0.02353,0.00128,1104.377,214.927,3.529,0.191
LA,MF,8,LAMF8,0-5,0,LAMF8-0,0.28,64.33,14.86,2.62,6.216,0.391,77.6,10,12.4,4.162,0.733,0.01741,0.00109,208.115,36.649,0.871,0.055
LA,MF,8,LAMF8,15-May,5,LAMF8-5,0.42,64.15,19.79,2.74,8.831,0.532,77.99,10.4,12.41,8.387,1.163,0.03742,0.00225,838.7,116.315,3.742,0.225
LA,MF,8,LAMF8,15-30,15,LAMF8-15,0.42,59.04,12.3,2.95,4.569,0.25,77.19,10.41,11.6,5.168,1.242,0.0192,0.00105,775.134,186.257,2.88,0.158
LA,MF,9,LAMF9,0-5,0,LAMF9-0,0.49,52.35,12.89,2.22,5.676,0.331,78.01,9.6,12.39,6.265,1.077,0.02758,0.00161,313.265,53.841,1.379,0.08
LA,MF,9,LAMF9,15-May,5,LAMF9-5,0.37,65.49,20.88,3.24,9.496,0.5,78.79,9.6,12.39,7.705,1.197,0.03504,0.00184,770.494,119.697,3.504,0.184
LA,MF,9,LAMF9,15-30,15,LAMF9-15,0.51,54.81,12.69,2.79,4.616,0.239,78.01,9.6,11.6,6.528,1.435,0.02374,0.00123,979.218,215.225,3.561,0.185
LA,SM,1,LASM1,0-5,0,LASM1-0,0.39,56.07,6.95,2.22,2.442,0.169,77.99,10.01,12.01,2.722,0.872,0.00957,0.00066,136.113,43.58,0.479,0.033
LA,SM,1,LASM1,15-May,5,LASM1-5,1.07,48.91,9.05,2.31,3.412,0.2,78.01,9.4,12.39,9.691,2.476,0.03653,0.00214,969.057,247.558,3.653,0.214
LA,SM,1,LASM1,15-30,15,LASM1-15,0.26,59.03,5.66,2.12,1.715,0.104,77.61,10,12.6,1.486,0.557,0.00451,0.00027,222.91,83.522,0.676,0.041
LA,SM,3,LASM3,0-5,0,LASM3-0,0.47,59.95,11.46,2.41,4.839,0.321,78,9.6,12.4,5.423,1.139,0.0229,0.00152,271.135,56.946,1.145,0.076
LA,SM,3,LASM3,15-May,5,LASM3-5,0.35,66.17,13.54,2.8,5.702,0.34,79.58,9.61,11.99,4.688,0.968,0.01974,0.00118,468.759,96.754,1.974,0.118
LA,SM,3,LASM3,15-30,15,LASM3-15,0.29,73.11,19.15,2.94,8.484,0.527,78.41,9.6,10.81,5.459,0.837,0.02419,0.0015,818.872,125.581,3.628,0.225
LA,SM,4,LASM4,0-5,0,LASM4-0,0.31,65.32,12.56,2.36,4.526,0.324,78.38,9.61,12.01,3.881,0.729,0.01399,0.001,194.049,36.465,0.699,0.05
LA,SM,4,LASM4,15-May,5,LASM4-5,0.38,67.44,13.45,2.94,5.222,0.325,78.4,9.2,9.2,5.072,1.108,0.01969,0.00122,507.158,110.843,1.969,0.122
LA,SM,4,LASM4,15-30,15,LASM4-15,0.37,65.78,15.02,2.25,6.382,0.325,81.6,9.2,12.4,5.492,0.822,0.02334,0.00119,823.799,123.37,3.501,0.178
TX,MF,1,TXMF1,0-5,0,TXMF1-0,0.45,61.6,9.17,3.49,4.814,0.332,82.78,11.21,6.01,4.12,1.569,0.02163,0.00149,205.994,78.474,1.081,0.075
TX,MF,1,TXMF1,15-May,5,TXMF1-5,0.83,42.55,4.31,1.72,1.609,0.091,84,9.6,6.8,3.556,1.422,0.01328,0.00075,355.609,142.244,1.328,0.075
TX,MF,1,TXMF1,15-30,15,TXMF1-15,1.15,30.63,2.61,1.3,0.706,0.038,83.6,9.6,6.4,3.001,1.5,0.00813,0.00044,450.134,225.067,1.219,0.066
TX,MF,2,TXMF2,0-5,0,TXMF2-0,0.99,36.55,3.31,1.24,1.495,0.097,84.02,9.59,6.39,3.266,1.225,0.01477,0.00095,163.321,61.245,0.739,0.048
TX,MF,2,TXMF2,15-May,5,TXMF2-5,1.2,29.69,2.11,0.42,0.609,0.035,85.61,9.6,6,2.532,0.506,0.00731,0.00042,253.23,50.646,0.731,0.042
TX,MF,2,TXMF2,15-30,15,TXMF2-15,1.17,28.86,1.74,0.87,0.423,0.026,86.39,7.61,4.8,2.03,1.015,0.00493,0.00031,304.429,152.214,0.74,0.046
TX,MF,3,TXMF3,0-5,0,TXMF3-0,0.65,48.66,6.76,1.35,3.36,0.195,83.21,7.59,9.19,4.394,0.879,0.02185,0.00127,219.722,43.944,1.093,0.063
TX,MF,3,TXMF3,15-May,5,TXMF3-5,0.99,36.06,3.8,0.84,1.175,0.06,82.01,7.6,7.6,3.756,0.835,0.01162,0.00059,375.618,83.471,1.162,0.059
TX,MF,3,TXMF3,15-30,15,TXMF3-15,1.19,26.29,1.64,0.82,0.381,0.022,82.8,9.6,10.39,1.949,0.974,0.00453,0.00026,292.34,146.17,0.68,0.039
TX,MF,4,TXMF4,0-5,0,TXMF4-0,0.57,53.35,7.56,1.68,4.159,0.303,81.6,9.6,8.8,4.291,0.954,0.0236,0.00172,214.572,47.683,1.18,0.086
TX,MF,4,TXMF4,15-May,5,TXMF4-5,0.8,43.76,4.56,0.83,2.327,0.148,82.78,9.61,6.81,3.633,0.66,0.01852,0.00118,363.26,66.047,1.852,0.118
TX,MF,4,TXMF4,15-30,15,TXMF4-15,1.06,29.95,1.79,1.35,0.99,0.057,83.59,9.61,7.61,1.894,1.421,0.01046,0.0006,284.124,213.093,1.569,0.09
TX,MF,5,TXMF5,0-5,0,TXMF5-0,0.52,59.54,11.39,2.11,5.429,0.324,67.81,18.89,13.3,5.94,1.1,0.02831,0.00169,297.007,55.001,1.415,0.085
TX,MF,5,TXMF5,15-May,5,TXMF5-5,0.8,45.47,4.78,1.74,2.462,0.137,83.59,10.01,6,3.823,1.39,0.01968,0.0011,382.295,139.017,1.968,0.11
TX,MF,5,TXMF5,15-30,15,TXMF5-15,1.05,33.53,2.06,1.65,0.868,0.041,83.6,10.4,6.4,2.153,1.723,0.00909,0.00043,322.993,258.395,1.363,0.064
TX,MF,6,TXMF6,0-5,0,TXMF6-0,0.74,45.14,4.2,0.84,1.969,0.124,87.2,10,2.8,3.116,0.623,0.0146,0.00092,155.792,31.158,0.73,0.046
TX,MF,6,TXMF6,15-May,5,TXMF6-5,1.28,27.59,1.25,0.83,0.722,0.039,87.2,10,2.4,1.596,1.064,0.00921,0.0005,159.582,106.388,0.921,0.05
TX,MF,6,TXMF6,15-30,15,TXMF6-15,1.48,23.01,1.29,1.29,0.377,0.01,87.2,10.4,2.8,1.918,1.918,0.00559,0.00015,287.639,287.639,0.839,0.022
TX,MF,7,TXMF7,0-5,0,TXMF7-0,0.5,54.14,9.61,0.87,3.902,0.257,81.21,9.99,8.79,4.843,0.44,0.01967,0.0013,242.132,22.012,0.983,0.065
TX,MF,7,TXMF7,15-May,5,TXMF7-5,0.57,40.76,4.87,0.88,2.337,0.129,80.81,10.39,7.2,2.761,0.502,0.01326,0.00073,276.124,50.204,1.326,0.073
TX,MF,7,TXMF7,15-30,15,TXMF7-15,1.22,34.4,2.7,0.77,0.837,0.05,82.8,10,8.79,3.286,0.939,0.01018,0.00061,492.864,140.818,1.527,0.091
TX,MF,8,TXMF8,0-5,0,TXMF8-0,0.62,55.26,8.44,2.22,3.723,0.234,78.38,10.41,11.21,5.221,1.374,0.02302,0.00144,261.047,68.697,1.151,0.072
TX,MF,8,TXMF8,15-May,5,TXMF8-5,0.89,39.14,3.45,1.29,1.546,0.087,82.01,9.99,4.8,3.085,1.157,0.01383,0.00078,308.455,115.671,1.383,0.078
TX,MF,8,TXMF8,15-30,15,TXMF8-15,1.19,28.65,1.69,1.27,0.648,0.027,85.21,9.99,7.99,2.014,1.511,0.0077,0.00033,302.102,226.577,1.154,0.049
TX,MF,9,TXMF9,0-5,0,TXMF9-0,0.72,45.2,5.47,1.17,3.148,0.172,83.6,9.6,6.8,3.927,0.842,0.0226,0.00124,196.358,42.077,1.13,0.062
TX,MF,9,TXMF9,15-May,5,TXMF9-5,0.99,36.1,3.33,1.25,1.376,0.07,83.2,9.6,7.19,3.287,1.233,0.01357,0.00069,328.683,123.256,1.357,0.069
TX,MF,9,TXMF9,15-30,15,TXMF9-15,1.3,26.02,1.75,0.87,0.476,0.027,83.21,9.59,7.2,2.27,1.135,0.00619,0.00036,340.554,170.277,0.929,0.053
TX,SM,1,TXSM1,0-5,0,TXSM1-0,1.19,28.15,2.18,2.18,1.012,0.069,84.39,9.81,5.8,2.596,2.596,0.01203,0.00082,129.776,129.776,0.602,0.041
TX,SM,1,TXSM1,15-May,5,TXSM1-5,1.26,26.13,2.11,1.69,0.6,0.025,86.39,9.41,4,2.666,2.133,0.00758,0.00032,266.587,213.27,0.758,0.032
TX,SM,1,TXSM1,15-30,15,TXSM1-15,1.45,23.15,1.36,1.82,0.45,0.014,86.39,9.6,4.2,1.984,2.645,0.00654,0.0002,297.588,396.784,0.981,0.03
TX,SM,2,TXSM2,0-5,0,TXSM2-0,1.2,26.14,1.79,0.9,0.574,0.041,87.19,9.4,3.4,2.147,1.073,0.00687,0.00049,107.35,53.675,0.344,0.024
TX,SM,2,TXSM2,15-May,5,TXSM2-5,1.37,22.46,1.75,0.88,0.474,0.026,87.19,9.01,4.6,2.405,1.203,0.0065,0.00036,240.539,120.27,0.65,0.036
TX,SM,2,TXSM2,15-30,15,TXSM2-15,1.39,24.36,1.35,0.9,0.386,0.018,85.99,9.4,3.8,1.876,1.251,0.00538,0.00025,281.439,187.626,0.807,0.037
TX,SM,3,TXSM3,0-5,0,TXSM3-0,1.06,30.03,1.78,0.89,0.779,0.051,86.39,9.4,4.2,1.893,0.946,0.00829,0.00054,94.65,47.325,0.415,0.027
TX,SM,3,TXSM3,15-May,5,TXSM3-5,1.36,26.06,1.33,0.88,0.522,0.032,86.39,9.41,5,1.807,1.204,0.00711,0.00043,180.675,120.45,0.711,0.043
TX,SM,3,TXSM3,15-30,15,TXSM3-15,1.32,25.91,1.3,0.87,0.409,0.021,85.6,9.4,4.2,1.717,1.145,0.00538,0.00028,257.545,171.696,0.807,0.042
