Source,Site,Core,Habitat_type,Latitude,Longitude,accuracy_flag,Country,Year_collected,U_depth_m,L_depth_m,Method,OC_perc,BD_reported_g_cm3,SOM_perc,Conv_factor,Location on site
Cott et al. (2013) doi:10.1007/s12237-012-9579-68,Schull,8,Saltmarsh,51.51,-9.58,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,27.01001431,,Upper shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-69,Schull,9,Saltmarsh,51.51,-9.58,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,26.70623145,,Upper shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-70,Kilbrttain,1,Saltmarsh,51.65,-8.67,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,0.884955752,,Lower shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-71,Kilbrttain,2,Saltmarsh,51.65,-8.67,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,0.450415469,,Lower shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-72,Kilbrttain,3,Saltmarsh,51.65,-8.67,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,0.498947533,,Lower shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-73,Kilbrttain,4,Saltmarsh,51.65,-8.67,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,0.796348451,,Mid shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-74,Kilbrttain,5,Saltmarsh,51.65,-8.67,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,2.15424386,,Mid shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-75,Kilbrttain,6,Saltmarsh,51.65,-8.67,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,0.785160467,,Mid shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-76,Kilbrttain,7,Saltmarsh,51.65,-8.67,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,1.202492759,,Upper shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-77,Kilbrttain,8,Saltmarsh,51.65,-8.67,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,0.977508651,,Upper shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-78,Kilbrttain,9,Saltmarsh,51.65,-8.67,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,0.925925926,,Upper shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-79,Timoleague,1,Saltmarsh,51.64,-8.76,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,6.538,,Lower shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-80,Timoleague,2,Saltmarsh,51.64,-8.76,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,6.456456456,,Lower shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-81,Timoleague,3,Saltmarsh,51.64,-8.76,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,5.826426134,,Lower shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-82,Timoleague,4,Saltmarsh,51.64,-8.76,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,11.42251531,,Mid shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-83,Timoleague,5,Saltmarsh,51.64,-8.76,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,8.444187392,,Mid shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-84,Timoleague,6,Saltmarsh,51.64,-8.76,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,10.408535,,Mid shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-85,Timoleague,7,Saltmarsh,51.64,-8.76,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,12.45,,Upper shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-86,Timoleague,8,Saltmarsh,51.64,-8.76,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,19.01386749,,Upper shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-87,Timoleague,9,Saltmarsh,51.64,-8.76,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,11.125,,Upper shore
