site_n,depth_med,dry_bulk_density,total_pb210_activity,total_pb210_activity_se
6,24.5,0.15,2.38,0.178
6,25.5,0.15,1.93,0.186
6,26.5,0.16,1.77,0.206
6,27.5,0.17,1.57,0.207
6,28.5,0.16,1.31,0.245
6,29.5,0.16,1.09,0.296
6,30.5,0.17,0.87,0.372
6,31.5,0.17,0.93,0.441
6,32.5,0.16,0.75,0.594
7,0.5,0.33,18.55,0.028
7,1.5,0.31,9.02,0.028
7,2.5,0.33,10.42,0.028
7,3.5,0.27,9.34,0.028
7,4.5,0.28,8.1,0.028
7,5.5,0.29,8.09,0.028
7,6.5,0.31,8.14,0.028
7,7.5,0.3,7.73,0.028
7,8.5,0.32,7.45,0.028
7,9.5,0.31,6.79,0.029
7,10.5,0.32,6.66,0.029
7,11.5,0.31,5.18,0.03
7,12.5,0.34,4.45,0.031
7,13.5,0.37,4.58,0.031
7,14.5,0.47,4.14,0.033
7,15.5,0.53,3.06,0.041
7,16.5,0.59,2.98,0.041
7,17.5,0.61,3.03,0.039
7,18.5,0.7,2.51,0.044
7,19.5,0.7,2.3,0.05
8,0.5,0.47,6.29,0.028
8,1.5,0.47,5.89,0.028
8,2.5,0.5,6.46,0.028
8,3.5,0.52,5.58,0.028
8,4.5,0.56,4.79,0.029
8,5.5,0.64,4.74,0.029
8,6.5,0.58,4.29,0.03
8,7.5,0.58,3.88,0.03
8,8.5,0.57,3.36,0.031
8,9.5,0.58,3,0.033
8,10.5,0.62,2.62,0.038
8,11.5,0.6,2.39,0.049
8,12.5,0.61,2.32,0.057
8,13.5,0.59,2.16,0.063
8,14.5,0.63,2.06,0.066
8,15.5,0.66,1.82,0.082
8,16.5,0.72,1.48,0.115
8,17.5,0.76,1.46,0.108
8,18.5,0.88,1.39,0.131
8,19.5,0.93,1.38,0.113
8,20.5,0.94,1.32,0.127
9,0.5,0.63,7.16,0.524
9,1.5,0.59,5.31,0.524
9,2.5,0.65,1.12,0.566
9,3.5,0.64,0.68,0.755
10,0.5,0.23,7.99,0.028
10,1.5,0.24,11.32,0.027
10,2.5,0.24,10.5,0.027
10,3.5,0.24,10.6,0.027
10,4.5,0.26,9.29,0.027
10,5.5,0.27,9.5,0.027
10,6.5,0.29,9.57,0.027
10,7.5,0.29,9.03,0.027
10,8.5,0.3,9.08,0.027
10,9.5,0.3,8.42,0.027
10,10.5,0.3,7.65,0.028
10,11.5,0.3,6.62,0.028
10,12.5,0.31,6.81,0.028
10,13.5,0.3,6.24,0.028
10,14.5,0.32,6.61,0.028
10,15.5,0.33,5.67,0.028
10,16.5,0.33,5.04,0.029
10,17.5,0.33,3.9,0.031
10,18.5,0.32,3.92,0.031
10,19.5,0.33,3.67,0.033
10,20.5,0.34,3.61,0.031
10,21.5,0.34,3.47,0.032
10,22.5,0.33,2.86,0.037
10,23.5,0.33,2.63,0.039
10,24.5,0.32,2.51,0.042
10,25.5,0.31,2.33,0.044
10,26.5,0.31,2.69,0.039
10,27.5,0.31,2.29,0.043
10,28.5,0.32,2.05,0.048
10,29.5,0.32,1.96,0.052
11,0.5,0.43,2.53,0.164
11,1.5,0.42,2.04,0.17
11,2.5,0.4,1.68,0.184
11,3.5,0.4,1.48,0.195
11,4.5,0.42,1.33,0.203
11,5.5,0.42,1.32,0.209
11,6.5,0.43,1.47,0.196
11,7.5,0.42,1.31,0.217
11,8.5,0.42,1.35,0.212
11,9.5,0.41,1.32,0.21
11,10.5,0.37,1.2,0.24
11,11.5,0.34,0.84,0.403
11,12.5,0.36,0.62,0.65
12,0.5,0.18,11,0.029
12,1.5,0.16,10.41,0.029
12,2.5,0.21,9.02,0.029
12,3.5,0.22,7.11,0.029
12,4.5,0.21,7.2,0.03
12,5.5,0.21,8.7,0.029
12,6.5,0.21,5.69,0.03
12,7.5,0.23,5.49,0.03
12,8.5,0.26,4.89,0.03
12,9.5,0.3,4.61,0.031
12,10.5,0.31,4.78,0.031
12,11.5,0.32,4.73,0.031
12,12.5,0.32,3.9,0.033
12,13.5,0.29,3.85,0.033
12,14.5,0.29,3.37,0.036
12,15.5,0.27,3.39,0.037
12,16.5,0.27,3.11,0.04
12,17.5,0.28,3.21,0.038
12,18.5,0.27,2.63,0.042
12,19.5,0.3,2.66,0.043
12,20.5,0.27,2.67,0.043
12,21.5,0.29,2.56,0.05
12,22.5,0.28,2.81,0.047
12,23.5,0.3,2.69,0.046
12,24.5,0.3,2.57,0.046
12,25.5,0.29,2.7,0.046
12,26.5,0.3,2.25,0.057
12,27.5,0.29,2.53,0.05
12,28.5,0.3,2.48,0.049
12,29.5,0.29,2.37,0.049
