study_id,site_id,core_id,latitude,longitude,year,habitat,country
Bouillon et al 2003,SB03 Pambala Avicennia 7,M0162,7.515981,79.812103,1999,mangrove,Sri Lanka
Bouillon et al 2003,SB03 Pambala Avicennia 8,M0163,7.515981,79.812103,1999,mangrove,Sri Lanka
Bouillon et al 2003,SB03 Pambala Rhizophora 1,M0164,7.515981,79.812103,1999,mangrove,Sri Lanka
Bouillon et al 2003,SB03 Pambala Rhizophora 2,M0165,7.515981,79.812103,1999,mangrove,Sri Lanka
Bouillon et al 2003,SB03 Pambala Rhizophora 3,M0166,7.515981,79.812103,1999,mangrove,Sri Lanka
Bouillon et al 2003,SB03 Pambala Rhizophora 4,M0167,7.515981,79.812103,1999,mangrove,Sri Lanka
Bouillon et al 2003,SB03 Pambala Rhizophora 5,M0168,7.515981,79.812103,1999,mangrove,Sri Lanka
Bouillon et al 2003,SB03 Pambala Rhizophora 6,M0169,7.515981,79.812103,1999,mangrove,Sri Lanka
Bouillon et al 2003,SB03 Pambala Rhizophora 7,M0170,7.515981,79.812103,1999,mangrove,Sri Lanka
Bouillon et al 2003,SB03 Pambala Rhizophora 8,M0171,7.515981,79.812103,1999,mangrove,Sri Lanka
Adame et al 2013,MFA13 Isla Pitaya,M0173,19.4867,-87.7004,2011,mangrove,Mexico
Adame et al 2013,MFA13 Laguna Xamach,M0177,19.8612,-87.4612,2011,mangrove,Mexico
Adame et al 2013,MFA13 La Raya,M0178,19.8408,-87.48,2011,mangrove,Mexico
Banerjee et al 2012,KB12 Stn. 1,M0185,21.872546,88.168066,2008,mangrove,India
Banerjee et al 2012,KB12 Stn. 2,M0186,21.798146,88.166492,2008,mangrove,India
Banerjee et al 2012,KB12 Stn. 4,M0188,21.707425,88.195374,2008,mangrove,India
Banerjee et al 2012,KB12 Stn. 6,M0190,21.763191,88.35795,2008,mangrove,India
Banerjee et al 2012,KB12 Stn. 7,M0191,21.6923,88.413657,2008,mangrove,India
Banerjee et al 2012,KB12 Stn. 8,M0192,21.940441,88.808983,2008,mangrove,India
Banerjee et al 2012,KB12 Stn. 9,M0193,22.091424,88.800184,2008,mangrove,India
Banerjee et al 2012,KB12 Stn. 10,M0194,22.023449,88.763959,2008,mangrove,India
Banerjee et al 2012,KB12 Stn. 11,M0195,21.827697,88.848569,2008,mangrove,India
Banerjee et al 2012,KB12 Stn. 12,M0196,21.763583,88.822088,2008,mangrove,India
Banerjee et al 2012,KB12 Stn. 13,M0197,21.685091,88.957379,2008,mangrove,India
Along et al 2000 MEPS,DMA00MEPS M6,M0273,8.826775,105.194289,1996,mangrove,Vietnam
Along et al 2000 MEPS,DMA00MEPS M8,M0274,8.837927,105.245301,1996,mangrove,Vietnam
Along et al 2000 MEPS,DMA00MEPS M35,M0275,8.832831,105.221689,1996,mangrove,Vietnam
MacKenzie et al 2016,RAM16 CG1.6,M0312,10.50211,106.822809035895,2012,mangrove,Vietnam
MacKenzie et al 2016,RAM16 CG2.1,M0313,10.521221,106.898137719813,2012,mangrove,Vietnam
MacKenzie et al 2016,RAM16 KVPF1.1,M0314,8.653015,105.12052704702,2012,mangrove,Vietnam
MacKenzie et al 2016,RAM16 KVPF1.6,M0315,8.653757,105.119781941869,2012,mangrove,Vietnam
MacKenzie et al 2016,RAM16 KVPF2.1,M0316,8.639893,105.073531712651,2012,mangrove,Vietnam
MacKenzie et al 2016,RAM16 KVPF2.6,M0317,8.641268,105.073659228363,2012,mangrove,Vietnam
MacKenzie et al 2016,RAM16 KVPF3.1,M0318,8.644698,105.104945324149,2012,mangrove,Vietnam
MacKenzie et al 2016,RAM16 KVPF3.6,M0319,8.643631,105.104436028811,2012,mangrove,Vietnam
Adame et al 2015,MFA15 Panzacola,M0355,15.130013,-92.754068,2012,mangrove,Mexico
Adame et al 2015,MFA15 Teculapa,M0356,15.156381,-92.77937,2012,mangrove,Mexico
Adame et al 2015,MFA15 Paixtalon,M0357,15.178753,-92.804561,2012,mangrove,Mexico
Adame et al 2015,MFA15 Esterillo,M0358,15.180488,-92.837974,2012,mangrove,Mexico
Adame et al 2015,MFA15 Santa Chila,M0359,15.176293,-92.848353,2012,mangrove,Mexico
Adame et al 2015,MFA15 Las Palmas,M0361,15.164754,-92.827909,2012,mangrove,Mexico
Kauffman et al 2016,JBK16 Grijalva,M0377,18.605455,-92.683617,2014,mangrove,Mexico
Kauffman et al 2016,JBK16 Boca Pedro Oeste,M0378,18.6514,-92.457847,2014,mangrove,Mexico
Kauffman et al 2016,JBK16 Boca Pedro Este,M0379,18.648049,-92.474513,2014,mangrove,Mexico
Kauffman et al 2016,JBK16 Sabalo,M0380,18.594015,-92.46801,2014,mangrove,Mexico
Kauffman et al 2016,JBK16 Cometa,M0381,18.491724,-92.428604000000007,2014,mangrove,Mexico
Kauffman et al 2016,JBK16 Vidal,M0382,18.566889,-92.432627,2014,mangrove,Mexico
Kauffman et al 2016,JBK16 Gallego,M0383,18.595338,-92.448039,2014,mangrove,Mexico
Sanders et al 2010 EES,CJS10 EES C3A,M0385,-25.094913,-47.995086,2005,mangrove,Brazil
Sanders et al 2010 EES,CJS10 EES C3B,M0386,-25.094888,-47.995183,2005,mangrove,Brazil
Sahu et al 2016,SCS16 Natural,M0387,20.39427,86.736167,2014,mangrove,India
Ezcurra et al 2016,PE16 La Salina Mudflat,M0402,24.577277777777777,-111.79897222222222,2013,mangrove,Mexico
Ezcurra et al 2016,PE16 La Salina Fringe,M0403,24.576472222222225,-111.80055555555556,2013,mangrove,Mexico
Ezcurra et al 2016,PE16 La Salina Receding/Dead,M0404,24.57655555555555,-111.80061111111112,2013,mangrove,Mexico
Ezcurra et al 2016,PE16 Sur Mudflat,M0405,24.31063888888889,-110.31830555555555,2013,mangrove,Mexico
Ezcurra et al 2016,PE16 Sur Upper Mudflat,M0406,24.310222222222222,-110.31855555555556,2013,mangrove,Mexico
Ezcurra et al 2016,PE16 Sur Fringe,M0407,24.312305555555557,-110.31688888888888,2013,mangrove,Mexico
Ezcurra et al 2016,PE16 Norte Mudflat,M0409,24.31491666666667,-110.31477777777778,2013,mangrove,Mexico
Ezcurra et al 2016,PE16 Norte Upper Mudflat,M0410,24.314944444444446,-110.31463888888888,2013,mangrove,Mexico
Ezcurra et al 2016,PE16 Camichin Mudflat,M0411,21.76147222222222,-105.47791666666669,2014,mangrove,Mexico
Ezcurra et al 2016,PE16 Camichan Upper Mudflat,M0412,21.760944444444444,-105.47827777777778,2014,mangrove,Mexico
Ezcurra et al 2016,PE16 Arroyo Toro Mocho Upper  Mudflat,M0413,21.768527777777777,-105.46744444444444,2014,mangrove,Mexico
Ezcurra et al 2016,PE16 Las Garzas Mudflat,M0416,15.204055555555556,-92.8129722222222,2014,mangrove,Mexico
Ezcurra et al 2016,PE16 Puerto Gata Fringe Core 1,M0420,24.24944444,-110.3127778,2014,mangrove,Mexico
Ezcurra et al 2016,PE16 Puerto Gata Fringe Core 2,M0421,24.24944444,-110.3127778,2014,mangrove,Mexico
Ezcurra et al 2016,PE16 Puerto Gata Fringe Core 3,M0422,24.24944444,-110.3127778,2014,mangrove,Mexico
Ezcurra et al 2016,PE16 Puerto Gata Mudflat Core 4,M0423,24.24944444,-110.3127778,2014,mangrove,Mexico
Ezcurra et al 2016,PE16 Puerto Gata Mudflat Core 5,M0424,24.24944444,-110.3127778,2014,mangrove,Mexico
Ezcurra et al 2016,PE16 Puerto Gata Mudflat Core 6,M0425,24.24944444,-110.3127778,2014,mangrove,Mexico
Ezcurra et al 2016,PE16 Puerto Gata Mudflat Core 7,M0426,24.24944444,-110.3127778,2014,mangrove,Mexico
Bhomia et al 2016 India,RKBEA16 P1,M0436,20.48292,86.691044,2014,mangrove,India
Bhomia et al 2016 India,RKBEA16 S1,M0437,20.482975,86.68793,2014,mangrove,India
Bhomia et al 2016 India,RKBEA16 S2,M0438,20.479052,86.725555,2014,mangrove,India
Bhomia et al 2016 India,RKBEA16 S3,M0439,20.478753,86.727774,2014,mangrove,India
Bhomia et al 2016 India,RKBEA16 D1,M0440,20.381795,86.734793,2014,mangrove,India
Bhomia et al 2016 India,RKBEA16 D2,M0441,20.379035,86.73348,2014,mangrove,India
Ranjan 2010,RKR10 Core B,M0522,11.445435,79.792506,2006,mangrove,India
Gomes et al 2016,FHG16 M1,M0525,-14.681111111111113,-39.074444444444445,2014,mangrove,Brazil
Gomes et al 2016,FHG16 M2,M0526,-14.680833333333332,-39.075,2014,mangrove,Brazil
Gomes et al 2016,FHG16 M3,M0527,-14.680555555555555,-39.07416666666667,2014,mangrove,Brazil
Gomes et al 2016,FHG16 M4,M0528,-14.718333333333334,-39.07027777777778,2014,mangrove,Brazil
Gomes et al 2016,FHG16 M5,M0529,-14.758333333333333,-39.06222222222222,2014,mangrove,Brazil
Dung et al 2016,LVD16 Fringe,M0631,10.40178,106.876838,2014,mangrove,Vietnam
Dung et al 2016,LVD16 Transition,M0632,10.401772,106.879812,2014,mangrove,Vietnam
Dung et al 2016,LVD16 Interior,M0633,10.402675,106.883761,2014,mangrove,Vietnam
Sanders et al 2010 ECSS,CJS10ECSS T5B,M0653,-8.674178,-35.107894,2005,mangrove,Brazil
Sanders et al 2010 ECSS,CJS10ECSS T5C,M0654,-8.674492,-35.107394,2005,mangrove,Brazil
Sanders et al 2014,CJS14 Ilow,M0655,-23.877,-46.36049722,2012,mangrove,Brazil
Sanders et al 2014,CJS14 Iup,M0656,-23.877230555555556,-46.36051944444445,2012,mangrove,Brazil
Bouillon et al 2004 FEMS,SB04FEMS Pambala Rhizophora,M0665,7.515981,79.812103,2002,mangrove,Sri Lanka
Bouillon et al 2004 FEMS,SB04FEMS Pambala Bruguiera,M0666,7.515981,79.812103,2002,mangrove,Sri Lanka
Bouillon et al 2004 FEMS,SB04FEMS Pambala Avicennia,M0667,7.515981,79.812103,2002,mangrove,Sri Lanka
Bouillon et al 2004 FEMS,SB04FEMS Pambala Planted Rhizophora,M0668,7.515981,79.812103,2002,mangrove,Sri Lanka
Bouillon et al 2004 FEMS,SB04FEMS Pambala Excoecaria,M0669,7.515981,79.812103,2002,mangrove,Sri Lanka
Bouillon et al 2004 FEMS,SB04FEMS Pambala Lumnitzera,M0670,7.515981,79.812103,2002,mangrove,Sri Lanka
Bouillon et al 2004 FEMS,SB04FEMS Chunnambar,M0673,11.882689,79.809209,2002,mangrove,India
Giani et al 1996,LG96 1.2,M0706,24.318026,-110.315749,1995,mangrove,Mexico
Giani et al 1996,LG96 1.3,M0707,24.318057,-110.315362,1995,mangrove,Mexico
Giani et al 1996,LG96 2.1,M0708,24.314934,-110.31532,1995,mangrove,Mexico
Giani et al 1996,LG96 3.1,M0709,24.31459,-110.314858,1995,mangrove,Mexico
Alongi et al 2001,DMA01 S1,M0732,10.280598,99.162639,2000,mangrove,Thailand
Alongi et al 2001,DMA01 S2,M0733,10.280598,99.162639,2000,mangrove,Thailand
Alongi et al 2001,DMA01 S3,M0734,10.373296,99.217642,2000,mangrove,Thailand
Alongi et al 2001,DMA01 S4,M0735,10.373296,99.217642,2000,mangrove,Thailand
Cifuentes Unpublished,MCU Sierpe1,M0736,8.818258796,-83.53426988,2012,mangrove,Costa Rica
Cifuentes Unpublished,MCU Sierpe2,M0737,8.814530027,-83.54374387,2012,mangrove,Costa Rica
Cifuentes Unpublished,MCU Sierpe3,M0738,8.814241926,-83.55880307,2012,mangrove,Costa Rica
Cifuentes Unpublished,MCU Sierpe4,M0739,8.80743436,-83.56216801,2012,mangrove,Costa Rica
Cifuentes Unpublished,MCU Sierpe5,M0740,8.797127441,-83.55525307,2012,mangrove,Costa Rica
Cifuentes Unpublished,MCU Sierpe6,M0741,8.802090003,-83.58087585,2012,mangrove,Costa Rica
Cifuentes Unpublished,MCU Sierpe7,M0742,8.789726334,-83.61536552,2012,mangrove,Costa Rica
Cifuentes Unpublished,MCU Sierpe8,M0743,8.801040216,-83.59125289,2012,mangrove,Costa Rica
Cifuentes Unpublished,MCU Guarumal9,M0744,8.856647652,-83.55970798,2012,mangrove,Costa Rica
Cifuentes Unpublished,MCU Guarumal10,M0745,8.855912236,-83.54906575,2012,mangrove,Costa Rica
Cifuentes Unpublished,MCU Guarumal11,M0746,8.859803544,-83.56526226,2012,mangrove,Costa Rica
Cifuentes Unpublished,MCU Guarumal12,M0747,8.863611019,-83.57763709,2012,mangrove,Costa Rica
Cifuentes Unpublished,MCU Guarumal13,M0748,8.839257569,-83.56291533,2012,mangrove,Costa Rica
Cifuentes Unpublished,MCU Guarumal14,M0749,8.849115189,-83.58110716,2012,mangrove,Costa Rica
Cifuentes Unpublished,MCU Guarumal15,M0750,8.844692625,-83.57555079,2012,mangrove,Costa Rica
Cifuentes Unpublished,MCU Guarumal16,M0751,8.843765687,-83.58083329,2012,mangrove,Costa Rica
Cifuentes Unpublished,MCU Zacate17,M0752,8.884906969,-83.5653801,2012,mangrove,Costa Rica
Cifuentes Unpublished,MCU Zacate18,M0753,8.876532405,-83.55656893,2012,mangrove,Costa Rica
Cifuentes Unpublished,MCU Zacate19,M0754,8.885416931,-83.56134893,2012,mangrove,Costa Rica
Cifuentes Unpublished,MCU Zacate20,M0755,8.894129795,-83.56374024,2012,mangrove,Costa Rica
Cifuentes Unpublished,MCU Zacate21,M0756,8.902283282,-83.56010908,2012,mangrove,Costa Rica
Cifuentes Unpublished,MCU Zacate22,M0757,8.891387807,-83.57363123,2012,mangrove,Costa Rica
Cifuentes Unpublished,MCU Zacate23,M0758,8.885447738,-83.57285635,2012,mangrove,Costa Rica
Cifuentes Unpublished,MCU Zacate24,M0759,8.884432917,-83.58000999,2012,mangrove,Costa Rica
Cifuentes Unpublished,MCU Térraba25,M0760,8.935316779,-83.612962,2012,mangrove,Costa Rica
Cifuentes Unpublished,MCU Térraba26,M0761,8.926068601,-83.61280416,2012,mangrove,Costa Rica
Cifuentes Unpublished,MCU Térraba27,M0762,8.933538125,-83.60578451,2012,mangrove,Costa Rica
Cifuentes Unpublished,MCU Térraba28,M0763,8.932730483,-83.60741183,2012,mangrove,Costa Rica
Cifuentes Unpublished,MCU NicoyaColorado,M0764,10.14305195,-85.07767206,2014,mangrove,Costa Rica
Cifuentes Unpublished,MCU NicoyaBebedero,M0767,10.25281155,-85.24883639,2014,mangrove,Costa Rica
Cifuentes Unpublished,MCU NicoyaJesús,M0768,10.13402766,-85.24456028,2014,mangrove,Costa Rica
Cifuentes Unpublished,MCU NicoyaPuntarenas 1,M0769,9.98592079,-84.81743661,2014,mangrove,Costa Rica
Cifuentes Unpublished,MCU NicoyaPuntarenas 2,M0770,10.00047152,-84.85550677,2014,mangrove,Costa Rica
Cifuentes Unpublished,MCU NicoyaJicaral,M0775,9.974631965,-85.11853433,2014,mangrove,Costa Rica
Cifuentes Unpublished,MCU NicoyaLepanto,M0776,9.963786933,-85.03916044,2014,mangrove,Costa Rica
Cifuentes Unpublished,MCU NicoyaPaquera,M0777,9.827680613,-84.92103989,2014,mangrove,Costa Rica
Naidoo 1980,GN80 Avicennia marina 1,M1292,-29.808893,31.040096,1978,mangrove,South Africa
Naidoo 1980,GN80 Avicennia marina 2,M1293,-29.808775,31.040077,1978,mangrove,South Africa
Naidoo 1980,GN80 Avicennia marina 3,M1294,-29.808644,31.040053,1978,mangrove,South Africa
Naidoo 1980,GN80 Bruguiera gymnorrhiza 1,M1295,-29.806815,31.041038,1978,mangrove,South Africa
Naidoo 1980,GN80 Bruguiera gymnorrhiza 2,M1296,-29.806807,31.040694,1978,mangrove,South Africa
Naidoo 1980,GN80 Bruguiera gymnorrhiza 3,M1297,-29.806822,31.040338,1978,mangrove,South Africa
Naidoo and Raiman 1982,GN82 Sipingo 1,M1298,-29.988266,30.947644,1980,mangrove,South Africa
Naidoo and Raiman 1982,GN82 Sipingo 2,M1299,-29.988266,30.947644,1980,mangrove,South Africa
Naidoo and Raiman 1982,GN82 Mdloti,M1300,-29.651374,31.126536,1980,mangrove,South Africa
Cardona and Botero 1998,PC98 RIN,M1301,10.962368,-74.500651,1990,mangrove,Colombia
DelVecchia et al 2014,AGD14 PL 2,M1309,0.627087,-80.027614,2012,mangrove,Ecuador
DelVecchia et al 2014,AGD14 BR 1,M1310,0.564864,-80.002429,2012,mangrove,Ecuador
DelVecchia et al 2014,AGD14 BR 3,M1311,0.565026,-79.999949,2012,mangrove,Ecuador
DelVecchia et al 2014,AGD14 BR 4,M1312,0.564339,-80.001377,2012,mangrove,Ecuador
DelVecchia et al 2014,AGD14 BR 6,M1313,0.566157,-80.00109,2012,mangrove,Ecuador
DelVecchia et al 2014,AGD14 BR 7,M1314,0.565832,-80.001844,2012,mangrove,Ecuador
DelVecchia et al 2014,AGD14 TM 1,M1315,0.559662,-79.998071,2012,mangrove,Ecuador
DelVecchia et al 2014,AGD14 TM 6,M1316,0.557907,-79.999644,2012,mangrove,Ecuador
Thimdee et al 2003,WT03 Mangrove Sediment,M1321,12.592161,101.906571,2001,mangrove,Thailand
Dissanayake and Chandrasekara 2014,ND14 Avicennia,M1324,7.195614,79.843577,2012,mangrove,Sri Lanka
Dissanayake and Chandrasekara 2014,ND14 Rhizophora,M1325,7.19536,79.843759,2012,mangrove,Sri Lanka
Dissanayake and Chandrasekara 2014,ND14 Lumnitzera,M1326,7.196772,79.843314,2012,mangrove,Sri Lanka
Otero et al 2009,XLO09 Laguncularia,M1333,-24.996785,-47.907329,2005,mangrove,Brazil
Otero et al 2009,XLO09 Rhizophora,M1334,-24.996822,-47.907276,2005,mangrove,Brazil
Otero et al 2009,XLO09 Avicennia,M1335,-24.996941,-47.907039,2005,mangrove,Brazil
Vasconcelos et al 2014,AFD14 Point 1,M1369,-7.086621,-34.882555,2013,mangrove,Brazil
Vasconcelos et al 2014,AFD14 Point 2,M1370,-7.081431,-34.872431,2013,mangrove,Brazil
Vasconcelos et al 2014,AFD14 Point 3,M1371,-7.067292,-34.86505,2013,mangrove,Brazil
Vasconcelos et al 2014,AFD14 Point 4,M1372,-7.061822,-34.857701,2013,mangrove,Brazil
Gonneea et al 2004,MEG04 2CEL12_2000,M1507,20.952916666666667,-90.34321666666666,2001,mangrove,Mexico
Gonneea et al 2004,MEG04 4CEL12_2000,M1508,20.928316666666667,-90.35025,2001,mangrove,Mexico
Gonneea et al 2004,MEG04 6CEL12_2000,M1509,20.881883333333334,-90.36466666666666,2001,mangrove,Mexico
Gonneea et al 2004,MEG04 7CH12_2000,M1510,21.26405,-89.68721666666667,2001,mangrove,Mexico
Gonneea et al 2004,MEG04 6CEL10_2001,M1511,20.91335,-90.36721666666666,2002,mangrove,Mexico
Gonneea et al 2004,MEG04 8-1CEL10_2001,M1512,20.873733333333337,-90.35935,2002,mangrove,Mexico
Gonneea et al 2004,MEG04 13-1CEL10_2001,M1513,20.8197,-90.40031666666668,2002,mangrove,Mexico
Gonneea et al 2004,MEG04 16CEL10_2001,M1514,20.790466666666667,-90.39705,2002,mangrove,Mexico
Gonneea et al 2004,MEG04 1CH10_2001,M1515,21.24128333333333,-89.78476666666667,2002,mangrove,Mexico
Gonneea et al 2004,MEG04 7CH10_2001,M1516,21.2675,-89.68218333333333,2002,mangrove,Mexico
Gillis et al 2017,LGG17_A,M1520,8.210624,98.339469,2015,mangrove,Thailand
Bukoski et al 2017,KB1 Core 1,M1532,8,99,2015,mangrove,Thailand
Bukoski et al 2017,KB1 Core 2,M1533,8,99,2015,mangrove,Thailand
Bukoski et al 2017,KB2 Core 1,M1534,8.1,98.9,2015,mangrove,Thailand
Bukoski et al 2017,KB2 Core 2,M1535,8.1,98.9,2015,mangrove,Thailand
Bukoski et al 2017,KB3 Core 1,M1536,8.1,98.9,2015,mangrove,Thailand
Bukoski et al 2017,KB3 Core 2,M1537,8.1,98.9,2015,mangrove,Thailand
