study_id,bibliography_id,publication_type,bibtype,title,author,school,doi,url,year,month,publisher,volume,number,pages,journal,copyright,editor,booktitle,institution,language,day,type,issue,issn,eprint,article-number
Alongi_et_al_2004,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2008,Alongi_et_al_2008_article_oct,synthesis source,Article,"Growth and development of mangrove forests overlying smothered coral reefs, Sulawesi and Sumatra, Indonesia",DM Alongi and LA Trott and {Rachmansyah} and F Tirendi and AD McKinnon and MC Undu,NA,10.3354/meps07661,https://doi.org/10.3354/meps07661,2008,oct,Inter-Research Science Center,375,NA,97--109,Marine Ecology Progress Series,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2008,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashton_and_Macintosh_2002,Ashton_and_Macintosh_2002_article,synthesis source,Article,"Preliminary assessment of the plant diversity and community ecology of the Sematan mangrove forest, Sarawak, Malaysia","Ashton, Elizabeth C and Macintosh, Donald J",NA,NA,NA,2002,NA,NA,166,NA,NA,Forest Ecology and Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashton_and_Macintosh_2002,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Banerjee_et_al_2012,Banerjee_et_al_2012_article,synthesis source,Article,Influence of anthropogenic and natural factors on the mangrove soil of Indian Sundarbans wetland,"Banerjee, Kakoli and Roy Chowdhury, M and Sengupta, Kasturi and Sett, Saurov and Mitra, Abhijit",NA,NA,NA,2012,NA,NA,6,NA,NA,Arch Environ Sci,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Banerjee_et_al_2012,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhomia_et_al_2016_India,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bouillon_et_al_2003,Bouillon_et_al_2003_article,synthesis source,Article,Sources of organic carbon in mangrove sediments: variability and possible ecological implications,"Bouillon, Steven and Dahdouh-Guebas, Farid and Rao, AVVS and Koedam, Nico and Dehairs, Frank",NA,NA,NA,2003,NA,NA,495,NA,NA,Hydrobiologia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bouillon_et_al_2003,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bouillon_et_al_2004_FEMS,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brunskill_et_al_2004,Brunskill_et_al_2004_article,synthesis source,Article,"Sediment and trace element depositional history from the Ajkwa River estuarine mangroves of Irian Jaya (West Papua), Indonesia",Gregg J. Brunskill and Irena Zagorskis and John Pfitzner and Joanna Ellison,NA,10.1016/j.csr.2004.07.024,https://doi.org/10.1016/j.csr.2004.07.024,2004,dec,Elsevier {BV},24,19,2535--2551,Continental Shelf Research,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brunskill_et_al_2004,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bukoski_et_al_2017,Bukoski_et_al_2017_article,synthesis source,Article,The Use of Mixed Effects Models for Obtaining Low-Cost Ecosystem Carbon Stock Estimates in Mangroves of the Asia-Pacific,Jacob J. Bukoski and Jeremy S. Broadhead and Daniel C. Donato and Daniel Murdiyarso and Timothy G. Gregoire,NA,10.1371/journal.pone.0169096,https://doi.org/10.1371/journal.pone.0169096,2017,jan,Public Library of Science ({PLoS}),12,1,e0169096,{PLOS} {ONE},NA,Shing Yip Lee,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bukoski_et_al_2017,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cardona_and_Botero_1998,Cardona_and_Botero_1998_article,synthesis source,Article,Soil Characteristics and Vegetation Structure in a Heavily Deteriorated Mangrove Forest in the Caribbean Coast of Colombia,Pablo Cardona and Leonor Botero,NA,10.1111/j.1744-7429.1998.tb00366.x,https://doi.org/10.1111/j.1744-7429.1998.tb00366.x,1998,mar,Wiley,30,1,24--34,Biotropica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cardona_and_Botero_1998,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceron-Breton_et_al_2011,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chanda_et_al_2013,Chanda_et_al_2013_article,synthesis source,Article,Measuring daytime {CO}2 fluxes from the inter-tidal mangrove soils of Indian Sundarbans,Abhra Chanda and Anirban Akhand and Sudip Manna and Sachinandan Dutta and Indrani Das and Sugata Hazra and K. H. Rao and V. K. Dadhwal,NA,10.1007/s12665-013-2962-2,https://doi.org/10.1007/s12665-013-2962-2,2013,nov,Springer Science and Business Media {LLC},72,2,417--427,Environmental Earth Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chanda_et_al_2013,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chen_et_al_2014,Chen_et_al_2014_article,synthesis source,Article,Rich soil carbon and nitrogen but low atmospheric greenhouse gas fluxes from North Sulawesi mangrove swamps in Indonesia,Guang C. Chen and Yaya I. Ulumuddin and Sastro Pramudji and Shun Y. Chen and Bin Chen and Yong Ye and Dan Y. Ou and Zhi Y. Ma and Hao Huang and Jing K. Wang,NA,10.1016/j.scitotenv.2014.03.140,https://doi.org/10.1016/j.scitotenv.2014.03.140,2014,jul,Elsevier {BV},487,NA,91--96,Science of The Total Environment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chen_et_al_2014,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cifuentes_Unpublished,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DelVecchia_et_al_2014,DelVecchia_et_al_2014_article,synthesis source,Article,Organic carbon inventories in natural and restored Ecuadorian mangrove forests,Amanda G. DelVecchia and John F. Bruno and Larry Benninger and Marc Alperin and Ovik Banerjee and Juan {de Dios Morales},NA,10.7717/peerj.388,https://doi.org/10.7717/peerj.388,2014,may,{PeerJ},2,NA,e388,{PeerJ},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DelVecchia_et_al_2014,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dissanayake_and_Chandrasekara_2014,Dissanayake_and_Chandrasekara_2014_article,synthesis source,Article,"Effects of Mangrove Zonation and the Physicochemical Parameters of Soil on the Distribution of Macrobenthic Fauna in Kadolkele Mangrove Forest, a Tropical Mangrove Forest in Sri Lanka",Navodha Dissanayake and Upali Chandrasekara,NA,10.1155/2014/564056,https://doi.org/10.1155/2014/564056,2014,NA,Hindawi Limited,2014,NA,1--13,Advances in Ecology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dissanayake_and_Chandrasekara_2014,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donato_et_al_2011,Donato_et_al_2011_article,synthesis source,Article,Mangroves among the most carbon-rich forests in the tropics,Daniel C. Donato and J. Boone Kauffman and Daniel Murdiyarso and Sofyan Kurnianto and Melanie Stidham and Markku Kanninen,NA,10.1038/ngeo1123,https://doi.org/10.1038/ngeo1123,2011,apr,Springer Science and Business Media {LLC},4,5,293--297,Nature Geoscience,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donato_et_al_2011,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donato_et_al_2012,Donato_et_al_2012_article,synthesis source,Article,Whole-island carbon stocks in the tropical Pacific: Implications for mangrove conservation and upland restoration,D.C. Donato and J.B. Kauffman and R.A. Mackenzie and A. Ainsworth and A.Z. Pfleeger,NA,10.1016/j.jenvman.2011.12.004,https://doi.org/10.1016/j.jenvman.2011.12.004,2012,apr,Elsevier {BV},97,NA,89--96,Journal of Environmental Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donato_et_al_2012,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duncan_et_al_2016,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dung_et_al_2016,Dung_et_al_2016_article,synthesis source,Article,"Carbon storage in a restored mangrove forest in Can Gio Mangrove Forest Park, Mekong Delta, Vietnam",Luu Viet Dung and Nguyen Tai Tue and Mai Trong Nhuan and Koji Omori,NA,10.1016/j.foreco.2016.08.032,https://doi.org/10.1016/j.foreco.2016.08.032,2016,nov,Elsevier {BV},380,NA,31--40,Forest Ecology and Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dung_et_al_2016,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dutta_et_al_2013,Dutta_et_al_2013_article,synthesis source,Article,"Dynamics and exchange fluxes of methane in the estuarine mangrove environment of the Sundarbans, {NE} coast of India",M.K. Dutta and C. Chowdhury and T.K. Jana and S.K. Mukhopadhyay,NA,10.1016/j.atmosenv.2013.05.050,https://doi.org/10.1016/j.atmosenv.2013.05.050,2013,oct,Elsevier {BV},77,NA,631--639,Atmospheric Environment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dutta_et_al_2013,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ezcurra_et_al_2016,Ezcurra_et_al_2016_article,synthesis source,Article,Coastal landforms and accumulation of mangrove peat increase carbon sequestration and storage,Paula Ezcurra and Exequiel Ezcurra and Pedro P. GarcillÃ¡n and Matthew T. Costa and Octavio Aburto-Oropeza,NA,10.1073/pnas.1519774113,https://doi.org/10.1073/pnas.1519774113,2016,mar,Proceedings of the National Academy of Sciences,113,16,4404--4409,Proceedings of the National Academy of Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ezcurra_et_al_2016,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ferreira_et_al_2007,Ferreira_et_al_2007_article,synthesis source,Article,Are mangrove forest substrates sediments or soils? A case study in southeastern Brazil,T.O. Ferreira and P. Vidal-Torrado and X.L. Otero and F. Mac\'\ias,NA,10.1016/j.catena.2006.07.006,https://doi.org/10.1016/j.catena.2006.07.006,2007,jun,Elsevier {BV},70,1,79--91,{CATENA},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ferreira_et_al_2007,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frith_et_al_1976,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gevana_and_Pampolina_2009,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Giani_et_al_1996,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gillis_et_al_2017,Gillis_et_al_2017_article,synthesis source,Article,Driving forces of organic carbon spatial distribution in the tropical seascape,L.G. Gillis and F.E. Belshe and A.D. Ziegler and T.J. Bouma,NA,10.1016/j.seares.2016.12.006,https://doi.org/10.1016/j.seares.2016.12.006,2017,feb,Elsevier {BV},120,NA,35--40,Journal of Sea Research,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gillis_et_al_2017,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gomes_et_al_2016,Gomes_et_al_2016_article,synthesis source,Article,"Characterization and pedogenesis of mangrove soils from Ilh{\'{e}}us - {BA}, Brazil",Felipe Haenel Gomes and JoÃ£o Carlos Ker and Tiago OsÃ³rio Ferreira and Ana Maria Souza {dos Santos Moreau} and Maur\'\icio Santana Moreau,NA,10.5935/1806-6690.20160072,https://doi.org/10.5935/1806-6690.20160072,2016,NA,{GN}1 Genesis Network,47,NA,NA,{REVISTA} {CI}{\^{E}}{NCIA} {AGRON}{\^{O}}{MICA},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gomes_et_al_2016,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gonneea_et_al_2004,Gonneea_et_al_2004_article,synthesis source,Article,Tracing organic matter sources and carbon burial in mangrove sediments over the past 160 years,Meagan Eagle Gonneea and Adina Paytan and Jorge A. Herrera-Silveira,NA,10.1016/j.ecss.2004.04.015,https://doi.org/10.1016/j.ecss.2004.04.015,2004,oct,Elsevier {BV},61,2,211--227,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gonneea_et_al_2004,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jennerjahn_and_Ittekkot_1997,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jennerjahn_and_Ittekkot_2002,Jennerjahn_and_Ittekkot_2002_article,synthesis source,Article,Relevance of mangroves for the production and deposition of organic matter along tropical continental margins,Tim C. Jennerjahn and Venugopalan Ittekkot,NA,10.1007/s00114-001-0283-x,https://doi.org/10.1007/s00114-001-0283-x,2002,jan,Springer Science and Business Media {LLC},89,1,23--30,Naturwissenschaften,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jennerjahn_and_Ittekkot_2002,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kauffman_et_al_2016,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kauffmann_et_al_2011,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kauffmann_et_al_2014,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
