attribute_name,attribute_definition,data_type,units,format_string,number,values
cs137_activity_sd,1 standard deviation of uncertainty associated with cs137_activity.,numeric,becquerelPerKilogram,,real,
total_pb210_activity,Total radioactivity counts per unit dry weight for excess lead 210 (210Pb).,numeric,becquerelPerKilogram,,real,
total_pb210_activity_sd,1 standard deviation of uncertainty associated with total_pb210_activity.,numeric,becquerelPerKilogram,,real,
ra226_activity,Total radioactivity counts per unit dry weight for Radium 226 (226Ra) if measured as part of the 210Pb dating process.,numeric,becquerelPerKilogram,,real,
ra226_activity_sd,1 standard deviation of uncertainty associated with ra226_activity.,numeric,becquerelPerKilogram,,real,
excess_pb210_activity,Excess radioactivity counts per unit dry weight for excess lead 210 (210Pb).,numeric,becquerelPerKilogram,,real,
excess_pb210_activity_sd,1 standard deviation of uncertainty associated with excess_pb210_activity.,numeric,becquerelPerKilogram,,real,
c14_age,Radiocarbon age as estimated from AMS measurements.,numeric,radiocarbonYear,,real,
c14_age_sd,Estimated uncertainty in c14_age.,numeric,radiocarbonYear,,real,
c14_material,Description of the material selected for radiocarbon (14C) dating.,character,,,,
c14_notes,Any relevant submitter generated notes on 14C dating process.,character,,,,
delta_c13,The isotopic signature of 13C. This is oftentimes measured along with c14_age and can be useful for analyzing carbon lability and provenance.,numeric,dimensionless,,real,
be7_activity,Radioactivity counts per unit dry weight for 7Be.,numeric,becquerelPerKilogram,,real,
be7_activity_sd,Estimated uncertainty in be_7_activity.,numeric,becquerelPerKilogram,,real,
am241_activity,Radioactivity counts per unit dry weight for 241Am.,numeric,becquerelPerKilogram,,real,
am241_activity_sd,Estimated uncertainty in am_241_activity.,numeric,becquerelPerKilogram,,real,
marker_date,"The age of any other dated depth horizon such as an artificial marker, pollen horizon, pollution horizon, etc.",Date,,YYYY-MM-DD,,
marker_type,Code indicating the type of marker.,factor,,,,"artificial horizon = Horizon was added to the surface artificially by using materials such as feldspar, glitter, or rare earth elements. pollen = Pollen analysis was used to tie horizon to the timing of vegetation change such as the arrival of invasives, or the beginning of local agriculture. pollution = Chemical analysis was used to tie the horizon to the timing of a pollution event. tsunami = Sediment analysis was used to tie the horizon to the timing of a tsunami event."
marker_notes,Any other submitter generated notes about the origin of the marker.,character,,,,
age,"Most likely, median, or mean age of the depth interval from submitter generated age depth model.",numeric,year,,integer,
age_min,Minimum age of the depth interval from submitter generated age depth model.,numeric,year,,integer,
age_max,Maximum age of the depth interval from submitter generated age depth model.,numeric,year,,integer,
age_sd,Standard deviation of age estimate from submitter generated age depth model.,numeric,year,,integer,
depth_interval_notes,Any other submitter generated notes specific to the depth interval.,character,,,,
species_code,Code associated with a species or a vegetation assemblage.,character,,,,
site_id,Site identification code unique to each study.,factor,,,,
impact_class,Code indicating any major anthropogenic impacts historically and currently affecting the coring location.,factor,,,,"tidally restricted = Tidal flow is muted or blocked by built structures. impounded = Water level is raised artificially by a tidal restriction, resulting in ponding of water on the wetland and or upland surface. managed impounded = Wetland is impounded seasonally, and other times natural or semi natural hydrology occurs. ditched = Tidal hydrology is altered because artificial ditches have been cut to promote tidal flooding and drainage. diked and drained = The wetland has been diked and drained, with or without flapper gates, pumping, or other means. farmed = Managed impoundment or drainage in which wetland has been converted to agricultural land. tidally restored = Tidal flow has been restored by removing an artificial obstruction. revegetated = Wetland vegetation has been reintroduced by replanting on unvegetated surfaces. invasive plants removed = Natural plant communities have been restored by the active removal of invasive plant species. invasive herbivores removed = Tidal wetland vegetation has been managed by the removal of invasive herbivores. sediment added = Elevation has been managed by artificially adding sediment to the site using techniques such as thin layering or sediment diversion. wetlands built = Constructed wetland using sediments such as dredge spoils or other sediment source."
genus,Genus according to the most up to date classification.,character,,,,
species,Species according to the most up to date classification.,character,,,,
sub_species,Any nomenclature referring to subspecies special cases.,character,,,,
hybrid,Any nomenclature referring to special cases of hybridization.,character,,,,
common_name,"Common name associated with the species, especially if it is referred to in any accompanying text.",character,,,,
species_notes,Any other submitter defined notes regarding the species.,character,,,,
study_id,Unique study identification code,factor,,,,
