"study_id","site_id","plot_id","plot_area","plot_shape","plot_center_latitude","plot_center_longitude","plot_radius","year","month","day","field_or_manipulation_code","habitat","dominant_species","plant_plot_detail_present","soil_core_present","latitude","longitude","position_method","max_soil_depth_reporting","plot_notes","ecosystem_type","protection_status","protection_notes","ecosystem_health","salinity","plant_count","plot_soil_carbon_total","plot_soil_carbon_100cm","plot_plant_carbon","salinity_class","salinity_method","vegetation_class","coordinates_obscured_flag","land_use_class","land_use_status","plot_basal_density","position_notes","debris_carbon","understory_carbon","soil_carbon_100cm","soil_carbon_300cm","aboveground_plant_carbon","belowground_plant_carbon","method_id","plot_sapling_area","site_notes","position_accuracy","disturbance_notes","disturbance_year","ecosystem_condition","disturbance_class","ecotype","basal_area","harvest_or_allometry","coordinate_obscured_flag","stand_age","aboveground_biomass","belowground_biomass","aboveground_carbon","belowground_carbon","basal_area_unit"
"Simard_et_al_2019","central_america_CostaRica","P2","625","square","8.94176","-83.61406",NA,"2013","5","8","field","mangrove","Pelliciera rhizophorae","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","central_america_CostaRica","P3","625","square","8.884","-83.57981",NA,"2013","5","9","field","mangrove","Pelliciera rhizophorae","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","central_america_CostaRica","P4","625","square","8.88357","-83.57959",NA,"2013","5","9","field","mangrove","Pelliciera rhizophorae","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","central_america_CostaRica","P5","625","square","8.84779","-83.56092",NA,"2013","5","9","field","mangrove","Pelliciera rhizophorae","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","north_america_Florida","Flamingo1_100",NA,NA,"25.444025","-81.146302",NA,"2004","11","2","field","mangrove","Laguncularia racemosa","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","north_america_Florida","Flamingo1_250",NA,NA,"25.443212","-81.144812",NA,"2004","11","2","field","mangrove","Laguncularia racemosa","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","north_america_Florida","Flamingo1_400",NA,NA,"25.44267","-81.14362",NA,"2004","11","2","field","mangrove","Laguncularia racemosa","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","north_america_Florida","Flamingo1_500",NA,NA,"25.442128","-81.142726",NA,"2004","11","2","field","mangrove","Laguncularia racemosa","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","north_america_Florida","Flamingo1_600",NA,NA,"25.441857","-81.141832",NA,"2004","11","2","field","mangrove","Laguncularia racemosa","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","north_america_Florida","Flamingo1_700",NA,NA,"25.441315","-81.140938",NA,"2004","11","2","field","mangrove","Laguncularia racemosa","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","north_america_Florida","Flamingo2_100",NA,NA,"25.425326","-81.114118",NA,"2004","11","2","field","mangrove","Laguncularia racemosa","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","north_america_Florida","Flamingo2_250",NA,NA,"25.424784","-81.112926",NA,"2004","11","2","field","mangrove","Laguncularia racemosa","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","north_america_Florida","Flamingo2_550",NA,NA,"25.423971","-81.11084",NA,"2004","11","2","field","mangrove","Laguncularia racemosa","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","north_america_Florida","Flamingo2_650",NA,NA,"25.423429","-81.10935",NA,"2004","11","2","field","mangrove","Laguncularia racemosa","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","north_america_Florida","Flamingo2_950",NA,NA,"25.422345","-81.106668",NA,"2004","11","2","field","mangrove","Laguncularia racemosa","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","north_america_Florida","Flamingo5B_133",NA,NA,"25.360015","-81.078954",NA,"2004","11","2","field","mangrove","Laguncularia racemosa","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","north_america_Florida","Flamingo5B_233",NA,NA,"25.359744","-81.079848",NA,"2004","11","2","field","mangrove","Laguncularia racemosa","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","north_america_Florida","Flamingo5B_33",NA,NA,"25.360015","-81.07806",NA,"2004","11","2","field","mangrove","Laguncularia racemosa","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","north_america_Florida","Flamingo5B_333",NA,NA,"25.359473","-81.080742",NA,"2004","11","2","field","mangrove","Laguncularia racemosa","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","north_america_Florida","Flamingo5B_433",NA,NA,"25.359473","-81.081934",NA,"2004","11","2","field","mangrove","Laguncularia racemosa","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","north_america_Florida","Flamingo5B_633",NA,NA,"25.359202","-81.083722",NA,"2004","11","2","field","mangrove","Laguncularia racemosa","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","north_america_Florida","Flamingo5B_733",NA,NA,"25.358931","-81.084616",NA,"2004","11","2","field","mangrove","Laguncularia racemosa","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","central_america_Honduras","SanBernardoE1","78.5","circle","13.1056","-87.27851667","4.998732445873411","2004","8","20","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","central_america_Honduras","SanBernardoE10","78.5","circle","13.105746","-87.281286","4.998732445873411","2004","8","20","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","central_america_Honduras","SanBernardoE11","78.5","circle","13.105786","-87.281523000000007","4.998732445873411","2004","8","20","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","central_america_Honduras","SanBernardoE12","78.5","circle","13.10586667","-87.28176667","4.998732445873411","2004","8","20","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","central_america_Honduras","SanBernardoE2","78.5","circle","13.10565","-87.27886667","4.998732445873411","2004","8","20","field","mangrove","Avicennia germinans","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
