study_id,site_id,site_description,site_latitude_max,site_latitude_min,site_longitude_max,site_longitude_min,salinity_class,salinity_method,salinity_notes,vegetation_class,vegetation_method,vegetation_notes,inundation_class,inundation_method,inundation_notes
Trettin_et_al_2017,9005,NA,-18.824439,-18.824439,36.218115,36.218115,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,9006,NA,-18.870643,-18.870643,36.270942,36.270942,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,9007,NA,-18.822449,-18.822449,36.132373,36.132373,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,9008,NA,-18.812733,-18.812733,36.128404,36.128404,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,9009,NA,-18.845133,-18.845133,36.118808,36.118808,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,9010,NA,-18.891503,-18.891503,36.177483,36.177483,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,9011,NA,-18.884576,-18.884576,36.170079,36.170079,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,9012,NA,-18.895905,-18.895905,36.16247,36.16247,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,9013,NA,-18.873529,-18.873529,36.21079,36.21079,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,9014,NA,-18.881318,-18.881318,36.205854,36.205854,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,9017,NA,-18.869369,-18.869369,36.186352,36.186352,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,9018,NA,-18.865541,-18.865541,36.182005,36.182005,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,9019,NA,-18.881049,-18.881049,36.185503,36.185503,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,9020,NA,-18.864463,-18.864463,36.221288,36.221288,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,9021,NA,-18.868706,-18.868706,36.141405,36.141405,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,9022,NA,-18.84346,-18.84346,36.132076,36.132076,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,9023,NA,-18.88562,-18.88562,36.152977,36.152977,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,9024,NA,-18.823362,-18.823362,36.211684,36.211684,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,9025,NA,-18.851282,-18.851282,36.278995,36.278995,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,9027,NA,-18.860388,-18.860388,36.166532,36.166532,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,PI,NA,NA,NA,NA,NA,estuarine,field observation,NA,emergent,field observation,"""Along the water’s edge, the marsh vegetation was mostly low-growing grasses (some spartina sp.) and various wildflower species. This floral composition was consistent in the sampling area,",low,measurement,"Along transect, elevation ranged from sea level to ~35cm."
Stevens_et_al_2024,BAY,NA,NA,NA,NA,NA,estuarine,field observation,NA,emergent,field observation,NA,NA,measurement,NA
Stevens_et_al_2024,CB,NA,NA,NA,NA,NA,estuarine,field observation,NA,emergent,field observation,This marsh was dominated throughout by broadleaf cattail (Typha latifolia).,mid,measurement,"Elevations in this marsh range from sea level to 0.5m, with a general upward slope from water’s edge to 30m inland, where its highest point is found."
Stevens_et_al_2024,RB,NA,NA,NA,NA,NA,estuarine,field observation,NA,emergent,field observation,"The general elevation trend of this marsh was sloping downward from the berm, gently to the woodland edge, and quickly to the water’s edge. At the water’s edge, vegetation was mostly Spartina sp. (mostly S. alterniflora) which continued inland for about 100m, where Juncus sp. began to mix with Spartina. On the other side of a narrow (~10m) transition zone, Juncus sp. became dominant and remained so all the way to the woodland edge of the marsh.",mid,measurement,"Elevation in the marsh ranges from sea level to 0.8 m, with the highest point occurring at a berm about 20 m inland, and in natural levees builtu paround the tidal creek."
Stevens_et_al_2024,PG,NA,NA,NA,NA,NA,estuarine,field observation,NA,forested to shrub,field observation,"Vegetation in this marsh was mostly Spartina sp. along the water’s edge, and transitioned to more Juncus sp. about 100m inland. Juncus dominated until it was replaced by upland woody plants at ~190m inland.",mid,measurement,"Elevation in the marsh ranges from sea level to ~0.5 m. Along the water’s edge, the marsh hosts a berm of about 0.4m high. Along transect, the marsh then descends into a trough, finding its deepest point (elevation ~0m) about 60m inland. From that low point, the profile rises steadily back up to ~0.5m at the upland edge of the transect, about 125m inland."
Stevens_et_al_2024,FORT,NA,NA,NA,NA,NA,estuarine,field observation,NA,emergent,field observation,"The marsh hosts Spartina sp. from the water’s edge to about 30m inland, and the rest of the marsh up to the upland edge is dominated by Juncus sp.",low,measurement,"elevation ranged from ~0.7m to ~1.5m, rising consistently from the water’s edge to the upland, except for a small (1.1m) berm located 15m from the creek bank."
Stevens_et_al_2024,BRAD,NA,NA,NA,NA,NA,estuarine,field observation,NA,emergent,field observation,"Vegetation in this marsh was difficult to identify. Much of the area was a non-vegetated mud flat. Where vegetation was present, it appeared to be dead marsh grass stems (probably S. alterniflora), broken off at a height of about 6cm.",low,measurement,"the marsh surface was fairly level, ranging in elevation from 1.0 to about 1.1m. The highest point in the marsh, though, was the small berm about 7m inland from the water’s edge, which was about 1.2 m above sea level."
Smith_et_al_2015,09WCC01,Rockefeller Wildlife Refuge,29.641306999999998,29.583503,-92.57195999999999,-92.65164,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell_et_al_2015,Abu al Abyad,NA,24.20513,24.20513,53.61585,53.61585,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schile-Beers_and_Megonigal_2017,Abu al Abyad 10 yr,NA,24.204041800000002,24.2036722,53.8002018,53.8000602,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schile-Beers_and_Megonigal_2017,Abu al Abyad 3 yr,NA,24.201522,24.201198,53.8027065,53.801848500000006,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schile-Beers_and_Megonigal_2017,Abu al Abyad 5 yr,NA,24.2034324,24.2030316,53.80079860000001,53.8005754,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schile-Beers_and_Megonigal_2017,Ajman al Zorah,NA,25.4354,25.4354,55.47844,55.47844,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schile-Beers_and_Megonigal_2017,Al Aryam,NA,24.269955200000002,24.2526848,54.2421301,54.2247289,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell_et_al_2015,Al Dabiya 1,NA,24.30876,24.30876,53.97083,53.97083,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell_et_al_2015,Al Dabiya 2,NA,24.30582,24.30582,54.00273,54.00273,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell_et_al_2015,Al Dabiya 3,NA,24.31826,24.31826,54.05725,54.05725,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schile-Beers_and_Megonigal_2017,Al Khor,NA,25.19062,25.19062,55.32697,55.32697,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schile-Beers_and_Megonigal_2017,Al Rams,NA,25.8981,25.8981,56.03976,56.03976,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schile-Beers_and_Megonigal_2017,Al Shalila,NA,24.6563792,24.6553328,54.672743600000004,54.6726044,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schile-Beers_and_Megonigal_2017,Algal Moon,NA,24.129154,24.128326,54.04058989999999,54.040243100000005,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell_et_al_2015,Bu Tinah 2,NA,24.57855,24.57855,53.079,53.079,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell_et_al_2015,Bu Tinah 3,NA,24.54852,24.54852,53.03997,53.03997,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schile-Beers_and_Megonigal_2017,Bu Tinah Janoub,NA,24.628255600000003,24.6272764,53.053904,53.053808,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell_et_al_2015,Bu Tinah SE,NA,24.54534,24.54534,53.11234,53.11234,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell_et_al_2015,Dahwat an Nahklah,NA,24.24782,24.24782,51.69347,51.69347,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,NA,24.45626187701817,24.451982374816527,54.44209644569774,54.43231109732476,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell_et_al_2015,Fasht al Basm,NA,24.24085,24.24085,53.47422,53.47422,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell_et_al_2015,Ghurab N,NA,24.64473,24.64473,54.495,54.495,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell_et_al_2015,Ghurab NE,NA,24.65578,24.65578,54.53673,54.53673,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell_et_al_2015,Ghurab NN,NA,24.64498,24.64498,54.50703,54.50703,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell_et_al_2015,Halat Idai,NA,24.19905,24.19905,52.45295,52.45295,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell_et_al_2015,Jazirat,NA,24.15131667,24.15131667,52.0476,52.0476,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schile-Beers_and_Megonigal_2017,Jubail Island,NA,24.5200358,24.5188622,54.4713824,54.4692296,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schile-Beers_and_Megonigal_2017,Jubail Island East,NA,24.5045904,24.4972416,54.5332951,54.5318899,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schile-Beers_and_Megonigal_2017,Kalba East,NA,25.007509,25.007509,56.365198,56.365198,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schile-Beers_and_Megonigal_2017,Kalba North,NA,25.01736,25.01736,56.35649,56.35649,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schile-Beers_and_Megonigal_2017,Kalba South,NA,24.999839,24.999839,56.365198,56.365198,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schile-Beers_and_Megonigal_2017,Kalba West,NA,25.00956,25.00956,56.35998,56.35998,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell_et_al_2015,Marawah,NA,24.27702,24.27702,53.34829,53.34829,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schile-Beers_and_Megonigal_2017,Marawah Island,NA,24.282847800000003,24.280858199999997,53.3140163,53.3131607,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schile-Beers_and_Megonigal_2017,Rafiq Island,NA,24.1514929,24.1511701,54.0775456,54.0766864,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell_et_al_2015,Ras Muhayjij,NA,24.25276667,24.25276667,51.66758333,51.66758333,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schile-Beers_and_Megonigal_2017,Ras al Kaimah,NA,25.77278,25.77278,55.94654,55.94654,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schile-Beers_and_Megonigal_2017,Sabkha Moon,NA,24.12422406532245,24.12329344860705,54.04969287238734,54.04938240373926,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schile-Beers_and_Megonigal_2017,Salaam,NA,24.450547,24.450307000000002,54.4104337,54.4093813,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell_et_al_2015,Sila peninsula,NA,24.23258,24.23258,51.79963,51.79963,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schile-Beers_and_Megonigal_2017,Sinnia,NA,25.56217,25.56217,55.60479,55.60479,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schile-Beers_and_Megonigal_2017,Thumayriyah,NA,24.1338862,24.1293478,53.030442,53.028678,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell_et_al_2015,Umm al Hatam,NA,24.21152,24.21152,51.87123,51.87123,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schile-Beers_and_Megonigal_2017,Umm al Quwain,NA,25.543642000000002,25.532217999999997,55.647539,55.587791,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sanborn_and_Coxson_2020,BC14-22,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,"PotAns, CarLyn, DesCes, FesRub, GlaMar, PlaMar, PlaMac, TriMar",high,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC14-23,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,"PotAns, CarLyn, DesCes, PlaMac, PlaMar, TriMar",mid,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC14-25,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,CarLyn,low,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC14-26,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,"PotAns, CarLyn, DecCes, FesRub, PlaMac, PlaMar, Trimar",mid,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC14-27,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,"AngLuc, PotAns, CarLyn, ConGme, DesCes, FesRub, LigHul, PlaMac, SciMic, SymSub, TriMar",high,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC14-28,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,"AngLuc, PotAns, CarLyn, CasHye, DesCes, FesRub, HorBra, LatPal, LupNoo, MaiDil, PlaMac, SymSub, TriMar",high,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC14-29,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,"PotAns, CarLyn, DesCes, FesRub, GlaMar, PlaMac, SteHum, TriMar",mid,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC14-30,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,CarLyn,low,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC14-31,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,"PotAns, CarLyn, DesCes, GlaMar, JunArc, PlaMac, TriMar",mid,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC17-08,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,"AngLuc, PotAns, BroPac, CarLyn, DesCes, FesRub, GlaMar, LinHul, MaiDil, OenSar, PlaMac, PlaMar, SciMic, SymSub, TriMar",high,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC17-09,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,"PotAns, CarLyn, DesCes, FesRub, GlaMar, HorBra, PlaMac, PlaMar, SciMic, TriMar",mid,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC17-10,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,CarLyn,low,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC17-11,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,"AngLuc, PotAns, CarLyn, LigHul, MaiDil, OenSar, SciMic, SymSub",high,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC17-12,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,"PotAns, CarLyn, DesCes, PlaMar, SteHum, TriMar",mid,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC17-13,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,CarLyn,low,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC17-14,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,CarLyn,low,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC17-15,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,"PotAns, CarLyn, DesCes, PlaMar, SteHum, TriMar",mid,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC17-16,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,"AngLuc, PotAns, CarLyn, ConGme, GalTri, LatPal, OenSar, SymSub, TriArc",high,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC17-17,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,"AngLuc, PotAns, BroPac, CarLyn, CarPlu, DesCes, FesRub, GlaMar, HorBra, LigHul, MaiDil, OenSar, PlaMac, SymSub, TriMar",high,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC17-18,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,"PotAns, CarLyn, DesCes, GlaMar, PlaMar, SteHum, TriMar",mid,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC17-19,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,CarLyn,low,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC17-20,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,"AngLuc, PotAns, CarLyn, CarPlu, DesCes, FesRub, GalTri, HorBra, LatPal, LigHul, OenSar, PlaMac, RumOcc, SymSub, TriMar",high,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC17-21,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,"AchMill, AngLuc, PotAns, BroPac, CarLyn, CarPlu, ConGme, DesCes, FesRub, HorBra, LatPal, LigHul, LupNoo, MaiDil, OenSar, PlaMac, RumOcc, SymSub, TriMar",mid,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC17-22,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,"AngLuc, PotAns, CarLyn, CarPlu, HorBra, LatPal, LigHul, OenSar, PlaMar, RumOcc, SciMic, SteHum, SymSub, Trimar",high,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC17-23,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,"PotAns, CarLyn, DesCes, FesRub, GlaMar, PlaMac, PlaMar, TriMar",mid,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC17-24,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,"PotAns, CarLyn, DesCes, FesRub, GlaMar, LatPal, LupNoo, OenSar, PlaMac, PlaMar, SymSub, TriMar",high,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC17-25,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,"PotAns, CarLyn, DesCes, FriCam, GlaMar, SteHum, TriMar",mid,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC17-26,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,CarLyn,low,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC17-27,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,"CarLyn, DesCes, Trimar",low,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC17-28,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,"PotAns, CarLyn, DesCes, HorBra, PlaMac, TriMar",mid,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC17-29,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,"AchMill, AngLuc, PotAns, CarLyn, ConGme, DesCes, FriCam, HorBra, LigHul, MaiDil, PlaMac, SymSub, TriMar",high,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC17-30,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,CarLyn,low,field observation,visual estimate of the tidal zone
Sanborn_and_Coxson_2020,BC17-31,"Skeena Estuary, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,field observation,"CarLyn, DesCes",low,field observation,visual estimate of the tidal zone
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,Potomac River Estuary ; history,38.773542,38.755924,-77.045531,-77.053514,fresh,NA,NA,emergent,NA,NA,NA,NA,NA
Palinkas_and_Cornwell_2024,Corsica River,NA,39.0928986988065,39.0462,-76.0644,-76.1481285095215,brackish,NA,Salinity data from the Maryland Department of Natural Resources: http://www.eyesonthebay.net,NA,NA,NA,NA,NA,NA
Osland_et_al_2016,Galveston_Bay,NA,29.209952862,29.064102558,-94.94326064799999,-95.266709872,NA,NA,NA,NA,NA,NA,NA,NA,NA
Osland_et_al_2016,Grand_Bay,NA,30.409232979000002,30.356935311,-88.395872932,-88.446796468,NA,NA,NA,NA,NA,NA,NA,NA,NA
Osland_et_al_2016,Lake_Pontchartrain,NA,30.284774709,30.239866521,-89.833513739,-89.999191271,NA,NA,NA,NA,NA,NA,NA,NA,NA
Osland_et_al_2016,Lower_Laguna_Madre,NA,26.388685132,26.014722388,-97.16240541100001,-97.381783399,NA,NA,NA,NA,NA,NA,NA,NA,NA
Osland_et_al_2016,San_Antonio_Bay,NA,28.456784607000003,28.173734523,-96.35867509100001,-96.89654123899999,NA,NA,NA,NA,NA,NA,NA,NA,NA
Osland_et_al_2016,Tampa_Bay,NA,27.726532607,27.515973803,-82.44032639400001,-82.663222026,NA,NA,NA,NA,NA,NA,NA,NA,NA
Osland_et_al_2016,Ten_Thousand_Islands,NA,25.976839471,25.845753739,-81.52314862,-81.54749817999999,NA,NA,NA,NA,NA,NA,NA,NA,NA
Osland_et_al_2016,Upper_Laguna_Madre,NA,27.724848259999998,27.27555542,-97.12855965099999,-97.741774519,NA,NA,NA,NA,NA,NA,NA,NA,NA
Osland_et_al_2016,Weeks_Bay,NA,30.443171271999997,30.376521448000002,-87.81125599699999,-87.84718823300001,NA,NA,NA,NA,NA,NA,NA,NA,NA
