study_id,site_id,site_description,site_latitude_max,site_latitude_min,site_longitude_max,site_longitude_min,salinity_class,salinity_method,vegetation_class,vegetation_method,vegetation_notes,inundation_class,inundation_method,inundation_notes
Nahlik_and_Fennessy_2016,NWCA11-2458,Coosaw River-Port Royal Sound; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1202,Appoquinimink River-Delaware River; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-3047,Weeki Wachi River-Double Hammock Creek Frontal; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1326,Tolomato River; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1303,Crystal River-Homosassa River Frontal; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1218,Inland Bays; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1213,Delaware Bay-Deep; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2549,Salt Bayou; Texas Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2577,Salt Bayou; Texas Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1039,Bayo Sara-Mobile River; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2355,Lower Siletz River-Frontal Pacific Ocean; Pacific Northwest,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2636,Metompkin Bay-Burtons Bay; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2664,Lower Chincoteague Bay; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,forested to shrub,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1669,Terrebonne Bay-Frontal Gulf of Mexico; Lower Mississippi,NA,NA,NA,NA,estuarine,field observation,forested to shrub,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2581,Salt Bayou; Texas Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2575,Aransas Bay; Texas Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2603,San Antonio Bay-Espiritu Santo Bay; Texas Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2565,Salt Bayou; Texas Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1198,Appoquinimink River-Delaware River; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2026,Pamlico Sound-Hatteras Inlet; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-R135,Manahawkin Bay-Little Egg Harbor; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1260,Lower St. Marys River; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1334,Lower St. Marys River; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-4499,Naselle River-Frontal Willapa Bay; Pacific Northwest,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2721,Naselle River-Frontal Willapa Bay; Pacific Northwest,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-4522,Skagit Bay-Whidbey Basin; Pacific Northwest,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2710,Skagit Bay-Whidbey Basin; Pacific Northwest,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2608,East Matagorda Bay; Texas Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2605,Salt Bayou; Texas Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2598,Cane Bayou; Texas Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2566,Spindletop Ditch; Texas Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2537,Salt Bayou; Texas Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2030,Bogue Banks-Bogue Sound; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-6301,Naselle River-Frontal Willapa Bay; Pacific Northwest,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-4503,Naselle River-Frontal Willapa Bay; Pacific Northwest,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1418,Doboy Sound-Atlantic Ocean; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1417,Wilmington River-Atlantic Ocean; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-3586,Little Choptank River; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-3583,Little Choptank River; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1813,Little Choptank River; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1805,Little Choptank River; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1803,Little Choptank River; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1793,Blackwater River; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1779,Little Choptank River; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1776,Transquaking River; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1369,Ossabaw Sound-Atlantic Ocean; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-3580,Honga River-Chesapeake Bay; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-3588,Wicomico River; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1180,Hammonasset River-Frontal Long Island Sound; New England,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1752,Elizabeth Islands-Marthas Vineyard; New England,NA,NA,NA,NA,estuarine,field observation,forested to shrub,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1753,North River-Frontal Massachusetts Bay; New England,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2265,Carmans River-Great South Bay; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2269,Shinnecock Bay-Atlantic Ocean; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-R052,Upper York River; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-R071,Pamlico Sound-Ocracoke Inlet; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2390,Palmer River; New England,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2382,Narragansett Bay; New England,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2529,East Matagorda Bay; Texas Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-R006,North Inlet; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2262,South Oyster Bay-Jones Inlet; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2281,Great South Bay-Fire Island Inlet; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2279,South Oyster Bay-Jones Inlet; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2273,South Oyster Bay-Jones Inlet; Mid Atlantic,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-R024,North Inlet; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2179,Hampton River-Frontal Atlantic Ocean; New England,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2045,Lake Mattamuskeet-Rose Bay; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2049,Lake Mattamuskeet-Rose Bay; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1187,Eightmile River-Connecticut River; New England,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1184,Hammonasset River-Frontal Long Island Sound; New England,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-R080,San Antonio Bay-Espiritu Santo Bay; Texas Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-R003,Bogue Banks-Shackleford Banks; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-R007,Combahee River; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-R012,Cape Fear River; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-2555,San Antonio Bay-Espiritu Santo Bay; Texas Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1696,Mermentau River-Frontal Gulf of Mexico; Lower Mississippi,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1278,Turtle Creek-Vassey Creek Frontal; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1291,Apalachicola Bay; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,NWCA11-1292,Tolomato River-Moses Creek Frontal; South Atlantic Gulf,NA,NA,NA,NA,estuarine,field observation,emergent,field observation,NA,NA,NA,NA
