study_id,method_id,coring_method,roots_flag,sediment_sieved_flag,sediment_sieve_size,compaction_flag,dry_bulk_density_temperature,dry_bulk_density_time,dry_bulk_density_sample_volume,dry_bulk_density_flag,loss_on_ignition_temperature,loss_on_ignition_time,loss_on_ignition_sample_volume,loss_on_ignition_sample_mass,loss_on_ignition_flag,carbon_measured_or_modeled,carbonates_removed,carbonate_removal_method,fraction_carbon_method,fraction_carbon_type,carbon_profile_notes,cs137_counting_method,pb210_counting_method,excess_pb210_rate,excess_pb210_model,ra226_assumption,c14_counting_method,dating_notes,age_depth_model_reference,age_depth_model_notes,fraction_carbon_flag,pb210_background_assumption
Merrill_1999,single set of methods,mcauley corer,NA,NA,NA,corer limits compaction,NA,NA,NA,not specified,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,single set of methods,push core,NA,NA,NA,no obvious compaction,60,72,NA,to constant mass,550,6,NA,5,NA,NA,NA,NA,NA,NA,NA,gamma,gamma,NA,CRS,NA,NA,NA,CE,NA,NA,NA
Nahlik_and_Fennessy_2016,single set of methods,soil pit,NA,sediment sieved,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured,TRUE,direct acid treatment,EA,organic carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neubauer_2002,single set of methods,push core,NA,NA,NA,NA,50,NA,NA,not specified,500,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noe_et_al_2016,single set of methods,NA,roots and rhizomes separated,NA,NA,NA,60,NA,NA,air dried to constant mass,NA,NA,NA,NA,NA,measured,NA,NA,EA,organic carbon,NA,NA,alpha,NA,CRS,NA,NA,NA,core collection date,NA,NA,NA
Nolte_2020,single set of methods,pvc and hammer,roots and rhizomes included,sediment not sieved,NA,compaction quantified,105,52,NA,to constant mass,550,4,NA,5,NA,NA,FALSE,NA,NA,NA,NA,gamma,gamma,NA,NA,each sample,NA,NA,core collection date,NA,NA,NA
Nuttle_1996,single set of methods,none specified,NA,NA,NA,NA,NA,NA,NA,not specified,NA,NA,NA,NA,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nyman_et_al_1993,single set of methods,other shallow corer,NA,NA,NA,NA,80,NA,NA,removed non structural water,400,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Okeefe-Suttles_et_al_2021_Cape,total_carbon,piston corer,roots and rhizomes included,sediment not sieved,NA,compaction qualified,NA,NA,NA,freeze dried,NA,NA,NA,NA,NA,measured,FALSE,NA,EA,total carbon,NA,gamma,gamma,mass accumulation,CRS,each sample,NA,NA,core collection date,NA,NA,NA
Okeefe-Suttles_et_al_2021_Cape,organic_carbon,piston corer,roots and rhizomes included,sediment not sieved,NA,compaction qualified,NA,NA,NA,freeze dried,NA,NA,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,gamma,gamma,mass accumulation,CRS,each sample,NA,NA,core collection date,NA,NA,NA
Okeefe-Suttles_et_al_2021_Cape,no_fraction_carbon,piston corer,roots and rhizomes included,sediment not sieved,NA,compaction qualified,NA,NA,NA,freeze dried,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gamma,gamma,mass accumulation,CRS,each sample,NA,NA,core collection date,NA,NA,NA
Okeefe-Suttles_et_al_2021_FL,pvc_and_hammer,pvc and hammer,roots and rhizomes included,sediment not sieved,NA,compaction quantified,NA,NA,NA,NA,450,4,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,gamma,gamma,mass accumulation,CRS,each sample,NA,NA,core collection date,NA,NA,NA
Okeefe-Suttles_et_al_2021_FL,salt_barren,shovel,NA,sediment not sieved,NA,not specified,NA,NA,NA,NA,450,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,gamma,gamma,mass accumulation,CRS,each sample,NA,NA,core collection date,NA,NA,NA
Okeefe-Suttles_et_al_2021_RI,single set of methods,piston corer,roots and rhizomes included,sediment not sieved,NA,compaction qualified,NA,NA,NA,freeze dried,NA,NA,NA,NA,NA,measured,FALSE,NA,EA,total carbon,NA,gamma,gamma,mass accumulation,CRS,each sample,NA,NA,core collection date,NA,NA,NA
Okeefe-Suttles_et_al_2021_Wellfleet,single set of methods,piston corer,roots and rhizomes included,sediment not sieved,NA,compaction qualified,NA,NA,NA,freeze dried,NA,NA,NA,NA,NA,measured,FALSE,NA,EA,total carbon,NA,gamma,gamma,mass accumulation,CRS,each sample,NA,NA,core collection date,NA,NA,NA
Orson_1990,single set of methods,russian corer,NA,NA,NA,corer limits compaction,NA,NA,NA,not specified,475,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pastore_et_al_2017,single set of methods,gouge auger,NA,NA,NA,NA,60,336,NA,time approximate,NA,NA,NA,NA,NA,measured,FALSE,low carbonate soil,NA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,single set of methods,pvc and hammer,roots and rhizomes separated,sediment sieved,NA,compaction quantified,60,24,NA,time approximate,550,4,NA,1,NA,measured,TRUE,direct acid treatment,EA,organic carbon,NA,gamma,gamma,mass accumulation,CIC,NA,NA,activities collected to the detection limit,NA,NA,NA,NA
Piazza_et_al_2011,single set of methods,none specified,NA,NA,NA,NA,60,NA,NA,not specified,550,2,NA,NA,NA,NA,NA,NA,NA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no details,NA
Poppe_et_al_2019,single set of methods,pvc and hammer,roots and rhizomes included,sediment sieved,0.5,no obvious compaction,60,96,NA,to constant mass,500,8,NA,NA,NA,NA,FALSE,NA,local regression,organic carbon,Modeled fraction carbon values available in https://doi.org/10.25573/data.10005248,gamma,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA
Radabaugh_et_al_2018,single set of methods,russian corer,roots and rhizomes included,NA,NA,NA,105,24,NA,NA,550,3,NA,NA,NA,modeled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,extrapolated from subset of samples,NA
Rodriguez_et_al_2022,single set of methods,vibracore,NA,sediment sieved,0.063,not specified,105,16,NA,time approximate,550,4,NA,NA,time approximate,modeled,FALSE,none specified,Craft regression,organic carbon,NA,NA,NA,NA,NA,NA,AMS,CALIB 7.1 or CALIBomb used to calibrate ages. Dates were chosen base on highest certainty unless stratigraphic position or aerial photography provided a better estimate.,core collection date,NA,NA,NA
Sanborn_and_Coxson_2020,single set of methods,soil pit,roots and rhizomes included,sediment not sieved,NA,NA,105,24,550,NA,NA,NA,NA,NA,NA,measured,FALSE,NA,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Smith_et_al_2015,single set of methods,other shallow corer,roots and rhizomes included,sediment not sieved,NA,compaction quantified,60,NA,30,NA,650,4,30,NA,NA,NA,NA,NA,NA,NA,NA,gamma,alpha,NA,CRS,at asymptote,NA,NA,NA,NA,NA,NA
StLaurent_et_al_2020,single set of methods,pvc and hammer,roots and rhizomes separated,sediment sieved,1,compaction qualified,50,36,5,time approximate,450,8,NA,NA,NA,measured,FALSE,NA,EA,organic carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thom_1992,single set of methods,PVC tube or thin-walled metal tube,NA,NA,NA,corer limits compaction,90,NA,NA,NA,500,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thorne_et_al_2015,single set of methods,none specified,NA,NA,NA,not specified,550,8,NA,to constant mass,550,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Unger_et_al_2016,single set of methods,piston corer,roots and rhizomes included,NA,NA,corer limits compaction,NA,NA,NA,modeled,550,4,NA,4,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,single set of methods,vibracore,roots and rhizomes included,sediment sieved,NA,no obvious compaction,NA,NA,76.97,freeze dried,NA,NA,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,gamma,gamma,NA,CRS,each sample,AMS,NA,CE,NA,NA,NA
Ward_et_al_2021,single set of methods,pvc and hammer,roots and rhizomes separated,sediment not sieved,NA,compaction quantified,60,NA,NA,not specified,550,4,NA,10,NA,measured,TRUE,direct acid treatment,Craft regression,organic carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Watson_and_Byrne_2013,single set of methods,russian corer,NA,NA,NA,NA,104,24,NA,NA,550,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMS,NA,NA,NA,NA,NA
Weis_et_al_2001,single set of methods,hargas corer,NA,NA,NA,NA,95,24,NA,NA,550,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weston_et_al_2020,single set of methods,push core,roots and rhizomes included,sediment not sieved,NA,compaction quantified,80,48,NA,not specified,500,4,NA,NA,NA,NA,NA,NA,NA,NA,10.2 cm inner diameter pvc pipe driven to depth,gamma,gamma,NA,NA,NA,NA,CRC model used to determine age-dependent rates of soil accretion for each section of soil cores. CIC model used to calculate a whole-core accretion rate using Pb210 activities.,NA,NA,NA,NA
White_et_al_2020,2 meter cores,push core,roots and rhizomes included,sediment not sieved,NA,no obvious compaction,60,NA,384.85,air dried to constant mass,550,4,NA,NA,NA,measured,FALSE,NA,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White_et_al_2020,0.5 meter cores,piston corer,NA,sediment not sieved,NA,not specified,60,NA,384.85,air dried to constant mass,550,4,NA,NA,NA,measured,FALSE,NA,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Windham_Meyers_et_al_2010,single set of methods,piston corer,NA,NA,NA,NA,105,12,NA,time approximate,450,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
