"[Abbreviations:  ID, identification; WGS84, World Geodetic System 1984; m, meter; NAD83, North American Datum of 1983; NAVD88, North American Vertical Datum of 1988; °C, degree Celsius; mmHg, millimeter of mercury; %, percent; mg/L, milligrams per liter; mS/cm, millisiemens per centimeter; mV, millivolt; <, less than; --, no data]",,,,,,,,,,,,,,,,,,,,,,,,
Site Location,,,,,,,,,,,,,Core Length,,,Water Quality Parameters,,,,,,,,
Site ID,"Date
Collected",Site Description,Type of Samples Collected,Latitude (WGS84),Longitude (WGS84),Latitude (NAD83),Longitude (NAD83),Horizontal Standard Deviation (m),"Orthometric Height (m, NAVD88, 
GEOID 12A)","Cumulative Height 
Error (m)","Water Depth
(m)",,"Recovered
Core Length
(cm)","Vibracore
Compaction During Coring
(cm)",,"Temperature 
(°C)","Barometric Pressure 
(mmHg)","Dissolved Oxygen 
(%)","Dissolved Oxygen 
(mg/L)","Specific Conductance 
(mS/cm)",Salinity,pH,"pH 
(mV)","Oxidation-Reduction
Potential 
(mV)"
16CCT03-GB257,05/14/2016,Estuarine,V,30.35775,-88.36194,--,--,--,--,--,3.3,,79.0,--,,24.3,--,100.0,8.9,33.61,21.07,--,-1.5,116.7
16CCT03-GB258,05/15/2016,Estuarine,"G, V",30.38756,-88.38553,30.38749,-88.38550,0.009,-0.855,0.043,1.1,,279.0,5.0,,26.0,--,100.0,8.2,29.50,18.21,--,-16.8,59.1
16CCT03-GB259,05/14/2016,Estuarine,V,30.38709,-88.38358,--,--,--,--,--,1.0,,214.5,10.0,,27.4,--,--,--,29.49,18.80,--,-7.0,112.5
16CCT03-GB260,05/16/2016,Estuarine,"G, V",30.39227,-88.36980,30.39224,-88.36981,0.005,-0.901,0.030,1.3,,276.0,18.0,,23.2,--,97.5,7.5,--,18.46,--,-8.3,53.6
16CCT03-GB261,05/14/2016,Estuarine,V,30.37854,-88.35023,--,--,--,--,--,2.6,,228.0,56.0,,25.1,--,100.0,8.4,29.74,18.40,--,-4.6,111.0
16CCT03-GB262,05/18/2016,Estuarine,V,30.37477,-88.34873,30.37475,-88.34876,0.015,-3.691,0.065,2.6,,372.0,10.0,,25.4,--,83.3,6.1,29.64,18.32,7.95,-62.4,67.5
16CCT03-GB263,05/17/2016,Estuarine,"G, V",30.39254,-88.34825,30.39254,-88.34827,0.007,-1.377,0.034,1.7,,324.0,50.0,,22.9,--,108.9,8.3,30.33,18.83,--,-7.8,55.1
16CCT03-GB264,05/18/2016,Estuarine,V,30.37999,-88.33280,30.37999,-88.33284,0.014,-3.732,0.050,2.5,,169.0,11.0,,26.2,--,79.0,5.9,29.53,18.24,7.92,-60.4,72.0
16CCT03-GB265,05/17/2016,Estuarine,"G, V",30.39804,-88.33820,30.39805,-88.33820,0.006,-1.795,0.038,1.9,,319.0,60.0,,23.6,--,-,9.5,29.85,18.49,--,-11.6,53.4
16CCT03-GB266,05/14/2016,Estuarine,V,30.36433,-88.37520,--,--,--,--,--,1.4,,251.5,15.0,,25.2,--,80.7,6.0,29.87,18.48,--,2.4,120.1
16CCT03-GB280,05/16/2016,Marsh,S,30.40869,-88.39977,30.40984,-88.39825,0.011,0.684,0.061,0.00,,--,--,,--,--,--,--,--,--,--,--,--
16CCT03-GB281,05/16/2016,Marsh,S,30.40946,-88.39816,30.40945,-88.39815,0.007,0.439,0.033,0.00,,--,--,,--,--,--,--,--,--,--,--,--
16CCT03-GB282,05/16/2016,Marsh,S,30.40958,-88.39722,30.40955,-88.39722,0.006,0.577,0.037,0.00,,--,--,,--,--,--,--,--,--,--,--,--
16CCT03-GB283,05/16/2016,Marsh,S,30.40914,-88.39896,30.40912,-88.39896,0.007,0.408,0.035,<0.01,,--,--,,26.8,763.9,11.0,0.8,25.28,15.36,5.62,72.8,-132.8
16CCT03-GB284,05/16/2016,Marsh,S,30.40898,-88.39954,30.40897,-88.39954,0.007,0.363,0.033,<0.01,,--,--,,23.7,763.9,12.2,0.9,23.67,14.34,6.65,12.7,-141.9
16CCT03-GB285,05/16/2016,Marsh,S,30.40869,-88.39977,30.40868,-88.39977,0.005,-0.028,0.029,--,,--,--,,27.2,763.9,67.0,4.9,26.09,15.89,6.88,-0.6,-35.0
16CCT03-GB286,05/17/2016,Marsh,S,30.38340,-88.43258,30.38338,-88.43257,0.007,0.248,0.040,0.14,,--,--,,25.6,762.6,58.0,4.3,26.33,16.08,7.15,-16.1,52.1
16CCT03-GB287,05/17/2016,Marsh,S,30.38354,-88.43264,30.38354,-88.43263,0.007,0.333,0.038,0.09,,--,--,,24.3,762.4,45.0,3.5,24.82,15.09,6.78,5.3,61.2
16CCT03-GB288,05/17/2016,Marsh,S,30.38382,-88.43282,30.38380,-88.43281,0.004,0.344,0.030,0.04,,--,--,,24.1,761.6,40.5,3.2,25.92,15.83,6.68,11.1,64.8
16CCT03-GB289,05/17/2016,Marsh,S,30.38428,-88.43298,30.38425,-88.43296,0.007,0.364,0.038,0.02,,--,--,,26.1,761.1,20.8,1.6,24.79,15.05,6.26,35.2,94.8
Sediment Sample Type Key:,,,,,,,,,,,,,,,,,,,,,,,,
"G = Petite Ponar grab sample, estuarine surface sediments, 0-1 cm sampled",,,,,,,,,,,,,,,,,,,,,,,,
M = 4-inch push core,,,,,,,,,,,,,,,,,,,,,,,,
"S = Marsh surface sediment, 0-1 cm sampled",,,,,,,,,,,,,,,,,,,,,,,,
V = Vibracore,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
